ocr_id,document_id,survey_extracted,owner_extracted_confidence,survey_confidence,language_detected,verification_required
OCR-000073,DOC-000073,2042,0.973,0.941,Tamil,No
OCR-000074,DOC-000074,1642,0.939,0.893,Tamil-English,No
OCR-000075,DOC-000075,6071,0.963,0.99,Tamil,No
OCR-000076,DOC-000076,431,0.767,0.99,Tamil,No
OCR-000077,DOC-000077,6300,0.942,0.963,Tamil,No
OCR-000078,DOC-000078,3011,0.851,0.99,Tamil,Yes
OCR-000079,DOC-000079,2701,0.846,0.896,Tamil,No
OCR-000080,DOC-000080,6003,0.872,0.827,Tamil-English,Yes
OCR-000081,DOC-000081,2257,0.976,0.913,Tamil,No
OCR-000082,DOC-000082,3452,0.971,0.845,Tamil,No
OCR-000083,DOC-000083,1957,0.946,0.811,Tamil,No
OCR-000084,DOC-000084,4889,0.977,0.939,Tamil-English,No
OCR-000085,DOC-000085,8325,0.99,0.918,English,No
OCR-000086,DOC-000086,1645,0.8,0.858,Tamil-English,No
OCR-000087,DOC-000087,2007,0.946,0.891,Tamil,No
OCR-000088,DOC-000088,7809,0.99,0.867,Tamil,No
OCR-000089,DOC-000089,2477,0.852,0.972,English,No
OCR-000090,DOC-000090,7841,0.99,0.975,Tamil,No
OCR-000091,DOC-000091,2438,0.946,0.834,Tamil,Yes
OCR-000092,DOC-000092,9379,0.948,0.877,Tamil,No
OCR-000093,DOC-000093,2625,0.887,0.818,Tamil,Yes
OCR-000094,DOC-000094,2617,0.782,0.969,Tamil,Yes
OCR-000095,DOC-000095,2315,0.885,0.975,Tamil,No
OCR-000096,DOC-000096,348,0.942,0.99,Tamil,No
OCR-000097,DOC-000097,2227,0.899,0.932,Tamil,No
OCR-000098,DOC-000098,5661,0.905,0.945,Tamil-English,No
OCR-000099,DOC-000099,970,0.898,0.922,Tamil,No
OCR-000100,DOC-000100,5573,0.849,0.964,Tamil,No
OCR-000101,DOC-000101,8956,0.89,0.833,Tamil,No
OCR-000102,DOC-000102,4649,0.963,0.976,Tamil,No
OCR-000103,DOC-000103,299,0.934,0.99,Tamil,No
OCR-000104,DOC-000104,8452,0.937,0.865,Tamil,No
OCR-000105,DOC-000105,5797,0.886,0.861,Tamil,No
OCR-000106,DOC-000106,8280,0.945,0.833,Tamil,No
OCR-000107,DOC-000107,452,0.861,0.926,Tamil,No
OCR-000108,DOC-000108,4363,0.99,0.777,Tamil,No
OCR-000109,DOC-000109,4748,0.976,0.99,Tamil,No
OCR-000110,DOC-000110,5454,0.928,0.862,Tamil,No
OCR-000111,DOC-000111,128,0.931,0.757,Tamil-English,No
OCR-000112,DOC-000112,5300,0.99,0.87,Tamil,No
OCR-000113,DOC-000113,2179,0.985,0.935,Tamil,Yes
OCR-000114,DOC-000114,1502,0.895,0.858,Tamil-English,No
OCR-000115,DOC-000115,6963,0.99,0.826,Tamil,No
OCR-000116,DOC-000116,7740,0.84,0.802,Tamil,No
OCR-000117,DOC-000117,1357,0.89,0.985,Tamil-English,Yes
OCR-000118,DOC-000118,6435,0.82,0.836,Tamil,No
OCR-000119,DOC-000119,1685,0.99,0.834,Tamil,No
OCR-000120,DOC-000120,6603,0.863,0.99,Tamil,Yes
OCR-000121,DOC-000121,9177,0.944,0.758,Tamil-English,No
OCR-000122,DOC-000122,2822,0.804,0.893,English,No
OCR-000123,DOC-000123,8896,0.853,0.841,Tamil,No
OCR-000124,DOC-000124,1676,0.604,0.99,Tamil-English,No
OCR-000125,DOC-000125,6116,0.881,0.99,Tamil-English,No
OCR-000126,DOC-000126,5119,0.916,0.938,Tamil,Yes
OCR-000127,DOC-000127,1038,0.873,0.977,Tamil-English,No
OCR-000128,DOC-000128,9190,0.861,0.99,Tamil,No
OCR-000129,DOC-000129,8203,0.798,0.884,Tamil,No
OCR-000130,DOC-000130,3446,0.99,0.897,English,No
OCR-000131,DOC-000131,4056,0.99,0.885,Tamil,No
OCR-000132,DOC-000132,8386,0.988,0.967,Tamil,No
OCR-000133,DOC-000133,1370,0.931,0.852,Tamil-English,No
OCR-000134,DOC-000134,5452,0.954,0.886,Tamil,No
OCR-000135,DOC-000135,3871,0.925,0.895,Tamil,No
OCR-000136,DOC-000136,7405,0.867,0.85,Tamil,No
OCR-000137,DOC-000137,8983,0.927,0.907,Tamil-English,No
OCR-000138,DOC-000138,2742,0.884,0.974,Tamil,No
OCR-000139,DOC-000139,4901,0.9,0.974,Tamil,No
OCR-000140,DOC-000140,6977,0.99,0.947,Tamil-English,Yes
OCR-000141,DOC-000141,5178,0.889,0.96,Tamil-English,No
OCR-000142,DOC-000142,2970,0.833,0.99,English,No
OCR-000143,DOC-000143,7405,0.856,0.983,Tamil,No
OCR-000144,DOC-000144,5787,0.99,0.964,Tamil-English,No
OCR-000145,DOC-000145,2032,0.698,0.925,Tamil-English,No
OCR-000146,DOC-000146,6415,0.915,0.99,English,No
OCR-000147,DOC-000147,8601,0.901,0.892,Tamil,No
OCR-000148,DOC-000148,5257,0.802,0.99,Tamil,Yes
OCR-000149,DOC-000149,793,0.99,0.892,Tamil,No
OCR-000150,DOC-000150,7508,0.862,0.765,Tamil,No
OCR-000151,DOC-000151,3613,0.963,0.826,Tamil,Yes
OCR-000152,DOC-000152,5943,0.823,0.913,Tamil-English,No
OCR-000153,DOC-000153,4332,0.837,0.845,Tamil,No
OCR-000154,DOC-000154,7529,0.821,0.957,Tamil-English,No
OCR-000155,DOC-000155,3334,0.93,0.969,Tamil,No
OCR-000156,DOC-000156,5180,0.941,0.858,Tamil-English,No
OCR-000157,DOC-000157,7221,0.868,0.948,Tamil-English,No
OCR-000158,DOC-000158,1405,0.82,0.943,Tamil,No
OCR-000159,DOC-000159,2371,0.96,0.99,Tamil,Yes
OCR-000160,DOC-000160,6027,0.88,0.748,Tamil,No
OCR-000161,DOC-000161,2710,0.975,0.99,English,No
OCR-000162,DOC-000162,5441,0.733,0.893,Tamil,No
OCR-000163,DOC-000163,2688,0.848,0.854,Tamil,No
OCR-000164,DOC-000164,2957,0.891,0.83,Tamil,No
OCR-000165,DOC-000165,1832,0.889,0.871,Tamil,No
OCR-000166,DOC-000166,4079,0.99,0.926,Tamil,No
OCR-000167,DOC-000167,8479,0.99,0.931,Tamil,No
OCR-000168,DOC-000168,8944,0.99,0.9,Tamil,No
OCR-000169,DOC-000169,2543,0.986,0.866,Tamil,Yes
OCR-000170,DOC-000170,2125,0.954,0.951,Tamil,Yes
OCR-000171,DOC-000171,46,0.827,0.928,Tamil-English,No
OCR-000172,DOC-000172,6023,0.856,0.99,Tamil-English,No
OCR-000173,DOC-000173,1902,0.973,0.892,English,No
OCR-000174,DOC-000174,5443,0.866,0.689,English,No
OCR-000175,DOC-000175,813,0.953,0.932,Tamil,No
OCR-000176,DOC-000176,1286,0.908,0.938,Tamil,Yes
OCR-000177,DOC-000177,1541,0.814,0.808,Tamil,No
OCR-000178,DOC-000178,8751,0.818,0.931,Tamil,No
OCR-000179,DOC-000179,4416,0.877,0.887,Tamil,No
OCR-000180,DOC-000180,4435,0.971,0.99,Tamil,No
OCR-000181,DOC-000181,655,0.949,0.939,Tamil,No
OCR-000182,DOC-000182,955,0.99,0.96,Tamil,No
OCR-000183,DOC-000183,558,0.875,0.963,Tamil,No
OCR-000184,DOC-000184,5612,0.896,0.941,Tamil,No
OCR-000185,DOC-000185,4933,0.883,0.775,Tamil,No
OCR-000186,DOC-000186,5899,0.99,0.906,Tamil,No
OCR-000187,DOC-000187,5248,0.912,0.97,Tamil,Yes
OCR-000188,DOC-000188,3862,0.915,0.955,Tamil-English,Yes
OCR-000189,DOC-000189,1351,0.791,0.829,Tamil,No
OCR-000190,DOC-000190,3198,0.99,0.92,Tamil,Yes
OCR-000191,DOC-000191,9038,0.97,0.842,English,No
OCR-000192,DOC-000192,4832,0.96,0.869,English,No
OCR-000193,DOC-000193,4506,0.978,0.875,Tamil,No
OCR-000194,DOC-000194,6660,0.87,0.844,Tamil,No
OCR-000195,DOC-000195,5256,0.99,0.779,English,No
OCR-000196,DOC-000196,2150,0.962,0.848,Tamil-English,No
OCR-000197,DOC-000197,4093,0.925,0.917,Tamil,No
OCR-000198,DOC-000198,8070,0.727,0.99,Tamil,No
OCR-000199,DOC-000199,9414,0.907,0.904,Tamil-English,Yes
OCR-000200,DOC-000200,4895,0.918,0.91,Tamil,No
OCR-000201,DOC-000201,5211,0.99,0.807,Tamil,No
OCR-000202,DOC-000202,4349,0.926,0.892,Tamil,No
OCR-000203,DOC-000203,1453,0.84,0.839,Tamil,No
OCR-000204,DOC-000204,3053,0.878,0.99,Tamil,No
OCR-000205,DOC-000205,8049,0.868,0.837,Tamil,No
OCR-000206,DOC-000206,6754,0.771,0.889,Tamil,Yes
OCR-000207,DOC-000207,4601,0.93,0.906,Tamil,No
OCR-000208,DOC-000208,8560,0.92,0.866,Tamil,No
OCR-000209,DOC-000209,8153,0.99,0.838,Tamil,No
OCR-000210,DOC-000210,9125,0.873,0.99,Tamil-English,Yes
OCR-000211,DOC-000211,7455,0.952,0.767,Tamil,No
OCR-000212,DOC-000212,7163,0.916,0.99,Tamil-English,No
OCR-000213,DOC-000213,5151,0.829,0.904,Tamil,No
OCR-000214,DOC-000214,5779,0.99,0.864,English,Yes
OCR-000215,DOC-000215,4404,0.963,0.864,Tamil,No
OCR-000216,DOC-000216,7165,0.99,0.887,Tamil,No
OCR-000217,DOC-000217,8989,0.956,0.908,Tamil,No
OCR-000218,DOC-000218,2943,0.833,0.963,Tamil,No
OCR-000219,DOC-000219,3143,0.897,0.876,Tamil-English,No
OCR-000220,DOC-000220,288,0.869,0.924,Tamil,No
OCR-000221,DOC-000221,2975,0.761,0.879,English,No
OCR-000222,DOC-000222,5006,0.904,0.912,Tamil,No
OCR-000223,DOC-000223,3847,0.812,0.87,Tamil,No
OCR-000224,DOC-000224,2477,0.973,0.927,English,No
OCR-000225,DOC-000225,671,0.818,0.794,Tamil,No
OCR-000226,DOC-000226,2951,0.971,0.894,Tamil-English,No
OCR-000227,DOC-000227,7325,0.952,0.89,Tamil,No
OCR-000228,DOC-000228,3294,0.856,0.883,English,No
OCR-000229,DOC-000229,7759,0.99,0.819,Tamil,No
OCR-000230,DOC-000230,7053,0.925,0.851,Tamil-English,No
OCR-000231,DOC-000231,8265,0.711,0.904,Tamil-English,No
OCR-000232,DOC-000232,6717,0.877,0.912,Tamil,No
OCR-000233,DOC-000233,9273,0.891,0.931,Tamil,Yes
OCR-000234,DOC-000234,4617,0.777,0.939,Tamil,No
OCR-000235,DOC-000235,4761,0.82,0.828,Tamil,No
OCR-000236,DOC-000236,1599,0.777,0.99,Tamil,No
OCR-000237,DOC-000237,3351,0.814,0.927,English,No
OCR-000238,DOC-000238,287,0.927,0.727,Tamil,No
OCR-000239,DOC-000239,6013,0.845,0.91,English,Yes
OCR-000240,DOC-000240,1353,0.868,0.892,English,No
OCR-000241,DOC-000241,2418,0.99,0.792,Tamil,No
OCR-000242,DOC-000242,8410,0.873,0.911,Tamil-English,No
OCR-000243,DOC-000243,3471,0.913,0.94,Tamil-English,No
OCR-000244,DOC-000244,670,0.99,0.963,Tamil,No
OCR-000245,DOC-000245,7630,0.863,0.945,Tamil,No
OCR-000246,DOC-000246,2421,0.767,0.76,Tamil,No
OCR-000247,DOC-000247,8394,0.798,0.99,English,No
OCR-000248,DOC-000248,9247,0.831,0.951,Tamil,No
OCR-000249,DOC-000249,1710,0.827,0.987,Tamil,No
OCR-000250,DOC-000250,4726,0.99,0.984,Tamil-English,No
OCR-000251,DOC-000251,4336,0.869,0.877,Tamil,No
OCR-000252,DOC-000252,4048,0.816,0.869,Tamil,No
OCR-000253,DOC-000253,5744,0.99,0.958,Tamil-English,No
OCR-000254,DOC-000254,3064,0.898,0.902,Tamil,No
OCR-000255,DOC-000255,5696,0.924,0.831,Tamil,Yes
OCR-000256,DOC-000256,9393,0.8,0.805,Tamil-English,No
OCR-000257,DOC-000257,9115,0.82,0.961,Tamil,No
OCR-000258,DOC-000258,926,0.882,0.972,Tamil,No
OCR-000259,DOC-000259,4173,0.86,0.862,Tamil,No
OCR-000260,DOC-000260,3019,0.99,0.898,Tamil-English,No
OCR-000261,DOC-000261,6764,0.809,0.769,English,No
OCR-000262,DOC-000262,4281,0.934,0.847,English,No
OCR-000263,DOC-000263,396,0.838,0.937,Tamil-English,No
OCR-000264,DOC-000264,5468,0.974,0.99,Tamil,No
OCR-000265,DOC-000265,814,0.879,0.926,English,Yes
OCR-000266,DOC-000266,4968,0.96,0.901,Tamil,No
OCR-000267,DOC-000267,8978,0.923,0.99,Tamil,No
OCR-000268,DOC-000268,3472,0.99,0.748,Tamil,No
OCR-000269,DOC-000269,7685,0.931,0.99,Tamil,Yes
OCR-000270,DOC-000270,7199,0.91,0.99,Tamil,No
OCR-000271,DOC-000271,4967,0.972,0.795,Tamil-English,No
OCR-000272,DOC-000272,1949,0.934,0.99,Tamil-English,No
OCR-000273,DOC-000273,8096,0.891,0.906,Tamil,No
OCR-000274,DOC-000274,8725,0.914,0.814,Tamil-English,No
OCR-000275,DOC-000275,5738,0.834,0.921,Tamil,No
OCR-000276,DOC-000276,7450,0.772,0.782,Tamil,No
OCR-000277,DOC-000277,3223,0.95,0.95,Tamil,Yes
OCR-000278,DOC-000278,5535,0.918,0.878,Tamil,No
OCR-000279,DOC-000279,9262,0.757,0.924,Tamil-English,No
OCR-000280,DOC-000280,7721,0.978,0.988,Tamil-English,No
OCR-000281,DOC-000281,7013,0.787,0.87,Tamil-English,No
OCR-000282,DOC-000282,991,0.913,0.99,Tamil,No
OCR-000283,DOC-000283,7752,0.847,0.972,Tamil,No
OCR-000284,DOC-000284,8847,0.931,0.99,Tamil,No
OCR-000285,DOC-000285,8502,0.941,0.757,Tamil,No
OCR-000286,DOC-000286,5563,0.846,0.841,Tamil,Yes
OCR-000287,DOC-000287,4,0.77,0.806,Tamil,No
OCR-000288,DOC-000288,2234,0.725,0.949,Tamil,No
OCR-000289,DOC-000289,6172,0.893,0.9,Tamil,No
OCR-000290,DOC-000290,1937,0.846,0.958,Tamil-English,No
OCR-000291,DOC-000291,7284,0.864,0.814,Tamil,No
OCR-000292,DOC-000292,6922,0.891,0.937,Tamil,No
OCR-000293,DOC-000293,9275,0.868,0.939,Tamil,No
OCR-000294,DOC-000294,6306,0.954,0.99,Tamil-English,No
OCR-000295,DOC-000295,5088,0.874,0.835,English,Yes
OCR-000296,DOC-000296,3919,0.86,0.901,Tamil,No
OCR-000297,DOC-000297,139,0.842,0.859,Tamil,No
OCR-000298,DOC-000298,6863,0.99,0.807,Tamil,No
OCR-000299,DOC-000299,7625,0.898,0.988,Tamil,Yes
OCR-000300,DOC-000300,7566,0.935,0.729,Tamil,No
OCR-000301,DOC-000301,1732,0.99,0.883,Tamil,No
OCR-000302,DOC-000302,4224,0.851,0.931,Tamil-English,No
OCR-000303,DOC-000303,6840,0.855,0.895,Tamil-English,No
OCR-000304,DOC-000304,9046,0.83,0.792,English,No
OCR-000305,DOC-000305,8279,0.874,0.874,Tamil,No
OCR-000306,DOC-000306,743,0.871,0.798,Tamil,No
OCR-000307,DOC-000307,3225,0.953,0.785,Tamil,No
OCR-000308,DOC-000308,7443,0.874,0.948,Tamil-English,No
OCR-000309,DOC-000309,7881,0.866,0.922,Tamil,No
OCR-000310,DOC-000310,6939,0.859,0.944,Tamil,No
OCR-000311,DOC-000311,4895,0.886,0.929,Tamil,No
OCR-000312,DOC-000312,7673,0.77,0.895,Tamil,No
OCR-000313,DOC-000313,3142,0.92,0.844,Tamil,No
OCR-000314,DOC-000314,2646,0.841,0.99,Tamil-English,No
OCR-000315,DOC-000315,1392,0.899,0.99,Tamil,Yes
OCR-000316,DOC-000316,7903,0.9,0.895,Tamil,No
OCR-000317,DOC-000317,6124,0.962,0.99,Tamil,No
OCR-000318,DOC-000318,35,0.786,0.966,Tamil-English,No
OCR-000319,DOC-000319,2347,0.928,0.985,Tamil,No
OCR-000320,DOC-000320,4884,0.942,0.766,Tamil-English,No
OCR-000321,DOC-000321,765,0.902,0.893,Tamil,No
OCR-000322,DOC-000322,5697,0.868,0.99,Tamil,No
OCR-000323,DOC-000323,904,0.853,0.973,Tamil,No
OCR-000324,DOC-000324,5806,0.99,0.99,Tamil-English,No
OCR-000325,DOC-000325,3885,0.829,0.99,English,No
OCR-000326,DOC-000326,6394,0.925,0.846,Tamil,No
OCR-000327,DOC-000327,5904,0.84,0.815,Tamil,No
OCR-000328,DOC-000328,4605,0.969,0.837,English,No
OCR-000329,DOC-000329,3364,0.988,0.931,Tamil,No
OCR-000330,DOC-000330,6987,0.832,0.968,Tamil,No
OCR-000331,DOC-000331,6484,0.922,0.96,Tamil,No
OCR-000332,DOC-000332,6072,0.797,0.974,Tamil,No
OCR-000333,DOC-000333,3613,0.879,0.892,Tamil-English,No
OCR-000334,DOC-000334,13,0.985,0.785,Tamil,No
OCR-000335,DOC-000335,544,0.848,0.99,Tamil,No
OCR-000336,DOC-000336,1781,0.893,0.919,Tamil,No
OCR-000337,DOC-000337,1651,0.878,0.809,Tamil-English,No
OCR-000338,DOC-000338,102,0.99,0.879,Tamil-English,No
OCR-000339,DOC-000339,9157,0.755,0.977,Tamil,No
OCR-000340,DOC-000340,3587,0.904,0.861,English,No
OCR-000341,DOC-000341,87,0.99,0.929,Tamil,No
OCR-000342,DOC-000342,7651,0.809,0.973,English,No
OCR-000343,DOC-000343,3556,0.892,0.927,Tamil-English,No
OCR-000344,DOC-000344,9093,0.926,0.943,Tamil,No
OCR-000345,DOC-000345,3859,0.83,0.825,Tamil,No
OCR-000346,DOC-000346,999,0.906,0.887,Tamil,No
OCR-000347,DOC-000347,8145,0.777,0.846,Tamil,No
OCR-000348,DOC-000348,8874,0.792,0.81,Tamil,No
OCR-000349,DOC-000349,1711,0.84,0.949,Tamil-English,No
OCR-000350,DOC-000350,8175,0.857,0.99,Tamil,No
OCR-000351,DOC-000351,5570,0.862,0.895,Tamil-English,No
OCR-000352,DOC-000352,7906,0.769,0.99,Tamil-English,No
OCR-000353,DOC-000353,643,0.9,0.808,English,No
OCR-000354,DOC-000354,8551,0.796,0.936,Tamil,No
OCR-000355,DOC-000355,8633,0.763,0.866,Tamil-English,No
OCR-000356,DOC-000356,8169,0.938,0.867,Tamil,No
OCR-000357,DOC-000357,3582,0.855,0.941,Tamil,Yes
OCR-000358,DOC-000358,7255,0.794,0.929,Tamil,No
OCR-000359,DOC-000359,3365,0.92,0.857,Tamil-English,No
OCR-000360,DOC-000360,2178,0.958,0.78,Tamil,No
OCR-000361,DOC-000361,1358,0.851,0.92,Tamil,No
OCR-000362,DOC-000362,7738,0.881,0.869,English,Yes
OCR-000363,DOC-000363,9025,0.99,0.757,Tamil,No
OCR-000364,DOC-000364,6337,0.99,0.829,Tamil,No
OCR-000365,DOC-000365,4709,0.853,0.813,Tamil,No
OCR-000366,DOC-000366,7813,0.949,0.934,English,No
OCR-000367,DOC-000367,3779,0.84,0.801,Tamil,No
OCR-000368,DOC-000368,7350,0.793,0.742,Tamil,No
OCR-000369,DOC-000369,2324,0.903,0.786,Tamil,Yes
OCR-000370,DOC-000370,7249,0.788,0.891,Tamil,No
OCR-000371,DOC-000371,3545,0.834,0.99,Tamil,No
OCR-000372,DOC-000372,7209,0.917,0.829,Tamil-English,Yes
OCR-000373,DOC-000373,2573,0.905,0.937,Tamil,No
OCR-000374,DOC-000374,5945,0.85,0.99,Tamil,Yes
OCR-000375,DOC-000375,1209,0.977,0.77,Tamil,No
OCR-000376,DOC-000376,6516,0.789,0.974,Tamil,No
OCR-000377,DOC-000377,6219,0.99,0.862,Tamil,No
OCR-000378,DOC-000378,5006,0.95,0.828,Tamil,No
OCR-000379,DOC-000379,6483,0.952,0.833,Tamil,No
OCR-000380,DOC-000380,8047,0.99,0.917,Tamil,Yes
OCR-000381,DOC-000381,4121,0.798,0.88,Tamil,No
OCR-000382,DOC-000382,7968,0.864,0.878,Tamil,No
OCR-000383,DOC-000383,8785,0.798,0.885,Tamil,No
OCR-000384,DOC-000384,2906,0.947,0.914,Tamil,No
OCR-000385,DOC-000385,4153,0.824,0.99,Tamil-English,No
OCR-000386,DOC-000386,3917,0.795,0.967,Tamil,No
OCR-000387,DOC-000387,778,0.969,0.799,Tamil-English,No
OCR-000388,DOC-000388,7417,0.642,0.957,Tamil,No
OCR-000389,DOC-000389,1310,0.973,0.874,Tamil,No
OCR-000390,DOC-000390,2462,0.769,0.988,Tamil-English,No
OCR-000391,DOC-000391,3494,0.957,0.99,Tamil-English,No
OCR-000392,DOC-000392,1512,0.99,0.777,Tamil,No
OCR-000393,DOC-000393,2248,0.977,0.888,Tamil,No
OCR-000394,DOC-000394,8706,0.779,0.913,Tamil-English,No
OCR-000395,DOC-000395,3842,0.81,0.861,Tamil,No
OCR-000396,DOC-000396,2782,0.852,0.99,Tamil-English,No
OCR-000397,DOC-000397,8324,0.817,0.846,Tamil-English,No
OCR-000398,DOC-000398,378,0.899,0.766,Tamil-English,No
OCR-000399,DOC-000399,5418,0.969,0.99,Tamil,No
OCR-000400,DOC-000400,7257,0.951,0.99,Tamil,No
OCR-000401,DOC-000401,8570,0.757,0.933,Tamil-English,No
OCR-000402,DOC-000402,3576,0.874,0.828,Tamil,Yes
OCR-000403,DOC-000403,5415,0.817,0.937,Tamil,No
OCR-000404,DOC-000404,2061,0.885,0.917,Tamil,Yes
OCR-000405,DOC-000405,7088,0.888,0.876,Tamil,No
OCR-000406,DOC-000406,731,0.972,0.99,English,No
OCR-000407,DOC-000407,4603,0.934,0.99,Tamil-English,No
OCR-000408,DOC-000408,7325,0.773,0.936,Tamil,Yes
OCR-000409,DOC-000409,45,0.825,0.99,Tamil-English,No
OCR-000410,DOC-000410,3607,0.99,0.84,Tamil,No
OCR-000411,DOC-000411,6424,0.99,0.894,Tamil,No
OCR-000412,DOC-000412,785,0.985,0.831,English,Yes
OCR-000413,DOC-000413,4200,0.869,0.869,English,No
OCR-000414,DOC-000414,1612,0.823,0.954,Tamil,No
OCR-000415,DOC-000415,968,0.99,0.99,Tamil,Yes
OCR-000416,DOC-000416,4747,0.834,0.834,Tamil,Yes
OCR-000417,DOC-000417,5159,0.872,0.946,Tamil-English,No
OCR-000418,DOC-000418,2341,0.932,0.823,Tamil,No
OCR-000419,DOC-000419,6477,0.859,0.73,Tamil,No
OCR-000420,DOC-000420,7710,0.806,0.979,Tamil-English,No
OCR-000421,DOC-000421,4839,0.909,0.99,Tamil,No
OCR-000422,DOC-000422,6800,0.848,0.828,Tamil-English,No
OCR-000423,DOC-000423,3303,0.769,0.924,English,No
OCR-000424,DOC-000424,3196,0.829,0.97,English,No
OCR-000425,DOC-000425,6436,0.915,0.86,English,No
OCR-000426,DOC-000426,8138,0.852,0.987,Tamil,No
OCR-000427,DOC-000427,746,0.947,0.968,Tamil,No
OCR-000428,DOC-000428,4304,0.76,0.99,English,No
OCR-000429,DOC-000429,2548,0.987,0.972,Tamil,Yes
OCR-000430,DOC-000430,8072,0.913,0.922,Tamil,No
