risk_id,parcel_id,waterbody_distance_m,flood_risk,environmental_clearance
ENV-000041,PAR-000041,597.3,Medium,Approved
ENV-000042,PAR-000042,198.4,Low,Approved
ENV-000043,PAR-000043,96.1,Low,Not Required
ENV-000044,PAR-000044,54.6,High,Pending
ENV-000045,PAR-000045,40.3,Low,Not Required
ENV-000046,PAR-000046,62.9,Low,Not Required
ENV-000047,PAR-000047,132.6,High,Not Required
ENV-000048,PAR-000048,223.4,Low,Approved
ENV-000049,PAR-000049,156.6,Low,Not Required
ENV-000050,PAR-000050,159.5,Medium,Approved
ENV-000051,PAR-000051,99.0,Medium,Not Required
ENV-000052,PAR-000052,818.3,Medium,Approved
ENV-000053,PAR-000053,54.1,Low,Not Required
ENV-000054,PAR-000054,131.5,Low,Approved
ENV-000055,PAR-000055,122.1,Low,Not Required
ENV-000056,PAR-000056,60.4,Low,Approved
ENV-000057,PAR-000057,100.3,High,Not Required
ENV-000058,PAR-000058,53.5,High,Approved
ENV-000059,PAR-000059,51.6,High,Not Required
ENV-000060,PAR-000060,671.0,Low,Not Required
ENV-000061,PAR-000061,238.3,High,Approved
ENV-000062,PAR-000062,46.0,Medium,Not Required
ENV-000063,PAR-000063,132.5,Medium,Not Required
ENV-000064,PAR-000064,344.5,Low,Not Required
ENV-000065,PAR-000065,39.0,Low,Approved
ENV-000066,PAR-000066,282.2,Low,Approved
ENV-000067,PAR-000067,112.2,Low,Not Required
ENV-000068,PAR-000068,208.4,Low,Not Required
ENV-000069,PAR-000069,255.3,Low,Not Required
ENV-000070,PAR-000070,84.3,Medium,Approved
ENV-000071,PAR-000071,97.4,Low,Not Required
ENV-000072,PAR-000072,505.8,Low,Not Required
ENV-000073,PAR-000073,64.0,Low,Not Required
ENV-000074,PAR-000074,500.0,Low,Approved
ENV-000075,PAR-000075,414.7,Low,Not Required
ENV-000076,PAR-000076,310.3,Medium,Approved
ENV-000077,PAR-000077,79.8,Low,Not Required
ENV-000078,PAR-000078,49.6,Medium,Not Required
ENV-000079,PAR-000079,107.2,High,Not Required
ENV-000080,PAR-000080,222.3,High,Not Required
ENV-000081,PAR-000081,121.5,Low,Not Required
ENV-000082,PAR-000082,135.1,Low,Approved
ENV-000083,PAR-000083,63.7,Low,Pending
ENV-000084,PAR-000084,221.7,Low,Not Required
ENV-000085,PAR-000085,239.4,Medium,Not Required
ENV-000086,PAR-000086,103.6,Medium,Not Required
ENV-000087,PAR-000087,295.9,Low,Approved
ENV-000088,PAR-000088,1095.9,Medium,Not Required
ENV-000089,PAR-000089,104.9,Low,Not Required
ENV-000090,PAR-000090,232.7,Low,Approved
ENV-000091,PAR-000091,224.4,High,Pending
ENV-000092,PAR-000092,103.9,Low,Not Required
ENV-000093,PAR-000093,17.9,Low,Approved
ENV-000094,PAR-000094,61.7,Medium,Not Required
ENV-000095,PAR-000095,57.2,High,Pending
ENV-000096,PAR-000096,36.6,Low,Not Required
ENV-000097,PAR-000097,258.1,Medium,Approved
ENV-000098,PAR-000098,28.7,High,Not Required
ENV-000099,PAR-000099,334.3,Low,Not Required
ENV-000100,PAR-000100,48.5,Low,Not Required
ENV-000101,PAR-000101,267.8,Low,Approved
ENV-000102,PAR-000102,95.8,Low,Not Required
ENV-000103,PAR-000103,229.0,Medium,Pending
ENV-000104,PAR-000104,220.2,Low,Not Required
ENV-000105,PAR-000105,359.2,Medium,Approved
ENV-000106,PAR-000106,130.4,Medium,Approved
ENV-000107,PAR-000107,138.3,Low,Not Required
ENV-000108,PAR-000108,198.5,High,Not Required
ENV-000109,PAR-000109,290.6,High,Not Required
ENV-000110,PAR-000110,350.1,Low,Approved
ENV-000111,PAR-000111,13.5,Low,Not Required
ENV-000112,PAR-000112,215.9,Low,Not Required
ENV-000113,PAR-000113,85.1,Low,Pending
ENV-000114,PAR-000114,206.3,Medium,Not Required
ENV-000115,PAR-000115,196.6,Low,Not Required
ENV-000116,PAR-000116,303.6,High,Not Required
ENV-000117,PAR-000117,254.5,Medium,Not Required
ENV-000118,PAR-000118,204.3,Medium,Not Required
ENV-000119,PAR-000119,57.2,Low,Approved
ENV-000120,PAR-000120,61.2,Medium,Approved
ENV-000121,PAR-000121,392.2,Low,Approved
ENV-000122,PAR-000122,400.9,Low,Not Required
ENV-000123,PAR-000123,183.8,Low,Not Required
ENV-000124,PAR-000124,308.0,Low,Pending
ENV-000125,PAR-000125,144.7,Medium,Approved
ENV-000126,PAR-000126,176.0,Low,Approved
ENV-000127,PAR-000127,114.3,Medium,Pending
ENV-000128,PAR-000128,286.1,Low,Approved
ENV-000129,PAR-000129,163.7,High,Approved
ENV-000130,PAR-000130,53.8,Low,Approved
ENV-000131,PAR-000131,247.0,Medium,Not Required
ENV-000132,PAR-000132,62.6,Medium,Pending
ENV-000133,PAR-000133,133.4,Low,Not Required
ENV-000134,PAR-000134,121.6,Low,Pending
ENV-000135,PAR-000135,126.0,Low,Not Required
ENV-000136,PAR-000136,295.6,High,Not Required
ENV-000137,PAR-000137,274.9,Low,Approved
ENV-000138,PAR-000138,621.5,Low,Not Required
ENV-000139,PAR-000139,110.9,Medium,Pending
ENV-000140,PAR-000140,945.1,Medium,Not Required
ENV-000141,PAR-000141,76.7,Low,Not Required
ENV-000142,PAR-000142,19.7,High,Not Required
ENV-000143,PAR-000143,624.3,Medium,Not Required
ENV-000144,PAR-000144,253.8,Low,Pending
ENV-000145,PAR-000145,615.8,Medium,Not Required
ENV-000146,PAR-000146,98.2,High,Pending
ENV-000147,PAR-000147,62.5,Low,Pending
ENV-000148,PAR-000148,40.7,Low,Not Required
ENV-000149,PAR-000149,59.4,Low,Not Required
ENV-000150,PAR-000150,229.4,Low,Approved
ENV-000151,PAR-000151,275.4,Low,Not Required
ENV-000152,PAR-000152,122.9,Low,Approved
ENV-000153,PAR-000153,42.2,Medium,Approved
ENV-000154,PAR-000154,54.7,High,Not Required
ENV-000155,PAR-000155,137.9,Low,Not Required
ENV-000156,PAR-000156,104.6,Low,Not Required
ENV-000157,PAR-000157,198.4,Medium,Pending
ENV-000158,PAR-000158,97.8,Low,Not Required
ENV-000159,PAR-000159,65.3,Low,Approved
ENV-000160,PAR-000160,117.5,Medium,Pending
ENV-000161,PAR-000161,237.3,Medium,Approved
ENV-000162,PAR-000162,215.0,Medium,Approved
ENV-000163,PAR-000163,199.7,Low,Approved
ENV-000164,PAR-000164,703.4,Medium,Approved
ENV-000165,PAR-000165,40.4,High,Not Required
ENV-000166,PAR-000166,77.3,Low,Pending
ENV-000167,PAR-000167,64.1,Low,Not Required
ENV-000168,PAR-000168,981.7,Medium,Not Required
ENV-000169,PAR-000169,331.4,Low,Approved
ENV-000170,PAR-000170,945.7,Low,Not Required
ENV-000171,PAR-000171,151.0,Medium,Approved
ENV-000172,PAR-000172,186.3,Medium,Not Required
ENV-000173,PAR-000173,40.2,Medium,Approved
ENV-000174,PAR-000174,393.9,Low,Not Required
ENV-000175,PAR-000175,63.0,Low,Approved
ENV-000176,PAR-000176,249.3,Low,Not Required
ENV-000177,PAR-000177,96.6,High,Not Required
ENV-000178,PAR-000178,29.9,Low,Approved
ENV-000179,PAR-000179,228.1,Medium,Not Required
ENV-000180,PAR-000180,194.2,Low,Not Required
ENV-000181,PAR-000181,903.5,Low,Not Required
ENV-000182,PAR-000182,100.1,Low,Approved
ENV-000183,PAR-000183,188.5,High,Pending
ENV-000184,PAR-000184,101.9,Low,Not Required
ENV-000185,PAR-000185,13.3,Low,Not Required
ENV-000186,PAR-000186,101.7,High,Not Required
ENV-000187,PAR-000187,291.1,Low,Approved
ENV-000188,PAR-000188,48.8,Medium,Not Required
ENV-000189,PAR-000189,70.2,Low,Approved
ENV-000190,PAR-000190,119.3,Low,Pending
ENV-000191,PAR-000191,65.7,High,Not Required
ENV-000192,PAR-000192,461.1,Medium,Approved
ENV-000193,PAR-000193,88.4,Low,Approved
ENV-000194,PAR-000194,30.9,Medium,Not Required
ENV-000195,PAR-000195,87.0,Low,Pending
ENV-000196,PAR-000196,90.5,Low,Approved
ENV-000197,PAR-000197,38.7,Low,Pending
ENV-000198,PAR-000198,196.4,High,Approved
ENV-000199,PAR-000199,190.9,Low,Pending
ENV-000200,PAR-000200,75.8,Medium,Not Required
ENV-000201,PAR-000201,37.3,Low,Approved
ENV-000202,PAR-000202,116.3,Low,Not Required
ENV-000203,PAR-000203,164.2,Low,Pending
ENV-000204,PAR-000204,92.5,Low,Not Required
ENV-000205,PAR-000205,624.5,Low,Approved
ENV-000206,PAR-000206,200.3,Low,Pending
ENV-000207,PAR-000207,239.1,Medium,Approved
ENV-000208,PAR-000208,51.0,Medium,Approved
ENV-000209,PAR-000209,306.2,Low,Not Required
ENV-000210,PAR-000210,321.8,Low,Not Required
ENV-000211,PAR-000211,108.5,Medium,Pending
ENV-000212,PAR-000212,475.4,Low,Not Required
ENV-000213,PAR-000213,821.1,Medium,Not Required
ENV-000214,PAR-000214,94.2,Low,Pending
ENV-000215,PAR-000215,183.5,Low,Not Required
ENV-000216,PAR-000216,59.7,Medium,Not Required
ENV-000217,PAR-000217,1574.5,Low,Approved
ENV-000218,PAR-000218,36.7,Low,Not Required
ENV-000219,PAR-000219,345.7,Low,Approved
ENV-000220,PAR-000220,73.2,High,Not Required
ENV-000221,PAR-000221,173.5,Low,Approved
ENV-000222,PAR-000222,308.5,Medium,Not Required
ENV-000223,PAR-000223,64.9,Low,Not Required
ENV-000224,PAR-000224,47.0,Low,Not Required
ENV-000225,PAR-000225,66.9,Medium,Approved
ENV-000226,PAR-000226,1666.2,Low,Approved
ENV-000227,PAR-000227,133.6,Medium,Approved
ENV-000228,PAR-000228,36.3,Low,Pending
ENV-000229,PAR-000229,16.2,Low,Not Required
ENV-000230,PAR-000230,52.9,Low,Approved
ENV-000231,PAR-000231,17.9,Low,Not Required
ENV-000232,PAR-000232,110.7,Low,Approved
ENV-000233,PAR-000233,287.2,Medium,Not Required
ENV-000234,PAR-000234,50.0,Low,Approved
ENV-000235,PAR-000235,768.2,High,Approved
ENV-000236,PAR-000236,137.7,Low,Not Required
ENV-000237,PAR-000237,197.3,Low,Not Required
ENV-000238,PAR-000238,42.4,Low,Not Required
ENV-000239,PAR-000239,287.6,Low,Approved
ENV-000240,PAR-000240,154.2,Medium,Not Required
ENV-000241,PAR-000241,155.1,Low,Pending
ENV-000242,PAR-000242,710.7,Low,Pending
ENV-000243,PAR-000243,105.5,Low,Not Required
ENV-000244,PAR-000244,283.7,Low,Not Required
ENV-000245,PAR-000245,703.5,Low,Not Required
ENV-000246,PAR-000246,65.5,Low,Not Required
ENV-000247,PAR-000247,213.9,Low,Pending
ENV-000248,PAR-000248,56.6,Low,Not Required
ENV-000249,PAR-000249,225.8,Low,Not Required
ENV-000250,PAR-000250,72.8,Low,Not Required
ENV-000251,PAR-000251,326.3,Low,Pending
ENV-000252,PAR-000252,112.1,Medium,Approved
ENV-000253,PAR-000253,91.7,Low,Not Required
ENV-000254,PAR-000254,83.1,Low,Not Required
ENV-000255,PAR-000255,133.4,Low,Approved
ENV-000256,PAR-000256,208.6,Low,Approved
ENV-000257,PAR-000257,165.4,High,Approved
ENV-000258,PAR-000258,26.2,Low,Not Required
ENV-000259,PAR-000259,165.6,Low,Not Required
ENV-000260,PAR-000260,652.7,Low,Approved
ENV-000261,PAR-000261,86.7,Medium,Pending
ENV-000262,PAR-000262,556.0,Low,Approved
ENV-000263,PAR-000263,37.4,High,Approved
ENV-000264,PAR-000264,152.0,Low,Not Required
ENV-000265,PAR-000265,66.5,High,Not Required
ENV-000266,PAR-000266,158.9,Low,Not Required
ENV-000267,PAR-000267,753.9,Low,Not Required
ENV-000268,PAR-000268,36.6,Medium,Not Required
ENV-000269,PAR-000269,292.9,Low,Not Required
ENV-000270,PAR-000270,78.7,Medium,Not Required
ENV-000271,PAR-000271,77.1,High,Not Required
ENV-000272,PAR-000272,293.9,Low,Not Required
ENV-000273,PAR-000273,126.0,Low,Pending
ENV-000274,PAR-000274,123.5,Medium,Approved
ENV-000275,PAR-000275,65.0,Low,Pending
ENV-000276,PAR-000276,226.2,Low,Not Required
ENV-000277,PAR-000277,566.1,High,Not Required
ENV-000278,PAR-000278,50.7,Low,Not Required
ENV-000279,PAR-000279,114.6,Low,Not Required
ENV-000280,PAR-000280,362.5,Low,Not Required
ENV-000281,PAR-000281,37.1,Low,Approved
ENV-000282,PAR-000282,56.1,Low,Pending
ENV-000283,PAR-000283,213.4,Low,Approved
ENV-000284,PAR-000284,65.2,Low,Not Required
ENV-000285,PAR-000285,49.7,Low,Not Required
ENV-000286,PAR-000286,97.4,Medium,Not Required
ENV-000287,PAR-000287,52.5,Low,Not Required
ENV-000288,PAR-000288,61.9,Low,Approved
ENV-000289,PAR-000289,473.2,High,Not Required
ENV-000290,PAR-000290,81.6,High,Approved
ENV-000291,PAR-000291,275.9,Low,Not Required
ENV-000292,PAR-000292,297.8,Low,Pending
ENV-000293,PAR-000293,41.4,Medium,Not Required
ENV-000294,PAR-000294,118.6,Low,Approved
ENV-000295,PAR-000295,86.2,Medium,Not Required
ENV-000296,PAR-000296,114.5,Low,Not Required
ENV-000297,PAR-000297,738.5,Low,Not Required
ENV-000298,PAR-000298,290.8,High,Not Required
ENV-000299,PAR-000299,132.3,Low,Pending
ENV-000300,PAR-000300,130.6,Medium,Not Required
ENV-000301,PAR-000301,73.0,Low,Not Required
ENV-000302,PAR-000302,71.6,Low,Pending
ENV-000303,PAR-000303,230.0,Low,Pending
ENV-000304,PAR-000304,99.4,Medium,Not Required
ENV-000305,PAR-000305,119.7,High,Not Required
ENV-000306,PAR-000306,38.9,High,Approved
ENV-000307,PAR-000307,445.9,Low,Not Required
ENV-000308,PAR-000308,684.4,High,Not Required
ENV-000309,PAR-000309,27.3,High,Not Required
ENV-000310,PAR-000310,46.7,Low,Not Required
ENV-000311,PAR-000311,135.8,High,Not Required
ENV-000312,PAR-000312,344.9,Low,Pending
ENV-000313,PAR-000313,1385.2,Medium,Approved
ENV-000314,PAR-000314,155.0,Low,Not Required
ENV-000315,PAR-000315,148.0,High,Not Required
ENV-000316,PAR-000316,133.7,Medium,Not Required
ENV-000317,PAR-000317,53.2,Low,Not Required
ENV-000318,PAR-000318,22.3,High,Not Required
ENV-000319,PAR-000319,144.2,Medium,Not Required
ENV-000320,PAR-000320,770.9,Low,Approved
ENV-000321,PAR-000321,152.3,Low,Not Required
ENV-000322,PAR-000322,156.0,Low,Not Required
ENV-000323,PAR-000323,553.2,Low,Not Required
ENV-000324,PAR-000324,601.0,Low,Approved
ENV-000325,PAR-000325,138.1,Low,Not Required
ENV-000326,PAR-000326,375.3,Low,Not Required
ENV-000327,PAR-000327,422.3,High,Approved
ENV-000328,PAR-000328,181.1,Medium,Not Required
ENV-000329,PAR-000329,255.8,High,Approved
ENV-000330,PAR-000330,55.0,Low,Not Required
ENV-000331,PAR-000331,231.8,Low,Approved
ENV-000332,PAR-000332,209.6,High,Not Required
ENV-000333,PAR-000333,341.1,Medium,Not Required
ENV-000334,PAR-000334,686.8,Medium,Not Required
ENV-000335,PAR-000335,135.0,Low,Approved
ENV-000336,PAR-000336,36.7,Low,Not Required
ENV-000337,PAR-000337,75.9,Low,Not Required
ENV-000338,PAR-000338,48.8,Low,Approved
ENV-000339,PAR-000339,257.7,Low,Approved
ENV-000340,PAR-000340,125.0,Low,Approved
ENV-000341,PAR-000341,312.0,Low,Not Required
ENV-000342,PAR-000342,296.1,Low,Not Required
ENV-000343,PAR-000343,1837.9,Medium,Not Required
ENV-000344,PAR-000344,188.0,Low,Pending
ENV-000345,PAR-000345,114.8,Low,Approved
ENV-000346,PAR-000346,386.5,Low,Approved
ENV-000347,PAR-000347,196.1,Medium,Pending
ENV-000348,PAR-000348,39.9,Low,Not Required
ENV-000349,PAR-000349,36.9,Low,Not Required
ENV-000350,PAR-000350,68.7,Low,Pending
ENV-000351,PAR-000351,326.9,Low,Not Required
ENV-000352,PAR-000352,15.7,High,Approved
ENV-000353,PAR-000353,994.1,High,Not Required
ENV-000354,PAR-000354,58.4,Medium,Pending
ENV-000355,PAR-000355,1790.2,Low,Approved
ENV-000356,PAR-000356,149.2,Medium,Not Required
ENV-000357,PAR-000357,28.1,Low,Not Required
ENV-000358,PAR-000358,138.6,Low,Not Required
ENV-000359,PAR-000359,249.6,Low,Not Required
ENV-000360,PAR-000360,58.3,Low,Pending
ENV-000361,PAR-000361,91.0,Low,Not Required
ENV-000362,PAR-000362,59.6,Low,Approved
ENV-000363,PAR-000363,16.0,Medium,Not Required
ENV-000364,PAR-000364,242.0,Medium,Not Required
ENV-000365,PAR-000365,35.8,Medium,Pending
ENV-000366,PAR-000366,135.4,Low,Not Required
ENV-000367,PAR-000367,26.3,Low,Not Required
ENV-000368,PAR-000368,971.0,Medium,Approved
ENV-000369,PAR-000369,357.2,Low,Pending
ENV-000370,PAR-000370,66.1,Low,Approved
ENV-000371,PAR-000371,97.8,High,Pending
ENV-000372,PAR-000372,223.7,Low,Not Required
ENV-000373,PAR-000373,323.5,Low,Pending
ENV-000374,PAR-000374,63.9,Medium,Not Required
ENV-000375,PAR-000375,16.1,High,Pending
ENV-000376,PAR-000376,234.7,Low,Not Required
ENV-000377,PAR-000377,172.5,Low,Not Required
ENV-000378,PAR-000378,144.1,High,Not Required
ENV-000379,PAR-000379,434.4,Medium,Pending
ENV-000380,PAR-000380,65.3,Low,Approved
ENV-000381,PAR-000381,137.4,Low,Approved
ENV-000382,PAR-000382,26.5,Low,Not Required
ENV-000383,PAR-000383,130.9,Medium,Approved
ENV-000384,PAR-000384,45.0,Low,Approved
ENV-000385,PAR-000385,91.6,Low,Not Required
ENV-000386,PAR-000386,130.3,Medium,Approved
ENV-000387,PAR-000387,51.8,Medium,Approved
ENV-000388,PAR-000388,134.9,Low,Not Required
ENV-000389,PAR-000389,50.6,Low,Not Required
ENV-000390,PAR-000390,78.3,High,Pending
ENV-000391,PAR-000391,43.0,Low,Not Required
ENV-000392,PAR-000392,131.4,High,Not Required
ENV-000393,PAR-000393,147.9,Medium,Approved
ENV-000394,PAR-000394,110.2,Medium,Approved
ENV-000395,PAR-000395,139.0,High,Not Required
ENV-000396,PAR-000396,88.6,Low,Approved
ENV-000397,PAR-000397,55.2,Medium,Approved
ENV-000398,PAR-000398,379.1,Medium,Not Required
ENV-000399,PAR-000399,143.7,Low,Not Required
ENV-000400,PAR-000400,25.2,High,Not Required
ENV-000401,PAR-000401,95.2,Low,Not Required
ENV-000402,PAR-000402,57.8,High,Approved
ENV-000403,PAR-000403,25.1,Low,Not Required
ENV-000404,PAR-000404,188.7,Medium,Approved
ENV-000405,PAR-000405,118.0,High,Not Required
ENV-000406,PAR-000406,239.7,Low,Approved
ENV-000407,PAR-000407,497.0,High,Approved
ENV-000408,PAR-000408,969.1,Medium,Not Required
ENV-000409,PAR-000409,306.0,Low,Approved
ENV-000410,PAR-000410,1861.4,Low,Approved
ENV-000411,PAR-000411,164.7,Low,Not Required
ENV-000412,PAR-000412,181.0,Low,Not Required
ENV-000413,PAR-000413,66.2,Low,Not Required
ENV-000414,PAR-000414,587.4,Low,Approved
ENV-000415,PAR-000415,84.1,Medium,Not Required
ENV-000416,PAR-000416,66.3,Low,Approved
ENV-000417,PAR-000417,53.3,Low,Not Required
ENV-000418,PAR-000418,85.3,High,Pending
ENV-000419,PAR-000419,262.5,Low,Not Required
ENV-000420,PAR-000420,172.1,High,Pending
ENV-000421,PAR-000421,280.8,Low,Not Required
ENV-000422,PAR-000422,156.1,Medium,Not Required
ENV-000423,PAR-000423,420.7,Medium,Not Required
ENV-000424,PAR-000424,859.4,Low,Pending
ENV-000425,PAR-000425,135.8,Low,Not Required
ENV-000426,PAR-000426,88.5,High,Not Required
ENV-000427,PAR-000427,176.1,Low,Not Required
ENV-000428,PAR-000428,56.5,Low,Not Required
ENV-000429,PAR-000429,122.4,Low,Pending
ENV-000430,PAR-000430,154.2,Medium,Approved
ENV-000431,PAR-000431,54.9,Medium,Approved
ENV-000432,PAR-000432,256.9,Low,Not Required
ENV-000433,PAR-000433,607.8,Medium,Not Required
ENV-000434,PAR-000434,108.9,Low,Pending
ENV-000435,PAR-000435,531.6,Medium,Pending
ENV-000436,PAR-000436,158.6,Low,Approved
ENV-000437,PAR-000437,2557.8,Low,Pending
ENV-000438,PAR-000438,195.4,Low,Approved
ENV-000439,PAR-000439,205.7,Medium,Approved
ENV-000440,PAR-000440,325.6,Low,Not Required
ENV-000441,PAR-000441,853.5,Medium,Approved
ENV-000442,PAR-000442,73.9,Low,Not Required
ENV-000443,PAR-000443,451.2,Low,Not Required
ENV-000444,PAR-000444,413.4,Low,Not Required
ENV-000445,PAR-000445,285.3,Low,Not Required
ENV-000446,PAR-000446,73.6,Low,Not Required
ENV-000447,PAR-000447,158.8,High,Approved
ENV-000448,PAR-000448,494.1,Low,Approved
ENV-000449,PAR-000449,163.1,Medium,Not Required
ENV-000450,PAR-000450,55.7,Low,Not Required
ENV-000451,PAR-000451,52.5,High,Not Required
ENV-000452,PAR-000452,373.2,Low,Pending
ENV-000453,PAR-000453,54.5,High,Not Required
ENV-000454,PAR-000454,83.8,High,Approved
ENV-000455,PAR-000455,126.9,Medium,Approved
ENV-000456,PAR-000456,60.6,Low,Approved
ENV-000457,PAR-000457,91.0,Low,Approved
ENV-000458,PAR-000458,131.2,Medium,Pending
ENV-000459,PAR-000459,359.3,Medium,Approved
ENV-000460,PAR-000460,39.4,Low,Not Required
ENV-000461,PAR-000461,211.4,Low,Approved
ENV-000462,PAR-000462,467.0,Low,Not Required
ENV-000463,PAR-000463,87.3,Low,Not Required
ENV-000464,PAR-000464,100.7,Low,Approved
ENV-000465,PAR-000465,147.0,Low,Pending
ENV-000466,PAR-000466,147.6,High,Not Required
ENV-000467,PAR-000467,80.9,Low,Approved
ENV-000468,PAR-000468,225.0,Low,Approved
ENV-000469,PAR-000469,709.4,High,Not Required
ENV-000470,PAR-000470,119.2,Low,Not Required
ENV-000471,PAR-000471,108.0,Medium,Not Required
ENV-000472,PAR-000472,61.1,Medium,Pending
ENV-000473,PAR-000473,494.2,High,Not Required
ENV-000474,PAR-000474,190.2,Low,Not Required
ENV-000475,PAR-000475,243.6,Low,Not Required
ENV-000476,PAR-000476,25.4,Low,Approved
ENV-000477,PAR-000477,112.9,Low,Approved
ENV-000478,PAR-000478,268.8,Low,Not Required
ENV-000479,PAR-000479,54.6,Low,Approved
ENV-000480,PAR-000480,217.7,Low,Not Required
ENV-000481,PAR-000481,80.3,Low,Not Required
ENV-000482,PAR-000482,221.0,Medium,Not Required
ENV-000483,PAR-000483,26.9,Low,Not Required
ENV-000484,PAR-000484,469.7,Medium,Not Required
ENV-000485,PAR-000485,608.9,Low,Approved
ENV-000486,PAR-000486,145.6,Medium,Approved
ENV-000487,PAR-000487,428.5,Low,Not Required
ENV-000488,PAR-000488,787.3,Low,Pending
ENV-000489,PAR-000489,29.3,Low,Not Required
ENV-000490,PAR-000490,84.1,Low,Not Required
ENV-000491,PAR-000491,534.7,Low,Approved
ENV-000492,PAR-000492,411.2,Low,Approved
ENV-000493,PAR-000493,91.8,Low,Not Required
ENV-000494,PAR-000494,1292.6,High,Approved
ENV-000495,PAR-000495,47.4,High,Not Required
ENV-000496,PAR-000496,36.0,Low,Not Required
ENV-000497,PAR-000497,54.7,Medium,Approved
ENV-000498,PAR-000498,44.2,High,Approved
ENV-000499,PAR-000499,147.9,Low,Approved
ENV-000500,PAR-000500,336.7,Low,Pending
ENV-000501,PAR-000501,77.5,High,Not Required
ENV-000502,PAR-000502,24.0,High,Not Required
ENV-000503,PAR-000503,1320.6,Medium,Not Required
ENV-000504,PAR-000504,177.1,Low,Not Required
ENV-000505,PAR-000505,115.1,Low,Not Required
ENV-000506,PAR-000506,78.5,Low,Approved
ENV-000507,PAR-000507,38.0,Low,Not Required
ENV-000508,PAR-000508,273.7,Low,Not Required
ENV-000509,PAR-000509,173.6,Medium,Not Required
ENV-000510,PAR-000510,68.0,Low,Not Required
ENV-000511,PAR-000511,46.6,Medium,Not Required
ENV-000512,PAR-000512,72.1,Low,Approved
ENV-000513,PAR-000513,760.6,Low,Not Required
ENV-000514,PAR-000514,94.1,Medium,Not Required
ENV-000515,PAR-000515,29.0,Low,Approved
ENV-000516,PAR-000516,19.7,Low,Approved
ENV-000517,PAR-000517,31.8,Low,Pending
ENV-000518,PAR-000518,153.6,Medium,Pending
ENV-000519,PAR-000519,349.1,High,Not Required
ENV-000520,PAR-000520,112.4,Low,Not Required
ENV-000521,PAR-000521,324.3,Medium,Approved
ENV-000522,PAR-000522,348.8,Low,Approved
ENV-000523,PAR-000523,94.6,Low,Pending
ENV-000524,PAR-000524,177.6,Medium,Not Required
ENV-000525,PAR-000525,57.6,Low,Not Required
ENV-000526,PAR-000526,34.8,Low,Not Required
ENV-000527,PAR-000527,25.3,Low,Not Required
ENV-000528,PAR-000528,51.7,Low,Approved
ENV-000529,PAR-000529,28.7,Low,Not Required
ENV-000530,PAR-000530,90.7,Medium,Approved
ENV-000531,PAR-000531,258.8,Low,Not Required
ENV-000532,PAR-000532,573.1,High,Not Required
ENV-000533,PAR-000533,479.2,Low,Not Required
ENV-000534,PAR-000534,405.4,Medium,Approved
ENV-000535,PAR-000535,1036.7,Medium,Not Required
ENV-000536,PAR-000536,257.7,Low,Pending
ENV-000537,PAR-000537,112.2,Medium,Not Required
ENV-000538,PAR-000538,104.8,Low,Not Required
ENV-000539,PAR-000539,113.3,Low,Not Required
ENV-000540,PAR-000540,111.2,Low,Approved
ENV-000541,PAR-000541,100.3,Medium,Pending
ENV-000542,PAR-000542,179.9,Medium,Approved
