project_id,project_name,project_type,district,taluk,total_land_required,affected_parcels,affected_families,project_start_date,expected_completion_date
PRJ-04515,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Madukkarai,0.94,4,3,2024-01-31,2026-05-31
PRJ-00659,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Pollachi,1.98,7,4,2023-03-22,2025-06-11
PRJ-01550,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Pollachi,1.05,7,5,2024-08-10,2025-10-13
PRJ-02552,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Sulur,0.79,7,4,2023-10-18,2026-01-30
PRJ-04529,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Coimbatore North,2.66,6,3,2025-06-01,2027-10-29
PRJ-04948,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Coimbatore South,0.95,6,2,2026-02-04,2027-10-29
PRJ-01656,Coimbatore Road Corridor Project,Road,Coimbatore,Annur,1.27,8,6,2024-04-06,2024-11-01
PRJ-01509,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Coimbatore North,1.96,5,3,2022-07-21,2024-05-08
PRJ-03519,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Coimbatore South,1.35,5,3,2023-06-12,2024-01-22
PRJ-00013,Coimbatore Rail Corridor Project,Rail,Coimbatore,Coimbatore North,2.42,10,2,2025-05-15,2027-07-02
PRJ-02571,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Pollachi,0.43,3,1,2024-03-31,2025-06-18
PRJ-04349,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Pollachi,2.13,2,7,2022-01-15,2022-08-30
PRJ-00956,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Madukkarai,6.86,9,5,2023-12-28,2025-06-14
PRJ-00117,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Madukkarai,10.51,4,5,2022-03-19,2023-07-07
PRJ-04351,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore South,2.9,7,4,2023-10-09,2026-01-04
PRJ-04931,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Sulur,0.66,3,4,2025-04-27,2027-09-06
PRJ-00968,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Coimbatore South,1.03,8,10,2024-07-26,2026-03-05
PRJ-01259,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Annur,0.99,5,5,2025-10-03,2028-01-26
PRJ-01857,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Madukkarai,1.3,6,7,2022-12-26,2025-03-25
PRJ-03471,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Madukkarai,0.59,6,7,2026-03-16,2027-11-10
PRJ-02722,Coimbatore Road Corridor Project,Road,Coimbatore,Annur,0.92,4,4,2023-07-21,2025-04-23
PRJ-04802,Coimbatore Road Corridor Project,Road,Coimbatore,Madukkarai,0.18,5,4,2025-01-21,2026-11-20
PRJ-00410,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore South,0.86,5,5,2024-05-07,2025-07-01
PRJ-00408,Coimbatore Road Corridor Project,Road,Coimbatore,Pollachi,2.11,5,3,2025-06-07,2027-10-03
PRJ-04038,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Pollachi,1.57,5,4,2022-03-26,2023-09-15
PRJ-04420,Coimbatore Road Corridor Project,Road,Coimbatore,Kinathukadavu,0.65,8,4,2025-06-24,2027-06-09
PRJ-03723,Coimbatore Road Corridor Project,Road,Coimbatore,Pollachi,0.76,7,6,2026-03-12,2027-03-26
PRJ-02963,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Madukkarai,0.76,4,3,2022-11-02,2024-01-05
PRJ-01806,Coimbatore Road Corridor Project,Road,Coimbatore,Kinathukadavu,0.55,7,7,2023-01-30,2023-12-23
PRJ-00820,Coimbatore Road Corridor Project,Road,Coimbatore,Annur,1.64,7,2,2022-12-07,2024-08-06
PRJ-02500,Coimbatore Road Corridor Project,Road,Coimbatore,Kinathukadavu,0.63,4,4,2025-02-25,2026-02-13
PRJ-00047,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Coimbatore North,1.19,8,6,2022-06-09,2024-01-28
PRJ-03928,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Kinathukadavu,0.78,5,1,2025-10-14,2027-09-11
PRJ-04413,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Mettupalayam,2.46,4,2,2024-06-15,2025-04-04
PRJ-03966,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore South,3.48,5,6,2023-07-11,2025-01-27
PRJ-03783,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Kinathukadavu,4.22,6,6,2025-04-07,2027-08-15
PRJ-02071,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Sulur,7.52,7,3,2024-10-19,2025-11-13
PRJ-00121,Coimbatore Road Corridor Project,Road,Coimbatore,Mettupalayam,1.1,2,3,2026-02-14,2027-12-13
PRJ-04700,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Mettupalayam,8.55,6,5,2026-03-21,2028-03-21
PRJ-03565,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Coimbatore South,1.16,8,6,2025-04-26,2027-04-02
PRJ-03350,Coimbatore Road Corridor Project,Road,Coimbatore,Pollachi,1.12,5,5,2025-09-07,2026-12-07
PRJ-00147,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Pollachi,1.33,7,7,2023-09-15,2024-08-12
PRJ-02660,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Coimbatore South,0.44,8,5,2026-02-27,2027-06-13
PRJ-01864,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Madukkarai,0.96,1,2,2025-09-19,2026-11-10
PRJ-03686,Coimbatore Road Corridor Project,Road,Coimbatore,Pollachi,0.28,4,5,2025-03-07,2026-01-04
PRJ-02172,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore North,2.22,2,2,2024-01-18,2024-07-25
PRJ-04680,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Annur,0.62,10,4,2022-06-24,2023-09-07
PRJ-02050,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore North,0.96,4,9,2023-09-26,2025-06-13
PRJ-02802,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Mettupalayam,1.18,5,5,2025-02-19,2025-10-11
PRJ-02479,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Mettupalayam,3.14,12,6,2026-01-25,2028-05-10
PRJ-01712,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore North,0.18,6,2,2025-02-01,2026-04-29
PRJ-01340,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore South,3.62,9,5,2022-06-13,2024-01-31
PRJ-03519,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Coimbatore South,3.7,6,8,2024-04-17,2026-02-07
PRJ-01645,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Annur,0.74,4,2,2024-03-18,2026-01-04
PRJ-02849,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Sulur,1.26,7,4,2024-08-10,2026-02-04
PRJ-03824,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Sulur,1.2,3,4,2025-03-11,2027-04-23
PRJ-00512,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Pollachi,0.4,6,6,2022-12-18,2023-07-29
PRJ-04561,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Coimbatore South,0.85,1,4,2023-10-09,2024-06-20
PRJ-04797,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Sulur,1.8,5,9,2023-04-26,2023-11-09
PRJ-02034,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Pollachi,1.33,5,7,2023-01-24,2024-05-12
PRJ-00257,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Mettupalayam,0.79,7,4,2024-12-11,2027-02-28
PRJ-01799,Coimbatore Road Corridor Project,Road,Coimbatore,Madukkarai,9.19,6,5,2024-06-26,2026-10-01
PRJ-04788,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Mettupalayam,1.38,4,5,2023-01-16,2025-01-19
PRJ-05000,Coimbatore Road Corridor Project,Road,Coimbatore,Sulur,3.17,4,5,2022-09-06,2024-09-12
PRJ-04508,Coimbatore Road Corridor Project,Road,Coimbatore,Annur,1.6,4,4,2024-09-11,2026-08-20
PRJ-03416,Coimbatore Rail Corridor Project,Rail,Coimbatore,Coimbatore South,1.31,8,5,2025-09-05,2027-06-05
PRJ-01202,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore South,1.57,5,9,2024-08-26,2025-06-25
PRJ-03292,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Sulur,7.49,6,4,2026-05-15,2028-10-15
PRJ-04515,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Coimbatore South,0.34,5,5,2024-02-19,2026-05-18
PRJ-01732,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore South,0.48,3,8,2023-04-24,2025-05-18
PRJ-00888,Coimbatore Road Corridor Project,Road,Coimbatore,Kinathukadavu,2.56,3,6,2024-01-28,2026-07-14
PRJ-04229,Coimbatore Rail Corridor Project,Rail,Coimbatore,Annur,2.08,6,5,2023-06-08,2024-11-10
PRJ-02831,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore North,1.19,3,7,2024-08-09,2025-05-08
PRJ-00990,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Kinathukadavu,0.58,7,9,2024-12-03,2026-10-04
PRJ-00531,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore South,1.83,3,5,2023-10-03,2025-03-19
PRJ-03614,Coimbatore Road Corridor Project,Road,Coimbatore,Kinathukadavu,5.05,5,6,2025-08-08,2027-07-17
PRJ-02708,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Pollachi,0.97,7,6,2023-12-25,2025-12-14
PRJ-04351,Coimbatore Road Corridor Project,Road,Coimbatore,Madukkarai,0.77,4,7,2024-02-18,2024-08-31
PRJ-01319,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Coimbatore South,1.2,6,8,2025-08-27,2026-07-30
PRJ-01892,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Madukkarai,2.64,6,8,2023-10-23,2024-09-16
PRJ-00304,Coimbatore Rail Corridor Project,Rail,Coimbatore,Madukkarai,2.2,4,7,2023-12-23,2024-12-23
PRJ-03769,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Kinathukadavu,1.09,10,7,2023-04-13,2024-12-02
PRJ-03422,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Madukkarai,1.07,2,4,2023-01-17,2025-04-28
PRJ-03141,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Coimbatore South,5.32,3,5,2023-12-28,2025-05-18
PRJ-03007,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Mettupalayam,3.36,6,4,2024-11-13,2027-01-22
PRJ-00619,Coimbatore Rail Corridor Project,Rail,Coimbatore,Pollachi,1.84,5,7,2022-11-02,2025-02-19
PRJ-01462,Coimbatore Road Corridor Project,Road,Coimbatore,Kinathukadavu,1.21,6,6,2024-12-03,2025-06-21
PRJ-02996,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Coimbatore South,2.84,8,4,2025-10-07,2026-06-19
PRJ-03400,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Madukkarai,3.2,4,4,2022-11-14,2024-09-30
PRJ-04381,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Coimbatore North,1.57,6,9,2026-01-06,2026-11-10
PRJ-03352,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Coimbatore South,1.03,4,3,2022-01-17,2022-07-21
PRJ-00667,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Annur,4.68,14,6,2022-02-28,2022-10-03
PRJ-04940,Coimbatore Rail Corridor Project,Rail,Coimbatore,Pollachi,1.28,6,6,2023-08-29,2025-11-07
PRJ-02944,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Annur,1.16,7,5,2022-11-24,2023-08-13
PRJ-01380,Coimbatore Road Corridor Project,Road,Coimbatore,Mettupalayam,0.84,6,2,2023-08-05,2024-02-08
PRJ-02461,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Madukkarai,0.28,8,10,2025-02-20,2026-12-26
PRJ-03045,Coimbatore Road Corridor Project,Road,Coimbatore,Kinathukadavu,2.4,6,2,2025-02-25,2025-10-25
PRJ-02096,Coimbatore Rail Corridor Project,Rail,Coimbatore,Kinathukadavu,1.68,9,3,2024-07-18,2026-03-03
PRJ-01505,Coimbatore Road Corridor Project,Road,Coimbatore,Mettupalayam,3.71,4,11,2025-12-23,2026-07-25
PRJ-04125,Coimbatore Rail Corridor Project,Rail,Coimbatore,Pollachi,2.52,6,6,2022-06-25,2024-02-16
PRJ-03675,Coimbatore Rail Corridor Project,Rail,Coimbatore,Sulur,4.6,6,9,2023-03-10,2025-03-31
PRJ-02749,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Sulur,0.33,3,4,2025-03-29,2026-04-19
PRJ-00261,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore South,2.77,6,6,2025-04-22,2027-02-02
PRJ-02735,Coimbatore Road Corridor Project,Road,Coimbatore,Kinathukadavu,1.35,6,4,2023-04-14,2025-01-14
PRJ-01922,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Coimbatore South,1.99,4,2,2024-10-14,2027-02-06
PRJ-02823,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Pollachi,3.18,9,3,2022-04-25,2023-06-07
PRJ-03896,Coimbatore Road Corridor Project,Road,Coimbatore,Sulur,0.11,5,3,2024-10-16,2025-06-25
PRJ-04847,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Annur,2.05,6,4,2025-12-20,2028-03-04
PRJ-00526,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Sulur,1.89,7,5,2025-01-11,2025-10-10
PRJ-00850,Coimbatore Rail Corridor Project,Rail,Coimbatore,Mettupalayam,0.43,6,8,2024-12-02,2026-04-30
PRJ-03360,Coimbatore Road Corridor Project,Road,Coimbatore,Sulur,0.71,6,7,2023-02-14,2024-02-11
PRJ-03598,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Coimbatore South,0.5,6,4,2023-06-22,2025-03-08
PRJ-00172,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Pollachi,1.98,8,4,2022-05-17,2024-10-29
PRJ-03342,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Kinathukadavu,1.23,5,4,2024-09-09,2026-05-17
PRJ-00101,Coimbatore Rail Corridor Project,Rail,Coimbatore,Mettupalayam,1.34,4,6,2025-10-20,2027-09-07
PRJ-02227,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Annur,1.5,2,5,2024-09-20,2025-06-18
PRJ-02372,Coimbatore Road Corridor Project,Road,Coimbatore,Pollachi,2.4,4,4,2025-05-17,2026-11-07
PRJ-03477,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Coimbatore South,0.98,4,7,2025-07-02,2027-06-21
PRJ-04735,Coimbatore Road Corridor Project,Road,Coimbatore,Mettupalayam,2.67,3,2,2022-03-01,2022-11-26
PRJ-00377,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Sulur,1.95,4,5,2024-02-04,2025-02-23
PRJ-01771,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore North,1.7,2,3,2023-09-14,2026-01-09
PRJ-02920,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Coimbatore South,2.0,8,6,2024-09-26,2026-06-06
PRJ-04231,Coimbatore Rail Corridor Project,Rail,Coimbatore,Annur,4.5,5,3,2022-12-01,2023-07-10
PRJ-04388,Coimbatore Road Corridor Project,Road,Coimbatore,Kinathukadavu,3.31,10,3,2022-08-18,2024-05-30
PRJ-03550,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Coimbatore South,1.61,6,6,2022-03-08,2023-07-28
PRJ-01637,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Madukkarai,1.97,3,6,2026-03-12,2027-10-19
PRJ-02217,Coimbatore Road Corridor Project,Road,Coimbatore,Sulur,2.54,2,7,2025-04-22,2025-12-22
PRJ-01964,Coimbatore Road Corridor Project,Road,Coimbatore,Pollachi,2.24,5,6,2022-05-22,2023-12-09
PRJ-04450,Coimbatore Road Corridor Project,Road,Coimbatore,Annur,0.47,6,5,2025-02-01,2025-10-21
PRJ-02554,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Mettupalayam,2.15,7,4,2023-05-11,2024-05-25
PRJ-00755,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Sulur,0.71,5,3,2024-03-28,2026-05-05
PRJ-04553,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Coimbatore South,1.03,3,5,2026-05-13,2027-10-30
PRJ-01387,Coimbatore Road Corridor Project,Road,Coimbatore,Sulur,1.16,7,6,2022-12-15,2024-09-17
PRJ-00365,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Coimbatore North,3.09,4,9,2023-01-13,2024-12-23
PRJ-03924,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Coimbatore South,5.25,3,2,2024-06-28,2025-11-19
PRJ-04125,Coimbatore Road Corridor Project,Road,Coimbatore,Annur,1.43,6,6,2022-06-15,2023-11-02
PRJ-03453,Coimbatore Rail Corridor Project,Rail,Coimbatore,Sulur,1.18,6,7,2022-11-07,2025-02-04
PRJ-02316,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Annur,2.12,7,4,2024-11-10,2026-10-21
PRJ-02032,Coimbatore Road Corridor Project,Road,Coimbatore,Kinathukadavu,0.71,7,2,2024-11-17,2027-03-18
PRJ-02630,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Pollachi,1.71,8,5,2026-01-06,2028-05-23
PRJ-04312,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Madukkarai,4.71,6,4,2024-12-14,2025-10-05
PRJ-01155,Coimbatore Road Corridor Project,Road,Coimbatore,Kinathukadavu,1.13,8,10,2025-03-19,2026-06-05
PRJ-04808,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Sulur,2.01,7,5,2026-05-12,2027-02-21
PRJ-00409,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Coimbatore South,1.59,9,8,2022-04-20,2023-01-20
PRJ-04570,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Pollachi,3.17,9,6,2023-02-24,2023-09-22
PRJ-00050,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Annur,1.58,7,3,2025-12-28,2028-05-28
PRJ-03284,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Coimbatore North,0.31,9,7,2025-03-11,2025-10-04
PRJ-03253,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Pollachi,1.88,5,5,2023-09-07,2025-06-25
PRJ-00324,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Annur,0.58,11,8,2025-06-02,2026-02-23
PRJ-02275,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Coimbatore South,0.37,9,5,2024-08-18,2026-09-20
PRJ-03989,Coimbatore Rail Corridor Project,Rail,Coimbatore,Madukkarai,1.17,5,4,2025-07-12,2027-11-26
PRJ-01046,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Madukkarai,1.02,5,4,2024-07-15,2025-10-03
PRJ-00649,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Coimbatore North,1.46,5,4,2022-05-18,2024-01-20
PRJ-01370,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore South,1.41,4,3,2024-02-01,2024-11-10
PRJ-00805,Coimbatore Road Corridor Project,Road,Coimbatore,Kinathukadavu,2.12,3,4,2024-08-10,2026-01-25
PRJ-01275,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Annur,4.98,10,6,2022-01-25,2023-02-25
PRJ-04538,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Kinathukadavu,1.61,7,3,2026-01-30,2027-03-07
PRJ-00534,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Coimbatore South,0.69,9,4,2022-02-05,2024-03-27
PRJ-04982,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Coimbatore South,1.84,9,5,2023-04-10,2024-08-18
PRJ-04061,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Sulur,3.62,4,6,2026-03-30,2027-04-30
PRJ-01768,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Pollachi,0.87,4,4,2023-07-05,2025-10-25
PRJ-04582,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Kinathukadavu,1.5,4,6,2023-06-10,2025-01-08
PRJ-01169,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Coimbatore South,1.77,9,6,2024-04-29,2025-05-13
PRJ-04180,Coimbatore Road Corridor Project,Road,Coimbatore,Mettupalayam,3.26,3,6,2026-03-27,2027-04-03
PRJ-02074,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Annur,1.9,3,3,2024-07-29,2025-12-23
PRJ-01914,Coimbatore Road Corridor Project,Road,Coimbatore,Mettupalayam,1.72,8,3,2024-05-14,2025-04-10
PRJ-00167,Coimbatore Road Corridor Project,Road,Coimbatore,Madukkarai,0.78,5,6,2023-11-11,2025-10-05
PRJ-03751,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Annur,3.3,8,8,2024-07-24,2026-09-16
PRJ-03034,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Madukkarai,2.24,6,4,2023-09-07,2024-04-29
PRJ-04412,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Mettupalayam,1.31,6,5,2023-09-26,2025-11-08
PRJ-03493,Coimbatore Rail Corridor Project,Rail,Coimbatore,Sulur,1.72,7,5,2023-09-15,2024-06-29
PRJ-02526,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Annur,5.09,4,6,2025-11-10,2026-11-02
PRJ-00930,Coimbatore Road Corridor Project,Road,Coimbatore,Kinathukadavu,0.91,5,8,2023-11-22,2024-07-02
PRJ-03196,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Madukkarai,3.32,11,6,2022-11-18,2023-06-09
PRJ-04345,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Kinathukadavu,3.72,5,3,2022-07-30,2024-02-11
PRJ-03204,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Pollachi,4.98,6,5,2025-04-05,2026-03-05
PRJ-00980,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Coimbatore North,1.39,5,2,2022-06-15,2024-02-29
PRJ-04709,Coimbatore Road Corridor Project,Road,Coimbatore,Kinathukadavu,2.22,5,5,2024-08-27,2025-03-04
PRJ-04527,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Mettupalayam,0.7,13,5,2022-10-29,2023-05-05
PRJ-02653,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore South,4.66,7,3,2025-05-13,2027-01-13
PRJ-01381,Coimbatore Road Corridor Project,Road,Coimbatore,Mettupalayam,0.61,7,4,2026-05-03,2026-12-19
PRJ-01143,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Pollachi,1.07,7,7,2023-01-23,2025-04-03
PRJ-03600,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Sulur,2.41,4,7,2023-06-16,2024-10-14
PRJ-03265,Coimbatore Road Corridor Project,Road,Coimbatore,Sulur,0.28,5,8,2024-11-05,2027-02-26
PRJ-03135,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Annur,1.45,7,4,2022-10-24,2023-04-24
PRJ-03599,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Sulur,2.11,7,9,2022-08-24,2024-02-16
