parcel_id,record_id,owner_id,ownership_type,ownership_status
PAR-000333,333,OWN-000333,Joint,Verified
PAR-000334,334,OWN-000334,Institutional,Verified
PAR-000335,335,OWN-000335,Individual,Disputed
PAR-000336,336,OWN-000336,Individual,Pending Verification
PAR-000337,337,OWN-000337,Joint,Pending Verification
PAR-000338,338,OWN-000338,Individual,Verified
PAR-000339,339,OWN-000339,Individual,Verified
PAR-000340,340,OWN-000340,Individual,Pending Verification
PAR-000341,341,OWN-000341,Individual,Verified
PAR-000342,342,OWN-000342,Institutional,Pending Verification
PAR-000343,343,OWN-000343,Individual,Verified
PAR-000344,344,OWN-000344,Individual,Pending Verification
PAR-000345,345,OWN-000345,Government,Verified
PAR-000346,346,OWN-000346,Government,Verified
PAR-000347,347,OWN-000347,Individual,Verified
PAR-000348,348,OWN-000348,Joint,Verified
PAR-000349,349,OWN-000349,Joint,Verified
PAR-000350,350,OWN-000350,Institutional,Verified
PAR-000351,351,OWN-000351,Individual,Verified
PAR-000352,352,OWN-000352,Individual,Verified
PAR-000353,353,OWN-000353,Individual,Verified
PAR-000354,354,OWN-000354,Individual,Verified
PAR-000355,355,OWN-000355,Individual,Verified
PAR-000356,356,OWN-000356,Individual,Verified
PAR-000357,357,OWN-000357,Individual,Verified
PAR-000358,358,OWN-000358,Government,Verified
PAR-000359,359,OWN-000359,Individual,Verified
PAR-000360,360,OWN-000360,Joint,Verified
PAR-000361,361,OWN-000361,Institutional,Pending Verification
PAR-000362,362,OWN-000362,Joint,Verified
PAR-000363,363,OWN-000363,Joint,Verified
PAR-000364,364,OWN-000364,Individual,Verified
PAR-000365,365,OWN-000365,Individual,Verified
PAR-000366,366,OWN-000366,Institutional,Verified
PAR-000367,367,OWN-000367,Individual,Verified
PAR-000368,368,OWN-000368,Government,Pending Verification
PAR-000369,369,OWN-000369,Individual,Pending Verification
PAR-000370,370,OWN-000370,Individual,Verified
PAR-000371,371,OWN-000371,Institutional,Verified
PAR-000372,372,OWN-000372,Individual,Pending Verification
PAR-000373,373,OWN-000373,Joint,Verified
PAR-000374,374,OWN-000374,Joint,Verified
PAR-000375,375,OWN-000375,Individual,Verified
PAR-000376,376,OWN-000376,Individual,Verified
PAR-000377,377,OWN-000377,Joint,Verified
PAR-000378,378,OWN-000378,Government,Verified
PAR-000379,379,OWN-000379,Institutional,Verified
PAR-000380,380,OWN-000380,Individual,Verified
PAR-000381,381,OWN-000381,Individual,Verified
PAR-000382,382,OWN-000382,Individual,Pending Verification
PAR-000383,383,OWN-000383,Individual,Disputed
PAR-000384,384,OWN-000384,Government,Verified
PAR-000385,385,OWN-000385,Institutional,Verified
PAR-000386,386,OWN-000386,Individual,Verified
PAR-000387,387,OWN-000387,Individual,Verified
PAR-000388,388,OWN-000388,Institutional,Verified
PAR-000389,389,OWN-000389,Joint,Verified
PAR-000390,390,OWN-000390,Institutional,Pending Verification
PAR-000391,391,OWN-000391,Individual,Disputed
PAR-000392,392,OWN-000392,Individual,Verified
PAR-000393,393,OWN-000393,Individual,Verified
PAR-000394,394,OWN-000394,Joint,Verified
PAR-000395,395,OWN-000395,Individual,Verified
PAR-000396,396,OWN-000396,Individual,Verified
PAR-000397,397,OWN-000397,Joint,Pending Verification
PAR-000398,398,OWN-000398,Individual,Verified
PAR-000399,399,OWN-000399,Government,Verified
PAR-000400,400,OWN-000400,Individual,Verified
PAR-000401,401,OWN-000401,Individual,Verified
PAR-000402,402,OWN-000402,Government,Verified
PAR-000403,403,OWN-000403,Individual,Verified
PAR-000404,404,OWN-000404,Joint,Verified
PAR-000405,405,OWN-000405,Individual,Verified
PAR-000406,406,OWN-000406,Joint,Verified
PAR-000407,407,OWN-000407,Individual,Verified
PAR-000408,408,OWN-000408,Individual,Verified
PAR-000409,409,OWN-000409,Individual,Verified
PAR-000410,410,OWN-000410,Individual,Verified
PAR-000411,411,OWN-000411,Individual,Verified
PAR-000412,412,OWN-000412,Individual,Verified
PAR-000413,413,OWN-000413,Joint,Pending Verification
PAR-000414,414,OWN-000414,Individual,Verified
PAR-000415,415,OWN-000415,Individual,Verified
PAR-000416,416,OWN-000416,Individual,Pending Verification
PAR-000417,417,OWN-000417,Government,Verified
PAR-000418,418,OWN-000418,Individual,Verified
PAR-000419,419,OWN-000419,Individual,Verified
PAR-000420,420,OWN-000420,Joint,Pending Verification
PAR-000421,421,OWN-000421,Individual,Verified
PAR-000422,422,OWN-000422,Individual,Verified
PAR-000423,423,OWN-000423,Joint,Verified
PAR-000424,424,OWN-000424,Joint,Verified
PAR-000425,425,OWN-000425,Individual,Verified
PAR-000426,426,OWN-000426,Institutional,Verified
PAR-000427,427,OWN-000427,Individual,Verified
PAR-000428,428,OWN-000428,Joint,Pending Verification
PAR-000429,429,OWN-000429,Individual,Verified
PAR-000430,430,OWN-000430,Individual,Pending Verification
PAR-000431,431,OWN-000431,Individual,Verified
PAR-000432,432,OWN-000432,Joint,Pending Verification
PAR-000433,433,OWN-000433,Individual,Verified
PAR-000434,434,OWN-000434,Individual,Verified
PAR-000435,435,OWN-000435,Government,Disputed
PAR-000436,436,OWN-000436,Individual,Pending Verification
PAR-000437,437,OWN-000437,Individual,Verified
PAR-000438,438,OWN-000438,Government,Pending Verification
PAR-000439,439,OWN-000439,Individual,Pending Verification
PAR-000440,440,OWN-000440,Individual,Pending Verification
PAR-000441,441,OWN-000441,Government,Pending Verification
PAR-000442,442,OWN-000442,Individual,Pending Verification
PAR-000443,443,OWN-000443,Individual,Verified
PAR-000444,444,OWN-000444,Individual,Verified
PAR-000445,445,OWN-000445,Joint,Verified
PAR-000446,446,OWN-000446,Individual,Disputed
PAR-000447,447,OWN-000447,Individual,Pending Verification
PAR-000448,448,OWN-000448,Joint,Verified
PAR-000449,449,OWN-000449,Individual,Verified
PAR-000450,450,OWN-000450,Individual,Verified
PAR-000451,451,OWN-000451,Individual,Pending Verification
PAR-000452,452,OWN-000452,Joint,Verified
PAR-000453,453,OWN-000453,Individual,Verified
PAR-000454,454,OWN-000454,Individual,Disputed
PAR-000455,455,OWN-000455,Individual,Verified
PAR-000456,456,OWN-000456,Individual,Pending Verification
PAR-000457,457,OWN-000457,Government,Verified
PAR-000458,458,OWN-000458,Individual,Verified
PAR-000459,459,OWN-000459,Individual,Disputed
PAR-000460,460,OWN-000460,Joint,Verified
PAR-000461,461,OWN-000461,Joint,Pending Verification
PAR-000462,462,OWN-000462,Joint,Verified
PAR-000463,463,OWN-000463,Individual,Verified
PAR-000464,464,OWN-000464,Individual,Verified
PAR-000465,465,OWN-000465,Individual,Verified
PAR-000466,466,OWN-000466,Individual,Disputed
PAR-000467,467,OWN-000467,Government,Verified
PAR-000468,468,OWN-000468,Government,Verified
PAR-000469,469,OWN-000469,Joint,Verified
PAR-000470,470,OWN-000470,Individual,Verified
PAR-000471,471,OWN-000471,Individual,Verified
PAR-000472,472,OWN-000472,Individual,Verified
PAR-000473,473,OWN-000473,Individual,Verified
PAR-000474,474,OWN-000474,Individual,Verified
PAR-000475,475,OWN-000475,Individual,Verified
PAR-000476,476,OWN-000476,Individual,Verified
PAR-000477,477,OWN-000477,Government,Verified
PAR-000478,478,OWN-000478,Institutional,Pending Verification
PAR-000479,479,OWN-000479,Individual,Disputed
PAR-000480,480,OWN-000480,Government,Verified
PAR-000481,481,OWN-000481,Joint,Verified
PAR-000482,482,OWN-000482,Joint,Verified
PAR-000483,483,OWN-000483,Individual,Verified
PAR-000484,484,OWN-000484,Individual,Verified
PAR-000485,485,OWN-000485,Individual,Verified
PAR-000486,486,OWN-000486,Individual,Verified
PAR-000487,487,OWN-000487,Joint,Verified
PAR-000488,488,OWN-000488,Joint,Verified
PAR-000489,489,OWN-000489,Government,Verified
PAR-000490,490,OWN-000490,Individual,Verified
PAR-000491,491,OWN-000491,Government,Verified
PAR-000492,492,OWN-000492,Government,Verified
PAR-000493,493,OWN-000493,Government,Verified
PAR-000494,494,OWN-000494,Government,Pending Verification
PAR-000495,495,OWN-000495,Individual,Pending Verification
PAR-000496,496,OWN-000496,Individual,Verified
PAR-000497,497,OWN-000497,Individual,Verified
PAR-000498,498,OWN-000498,Joint,Pending Verification
PAR-000499,499,OWN-000499,Government,Pending Verification
PAR-000500,500,OWN-000500,Institutional,Disputed
PAR-000501,501,OWN-000501,Joint,Verified
PAR-000502,502,OWN-000502,Individual,Verified
PAR-000503,503,OWN-000503,Individual,Verified
PAR-000504,504,OWN-000504,Joint,Verified
PAR-000505,505,OWN-000505,Individual,Pending Verification
PAR-000506,506,OWN-000506,Individual,Verified
PAR-000507,507,OWN-000507,Individual,Verified
PAR-000508,508,OWN-000508,Institutional,Verified
PAR-000509,509,OWN-000509,Individual,Verified
PAR-000510,510,OWN-000510,Individual,Verified
PAR-000511,511,OWN-000511,Individual,Verified
PAR-000512,512,OWN-000512,Individual,Verified
PAR-000513,513,OWN-000513,Individual,Verified
PAR-000514,514,OWN-000514,Individual,Verified
PAR-000515,515,OWN-000515,Individual,Verified
PAR-000516,516,OWN-000516,Government,Verified
PAR-000517,517,OWN-000517,Individual,Pending Verification
PAR-000518,518,OWN-000518,Institutional,Verified
PAR-000519,519,OWN-000519,Joint,Verified
PAR-000520,520,OWN-000520,Individual,Verified
PAR-000521,521,OWN-000521,Joint,Disputed
PAR-000522,522,OWN-000522,Individual,Verified
PAR-000523,523,OWN-000523,Individual,Disputed
PAR-000524,524,OWN-000524,Individual,Pending Verification
PAR-000525,525,OWN-000525,Individual,Verified
PAR-000526,526,OWN-000526,Individual,Verified
PAR-000527,527,OWN-000527,Individual,Verified
PAR-000528,528,OWN-000528,Individual,Pending Verification
PAR-000529,529,OWN-000529,Individual,Verified
PAR-000530,530,OWN-000530,Individual,Verified
PAR-000531,531,OWN-000531,Individual,Verified
PAR-000532,532,OWN-000532,Institutional,Verified
PAR-000533,533,OWN-000533,Individual,Pending Verification
PAR-000534,534,OWN-000534,Individual,Disputed
PAR-000535,535,OWN-000535,Individual,Verified
PAR-000536,536,OWN-000536,Individual,Pending Verification
PAR-000537,537,OWN-000537,Individual,Verified
PAR-000538,538,OWN-000538,Joint,Pending Verification
PAR-000539,539,OWN-000539,Individual,Verified
PAR-000540,540,OWN-000540,Individual,Verified
PAR-000541,541,OWN-000541,Individual,Verified
PAR-000542,542,OWN-000542,Individual,Verified
PAR-000543,543,OWN-000543,Joint,Verified
PAR-000544,544,OWN-000544,Government,Verified
PAR-000545,545,OWN-000545,Joint,Verified
PAR-000546,546,OWN-000546,Government,Verified
PAR-000547,547,OWN-000547,Individual,Verified
PAR-000548,548,OWN-000548,Joint,Verified
PAR-000549,549,OWN-000549,Joint,Verified
PAR-000550,550,OWN-000550,Government,Disputed
PAR-000551,551,OWN-000551,Individual,Pending Verification
PAR-000552,552,OWN-000552,Joint,Verified
PAR-000553,553,OWN-000553,Individual,Pending Verification
PAR-000554,554,OWN-000554,Government,Disputed
PAR-000555,555,OWN-000555,Individual,Verified
PAR-000556,556,OWN-000556,Individual,Verified
PAR-000557,557,OWN-000557,Individual,Pending Verification
PAR-000558,558,OWN-000558,Joint,Verified
PAR-000559,559,OWN-000559,Individual,Disputed
PAR-000560,560,OWN-000560,Individual,Verified
PAR-000561,561,OWN-000561,Individual,Disputed
PAR-000562,562,OWN-000562,Individual,Verified
PAR-000563,563,OWN-000563,Individual,Verified
PAR-000564,564,OWN-000564,Individual,Verified
PAR-000565,565,OWN-000565,Individual,Verified
PAR-000566,566,OWN-000566,Individual,Disputed
PAR-000567,567,OWN-000567,Joint,Pending Verification
PAR-000568,568,OWN-000568,Individual,Verified
