approval_id,project_id,department,approval_status,approval_delay_days
APR-000053,PRJ-00047,Rural Development,Approved,37
APR-000054,PRJ-03928,RDO,Approved,29
APR-000055,PRJ-04413,PWD,Approved,40
APR-000056,PRJ-03966,Rural Development,Approved,38
APR-000057,PRJ-03783,PWD,Approved,20
APR-000058,PRJ-02071,RDO,Approved,11
APR-000059,PRJ-00121,Rural Development,Approved,14
APR-000060,PRJ-04700,District Administration,Approved,23
APR-000061,PRJ-03565,District Administration,Approved,42
APR-000062,PRJ-03350,District Administration,Pending,290
APR-000063,PRJ-00147,RDO,Pending,493
APR-000064,PRJ-02660,District Administration,Approved,42
APR-000065,PRJ-01864,Rural Development,Approved,23
APR-000066,PRJ-03686,Revenue,Approved,16
APR-000067,PRJ-02172,PWD,Approved,12
APR-000068,PRJ-04680,RDO,Approved,35
APR-000069,PRJ-02050,District Administration,Approved,10
APR-000070,PRJ-02802,District Administration,Approved,33
APR-000071,PRJ-02479,Rural Development,Approved,2
APR-000072,PRJ-01712,PWD,Approved,26
APR-000073,PRJ-01340,Rural Development,Approved,42
APR-000074,PRJ-03519,PWD,Approved,6
APR-000075,PRJ-01645,Rural Development,Pending,81
APR-000076,PRJ-02849,RDO,Approved,27
APR-000077,PRJ-03824,District Administration,Approved,13
APR-000078,PRJ-00512,Rural Development,Pending,39
APR-000079,PRJ-04561,PWD,Approved,43
APR-000080,PRJ-04797,District Administration,Approved,14
APR-000081,PRJ-02034,RDO,Approved,13
APR-000082,PRJ-00257,PWD,Approved,16
APR-000083,PRJ-01799,RDO,Approved,28
APR-000084,PRJ-04788,PWD,Approved,5
APR-000085,PRJ-05000,PWD,Approved,29
APR-000086,PRJ-04508,District Administration,Approved,41
APR-000087,PRJ-03416,PWD,Pending,309
APR-000088,PRJ-01202,PWD,Approved,24
APR-000089,PRJ-03292,Rural Development,Approved,42
APR-000090,PRJ-04515,RDO,Approved,14
APR-000091,PRJ-01732,RDO,Approved,29
APR-000092,PRJ-00888,Revenue,Pending,440
APR-000093,PRJ-04229,RDO,Approved,31
APR-000094,PRJ-02831,PWD,Approved,4
APR-000095,PRJ-00990,PWD,Approved,33
APR-000096,PRJ-00531,District Administration,Approved,13
APR-000097,PRJ-03614,Revenue,Approved,25
APR-000098,PRJ-02708,PWD,Approved,22
APR-000099,PRJ-04351,District Administration,Approved,7
APR-000100,PRJ-01319,District Administration,Approved,37
APR-000101,PRJ-01892,District Administration,Pending,256
APR-000102,PRJ-00304,Revenue,Approved,19
APR-000103,PRJ-03769,PWD,Approved,42
APR-000104,PRJ-03422,PWD,Pending,234
APR-000105,PRJ-03141,RDO,Approved,11
APR-000106,PRJ-03007,Rural Development,Approved,36
APR-000107,PRJ-00619,PWD,Approved,20
APR-000108,PRJ-01462,Revenue,Approved,41
APR-000109,PRJ-02996,RDO,Approved,21
APR-000110,PRJ-03400,Revenue,Approved,30
APR-000111,PRJ-04381,Revenue,Approved,39
APR-000112,PRJ-03352,District Administration,Pending,121
APR-000113,PRJ-00667,Rural Development,Approved,21
APR-000114,PRJ-04940,PWD,Approved,31
APR-000115,PRJ-02944,PWD,Approved,6
APR-000116,PRJ-01380,District Administration,Approved,5
APR-000117,PRJ-02461,Rural Development,Approved,17
APR-000118,PRJ-03045,RDO,Approved,44
APR-000119,PRJ-02096,Rural Development,Approved,7
APR-000120,PRJ-01505,District Administration,Approved,1
APR-000121,PRJ-04125,Rural Development,Approved,29
APR-000122,PRJ-03675,District Administration,Approved,11
APR-000123,PRJ-02749,District Administration,Pending,405
APR-000124,PRJ-00261,Revenue,Pending,167
APR-000125,PRJ-02735,PWD,Approved,24
APR-000126,PRJ-01922,PWD,Approved,1
APR-000127,PRJ-02823,Revenue,Approved,14
APR-000128,PRJ-03896,Rural Development,Approved,4
APR-000129,PRJ-04847,Rural Development,Approved,18
APR-000130,PRJ-00526,RDO,Approved,1
APR-000131,PRJ-00850,PWD,Pending,61
APR-000132,PRJ-03360,RDO,Approved,32
APR-000133,PRJ-03598,Rural Development,Approved,27
APR-000134,PRJ-00172,Revenue,Approved,25
APR-000135,PRJ-03342,RDO,Approved,0
APR-000136,PRJ-00101,District Administration,Approved,42
APR-000137,PRJ-02227,PWD,Approved,12
APR-000138,PRJ-02372,PWD,Approved,9
APR-000139,PRJ-03477,District Administration,Approved,26
APR-000140,PRJ-04735,Rural Development,Approved,17
APR-000141,PRJ-00377,RDO,Approved,24
APR-000142,PRJ-01771,District Administration,Approved,37
APR-000143,PRJ-02920,Rural Development,Approved,29
APR-000144,PRJ-04231,PWD,Approved,32
APR-000145,PRJ-04388,PWD,Pending,298
APR-000146,PRJ-03550,PWD,Approved,14
APR-000147,PRJ-01637,PWD,Approved,2
APR-000148,PRJ-02217,Revenue,Approved,31
APR-000149,PRJ-01964,PWD,Approved,19
APR-000150,PRJ-04450,RDO,Approved,28
APR-000151,PRJ-02554,District Administration,Approved,10
APR-000152,PRJ-00755,District Administration,Approved,9
APR-000153,PRJ-04553,PWD,Approved,6
APR-000154,PRJ-01387,RDO,Approved,39
APR-000155,PRJ-00365,District Administration,Approved,20
APR-000156,PRJ-03924,District Administration,Approved,14
APR-000157,PRJ-04125,Rural Development,Approved,4
APR-000158,PRJ-03453,RDO,Approved,15
APR-000159,PRJ-02316,RDO,Approved,25
APR-000160,PRJ-02032,RDO,Approved,40
APR-000161,PRJ-02630,RDO,Approved,19
APR-000162,PRJ-04312,District Administration,Approved,35
APR-000163,PRJ-01155,District Administration,Approved,41
APR-000164,PRJ-04808,District Administration,Approved,2
APR-000165,PRJ-00409,District Administration,Approved,3
APR-000166,PRJ-04570,PWD,Approved,35
APR-000167,PRJ-00050,Revenue,Approved,24
APR-000168,PRJ-03284,District Administration,Approved,34
APR-000169,PRJ-03253,Revenue,Approved,1
APR-000170,PRJ-00324,RDO,Approved,24
APR-000171,PRJ-02275,PWD,Approved,25
APR-000172,PRJ-03989,District Administration,Approved,2
APR-000173,PRJ-01046,Revenue,Approved,41
APR-000174,PRJ-00649,PWD,Approved,28
APR-000175,PRJ-01370,District Administration,Pending,24
APR-000176,PRJ-00805,Revenue,Approved,4
APR-000177,PRJ-01275,Rural Development,Approved,16
APR-000178,PRJ-04538,PWD,Approved,17
APR-000179,PRJ-00534,Revenue,Approved,20
APR-000180,PRJ-04982,Revenue,Approved,28
APR-000181,PRJ-04061,PWD,Approved,31
APR-000182,PRJ-01768,Rural Development,Approved,36
APR-000183,PRJ-04582,RDO,Approved,9
APR-000184,PRJ-01169,PWD,Approved,30
APR-000185,PRJ-04180,PWD,Approved,44
APR-000186,PRJ-02074,PWD,Pending,259
APR-000187,PRJ-01914,Revenue,Approved,30
APR-000188,PRJ-00167,Revenue,Approved,28
APR-000189,PRJ-03751,PWD,Approved,32
APR-000190,PRJ-03034,District Administration,Approved,17
APR-000191,PRJ-04412,PWD,Approved,41
APR-000192,PRJ-03493,Rural Development,Approved,27
APR-000193,PRJ-02526,Rural Development,Approved,1
APR-000194,PRJ-00930,Revenue,Approved,14
APR-000195,PRJ-03196,District Administration,Approved,2
APR-000196,PRJ-04345,RDO,Approved,2
APR-000197,PRJ-03204,RDO,Approved,31
APR-000198,PRJ-00980,District Administration,Approved,38
APR-000199,PRJ-04709,RDO,Approved,39
APR-000200,PRJ-04527,RDO,Approved,35
APR-000201,PRJ-02653,PWD,Approved,37
APR-000202,PRJ-01381,District Administration,Approved,16
APR-000203,PRJ-01143,PWD,Approved,24
APR-000204,PRJ-03600,RDO,Approved,6
APR-000205,PRJ-03265,Revenue,Approved,17
APR-000206,PRJ-03135,Revenue,Pending,370
APR-000207,PRJ-03599,Revenue,Approved,42
APR-000208,PRJ-03298,Rural Development,Approved,7
APR-000209,PRJ-01487,PWD,Approved,6
APR-000210,PRJ-04616,RDO,Approved,5
APR-000211,PRJ-03688,Revenue,Approved,33
APR-000212,PRJ-03733,RDO,Approved,16
APR-000213,PRJ-02569,PWD,Approved,15
APR-000214,PRJ-01767,Rural Development,Approved,31
APR-000215,PRJ-02155,District Administration,Approved,43
APR-000216,PRJ-03206,Revenue,Approved,19
APR-000217,PRJ-04503,PWD,Pending,52
APR-000218,PRJ-03379,RDO,Approved,23
APR-000219,PRJ-01925,Revenue,Approved,30
APR-000220,PRJ-02195,Revenue,Approved,2
APR-000221,PRJ-04609,District Administration,Approved,40
APR-000222,PRJ-04093,Rural Development,Pending,327
APR-000223,PRJ-03252,Rural Development,Approved,13
APR-000224,PRJ-03740,District Administration,Pending,190
APR-000225,PRJ-01637,Revenue,Approved,18
APR-000226,PRJ-03901,RDO,Approved,12
APR-000227,PRJ-01263,Revenue,Pending,344
APR-000228,PRJ-00255,District Administration,Approved,38
APR-000229,PRJ-03543,Rural Development,Approved,38
APR-000230,PRJ-02700,PWD,Approved,33
APR-000231,PRJ-00864,District Administration,Approved,33
APR-000232,PRJ-00215,Rural Development,Approved,23
APR-000233,PRJ-00906,Rural Development,Approved,33
APR-000234,PRJ-03088,District Administration,Pending,392
APR-000235,PRJ-04713,Revenue,Approved,18
APR-000236,PRJ-01926,PWD,Approved,22
APR-000237,PRJ-03993,RDO,Approved,39
APR-000238,PRJ-02235,Revenue,Approved,2
APR-000239,PRJ-00057,Revenue,Approved,13
APR-000240,PRJ-01381,Revenue,Approved,7
APR-000241,PRJ-02267,District Administration,Approved,1
APR-000242,PRJ-03314,Revenue,Approved,8
APR-000243,PRJ-00652,RDO,Approved,35
APR-000244,PRJ-03030,RDO,Approved,31
APR-000245,PRJ-02294,Revenue,Approved,25
APR-000246,PRJ-01755,RDO,Approved,21
APR-000247,PRJ-03096,RDO,Approved,18
APR-000248,PRJ-00178,PWD,Approved,1
APR-000249,PRJ-04920,District Administration,Approved,0
APR-000250,PRJ-02905,Rural Development,Approved,18
APR-000251,PRJ-04148,RDO,Approved,33
APR-000252,PRJ-02204,RDO,Approved,25
APR-000253,PRJ-02052,Rural Development,Approved,43
APR-000254,PRJ-03416,District Administration,Approved,30
APR-000255,PRJ-04192,Rural Development,Approved,30
APR-000256,PRJ-02077,RDO,Approved,32
APR-000257,PRJ-00125,Revenue,Approved,15
APR-000258,PRJ-04711,PWD,Pending,113
APR-000259,PRJ-05000,District Administration,Approved,22
APR-000260,PRJ-04560,District Administration,Approved,32
APR-000261,PRJ-01543,Rural Development,Approved,32
APR-000262,PRJ-01967,District Administration,Approved,30
APR-000263,PRJ-04758,District Administration,Approved,15
APR-000264,PRJ-04238,District Administration,Pending,188
APR-000265,PRJ-04912,Revenue,Approved,16
APR-000266,PRJ-00046,Rural Development,Approved,18
APR-000267,PRJ-02266,Rural Development,Pending,453
APR-000268,PRJ-03538,Rural Development,Approved,25
APR-000269,PRJ-03568,RDO,Approved,11
APR-000270,PRJ-04073,RDO,Approved,21
APR-000271,PRJ-03871,Revenue,Approved,4
APR-000272,PRJ-02200,PWD,Pending,233
APR-000273,PRJ-01084,Rural Development,Approved,26
APR-000274,PRJ-03868,Rural Development,Approved,24
APR-000275,PRJ-04002,RDO,Approved,11
APR-000276,PRJ-04722,District Administration,Approved,9
APR-000277,PRJ-01411,District Administration,Approved,9
APR-000278,PRJ-00115,RDO,Approved,39
APR-000279,PRJ-04353,Revenue,Approved,17
APR-000280,PRJ-02366,Rural Development,Pending,326
APR-000281,PRJ-03667,PWD,Approved,6
APR-000282,PRJ-04338,Rural Development,Approved,30
APR-000283,PRJ-01711,PWD,Pending,159
APR-000284,PRJ-03678,PWD,Approved,37
APR-000285,PRJ-00643,Rural Development,Approved,38
APR-000286,PRJ-04225,Rural Development,Approved,14
APR-000287,PRJ-04217,District Administration,Approved,30
APR-000288,PRJ-01105,Rural Development,Approved,40
APR-000289,PRJ-01970,District Administration,Approved,36
APR-000290,PRJ-03763,RDO,Approved,43
APR-000291,PRJ-04558,Revenue,Pending,286
APR-000292,PRJ-04186,Revenue,Pending,453
APR-000293,PRJ-02873,RDO,Approved,10
APR-000294,PRJ-02293,RDO,Approved,36
APR-000295,PRJ-04894,District Administration,Approved,25
APR-000296,PRJ-04803,RDO,Pending,310
APR-000297,PRJ-00144,RDO,Approved,28
APR-000298,PRJ-01599,RDO,Approved,38
APR-000299,PRJ-00026,District Administration,Approved,15
APR-000300,PRJ-03427,Revenue,Approved,35
APR-000301,PRJ-00585,District Administration,Approved,40
APR-000302,PRJ-03615,Rural Development,Approved,41
APR-000303,PRJ-01532,RDO,Approved,30
APR-000304,PRJ-02728,PWD,Approved,20
APR-000305,PRJ-02894,PWD,Approved,40
APR-000306,PRJ-04118,PWD,Approved,8
APR-000307,PRJ-01803,Rural Development,Pending,278
APR-000308,PRJ-04510,RDO,Approved,0
APR-000309,PRJ-04938,PWD,Approved,17
APR-000310,PRJ-04688,RDO,Approved,4
APR-000311,PRJ-02528,District Administration,Approved,12
APR-000312,PRJ-01692,RDO,Pending,169
APR-000313,PRJ-03154,District Administration,Approved,20
APR-000314,PRJ-01755,Revenue,Approved,20
APR-000315,PRJ-02010,Revenue,Approved,39
APR-000316,PRJ-02828,District Administration,Approved,43
APR-000317,PRJ-02269,District Administration,Approved,16
APR-000318,PRJ-03186,RDO,Approved,16
APR-000319,PRJ-03735,Rural Development,Approved,12
APR-000320,PRJ-04581,PWD,Approved,35
APR-000321,PRJ-03924,Revenue,Approved,39
APR-000322,PRJ-04781,Rural Development,Approved,37
APR-000323,PRJ-04996,Rural Development,Approved,40
APR-000324,PRJ-04267,Revenue,Approved,10
APR-000325,PRJ-02359,District Administration,Pending,196
APR-000326,PRJ-02211,District Administration,Approved,28
APR-000327,PRJ-02353,Revenue,Approved,31
APR-000328,PRJ-02286,Revenue,Approved,31
APR-000329,PRJ-01604,Revenue,Approved,12
APR-000330,PRJ-02907,RDO,Approved,17
APR-000331,PRJ-00033,PWD,Pending,253
APR-000332,PRJ-00538,RDO,Approved,5
APR-000333,PRJ-02760,PWD,Approved,15
APR-000334,PRJ-02411,District Administration,Pending,45
APR-000335,PRJ-01462,Revenue,Approved,36
APR-000336,PRJ-03965,RDO,Approved,10
APR-000337,PRJ-00087,Revenue,Approved,30
APR-000338,PRJ-01715,Revenue,Approved,26
APR-000339,PRJ-04045,Revenue,Approved,5
APR-000340,PRJ-03131,Rural Development,Pending,75
APR-000341,PRJ-01013,RDO,Approved,18
APR-000342,PRJ-03779,PWD,Approved,36
APR-000343,PRJ-00434,PWD,Approved,36
APR-000344,PRJ-03039,Rural Development,Approved,30
APR-000345,PRJ-03221,Rural Development,Approved,38
APR-000346,PRJ-04120,Rural Development,Approved,19
APR-000347,PRJ-02898,Rural Development,Approved,4
APR-000348,PRJ-04017,PWD,Approved,27
APR-000349,PRJ-03129,PWD,Approved,32
APR-000350,PRJ-03209,Rural Development,Approved,41
APR-000351,PRJ-04198,Rural Development,Approved,0
APR-000352,PRJ-04429,Rural Development,Approved,37
APR-000353,PRJ-00433,Revenue,Approved,40
APR-000354,PRJ-00886,District Administration,Pending,226
APR-000355,PRJ-03511,Revenue,Approved,28
APR-000356,PRJ-00710,PWD,Approved,6
APR-000357,PRJ-04312,Revenue,Approved,30
APR-000358,PRJ-02804,PWD,Approved,40
APR-000359,PRJ-02387,PWD,Approved,18
APR-000360,PRJ-00695,RDO,Approved,15
APR-000361,PRJ-03254,PWD,Approved,10
APR-000362,PRJ-02101,Revenue,Approved,5
APR-000363,PRJ-04777,RDO,Approved,34
APR-000364,PRJ-03553,PWD,Approved,43
APR-000365,PRJ-04319,PWD,Approved,32
APR-000366,PRJ-01904,RDO,Approved,19
APR-000367,PRJ-00438,RDO,Approved,23
APR-000368,PRJ-03800,Revenue,Approved,6
APR-000369,PRJ-04321,Revenue,Approved,19
APR-000370,PRJ-04882,District Administration,Approved,38
APR-000371,PRJ-01816,RDO,Approved,26
APR-000372,PRJ-01308,District Administration,Approved,43
APR-000373,PRJ-01011,PWD,Approved,12
APR-000374,PRJ-00953,Revenue,Approved,37
APR-000375,PRJ-00465,PWD,Pending,286
APR-000376,PRJ-00183,Rural Development,Pending,342
APR-000377,PRJ-03857,Rural Development,Approved,15
APR-000378,PRJ-03604,Revenue,Approved,28
APR-000379,PRJ-01063,Revenue,Approved,34
APR-000380,PRJ-03008,Revenue,Pending,195
APR-000381,PRJ-02771,Revenue,Approved,3
APR-000382,PRJ-00641,District Administration,Approved,40
APR-000383,PRJ-00505,RDO,Approved,20
APR-000384,PRJ-01202,PWD,Approved,16
APR-000385,PRJ-01728,RDO,Approved,20
APR-000386,PRJ-02926,Rural Development,Pending,483
APR-000387,PRJ-02193,PWD,Approved,12
APR-000388,PRJ-02231,PWD,Approved,43
APR-000389,PRJ-01930,PWD,Pending,197
APR-000390,PRJ-00334,District Administration,Approved,12
APR-000391,PRJ-03161,RDO,Approved,16
APR-000392,PRJ-00579,District Administration,Approved,20
APR-000393,PRJ-00037,Revenue,Approved,8
APR-000394,PRJ-01103,RDO,Approved,24
APR-000395,PRJ-02403,Rural Development,Approved,17
APR-000396,PRJ-02671,Revenue,Approved,19
APR-000397,PRJ-01735,Rural Development,Approved,1
APR-000398,PRJ-02934,Revenue,Pending,153
APR-000399,PRJ-03629,District Administration,Approved,6
APR-000400,PRJ-03646,Revenue,Approved,26
APR-000401,PRJ-00616,District Administration,Approved,34
APR-000402,PRJ-00736,Rural Development,Approved,18
APR-000403,PRJ-03718,RDO,Approved,30
APR-000404,PRJ-03759,Rural Development,Approved,14
APR-000405,PRJ-01380,PWD,Approved,3
APR-000406,PRJ-04755,RDO,Approved,6
APR-000407,PRJ-02917,District Administration,Approved,15
APR-000408,PRJ-03032,PWD,Approved,26
APR-000409,PRJ-04672,PWD,Approved,30
APR-000410,PRJ-00356,Rural Development,Approved,41
APR-000411,PRJ-01667,PWD,Approved,10
APR-000412,PRJ-01706,PWD,Pending,140
APR-000413,PRJ-01663,PWD,Approved,15
APR-000414,PRJ-01716,District Administration,Pending,421
APR-000415,PRJ-03275,Rural Development,Approved,41
APR-000416,PRJ-03252,District Administration,Approved,4
APR-000417,PRJ-04562,District Administration,Approved,35
APR-000418,PRJ-03520,Revenue,Pending,351
APR-000419,PRJ-04714,Revenue,Approved,11
APR-000420,PRJ-02958,RDO,Approved,9
APR-000421,PRJ-01563,PWD,Pending,258
APR-000422,PRJ-01410,RDO,Approved,22
APR-000423,PRJ-00337,Rural Development,Approved,0
APR-000424,PRJ-03033,Revenue,Approved,37
APR-000425,PRJ-01160,Rural Development,Approved,10
APR-000426,PRJ-00854,District Administration,Approved,35
APR-000427,PRJ-03425,District Administration,Approved,0
APR-000428,PRJ-00118,Rural Development,Pending,358
APR-000429,PRJ-04632,PWD,Approved,36
APR-000430,PRJ-00511,Rural Development,Approved,11
APR-000431,PRJ-01252,Rural Development,Approved,19
APR-000432,PRJ-01826,PWD,Approved,5
APR-000433,PRJ-03715,Revenue,Approved,26
APR-000434,PRJ-03768,District Administration,Approved,2
APR-000435,PRJ-00948,District Administration,Approved,6
APR-000436,PRJ-04127,District Administration,Approved,12
APR-000437,PRJ-02374,PWD,Pending,364
APR-000438,PRJ-00724,Rural Development,Approved,33
APR-000439,PRJ-01528,District Administration,Approved,32
APR-000440,PRJ-01029,Rural Development,Pending,467
APR-000441,PRJ-04795,Rural Development,Pending,60
APR-000442,PRJ-03042,Revenue,Approved,25
APR-000443,PRJ-03346,PWD,Approved,21
APR-000444,PRJ-04767,RDO,Pending,295
APR-000445,PRJ-04973,Revenue,Approved,0
APR-000446,PRJ-04587,District Administration,Approved,31
APR-000447,PRJ-02541,District Administration,Approved,43
APR-000448,PRJ-00426,RDO,Pending,385
APR-000449,PRJ-02317,PWD,Approved,7
APR-000450,PRJ-01886,Rural Development,Approved,40
APR-000451,PRJ-02754,RDO,Approved,21
APR-000452,PRJ-00022,PWD,Pending,427
APR-000453,PRJ-00716,PWD,Approved,39
APR-000454,PRJ-03755,Revenue,Approved,44
APR-000455,PRJ-02338,RDO,Approved,3
APR-000456,PRJ-03937,RDO,Approved,6
APR-000457,PRJ-03469,Rural Development,Approved,19
APR-000458,PRJ-01184,Revenue,Pending,156
APR-000459,PRJ-00464,RDO,Pending,113
APR-000460,PRJ-01976,Revenue,Approved,19
APR-000461,PRJ-01869,Rural Development,Approved,11
APR-000462,PRJ-01265,Revenue,Approved,21
APR-000463,PRJ-02492,Revenue,Approved,37
APR-000464,PRJ-02844,PWD,Approved,23
APR-000465,PRJ-03328,District Administration,Approved,32
APR-000466,PRJ-04451,RDO,Approved,38
APR-000467,PRJ-02435,PWD,Approved,3
APR-000468,PRJ-03547,RDO,Approved,23
APR-000469,PRJ-03162,District Administration,Pending,97
APR-000470,PRJ-01118,Rural Development,Approved,15
APR-000471,PRJ-01508,District Administration,Approved,20
APR-000472,PRJ-00273,PWD,Approved,42
APR-000473,PRJ-03816,Revenue,Approved,42
APR-000474,PRJ-03875,Rural Development,Approved,18
APR-000475,PRJ-00864,Rural Development,Approved,0
APR-000476,PRJ-01815,Rural Development,Approved,13
APR-000477,PRJ-03165,District Administration,Approved,27
APR-000478,PRJ-00652,PWD,Approved,9
APR-000479,PRJ-04239,Revenue,Approved,39
APR-000480,PRJ-01988,District Administration,Approved,30
APR-000481,PRJ-04130,Rural Development,Approved,44
APR-000482,PRJ-00374,Rural Development,Approved,38
APR-000483,PRJ-02866,RDO,Pending,201
APR-000484,PRJ-00548,Rural Development,Approved,9
APR-000485,PRJ-02260,Rural Development,Approved,43
APR-000486,PRJ-03156,Revenue,Approved,4
APR-000487,PRJ-01466,District Administration,Approved,25
APR-000488,PRJ-02106,Revenue,Approved,5
APR-000489,PRJ-01501,PWD,Approved,44
APR-000490,PRJ-01538,RDO,Approved,29
APR-000491,PRJ-02289,Rural Development,Approved,29
APR-000492,PRJ-01259,RDO,Approved,8
APR-000493,PRJ-01084,District Administration,Approved,33
APR-000494,PRJ-04389,Rural Development,Approved,30
APR-000495,PRJ-04552,RDO,Approved,10
APR-000496,PRJ-02351,Rural Development,Approved,11
APR-000497,PRJ-04629,District Administration,Approved,2
APR-000498,PRJ-03093,Rural Development,Pending,230
APR-000499,PRJ-03010,Revenue,Approved,8
APR-000500,PRJ-04957,Revenue,Approved,43
APR-000501,PRJ-03713,RDO,Approved,0
APR-000502,PRJ-04437,District Administration,Approved,22
APR-000503,PRJ-00745,District Administration,Pending,339
APR-000504,PRJ-00305,District Administration,Approved,14
APR-000505,PRJ-02693,Rural Development,Approved,6
APR-000506,PRJ-00619,District Administration,Pending,29
APR-000507,PRJ-04895,Revenue,Pending,155
APR-000508,PRJ-01145,District Administration,Approved,30
APR-000509,PRJ-04577,Revenue,Approved,4
APR-000510,PRJ-02401,Revenue,Approved,15
APR-000511,PRJ-02819,PWD,Pending,440
APR-000512,PRJ-00035,Rural Development,Pending,178
APR-000513,PRJ-02567,PWD,Approved,17
APR-000514,PRJ-02177,Rural Development,Pending,32
APR-000515,PRJ-00474,RDO,Approved,30
APR-000516,PRJ-01283,Rural Development,Approved,18
APR-000517,PRJ-03161,Rural Development,Approved,28
APR-000518,PRJ-04826,District Administration,Approved,28
APR-000519,PRJ-01316,District Administration,Approved,3
APR-000520,PRJ-02585,District Administration,Approved,40
APR-000521,PRJ-01625,PWD,Approved,18
APR-000522,PRJ-03509,Revenue,Approved,8
APR-000523,PRJ-04374,Revenue,Approved,25
APR-000524,PRJ-03032,RDO,Approved,35
APR-000525,PRJ-02769,RDO,Approved,24
APR-000526,PRJ-00093,Revenue,Approved,16
APR-000527,PRJ-01939,Rural Development,Approved,8
APR-000528,PRJ-02008,District Administration,Approved,17
APR-000529,PRJ-01728,District Administration,Approved,34
APR-000530,PRJ-01327,Revenue,Approved,25
APR-000531,PRJ-02822,Rural Development,Pending,79
APR-000532,PRJ-04076,District Administration,Approved,31
APR-000533,PRJ-01742,Revenue,Approved,28
APR-000534,PRJ-00927,District Administration,Approved,10
APR-000535,PRJ-02859,District Administration,Approved,9
APR-000536,PRJ-01119,Revenue,Approved,29
APR-000537,PRJ-02913,District Administration,Approved,31
APR-000538,PRJ-02064,Revenue,Approved,14
APR-000539,PRJ-04551,Revenue,Approved,23
APR-000540,PRJ-01035,Rural Development,Approved,40
APR-000541,PRJ-02844,PWD,Approved,30
APR-000542,PRJ-00039,RDO,Approved,23
APR-000543,PRJ-00084,Revenue,Approved,37
APR-000544,PRJ-00285,Rural Development,Approved,17
APR-000545,PRJ-00496,PWD,Approved,17
APR-000546,PRJ-01332,Revenue,Approved,27
APR-000547,PRJ-01491,PWD,Approved,7
APR-000548,PRJ-04869,Rural Development,Approved,2
APR-000549,PRJ-04884,Rural Development,Approved,21
APR-000550,PRJ-01585,District Administration,Pending,23
APR-000551,PRJ-02470,PWD,Approved,15
APR-000552,PRJ-01007,Revenue,Approved,16
APR-000553,PRJ-04468,Revenue,Approved,29
APR-000554,PRJ-00113,District Administration,Approved,18
APR-000555,PRJ-04986,Revenue,Pending,39
APR-000556,PRJ-02856,District Administration,Approved,24
APR-000557,PRJ-00818,RDO,Pending,298
APR-000558,PRJ-01336,RDO,Approved,8
APR-000559,PRJ-01120,District Administration,Approved,16
APR-000560,PRJ-02291,PWD,Approved,38
APR-000561,PRJ-02210,Rural Development,Approved,24
APR-000562,PRJ-00336,Rural Development,Approved,39
