document_id,record_id,document_type,language,image_quality,document_year
DOC-000040,40,A-Register,Tamil,Good,2019
DOC-000041,41,Patta,Tamil,Poor,1996
DOC-000042,42,Mutation Order,English,Poor,1993
DOC-000043,43,FMB,Tamil-English,Faded,2003
DOC-000044,44,Mutation Order,Tamil,Poor,1986
DOC-000045,45,Patta,Tamil-English,Good,2018
DOC-000046,46,Sale Deed,Tamil,Poor,2009
DOC-000047,47,A-Register,Tamil,Moderate,2009
DOC-000048,48,Mutation Order,Tamil-English,Faded,1983
DOC-000049,49,Patta,English,Good,2018
DOC-000050,50,Chitta,Tamil,Moderate,2013
DOC-000051,51,Sale Deed,Tamil,Good,2004
DOC-000052,52,Chitta,Tamil,Poor,1986
DOC-000053,53,Patta,Tamil,Moderate,2012
DOC-000054,54,Chitta,English,Faded,2006
DOC-000055,55,Chitta,Tamil,Moderate,1981
DOC-000056,56,A-Register,Tamil,Good,1983
DOC-000057,57,A-Register,Tamil,Good,2014
DOC-000058,58,Patta,Tamil,Good,2010
DOC-000059,59,Patta,Tamil,Faded,1985
DOC-000060,60,Patta,English,Moderate,2003
DOC-000061,61,Mutation Order,Tamil,Poor,1999
DOC-000062,62,Patta,Tamil,Moderate,1994
DOC-000063,63,Sale Deed,Tamil-English,Moderate,2017
DOC-000064,64,A-Register,Tamil,Moderate,2000
DOC-000065,65,FMB,English,Good,2016
DOC-000066,66,Sale Deed,Tamil,Good,1986
DOC-000067,67,Sale Deed,Tamil-English,Good,1998
DOC-000068,68,Patta,Tamil,Good,1981
DOC-000069,69,Mutation Order,English,Good,2009
DOC-000070,70,Patta,Tamil-English,Good,2025
DOC-000071,71,A-Register,Tamil,Moderate,2009
DOC-000072,72,FMB,Tamil,Good,2018
DOC-000073,73,Sale Deed,Tamil-English,Moderate,1992
DOC-000074,74,FMB,Tamil-English,Good,2006
DOC-000075,75,Patta,Tamil-English,Moderate,2005
DOC-000076,76,Mutation Order,Tamil-English,Good,2017
DOC-000077,77,FMB,English,Moderate,2021
DOC-000078,78,Sale Deed,Tamil,Good,2014
DOC-000079,79,A-Register,Tamil,Faded,1982
DOC-000080,80,Mutation Order,Tamil,Poor,1985
DOC-000081,81,Patta,Tamil,Good,1980
DOC-000082,82,FMB,Tamil,Moderate,1990
DOC-000083,83,Chitta,Tamil,Good,2018
DOC-000084,84,Patta,Tamil,Good,2021
DOC-000085,85,FMB,Tamil-English,Good,2021
DOC-000086,86,A-Register,Tamil,Good,2024
DOC-000087,87,Chitta,Tamil,Moderate,1994
DOC-000088,88,Patta,Tamil,Poor,1999
DOC-000089,89,Patta,Tamil,Moderate,1993
DOC-000090,90,Mutation Order,Tamil,Good,1987
DOC-000091,91,Sale Deed,Tamil,Poor,2023
DOC-000092,92,Sale Deed,Tamil,Moderate,1985
DOC-000093,93,FMB,English,Poor,2012
DOC-000094,94,Sale Deed,Tamil-English,Good,1988
DOC-000095,95,FMB,Tamil,Good,2023
DOC-000096,96,Patta,Tamil-English,Good,2017
DOC-000097,97,FMB,Tamil,Good,2003
DOC-000098,98,A-Register,Tamil,Good,2003
DOC-000099,99,Chitta,Tamil,Good,1990
DOC-000100,100,Chitta,Tamil,Good,2008
DOC-000101,101,Patta,Tamil,Good,2016
DOC-000102,102,Patta,Tamil,Moderate,2021
DOC-000103,103,Mutation Order,Tamil,Moderate,1985
DOC-000104,104,Chitta,Tamil,Poor,1987
DOC-000105,105,FMB,Tamil,Good,2020
DOC-000106,106,Patta,Tamil,Moderate,2002
DOC-000107,107,Patta,Tamil-English,Good,1996
DOC-000108,108,FMB,English,Good,1994
DOC-000109,109,FMB,Tamil,Poor,1989
DOC-000110,110,Mutation Order,Tamil-English,Moderate,1998
DOC-000111,111,FMB,Tamil,Moderate,2009
DOC-000112,112,FMB,Tamil,Good,2021
DOC-000113,113,FMB,Tamil,Faded,1992
DOC-000114,114,Mutation Order,Tamil,Good,1994
DOC-000115,115,Mutation Order,Tamil,Poor,1980
DOC-000116,116,Chitta,English,Moderate,1982
DOC-000117,117,A-Register,Tamil,Good,1989
DOC-000118,118,A-Register,Tamil,Poor,1990
DOC-000119,119,FMB,Tamil,Moderate,1998
DOC-000120,120,Mutation Order,Tamil,Good,1989
DOC-000121,121,A-Register,Tamil-English,Faded,2004
DOC-000122,122,Mutation Order,Tamil,Moderate,1981
DOC-000123,123,A-Register,Tamil,Moderate,2016
DOC-000124,124,Mutation Order,Tamil,Good,1986
DOC-000125,125,Mutation Order,Tamil-English,Moderate,2011
DOC-000126,126,FMB,Tamil,Moderate,2023
DOC-000127,127,FMB,Tamil-English,Poor,1983
DOC-000128,128,Sale Deed,Tamil,Good,2003
DOC-000129,129,Mutation Order,English,Moderate,2002
DOC-000130,130,Sale Deed,Tamil,Moderate,1990
DOC-000131,131,Mutation Order,Tamil,Good,2010
DOC-000132,132,A-Register,Tamil,Moderate,2012
DOC-000133,133,Mutation Order,Tamil-English,Good,2024
DOC-000134,134,Chitta,Tamil,Moderate,1986
DOC-000135,135,Patta,Tamil,Moderate,2000
DOC-000136,136,Sale Deed,Tamil,Moderate,2018
DOC-000137,137,Chitta,Tamil,Moderate,2017
DOC-000138,138,Chitta,Tamil,Moderate,2006
DOC-000139,139,Sale Deed,Tamil,Good,1982
DOC-000140,140,Chitta,Tamil,Good,1992
DOC-000141,141,Patta,Tamil,Good,2018
DOC-000142,142,FMB,Tamil,Good,2009
DOC-000143,143,A-Register,Tamil-English,Poor,2003
DOC-000144,144,Sale Deed,Tamil,Good,2023
DOC-000145,145,FMB,Tamil,Moderate,2006
DOC-000146,146,Mutation Order,Tamil,Moderate,2007
DOC-000147,147,Chitta,Tamil,Good,1991
DOC-000148,148,Chitta,Tamil,Good,2005
DOC-000149,149,Mutation Order,Tamil,Good,2016
DOC-000150,150,A-Register,Tamil-English,Moderate,2010
DOC-000151,151,Chitta,Tamil,Poor,2018
DOC-000152,152,Mutation Order,Tamil-English,Moderate,1982
DOC-000153,153,Chitta,Tamil,Good,1996
DOC-000154,154,Mutation Order,Tamil,Poor,1988
DOC-000155,155,A-Register,Tamil-English,Good,2025
DOC-000156,156,Patta,Tamil,Good,1993
DOC-000157,157,FMB,Tamil,Moderate,2007
DOC-000158,158,Sale Deed,English,Moderate,1984
DOC-000159,159,FMB,Tamil,Moderate,2006
DOC-000160,160,Chitta,English,Moderate,1998
DOC-000161,161,Patta,Tamil,Moderate,2012
DOC-000162,162,A-Register,Tamil,Moderate,2024
DOC-000163,163,Mutation Order,Tamil-English,Moderate,1994
DOC-000164,164,A-Register,Tamil-English,Good,2007
DOC-000165,165,Patta,Tamil-English,Good,2011
DOC-000166,166,Mutation Order,Tamil,Good,1992
DOC-000167,167,Mutation Order,Tamil,Poor,1981
DOC-000168,168,Patta,Tamil,Moderate,2007
DOC-000169,169,Chitta,English,Good,2022
DOC-000170,170,A-Register,Tamil,Good,2018
DOC-000171,171,Mutation Order,Tamil-English,Good,1997
DOC-000172,172,FMB,Tamil,Moderate,2022
DOC-000173,173,FMB,Tamil,Poor,2003
DOC-000174,174,Patta,Tamil,Good,2025
DOC-000175,175,Chitta,Tamil,Good,1990
DOC-000176,176,Patta,Tamil,Good,2004
DOC-000177,177,FMB,Tamil-English,Good,2013
DOC-000178,178,Chitta,Tamil,Moderate,2014
DOC-000179,179,Patta,Tamil,Moderate,1981
DOC-000180,180,Mutation Order,Tamil,Good,2002
DOC-000181,181,Chitta,Tamil-English,Moderate,2023
DOC-000182,182,Chitta,Tamil,Moderate,1990
DOC-000183,183,Sale Deed,Tamil,Good,2003
DOC-000184,184,Sale Deed,English,Good,2004
DOC-000185,185,Chitta,Tamil,Good,1987
DOC-000186,186,Patta,Tamil,Good,2001
DOC-000187,187,Sale Deed,English,Good,2025
DOC-000188,188,A-Register,English,Good,1985
DOC-000189,189,FMB,English,Good,2012
DOC-000190,190,Mutation Order,Tamil-English,Faded,1982
DOC-000191,191,Patta,Tamil,Poor,2023
DOC-000192,192,A-Register,English,Moderate,2021
DOC-000193,193,Mutation Order,Tamil,Poor,2011
DOC-000194,194,Mutation Order,Tamil,Good,1992
DOC-000195,195,FMB,Tamil-English,Good,1998
DOC-000196,196,FMB,Tamil,Good,2008
DOC-000197,197,Chitta,Tamil,Good,1989
DOC-000198,198,Sale Deed,Tamil,Good,1980
DOC-000199,199,Patta,Tamil,Good,1990
DOC-000200,200,FMB,Tamil,Moderate,2011
DOC-000201,201,FMB,Tamil,Good,1995
DOC-000202,202,Mutation Order,Tamil,Good,2024
DOC-000203,203,Mutation Order,Tamil-English,Good,2012
DOC-000204,204,Patta,Tamil,Moderate,2018
DOC-000205,205,Chitta,Tamil,Poor,1982
DOC-000206,206,A-Register,Tamil,Moderate,2004
DOC-000207,207,Chitta,Tamil,Good,2002
DOC-000208,208,Mutation Order,English,Good,1985
DOC-000209,209,A-Register,Tamil-English,Poor,1990
DOC-000210,210,Chitta,Tamil,Good,1990
DOC-000211,211,FMB,Tamil,Moderate,1997
DOC-000212,212,Mutation Order,Tamil,Good,2007
DOC-000213,213,A-Register,Tamil,Moderate,1991
DOC-000214,214,FMB,Tamil-English,Good,2019
DOC-000215,215,FMB,Tamil-English,Good,2019
DOC-000216,216,Chitta,Tamil,Moderate,1999
DOC-000217,217,Mutation Order,Tamil,Moderate,2000
DOC-000218,218,FMB,Tamil,Good,2023
DOC-000219,219,Chitta,Tamil,Moderate,2004
DOC-000220,220,FMB,English,Good,2000
DOC-000221,221,Chitta,Tamil-English,Good,1986
DOC-000222,222,FMB,Tamil,Poor,2020
DOC-000223,223,Mutation Order,Tamil,Moderate,2005
DOC-000224,224,Patta,Tamil-English,Moderate,1997
DOC-000225,225,FMB,English,Moderate,2017
DOC-000226,226,Chitta,Tamil-English,Good,1991
DOC-000227,227,A-Register,Tamil,Moderate,2020
DOC-000228,228,Sale Deed,Tamil,Good,2001
DOC-000229,229,FMB,Tamil-English,Moderate,1983
DOC-000230,230,A-Register,Tamil-English,Good,2011
DOC-000231,231,FMB,Tamil,Moderate,1981
DOC-000232,232,Patta,Tamil,Good,1998
DOC-000233,233,A-Register,Tamil,Poor,1984
DOC-000234,234,A-Register,Tamil,Good,2001
DOC-000235,235,Sale Deed,Tamil,Moderate,2021
DOC-000236,236,Patta,Tamil,Poor,1999
DOC-000237,237,Patta,English,Moderate,2024
DOC-000238,238,A-Register,Tamil,Good,1994
DOC-000239,239,Chitta,Tamil,Good,1982
DOC-000240,240,Chitta,Tamil,Good,2004
DOC-000241,241,A-Register,English,Good,1997
DOC-000242,242,Sale Deed,English,Good,2000
DOC-000243,243,Chitta,Tamil,Poor,2023
DOC-000244,244,FMB,Tamil-English,Good,2011
DOC-000245,245,A-Register,Tamil,Good,1990
DOC-000246,246,Mutation Order,Tamil,Poor,1989
DOC-000247,247,Sale Deed,English,Moderate,1986
DOC-000248,248,FMB,Tamil,Faded,2014
DOC-000249,249,Sale Deed,Tamil,Good,2001
DOC-000250,250,FMB,Tamil,Good,2013
DOC-000251,251,Sale Deed,Tamil,Moderate,1983
DOC-000252,252,Sale Deed,Tamil,Poor,1994
DOC-000253,253,Sale Deed,Tamil,Moderate,2015
DOC-000254,254,Mutation Order,Tamil,Good,2018
DOC-000255,255,Patta,Tamil,Moderate,2004
DOC-000256,256,Sale Deed,Tamil,Good,1997
DOC-000257,257,A-Register,Tamil,Moderate,2007
DOC-000258,258,Chitta,Tamil-English,Good,2010
DOC-000259,259,FMB,English,Poor,2007
DOC-000260,260,Patta,Tamil,Moderate,1985
DOC-000261,261,FMB,Tamil,Good,1992
DOC-000262,262,A-Register,English,Good,2006
DOC-000263,263,Chitta,Tamil-English,Good,1994
DOC-000264,264,A-Register,Tamil-English,Good,1997
DOC-000265,265,Patta,Tamil,Moderate,2000
DOC-000266,266,Sale Deed,Tamil,Moderate,2025
DOC-000267,267,Patta,Tamil-English,Poor,2019
DOC-000268,268,Chitta,English,Good,2020
DOC-000269,269,A-Register,Tamil,Moderate,1992
DOC-000270,270,Sale Deed,Tamil,Moderate,1994
DOC-000271,271,Chitta,Tamil,Poor,1986
DOC-000272,272,Sale Deed,Tamil-English,Poor,2022
DOC-000273,273,Mutation Order,Tamil-English,Good,2007
DOC-000274,274,Mutation Order,Tamil,Good,1983
DOC-000275,275,Patta,Tamil,Faded,2018
DOC-000276,276,FMB,Tamil,Moderate,1997
DOC-000277,277,Patta,English,Poor,1986
DOC-000278,278,Patta,Tamil,Moderate,1991
DOC-000279,279,Patta,Tamil,Faded,1986
DOC-000280,280,Patta,Tamil,Good,1998
DOC-000281,281,Mutation Order,Tamil,Faded,2013
DOC-000282,282,Chitta,Tamil,Poor,2003
DOC-000283,283,Mutation Order,Tamil,Faded,2009
DOC-000284,284,Chitta,Tamil,Moderate,2019
DOC-000285,285,A-Register,Tamil-English,Moderate,2021
DOC-000286,286,Chitta,Tamil,Poor,1989
DOC-000287,287,Sale Deed,Tamil,Poor,1998
DOC-000288,288,Patta,Tamil-English,Poor,2024
DOC-000289,289,A-Register,Tamil,Moderate,1981
DOC-000290,290,Chitta,Tamil,Poor,2012
DOC-000291,291,Sale Deed,Tamil,Good,2002
DOC-000292,292,Chitta,Tamil,Faded,1983
DOC-000293,293,A-Register,Tamil,Good,2016
DOC-000294,294,Patta,English,Good,2001
DOC-000295,295,FMB,Tamil,Moderate,2006
DOC-000296,296,Mutation Order,Tamil,Good,2002
DOC-000297,297,FMB,English,Faded,1990
DOC-000298,298,Mutation Order,Tamil,Moderate,1983
DOC-000299,299,A-Register,Tamil,Moderate,2007
DOC-000300,300,FMB,Tamil,Good,1997
DOC-000301,301,Patta,Tamil,Good,1988
DOC-000302,302,Patta,Tamil,Good,1984
DOC-000303,303,Sale Deed,Tamil,Moderate,1980
DOC-000304,304,A-Register,Tamil,Good,1989
DOC-000305,305,Chitta,Tamil,Moderate,1994
DOC-000306,306,Sale Deed,Tamil-English,Moderate,1997
DOC-000307,307,Chitta,English,Good,1990
DOC-000308,308,Chitta,Tamil,Good,2009
DOC-000309,309,FMB,Tamil-English,Moderate,2004
DOC-000310,310,FMB,Tamil,Moderate,2010
DOC-000311,311,Sale Deed,Tamil,Moderate,1992
DOC-000312,312,Chitta,Tamil,Poor,2003
DOC-000313,313,Patta,English,Moderate,2001
DOC-000314,314,Mutation Order,Tamil-English,Poor,1998
DOC-000315,315,FMB,Tamil,Good,2014
DOC-000316,316,Sale Deed,Tamil,Moderate,2009
DOC-000317,317,Patta,Tamil,Moderate,2008
DOC-000318,318,Mutation Order,Tamil,Good,2025
DOC-000319,319,FMB,Tamil-English,Moderate,2022
DOC-000320,320,Chitta,Tamil-English,Moderate,2023
DOC-000321,321,Patta,Tamil,Poor,2014
DOC-000322,322,A-Register,Tamil-English,Good,2019
DOC-000323,323,FMB,Tamil-English,Moderate,2020
DOC-000324,324,FMB,Tamil,Poor,1993
DOC-000325,325,FMB,Tamil,Moderate,1982
DOC-000326,326,Mutation Order,Tamil-English,Good,1987
DOC-000327,327,Mutation Order,Tamil,Poor,2024
DOC-000328,328,Chitta,Tamil,Good,2021
DOC-000329,329,A-Register,English,Moderate,2021
DOC-000330,330,Mutation Order,English,Poor,2010
DOC-000331,331,Patta,Tamil,Faded,2009
DOC-000332,332,A-Register,English,Moderate,2005
DOC-000333,333,FMB,English,Moderate,2014
DOC-000334,334,A-Register,Tamil,Good,2018
DOC-000335,335,A-Register,Tamil,Good,2011
DOC-000336,336,Sale Deed,Tamil,Moderate,1998
DOC-000337,337,FMB,Tamil-English,Moderate,1982
DOC-000338,338,A-Register,English,Moderate,1980
DOC-000339,339,A-Register,Tamil,Poor,2014
DOC-000340,340,Patta,Tamil,Moderate,1982
DOC-000341,341,FMB,Tamil,Good,2016
DOC-000342,342,Chitta,Tamil,Poor,1981
DOC-000343,343,Mutation Order,Tamil-English,Good,2018
DOC-000344,344,FMB,Tamil,Good,2013
DOC-000345,345,A-Register,Tamil,Moderate,2013
DOC-000346,346,Patta,Tamil-English,Good,1997
DOC-000347,347,Sale Deed,Tamil-English,Moderate,2016
DOC-000348,348,A-Register,Tamil,Poor,1991
DOC-000349,349,Sale Deed,English,Good,1985
DOC-000350,350,Patta,English,Good,1984
DOC-000351,351,Sale Deed,Tamil,Faded,2004
DOC-000352,352,Mutation Order,Tamil,Moderate,2000
DOC-000353,353,Chitta,Tamil,Good,2000
DOC-000354,354,Sale Deed,Tamil-English,Moderate,1983
DOC-000355,355,Sale Deed,Tamil,Good,1981
DOC-000356,356,FMB,Tamil,Poor,2021
DOC-000357,357,Mutation Order,Tamil-English,Faded,1982
DOC-000358,358,A-Register,English,Faded,2022
DOC-000359,359,Sale Deed,Tamil,Good,1980
DOC-000360,360,Chitta,English,Good,2016
DOC-000361,361,Chitta,Tamil,Moderate,2000
DOC-000362,362,FMB,Tamil-English,Good,2014
DOC-000363,363,FMB,English,Good,2005
DOC-000364,364,Mutation Order,Tamil,Moderate,2009
DOC-000365,365,FMB,Tamil,Good,2011
DOC-000366,366,Patta,Tamil,Moderate,2009
DOC-000367,367,Mutation Order,Tamil,Moderate,2021
DOC-000368,368,Patta,Tamil,Good,2001
DOC-000369,369,FMB,Tamil-English,Good,2007
DOC-000370,370,Chitta,Tamil,Poor,1999
DOC-000371,371,FMB,Tamil-English,Good,2001
DOC-000372,372,Mutation Order,English,Good,2016
DOC-000373,373,FMB,Tamil,Moderate,1998
DOC-000374,374,Patta,Tamil-English,Moderate,2019
DOC-000375,375,Sale Deed,Tamil-English,Moderate,2009
DOC-000376,376,FMB,Tamil,Poor,1991
DOC-000377,377,Patta,Tamil,Good,1980
DOC-000378,378,A-Register,Tamil,Moderate,1998
DOC-000379,379,A-Register,Tamil,Faded,2005
DOC-000380,380,Sale Deed,Tamil,Good,1987
DOC-000381,381,Chitta,Tamil,Good,2022
DOC-000382,382,Chitta,Tamil,Moderate,2018
DOC-000383,383,FMB,Tamil,Good,1982
DOC-000384,384,A-Register,Tamil-English,Moderate,1994
DOC-000385,385,A-Register,English,Moderate,1995
DOC-000386,386,A-Register,Tamil,Good,2015
DOC-000387,387,A-Register,Tamil,Good,1984
DOC-000388,388,Mutation Order,Tamil,Moderate,2012
DOC-000389,389,Sale Deed,Tamil,Good,1984
DOC-000390,390,Sale Deed,Tamil-English,Good,1988
DOC-000391,391,Patta,Tamil,Moderate,1997
DOC-000392,392,Sale Deed,Tamil-English,Moderate,1997
DOC-000393,393,Sale Deed,Tamil,Good,2025
DOC-000394,394,Chitta,Tamil,Good,2006
DOC-000395,395,Patta,Tamil-English,Good,1995
DOC-000396,396,Mutation Order,Tamil,Moderate,2022
DOC-000397,397,FMB,Tamil,Faded,1993
DOC-000398,398,A-Register,Tamil,Poor,1990
DOC-000399,399,Patta,Tamil,Good,1993
DOC-000400,400,Sale Deed,English,Good,1991
DOC-000401,401,Chitta,Tamil-English,Good,2005
DOC-000402,402,Chitta,English,Good,2022
DOC-000403,403,Mutation Order,Tamil,Good,1989
DOC-000404,404,Mutation Order,Tamil,Poor,2000
DOC-000405,405,Chitta,Tamil,Good,2023
DOC-000406,406,Chitta,Tamil,Moderate,1986
DOC-000407,407,Patta,Tamil,Good,2004
DOC-000408,408,A-Register,Tamil-English,Moderate,1999
DOC-000409,409,FMB,Tamil,Moderate,2004
DOC-000410,410,Mutation Order,Tamil,Moderate,1996
DOC-000411,411,A-Register,Tamil-English,Good,2019
DOC-000412,412,Mutation Order,Tamil,Good,1980
DOC-000413,413,A-Register,Tamil,Moderate,2007
DOC-000414,414,Mutation Order,English,Good,1991
DOC-000415,415,Patta,Tamil-English,Good,1986
DOC-000416,416,A-Register,Tamil,Moderate,2009
DOC-000417,417,Sale Deed,Tamil,Good,1983
DOC-000418,418,Patta,Tamil,Poor,1990
DOC-000419,419,A-Register,Tamil,Good,2011
DOC-000420,420,Patta,Tamil,Good,1986
DOC-000421,421,FMB,Tamil-English,Moderate,1993
DOC-000422,422,Patta,Tamil,Poor,1988
DOC-000423,423,Patta,Tamil,Moderate,1982
DOC-000424,424,FMB,Tamil,Poor,2016
DOC-000425,425,Chitta,English,Good,1997
DOC-000426,426,FMB,Tamil-English,Faded,1980
DOC-000427,427,A-Register,Tamil,Poor,1987
DOC-000428,428,Chitta,Tamil,Moderate,2020
DOC-000429,429,A-Register,Tamil,Good,2017
DOC-000430,430,Mutation Order,Tamil,Moderate,2008
DOC-000431,431,Patta,Tamil,Good,1994
DOC-000432,432,FMB,Tamil,Moderate,2003
DOC-000433,433,Sale Deed,Tamil,Good,2009
DOC-000434,434,Chitta,Tamil,Poor,1988
DOC-000435,435,Patta,Tamil,Moderate,1998
DOC-000436,436,FMB,English,Moderate,2016
DOC-000437,437,Patta,Tamil,Poor,1984
DOC-000438,438,A-Register,Tamil-English,Moderate,1993
DOC-000439,439,Sale Deed,Tamil,Moderate,1980
DOC-000440,440,Patta,English,Faded,1999
DOC-000441,441,Mutation Order,Tamil,Moderate,2007
DOC-000442,442,Mutation Order,Tamil-English,Moderate,2025
DOC-000443,443,Chitta,Tamil,Good,1983
DOC-000444,444,Patta,Tamil-English,Moderate,2022
DOC-000445,445,Sale Deed,English,Good,2010
DOC-000446,446,Chitta,Tamil,Faded,2015
DOC-000447,447,Mutation Order,English,Good,2010
DOC-000448,448,Mutation Order,Tamil,Good,1981
DOC-000449,449,FMB,Tamil,Moderate,2021
DOC-000450,450,A-Register,Tamil,Good,1995
DOC-000451,451,FMB,Tamil,Good,2005
DOC-000452,452,FMB,Tamil,Moderate,1989
DOC-000453,453,Chitta,Tamil,Moderate,1985
DOC-000454,454,Sale Deed,Tamil,Good,1989
DOC-000455,455,Patta,Tamil,Good,1995
DOC-000456,456,FMB,Tamil-English,Moderate,2019
DOC-000457,457,Patta,Tamil,Moderate,1985
DOC-000458,458,Patta,Tamil,Good,2014
DOC-000459,459,Sale Deed,Tamil,Moderate,1984
DOC-000460,460,Patta,Tamil,Faded,2023
DOC-000461,461,A-Register,Tamil,Moderate,2016
DOC-000462,462,Patta,Tamil-English,Poor,2009
DOC-000463,463,Chitta,Tamil,Good,1996
DOC-000464,464,A-Register,Tamil,Good,1980
DOC-000465,465,FMB,Tamil,Moderate,2023
DOC-000466,466,A-Register,Tamil,Moderate,2013
DOC-000467,467,Sale Deed,English,Moderate,1997
DOC-000468,468,Chitta,English,Poor,2020
DOC-000469,469,Chitta,Tamil,Moderate,2000
DOC-000470,470,A-Register,Tamil,Moderate,1981
DOC-000471,471,Sale Deed,Tamil-English,Moderate,2000
DOC-000472,472,A-Register,Tamil-English,Good,2013
DOC-000473,473,Patta,Tamil-English,Good,2010
DOC-000474,474,Sale Deed,Tamil,Good,2025
DOC-000475,475,FMB,Tamil-English,Good,2017
DOC-000476,476,Chitta,Tamil-English,Good,1985
DOC-000477,477,FMB,Tamil,Moderate,1995
DOC-000478,478,FMB,Tamil,Moderate,1984
DOC-000479,479,A-Register,Tamil,Good,2025
DOC-000480,480,Sale Deed,Tamil,Moderate,2024
DOC-000481,481,Chitta,Tamil,Moderate,2020
DOC-000482,482,Patta,Tamil-English,Good,2000
DOC-000483,483,Mutation Order,English,Good,1993
DOC-000484,484,Patta,Tamil,Good,2013
DOC-000485,485,Sale Deed,Tamil,Moderate,2021
DOC-000486,486,FMB,English,Moderate,1989
DOC-000487,487,Mutation Order,Tamil-English,Moderate,1980
DOC-000488,488,Chitta,Tamil,Good,1996
DOC-000489,489,FMB,Tamil-English,Moderate,1989
DOC-000490,490,Chitta,Tamil,Moderate,2002
DOC-000491,491,Sale Deed,Tamil,Poor,2011
DOC-000492,492,Mutation Order,Tamil,Faded,2017
DOC-000493,493,Chitta,Tamil,Poor,2002
DOC-000494,494,Sale Deed,Tamil,Poor,2020
DOC-000495,495,Sale Deed,Tamil,Good,2014
DOC-000496,496,Chitta,Tamil-English,Good,1994
DOC-000497,497,FMB,English,Good,2011
DOC-000498,498,Patta,Tamil,Good,1986
DOC-000499,499,A-Register,Tamil,Poor,1991
DOC-000500,500,Mutation Order,Tamil,Good,2009
DOC-000501,501,Patta,Tamil,Moderate,2013
DOC-000502,502,Patta,Tamil-English,Good,2005
DOC-000503,503,Chitta,Tamil,Good,1994
DOC-000504,504,Chitta,Tamil,Good,2022
DOC-000505,505,Mutation Order,Tamil,Good,1981
DOC-000506,506,FMB,Tamil,Moderate,1989
DOC-000507,507,Patta,Tamil,Poor,1980
DOC-000508,508,A-Register,Tamil,Good,2025
DOC-000509,509,Chitta,Tamil,Good,2007
DOC-000510,510,FMB,Tamil,Moderate,1990
DOC-000511,511,Chitta,Tamil-English,Good,2022
DOC-000512,512,Chitta,Tamil,Good,2025
DOC-000513,513,FMB,Tamil-English,Good,1998
DOC-000514,514,FMB,Tamil,Good,2016
DOC-000515,515,Patta,Tamil,Poor,1999
DOC-000516,516,FMB,English,Poor,1996
DOC-000517,517,Mutation Order,Tamil,Poor,1984
DOC-000518,518,FMB,Tamil,Good,2000
DOC-000519,519,Chitta,Tamil,Moderate,2003
DOC-000520,520,Patta,Tamil,Moderate,2015
DOC-000521,521,Sale Deed,Tamil,Good,2024
DOC-000522,522,Patta,Tamil,Good,2006
DOC-000523,523,A-Register,Tamil,Moderate,2001
DOC-000524,524,FMB,Tamil,Poor,2022
DOC-000525,525,Patta,Tamil,Poor,1980
DOC-000526,526,Chitta,Tamil,Faded,2023
DOC-000527,527,Mutation Order,Tamil,Good,2004
DOC-000528,528,Chitta,Tamil,Moderate,2014
DOC-000529,529,Mutation Order,Tamil,Good,2020
DOC-000530,530,Mutation Order,Tamil-English,Good,1987
DOC-000531,531,Mutation Order,Tamil,Moderate,1984
DOC-000532,532,Sale Deed,English,Poor,2020
