delay_id,project_id,historical_delay,delay_days,delay_stage,delay_reason
DLY-000163,PRJ-01155,0,0,None,Stakeholder bottleneck
DLY-000164,PRJ-04808,1,57,Notification,Legal dispute
DLY-000165,PRJ-00409,0,0,None,Stakeholder bottleneck
DLY-000166,PRJ-04570,1,121,Possession,Pending approvals
DLY-000167,PRJ-00050,0,0,None,Incomplete documentation
DLY-000168,PRJ-03284,1,150,Legal,Compensation delay
DLY-000169,PRJ-03253,0,0,None,Pending approvals
DLY-000170,PRJ-00324,1,65,Legal,Stakeholder bottleneck
DLY-000171,PRJ-02275,0,0,None,Pending approvals
DLY-000172,PRJ-03989,1,165,Legal,Compensation delay
DLY-000173,PRJ-01046,0,0,None,Pending approvals
DLY-000174,PRJ-00649,0,0,None,Pending approvals
DLY-000175,PRJ-01370,1,209,Notification,Pending approvals
DLY-000176,PRJ-00805,0,0,None,Pending approvals
DLY-000177,PRJ-01275,0,0,None,Pending approvals
DLY-000178,PRJ-04538,0,0,None,Pending approvals
DLY-000179,PRJ-00534,0,0,None,Pending approvals
DLY-000180,PRJ-04982,1,240,Notification,Compensation delay
DLY-000181,PRJ-04061,0,0,None,Rehabilitation delay
DLY-000182,PRJ-01768,0,0,None,Pending approvals
DLY-000183,PRJ-04582,0,0,None,Pending approvals
DLY-000184,PRJ-01169,0,0,None,Compensation delay
DLY-000185,PRJ-04180,0,0,None,Rehabilitation delay
DLY-000186,PRJ-02074,1,104,Rehabilitation,Pending approvals
DLY-000187,PRJ-01914,0,0,None,Pending approvals
DLY-000188,PRJ-00167,0,0,None,Legal dispute
DLY-000189,PRJ-03751,0,0,None,Rehabilitation delay
DLY-000190,PRJ-03034,0,0,None,Possession pending
DLY-000191,PRJ-04412,0,0,None,Pending approvals
DLY-000192,PRJ-03493,0,0,None,Pending approvals
DLY-000193,PRJ-02526,1,63,Rehabilitation,Pending approvals
DLY-000194,PRJ-00930,0,0,None,Stakeholder bottleneck
DLY-000195,PRJ-03196,0,0,None,Pending approvals
DLY-000196,PRJ-04345,0,0,None,Rehabilitation delay
DLY-000197,PRJ-03204,0,0,None,Pending approvals
DLY-000198,PRJ-00980,0,0,None,Pending approvals
DLY-000199,PRJ-04709,0,0,None,Compensation delay
DLY-000200,PRJ-04527,1,67,Legal,Incomplete documentation
DLY-000201,PRJ-02653,0,0,None,Pending approvals
DLY-000202,PRJ-01381,0,0,None,Legal dispute
DLY-000203,PRJ-01143,1,45,Award,Stakeholder bottleneck
DLY-000204,PRJ-03600,0,0,None,Stakeholder bottleneck
DLY-000205,PRJ-03265,1,73,Award,Compensation delay
DLY-000206,PRJ-03135,0,0,None,Pending approvals
DLY-000207,PRJ-03599,0,0,None,Stakeholder bottleneck
DLY-000208,PRJ-03298,1,55,Possession,Compensation delay
DLY-000209,PRJ-01487,0,0,None,Stakeholder bottleneck
DLY-000210,PRJ-04616,1,64,Award,Legal dispute
DLY-000211,PRJ-03688,0,0,None,Stakeholder bottleneck
DLY-000212,PRJ-03733,1,122,Rehabilitation,Compensation delay
DLY-000213,PRJ-02569,1,68,Approval,Compensation delay
DLY-000214,PRJ-01767,0,0,None,Possession pending
DLY-000215,PRJ-02155,0,0,None,Incomplete documentation
DLY-000216,PRJ-03206,0,0,None,Pending approvals
DLY-000217,PRJ-04503,0,0,None,Pending approvals
DLY-000218,PRJ-03379,0,0,None,Pending approvals
DLY-000219,PRJ-01925,0,0,None,Pending approvals
DLY-000220,PRJ-02195,0,0,None,Stakeholder bottleneck
DLY-000221,PRJ-04609,0,0,None,Pending approvals
DLY-000222,PRJ-04093,0,0,None,Pending approvals
DLY-000223,PRJ-03252,1,113,Approval,Legal dispute
DLY-000224,PRJ-03740,1,187,Rehabilitation,Pending approvals
DLY-000225,PRJ-01637,0,0,None,Pending approvals
DLY-000226,PRJ-03901,1,85,Notification,Legal dispute
DLY-000227,PRJ-01263,0,0,None,Pending approvals
DLY-000228,PRJ-00255,0,0,None,Pending approvals
DLY-000229,PRJ-03543,0,0,None,Possession pending
DLY-000230,PRJ-02700,0,0,None,Rehabilitation delay
DLY-000231,PRJ-00864,0,0,None,Pending approvals
DLY-000232,PRJ-00215,1,130,Rehabilitation,Compensation delay
DLY-000233,PRJ-00906,0,0,None,Rehabilitation delay
DLY-000234,PRJ-03088,0,0,None,Pending approvals
DLY-000235,PRJ-04713,0,0,None,Possession pending
DLY-000236,PRJ-01926,0,0,None,Pending approvals
DLY-000237,PRJ-03993,0,0,None,Stakeholder bottleneck
DLY-000238,PRJ-02235,0,0,None,Pending approvals
DLY-000239,PRJ-00057,0,0,None,Rehabilitation delay
DLY-000240,PRJ-01381,0,0,None,Pending approvals
DLY-000241,PRJ-02267,1,110,Award,Stakeholder bottleneck
DLY-000242,PRJ-03314,0,0,None,Pending approvals
DLY-000243,PRJ-00652,0,0,None,Pending approvals
DLY-000244,PRJ-03030,0,0,None,Incomplete documentation
DLY-000245,PRJ-02294,0,0,None,Legal dispute
DLY-000246,PRJ-01755,0,0,None,Compensation delay
DLY-000247,PRJ-03096,0,0,None,Pending approvals
DLY-000248,PRJ-00178,0,0,None,Pending approvals
DLY-000249,PRJ-04920,0,0,None,Notification pending
DLY-000250,PRJ-02905,0,0,None,Incomplete documentation
DLY-000251,PRJ-04148,1,75,Award,Rehabilitation delay
DLY-000252,PRJ-02204,0,0,None,Pending approvals
DLY-000253,PRJ-02052,1,88,Award,Pending approvals
DLY-000254,PRJ-03416,0,0,None,Rehabilitation delay
DLY-000255,PRJ-04192,0,0,None,Pending approvals
DLY-000256,PRJ-02077,1,48,Compensation,Compensation delay
DLY-000257,PRJ-00125,0,0,None,Pending approvals
DLY-000258,PRJ-04711,0,0,None,Pending approvals
DLY-000259,PRJ-05000,1,130,Rehabilitation,Compensation delay
DLY-000260,PRJ-04560,1,140,Compensation,Incomplete documentation
DLY-000261,PRJ-01543,1,126,Award,Possession pending
DLY-000262,PRJ-01967,1,112,Rehabilitation,Compensation delay
DLY-000263,PRJ-04758,0,0,None,Rehabilitation delay
DLY-000264,PRJ-04238,0,0,None,Pending approvals
DLY-000265,PRJ-04912,0,0,None,Pending approvals
DLY-000266,PRJ-00046,0,0,None,Incomplete documentation
DLY-000267,PRJ-02266,1,101,Notification,Pending approvals
DLY-000268,PRJ-03538,0,0,None,Stakeholder bottleneck
DLY-000269,PRJ-03568,0,0,None,Notification pending
DLY-000270,PRJ-04073,0,0,None,Pending approvals
DLY-000271,PRJ-03871,0,0,None,Pending approvals
DLY-000272,PRJ-02200,0,0,None,Pending approvals
DLY-000273,PRJ-01084,0,0,None,Compensation delay
DLY-000274,PRJ-03868,0,0,None,Stakeholder bottleneck
DLY-000275,PRJ-04002,0,0,None,Compensation delay
DLY-000276,PRJ-04722,0,0,None,Pending approvals
DLY-000277,PRJ-01411,0,0,None,Pending approvals
DLY-000278,PRJ-00115,0,0,None,Notification pending
DLY-000279,PRJ-04353,0,0,None,Compensation delay
DLY-000280,PRJ-02366,0,0,None,Pending approvals
DLY-000281,PRJ-03667,0,0,None,Pending approvals
DLY-000282,PRJ-04338,0,0,None,Notification pending
DLY-000283,PRJ-01711,1,205,Award,Pending approvals
DLY-000284,PRJ-03678,0,0,None,Pending approvals
DLY-000285,PRJ-00643,0,0,None,Legal dispute
DLY-000286,PRJ-04225,0,0,None,Notification pending
DLY-000287,PRJ-04217,0,0,None,Pending approvals
DLY-000288,PRJ-01105,0,0,None,Pending approvals
DLY-000289,PRJ-01970,0,0,None,Pending approvals
DLY-000290,PRJ-03763,1,84,Award,Compensation delay
DLY-000291,PRJ-04558,1,91,Legal,Pending approvals
DLY-000292,PRJ-04186,0,0,None,Pending approvals
DLY-000293,PRJ-02873,0,0,None,Pending approvals
DLY-000294,PRJ-02293,0,0,None,Pending approvals
DLY-000295,PRJ-04894,0,0,None,Pending approvals
DLY-000296,PRJ-04803,0,0,None,Pending approvals
DLY-000297,PRJ-00144,0,0,None,Pending approvals
DLY-000298,PRJ-01599,1,44,Compensation,Compensation delay
DLY-000299,PRJ-00026,0,0,None,Compensation delay
DLY-000300,PRJ-03427,0,0,None,Stakeholder bottleneck
DLY-000301,PRJ-00585,0,0,None,Stakeholder bottleneck
DLY-000302,PRJ-03615,0,0,None,Rehabilitation delay
DLY-000303,PRJ-01532,0,0,None,Pending approvals
DLY-000304,PRJ-02728,0,0,None,Incomplete documentation
DLY-000305,PRJ-02894,0,0,None,Legal dispute
DLY-000306,PRJ-04118,0,0,None,Pending approvals
DLY-000307,PRJ-01803,0,0,None,Pending approvals
DLY-000308,PRJ-04510,0,0,None,Pending approvals
DLY-000309,PRJ-04938,0,0,None,Pending approvals
DLY-000310,PRJ-04688,0,0,None,Incomplete documentation
DLY-000311,PRJ-02528,0,0,None,Pending approvals
DLY-000312,PRJ-01692,0,0,None,Pending approvals
DLY-000313,PRJ-03154,1,126,Approval,Pending approvals
DLY-000314,PRJ-01755,0,0,None,Notification pending
DLY-000315,PRJ-02010,0,0,None,Rehabilitation delay
DLY-000316,PRJ-02828,0,0,None,Pending approvals
DLY-000317,PRJ-02269,0,0,None,Compensation delay
DLY-000318,PRJ-03186,1,77,Rehabilitation,Compensation delay
DLY-000319,PRJ-03735,0,0,None,Compensation delay
DLY-000320,PRJ-04581,0,0,None,Pending approvals
DLY-000321,PRJ-03924,0,0,None,Pending approvals
DLY-000322,PRJ-04781,0,0,None,Legal dispute
DLY-000323,PRJ-04996,0,0,None,Stakeholder bottleneck
DLY-000324,PRJ-04267,0,0,None,Pending approvals
DLY-000325,PRJ-02359,0,0,None,Pending approvals
DLY-000326,PRJ-02211,0,0,None,Possession pending
DLY-000327,PRJ-02353,0,0,None,Pending approvals
DLY-000328,PRJ-02286,1,104,Possession,Legal dispute
DLY-000329,PRJ-01604,0,0,None,Pending approvals
DLY-000330,PRJ-02907,0,0,None,Rehabilitation delay
DLY-000331,PRJ-00033,0,0,None,Pending approvals
DLY-000332,PRJ-00538,0,0,None,Pending approvals
DLY-000333,PRJ-02760,0,0,None,Stakeholder bottleneck
DLY-000334,PRJ-02411,0,0,None,Pending approvals
DLY-000335,PRJ-01462,0,0,None,Incomplete documentation
DLY-000336,PRJ-03965,0,0,None,Compensation delay
DLY-000337,PRJ-00087,1,39,Notification,Stakeholder bottleneck
DLY-000338,PRJ-01715,0,0,None,Notification pending
DLY-000339,PRJ-04045,0,0,None,Stakeholder bottleneck
DLY-000340,PRJ-03131,0,0,None,Pending approvals
DLY-000341,PRJ-01013,1,96,Rehabilitation,Compensation delay
DLY-000342,PRJ-03779,0,0,None,Pending approvals
DLY-000343,PRJ-00434,1,154,Rehabilitation,Compensation delay
DLY-000344,PRJ-03039,0,0,None,Rehabilitation delay
DLY-000345,PRJ-03221,1,62,Possession,Incomplete documentation
DLY-000346,PRJ-04120,0,0,None,Pending approvals
DLY-000347,PRJ-02898,0,0,None,Incomplete documentation
DLY-000348,PRJ-04017,0,0,None,Pending approvals
DLY-000349,PRJ-03129,0,0,None,Pending approvals
DLY-000350,PRJ-03209,0,0,None,Compensation delay
DLY-000351,PRJ-04198,0,0,None,Compensation delay
DLY-000352,PRJ-04429,0,0,None,Pending approvals
DLY-000353,PRJ-00433,0,0,None,Rehabilitation delay
DLY-000354,PRJ-00886,0,0,None,Pending approvals
DLY-000355,PRJ-03511,0,0,None,Rehabilitation delay
DLY-000356,PRJ-00710,0,0,None,Rehabilitation delay
DLY-000357,PRJ-04312,0,0,None,Rehabilitation delay
DLY-000358,PRJ-02804,0,0,None,Compensation delay
DLY-000359,PRJ-02387,0,0,None,Compensation delay
DLY-000360,PRJ-00695,0,0,None,Pending approvals
DLY-000361,PRJ-03254,0,0,None,Pending approvals
DLY-000362,PRJ-02101,1,35,Notification,Compensation delay
DLY-000363,PRJ-04777,0,0,None,Pending approvals
DLY-000364,PRJ-03553,0,0,None,Compensation delay
DLY-000365,PRJ-04319,0,0,None,Incomplete documentation
DLY-000366,PRJ-01904,0,0,None,Pending approvals
DLY-000367,PRJ-00438,0,0,None,Pending approvals
DLY-000368,PRJ-03800,0,0,None,Legal dispute
DLY-000369,PRJ-04321,0,0,None,Pending approvals
DLY-000370,PRJ-04882,0,0,None,Compensation delay
DLY-000371,PRJ-01816,0,0,None,Pending approvals
DLY-000372,PRJ-01308,0,0,None,Rehabilitation delay
DLY-000373,PRJ-01011,0,0,None,Pending approvals
DLY-000374,PRJ-00953,1,46,Legal,Stakeholder bottleneck
DLY-000375,PRJ-00465,0,0,None,Pending approvals
DLY-000376,PRJ-00183,0,0,None,Pending approvals
DLY-000377,PRJ-03857,0,0,None,Pending approvals
DLY-000378,PRJ-03604,0,0,None,Rehabilitation delay
DLY-000379,PRJ-01063,0,0,None,Pending approvals
DLY-000380,PRJ-03008,0,0,None,Pending approvals
DLY-000381,PRJ-02771,0,0,None,Incomplete documentation
DLY-000382,PRJ-00641,1,115,Notification,Legal dispute
DLY-000383,PRJ-00505,0,0,None,Compensation delay
DLY-000384,PRJ-01202,1,123,Rehabilitation,Stakeholder bottleneck
DLY-000385,PRJ-01728,0,0,None,Notification pending
DLY-000386,PRJ-02926,0,0,None,Pending approvals
DLY-000387,PRJ-02193,0,0,None,Compensation delay
DLY-000388,PRJ-02231,0,0,None,Pending approvals
DLY-000389,PRJ-01930,0,0,None,Pending approvals
DLY-000390,PRJ-00334,1,35,Notification,Pending approvals
DLY-000391,PRJ-03161,0,0,None,Compensation delay
DLY-000392,PRJ-00579,0,0,None,Pending approvals
DLY-000393,PRJ-00037,0,0,None,Legal dispute
DLY-000394,PRJ-01103,0,0,None,Legal dispute
DLY-000395,PRJ-02403,0,0,None,Pending approvals
DLY-000396,PRJ-02671,0,0,None,Rehabilitation delay
DLY-000397,PRJ-01735,0,0,None,Compensation delay
DLY-000398,PRJ-02934,0,0,None,Pending approvals
DLY-000399,PRJ-03629,0,0,None,Pending approvals
DLY-000400,PRJ-03646,0,0,None,Pending approvals
DLY-000401,PRJ-00616,0,0,None,Legal dispute
DLY-000402,PRJ-00736,0,0,None,Rehabilitation delay
DLY-000403,PRJ-03718,0,0,None,Rehabilitation delay
DLY-000404,PRJ-03759,0,0,None,Pending approvals
DLY-000405,PRJ-01380,0,0,None,Pending approvals
DLY-000406,PRJ-04755,0,0,None,Pending approvals
DLY-000407,PRJ-02917,0,0,None,Rehabilitation delay
DLY-000408,PRJ-03032,1,81,Legal,Compensation delay
DLY-000409,PRJ-04672,0,0,None,Pending approvals
DLY-000410,PRJ-00356,0,0,None,Rehabilitation delay
DLY-000411,PRJ-01667,1,90,Possession,Pending approvals
DLY-000412,PRJ-01706,0,0,None,Pending approvals
DLY-000413,PRJ-01663,1,86,Legal,Incomplete documentation
DLY-000414,PRJ-01716,1,146,Legal,Pending approvals
DLY-000415,PRJ-03275,0,0,None,Pending approvals
DLY-000416,PRJ-03252,0,0,None,Rehabilitation delay
DLY-000417,PRJ-04562,0,0,None,Pending approvals
DLY-000418,PRJ-03520,1,70,Rehabilitation,Pending approvals
DLY-000419,PRJ-04714,0,0,None,Pending approvals
DLY-000420,PRJ-02958,0,0,None,Pending approvals
DLY-000421,PRJ-01563,0,0,None,Pending approvals
DLY-000422,PRJ-01410,0,0,None,Legal dispute
DLY-000423,PRJ-00337,1,108,Possession,Legal dispute
DLY-000424,PRJ-03033,0,0,None,Pending approvals
DLY-000425,PRJ-01160,0,0,None,Pending approvals
DLY-000426,PRJ-00854,0,0,None,Pending approvals
DLY-000427,PRJ-03425,1,77,Legal,Notification pending
DLY-000428,PRJ-00118,0,0,None,Pending approvals
DLY-000429,PRJ-04632,0,0,None,Stakeholder bottleneck
DLY-000430,PRJ-00511,0,0,None,Compensation delay
DLY-000431,PRJ-01252,0,0,None,Pending approvals
DLY-000432,PRJ-01826,1,101,Approval,Pending approvals
DLY-000433,PRJ-03715,0,0,None,Pending approvals
DLY-000434,PRJ-03768,0,0,None,Compensation delay
DLY-000435,PRJ-00948,1,49,Award,Compensation delay
DLY-000436,PRJ-04127,0,0,None,Stakeholder bottleneck
DLY-000437,PRJ-02374,0,0,None,Pending approvals
DLY-000438,PRJ-00724,0,0,None,Pending approvals
DLY-000439,PRJ-01528,0,0,None,Pending approvals
DLY-000440,PRJ-01029,0,0,None,Pending approvals
DLY-000441,PRJ-04795,0,0,None,Pending approvals
DLY-000442,PRJ-03042,0,0,None,Rehabilitation delay
DLY-000443,PRJ-03346,1,175,Award,Compensation delay
DLY-000444,PRJ-04767,0,0,None,Pending approvals
DLY-000445,PRJ-04973,0,0,None,Stakeholder bottleneck
DLY-000446,PRJ-04587,0,0,None,Rehabilitation delay
DLY-000447,PRJ-02541,0,0,None,Stakeholder bottleneck
DLY-000448,PRJ-00426,0,0,None,Pending approvals
DLY-000449,PRJ-02317,0,0,None,Pending approvals
DLY-000450,PRJ-01886,0,0,None,Stakeholder bottleneck
DLY-000451,PRJ-02754,0,0,None,Pending approvals
DLY-000452,PRJ-00022,1,177,Rehabilitation,Pending approvals
DLY-000453,PRJ-00716,0,0,None,Pending approvals
DLY-000454,PRJ-03755,0,0,None,Pending approvals
DLY-000455,PRJ-02338,1,63,Award,Rehabilitation delay
DLY-000456,PRJ-03937,0,0,None,Compensation delay
DLY-000457,PRJ-03469,0,0,None,Compensation delay
DLY-000458,PRJ-01184,1,166,Approval,Pending approvals
DLY-000459,PRJ-00464,0,0,None,Pending approvals
DLY-000460,PRJ-01976,0,0,None,Possession pending
DLY-000461,PRJ-01869,0,0,None,Compensation delay
DLY-000462,PRJ-01265,0,0,None,Pending approvals
DLY-000463,PRJ-02492,0,0,None,Pending approvals
DLY-000464,PRJ-02844,1,106,Rehabilitation,Stakeholder bottleneck
DLY-000465,PRJ-03328,0,0,None,Compensation delay
DLY-000466,PRJ-04451,0,0,None,Pending approvals
DLY-000467,PRJ-02435,0,0,None,Rehabilitation delay
DLY-000468,PRJ-03547,0,0,None,Stakeholder bottleneck
DLY-000469,PRJ-03162,0,0,None,Pending approvals
DLY-000470,PRJ-01118,0,0,None,Possession pending
DLY-000471,PRJ-01508,0,0,None,Incomplete documentation
DLY-000472,PRJ-00273,0,0,None,Incomplete documentation
DLY-000473,PRJ-03816,0,0,None,Compensation delay
DLY-000474,PRJ-03875,0,0,None,Pending approvals
DLY-000475,PRJ-00864,0,0,None,Possession pending
