weather_id,project_id,monsoon_exposure,extreme_rain_events,weather_risk_score
WX-000045,PRJ-00408,Low,1,49.0
WX-000046,PRJ-04038,Low,1,25.8
WX-000047,PRJ-04420,Low,0,64.3
WX-000048,PRJ-03723,Low,1,75.9
WX-000049,PRJ-02963,Medium,2,50.2
WX-000050,PRJ-01806,Medium,5,57.4
WX-000051,PRJ-00820,Medium,2,99.3
WX-000052,PRJ-02500,Medium,1,7.6
WX-000053,PRJ-00047,Medium,1,62.9
WX-000054,PRJ-03928,Low,2,46.0
WX-000055,PRJ-04413,Low,4,50.0
WX-000056,PRJ-03966,Medium,2,50.7
WX-000057,PRJ-03783,High,0,5.3
WX-000058,PRJ-02071,Medium,1,68.0
WX-000059,PRJ-00121,Medium,2,36.0
WX-000060,PRJ-04700,Medium,2,39.7
WX-000061,PRJ-03565,Low,2,38.8
WX-000062,PRJ-03350,Low,2,97.3
WX-000063,PRJ-00147,Low,1,58.5
WX-000064,PRJ-02660,Low,4,99.3
WX-000065,PRJ-01864,Medium,2,16.3
WX-000066,PRJ-03686,Low,2,91.3
WX-000067,PRJ-02172,Low,1,14.7
WX-000068,PRJ-04680,Low,1,35.0
WX-000069,PRJ-02050,Medium,2,41.2
WX-000070,PRJ-02802,Medium,4,44.9
WX-000071,PRJ-02479,Low,3,64.0
WX-000072,PRJ-01712,Low,3,0.2
WX-000073,PRJ-01340,Low,0,60.1
WX-000074,PRJ-03519,Low,4,81.9
WX-000075,PRJ-01645,Medium,2,12.0
WX-000076,PRJ-02849,Low,1,19.1
WX-000077,PRJ-03824,Medium,2,5.6
WX-000078,PRJ-00512,Low,0,38.9
WX-000079,PRJ-04561,High,0,39.3
WX-000080,PRJ-04797,Medium,2,2.6
WX-000081,PRJ-02034,Medium,1,48.8
WX-000082,PRJ-00257,Medium,3,50.9
WX-000083,PRJ-01799,Low,3,69.4
WX-000084,PRJ-04788,Low,0,42.3
WX-000085,PRJ-05000,Low,1,19.5
WX-000086,PRJ-04508,Medium,3,77.2
WX-000087,PRJ-03416,Low,1,2.5
WX-000088,PRJ-01202,Low,2,45.0
WX-000089,PRJ-03292,High,2,39.1
WX-000090,PRJ-04515,Low,1,47.7
WX-000091,PRJ-01732,Medium,3,17.7
WX-000092,PRJ-00888,Medium,2,26.4
WX-000093,PRJ-04229,Low,1,13.2
WX-000094,PRJ-02831,Medium,1,82.1
WX-000095,PRJ-00990,Medium,1,53.1
WX-000096,PRJ-00531,Low,2,67.7
WX-000097,PRJ-03614,High,1,75.3
WX-000098,PRJ-02708,High,0,11.1
WX-000099,PRJ-04351,Low,1,44.8
WX-000100,PRJ-01319,Low,2,70.0
WX-000101,PRJ-01892,Low,1,91.4
WX-000102,PRJ-00304,Low,2,10.5
WX-000103,PRJ-03769,Low,4,98.0
WX-000104,PRJ-03422,Low,0,15.9
WX-000105,PRJ-03141,Medium,2,82.3
WX-000106,PRJ-03007,Medium,1,0.4
WX-000107,PRJ-00619,Low,1,65.2
WX-000108,PRJ-01462,High,0,75.7
WX-000109,PRJ-02996,Medium,0,71.0
WX-000110,PRJ-03400,Low,0,27.3
WX-000111,PRJ-04381,High,2,86.8
WX-000112,PRJ-03352,Medium,0,60.1
WX-000113,PRJ-00667,Low,0,18.1
WX-000114,PRJ-04940,Medium,3,39.9
WX-000115,PRJ-02944,Medium,2,82.8
WX-000116,PRJ-01380,High,0,0.4
WX-000117,PRJ-02461,Medium,1,86.9
WX-000118,PRJ-03045,Low,2,60.9
WX-000119,PRJ-02096,Low,1,20.6
WX-000120,PRJ-01505,Low,1,86.8
WX-000121,PRJ-04125,Medium,2,87.4
WX-000122,PRJ-03675,Low,0,33.3
WX-000123,PRJ-02749,Low,1,35.6
WX-000124,PRJ-00261,High,2,47.8
WX-000125,PRJ-02735,Medium,1,44.9
WX-000126,PRJ-01922,High,1,76.4
WX-000127,PRJ-02823,Medium,1,82.3
WX-000128,PRJ-03896,Medium,2,16.8
WX-000129,PRJ-04847,Medium,1,17.3
WX-000130,PRJ-00526,High,1,5.8
WX-000131,PRJ-00850,Low,5,51.9
WX-000132,PRJ-03360,Low,0,60.7
WX-000133,PRJ-03598,Medium,2,10.8
WX-000134,PRJ-00172,Medium,0,23.2
WX-000135,PRJ-03342,Medium,0,88.4
WX-000136,PRJ-00101,Medium,2,9.8
WX-000137,PRJ-02227,Low,0,49.5
WX-000138,PRJ-02372,Low,3,14.1
WX-000139,PRJ-03477,Medium,2,78.6
WX-000140,PRJ-04735,Medium,0,54.8
WX-000141,PRJ-00377,High,1,59.5
WX-000142,PRJ-01771,Low,0,79.2
WX-000143,PRJ-02920,Low,0,22.9
WX-000144,PRJ-04231,Low,1,17.4
WX-000145,PRJ-04388,Low,3,33.0
WX-000146,PRJ-03550,Medium,3,79.3
WX-000147,PRJ-01637,Medium,1,96.6
WX-000148,PRJ-02217,High,3,15.2
WX-000149,PRJ-01964,Medium,3,57.7
WX-000150,PRJ-04450,Medium,1,82.9
WX-000151,PRJ-02554,Medium,1,8.4
WX-000152,PRJ-00755,Low,0,98.8
WX-000153,PRJ-04553,Low,1,66.2
WX-000154,PRJ-01387,Low,2,66.2
WX-000155,PRJ-00365,Low,2,49.5
WX-000156,PRJ-03924,Low,4,3.4
WX-000157,PRJ-04125,Low,2,18.3
WX-000158,PRJ-03453,High,0,86.2
WX-000159,PRJ-02316,Medium,1,91.8
WX-000160,PRJ-02032,Medium,4,66.3
WX-000161,PRJ-02630,Medium,0,42.0
WX-000162,PRJ-04312,Low,0,71.6
WX-000163,PRJ-01155,High,0,48.8
WX-000164,PRJ-04808,Low,0,64.3
WX-000165,PRJ-00409,Medium,0,99.3
WX-000166,PRJ-04570,High,2,18.6
WX-000167,PRJ-00050,High,3,32.6
WX-000168,PRJ-03284,High,1,31.5
WX-000169,PRJ-03253,Medium,2,40.4
WX-000170,PRJ-00324,Low,1,89.6
WX-000171,PRJ-02275,Medium,1,60.2
WX-000172,PRJ-03989,Medium,2,27.0
WX-000173,PRJ-01046,Low,0,63.8
WX-000174,PRJ-00649,Low,1,74.5
WX-000175,PRJ-01370,Low,3,33.4
WX-000176,PRJ-00805,High,1,66.5
WX-000177,PRJ-01275,Low,2,12.7
WX-000178,PRJ-04538,High,0,47.7
WX-000179,PRJ-00534,Low,0,92.7
WX-000180,PRJ-04982,High,2,56.3
WX-000181,PRJ-04061,Low,2,53.4
WX-000182,PRJ-01768,Low,3,12.9
WX-000183,PRJ-04582,Low,3,88.5
WX-000184,PRJ-01169,Medium,2,0.4
WX-000185,PRJ-04180,Low,2,62.8
WX-000186,PRJ-02074,Low,3,54.8
WX-000187,PRJ-01914,Medium,1,24.5
WX-000188,PRJ-00167,Medium,2,77.4
WX-000189,PRJ-03751,Medium,4,19.2
WX-000190,PRJ-03034,Low,2,60.6
WX-000191,PRJ-04412,Low,4,18.4
WX-000192,PRJ-03493,High,0,95.0
WX-000193,PRJ-02526,Medium,1,79.3
WX-000194,PRJ-00930,Medium,2,96.7
WX-000195,PRJ-03196,High,0,43.9
WX-000196,PRJ-04345,Low,2,57.5
WX-000197,PRJ-03204,Low,3,88.2
WX-000198,PRJ-00980,Low,2,26.2
WX-000199,PRJ-04709,Low,0,1.0
WX-000200,PRJ-04527,High,1,90.3
WX-000201,PRJ-02653,Low,1,24.4
WX-000202,PRJ-01381,Low,1,73.3
WX-000203,PRJ-01143,Medium,2,49.8
WX-000204,PRJ-03600,Medium,3,63.5
WX-000205,PRJ-03265,Medium,2,78.4
WX-000206,PRJ-03135,Medium,0,25.9
WX-000207,PRJ-03599,Medium,2,11.8
WX-000208,PRJ-03298,High,1,50.8
WX-000209,PRJ-01487,Low,3,39.1
WX-000210,PRJ-04616,High,3,33.0
WX-000211,PRJ-03688,Low,2,90.7
WX-000212,PRJ-03733,Low,0,68.8
WX-000213,PRJ-02569,Low,3,50.2
WX-000214,PRJ-01767,Low,1,50.4
WX-000215,PRJ-02155,Low,4,12.1
WX-000216,PRJ-03206,Low,1,14.5
WX-000217,PRJ-04503,High,1,21.1
WX-000218,PRJ-03379,High,2,82.1
WX-000219,PRJ-01925,Medium,3,95.2
WX-000220,PRJ-02195,Medium,1,34.1
WX-000221,PRJ-04609,Low,1,29.5
WX-000222,PRJ-04093,High,0,90.0
WX-000223,PRJ-03252,Low,3,15.5
WX-000224,PRJ-03740,Medium,1,67.5
WX-000225,PRJ-01637,High,1,67.0
WX-000226,PRJ-03901,Low,1,12.9
WX-000227,PRJ-01263,Low,1,60.0
WX-000228,PRJ-00255,Medium,2,31.4
WX-000229,PRJ-03543,Low,1,76.1
WX-000230,PRJ-02700,Medium,0,34.5
WX-000231,PRJ-00864,Medium,2,97.6
WX-000232,PRJ-00215,High,1,1.7
WX-000233,PRJ-00906,High,0,43.0
WX-000234,PRJ-03088,Medium,2,17.8
WX-000235,PRJ-04713,Low,1,14.2
WX-000236,PRJ-01926,Low,2,47.2
WX-000237,PRJ-03993,Medium,2,44.1
WX-000238,PRJ-02235,High,4,20.1
WX-000239,PRJ-00057,Medium,3,61.7
WX-000240,PRJ-01381,Medium,3,78.1
WX-000241,PRJ-02267,High,4,56.1
WX-000242,PRJ-03314,High,0,30.4
WX-000243,PRJ-00652,Low,2,28.6
WX-000244,PRJ-03030,Medium,1,33.7
WX-000245,PRJ-02294,Low,1,56.0
WX-000246,PRJ-01755,High,1,86.8
WX-000247,PRJ-03096,Medium,1,6.7
WX-000248,PRJ-00178,Low,0,23.0
WX-000249,PRJ-04920,High,1,13.8
WX-000250,PRJ-02905,Medium,2,14.1
WX-000251,PRJ-04148,Low,0,30.3
WX-000252,PRJ-02204,High,1,48.5
WX-000253,PRJ-02052,Medium,4,96.0
WX-000254,PRJ-03416,High,3,61.2
WX-000255,PRJ-04192,Low,3,64.7
WX-000256,PRJ-02077,Low,2,38.1
WX-000257,PRJ-00125,Low,1,10.1
WX-000258,PRJ-04711,Medium,1,65.4
WX-000259,PRJ-05000,Low,1,76.9
WX-000260,PRJ-04560,Low,3,42.4
WX-000261,PRJ-01543,Medium,2,44.0
WX-000262,PRJ-01967,Low,0,80.9
WX-000263,PRJ-04758,High,1,93.1
WX-000264,PRJ-04238,Medium,0,73.8
WX-000265,PRJ-04912,High,3,36.4
WX-000266,PRJ-00046,Low,0,6.0
WX-000267,PRJ-02266,Low,1,0.4
WX-000268,PRJ-03538,Medium,0,29.7
WX-000269,PRJ-03568,Medium,0,12.8
WX-000270,PRJ-04073,Medium,2,66.3
WX-000271,PRJ-03871,Medium,1,50.0
WX-000272,PRJ-02200,Low,1,96.7
WX-000273,PRJ-01084,Medium,1,24.1
WX-000274,PRJ-03868,Medium,1,46.1
WX-000275,PRJ-04002,Medium,3,96.3
WX-000276,PRJ-04722,Medium,1,20.8
WX-000277,PRJ-01411,Medium,1,24.4
WX-000278,PRJ-00115,Low,3,22.9
WX-000279,PRJ-04353,Low,0,77.5
WX-000280,PRJ-02366,High,0,99.4
WX-000281,PRJ-03667,Medium,3,59.4
WX-000282,PRJ-04338,Low,4,21.0
WX-000283,PRJ-01711,Low,1,73.6
WX-000284,PRJ-03678,Medium,1,12.2
WX-000285,PRJ-00643,Medium,0,64.6
WX-000286,PRJ-04225,Medium,0,17.5
WX-000287,PRJ-04217,Medium,4,66.6
WX-000288,PRJ-01105,Medium,1,8.3
WX-000289,PRJ-01970,Low,2,83.8
WX-000290,PRJ-03763,High,1,73.8
WX-000291,PRJ-04558,Medium,0,91.5
WX-000292,PRJ-04186,Medium,2,49.1
WX-000293,PRJ-02873,Medium,1,0.1
WX-000294,PRJ-02293,Medium,3,41.2
WX-000295,PRJ-04894,Medium,0,74.0
WX-000296,PRJ-04803,High,1,26.0
WX-000297,PRJ-00144,Low,1,79.5
WX-000298,PRJ-01599,High,1,61.1
WX-000299,PRJ-00026,High,2,42.9
WX-000300,PRJ-03427,High,1,26.4
WX-000301,PRJ-00585,Low,0,88.1
WX-000302,PRJ-03615,Medium,3,59.3
WX-000303,PRJ-01532,Medium,1,30.0
WX-000304,PRJ-02728,Medium,0,31.5
WX-000305,PRJ-02894,Medium,1,92.6
WX-000306,PRJ-04118,Low,2,58.5
WX-000307,PRJ-01803,Low,0,51.6
WX-000308,PRJ-04510,Low,3,40.7
WX-000309,PRJ-04938,Low,3,38.1
WX-000310,PRJ-04688,Low,0,39.3
WX-000311,PRJ-02528,Low,0,68.1
WX-000312,PRJ-01692,Medium,2,20.1
WX-000313,PRJ-03154,Low,2,91.2
WX-000314,PRJ-01755,High,2,47.5
WX-000315,PRJ-02010,High,1,91.2
WX-000316,PRJ-02828,Medium,1,29.6
WX-000317,PRJ-02269,High,1,13.9
WX-000318,PRJ-03186,Low,4,49.3
WX-000319,PRJ-03735,Low,3,91.6
WX-000320,PRJ-04581,Medium,2,53.3
WX-000321,PRJ-03924,High,0,88.8
WX-000322,PRJ-04781,High,6,21.4
WX-000323,PRJ-04996,Low,3,30.0
WX-000324,PRJ-04267,High,1,31.7
WX-000325,PRJ-02359,High,0,63.9
WX-000326,PRJ-02211,Low,3,68.6
WX-000327,PRJ-02353,Medium,0,39.5
WX-000328,PRJ-02286,Medium,0,24.4
WX-000329,PRJ-01604,Medium,2,89.5
WX-000330,PRJ-02907,Low,0,23.6
WX-000331,PRJ-00033,High,1,78.6
WX-000332,PRJ-00538,Medium,1,54.1
WX-000333,PRJ-02760,Low,0,89.7
WX-000334,PRJ-02411,Low,0,81.5
WX-000335,PRJ-01462,High,1,40.7
WX-000336,PRJ-03965,Low,2,57.6
WX-000337,PRJ-00087,Low,0,65.1
WX-000338,PRJ-01715,Medium,0,19.4
WX-000339,PRJ-04045,Low,5,41.1
WX-000340,PRJ-03131,Low,2,57.1
WX-000341,PRJ-01013,Medium,2,95.2
WX-000342,PRJ-03779,High,0,3.0
WX-000343,PRJ-00434,Low,2,72.8
WX-000344,PRJ-03039,Medium,0,5.3
WX-000345,PRJ-03221,High,1,21.2
WX-000346,PRJ-04120,Medium,1,50.3
WX-000347,PRJ-02898,High,4,85.0
WX-000348,PRJ-04017,Low,2,76.6
WX-000349,PRJ-03129,Low,2,1.2
WX-000350,PRJ-03209,High,3,24.4
WX-000351,PRJ-04198,Low,3,76.2
WX-000352,PRJ-04429,Medium,1,15.0
WX-000353,PRJ-00433,Medium,1,78.7
WX-000354,PRJ-00886,Low,1,40.9
WX-000355,PRJ-03511,Low,1,38.8
WX-000356,PRJ-00710,Medium,3,5.7
WX-000357,PRJ-04312,Medium,2,38.9
WX-000358,PRJ-02804,Medium,3,79.7
WX-000359,PRJ-02387,Low,2,80.4
WX-000360,PRJ-00695,Low,2,45.7
WX-000361,PRJ-03254,Medium,3,81.6
WX-000362,PRJ-02101,Low,7,31.3
WX-000363,PRJ-04777,Medium,1,25.7
WX-000364,PRJ-03553,Medium,0,77.4
WX-000365,PRJ-04319,Medium,2,72.6
WX-000366,PRJ-01904,Medium,2,71.5
WX-000367,PRJ-00438,Low,0,59.4
WX-000368,PRJ-03800,Low,0,82.7
WX-000369,PRJ-04321,Low,1,20.5
WX-000370,PRJ-04882,Low,2,75.8
WX-000371,PRJ-01816,Medium,2,23.0
WX-000372,PRJ-01308,Medium,1,96.8
WX-000373,PRJ-01011,Medium,2,43.1
WX-000374,PRJ-00953,Low,0,63.2
WX-000375,PRJ-00465,Medium,2,23.2
WX-000376,PRJ-00183,Low,0,53.1
WX-000377,PRJ-03857,Medium,0,80.6
WX-000378,PRJ-03604,Low,3,69.7
WX-000379,PRJ-01063,Medium,2,39.3
WX-000380,PRJ-03008,Medium,0,69.5
WX-000381,PRJ-02771,Medium,3,85.7
WX-000382,PRJ-00641,Low,1,9.0
WX-000383,PRJ-00505,Medium,1,95.7
WX-000384,PRJ-01202,Medium,0,48.5
WX-000385,PRJ-01728,Medium,1,36.8
WX-000386,PRJ-02926,Medium,2,22.1
WX-000387,PRJ-02193,Low,2,19.2
WX-000388,PRJ-02231,Low,0,9.4
WX-000389,PRJ-01930,Medium,2,46.9
WX-000390,PRJ-00334,Medium,1,49.5
WX-000391,PRJ-03161,Medium,1,82.2
WX-000392,PRJ-00579,Low,1,95.0
WX-000393,PRJ-00037,Low,2,12.0
WX-000394,PRJ-01103,Medium,1,24.7
WX-000395,PRJ-02403,Low,0,51.1
WX-000396,PRJ-02671,Low,2,73.5
WX-000397,PRJ-01735,Low,3,93.9
WX-000398,PRJ-02934,Low,1,75.5
WX-000399,PRJ-03629,High,1,31.4
WX-000400,PRJ-03646,Low,1,19.2
WX-000401,PRJ-00616,High,1,53.8
WX-000402,PRJ-00736,Low,4,55.5
WX-000403,PRJ-03718,High,0,87.3
WX-000404,PRJ-03759,Medium,1,73.6
WX-000405,PRJ-01380,Low,0,43.0
WX-000406,PRJ-04755,Medium,2,57.6
WX-000407,PRJ-02917,Medium,1,8.1
WX-000408,PRJ-03032,High,0,71.1
WX-000409,PRJ-04672,Low,2,59.6
WX-000410,PRJ-00356,High,2,73.4
WX-000411,PRJ-01667,Low,1,82.5
WX-000412,PRJ-01706,Medium,1,19.9
WX-000413,PRJ-01663,Low,2,14.1
WX-000414,PRJ-01716,High,2,86.7
WX-000415,PRJ-03275,High,1,70.9
WX-000416,PRJ-03252,Medium,0,19.4
WX-000417,PRJ-04562,High,1,84.9
WX-000418,PRJ-03520,Low,3,39.6
WX-000419,PRJ-04714,Medium,2,3.1
WX-000420,PRJ-02958,Low,1,78.8
WX-000421,PRJ-01563,Low,1,18.6
WX-000422,PRJ-01410,Low,0,68.7
WX-000423,PRJ-00337,High,0,63.8
WX-000424,PRJ-03033,Medium,1,92.3
WX-000425,PRJ-01160,Medium,0,94.3
WX-000426,PRJ-00854,Low,3,89.3
WX-000427,PRJ-03425,Low,3,23.3
WX-000428,PRJ-00118,Medium,1,49.4
WX-000429,PRJ-04632,Medium,3,3.0
WX-000430,PRJ-00511,Low,3,1.8
WX-000431,PRJ-01252,Low,0,75.9
WX-000432,PRJ-01826,Medium,2,87.1
WX-000433,PRJ-03715,Medium,1,41.3
WX-000434,PRJ-03768,Low,1,49.9
WX-000435,PRJ-00948,Medium,2,18.0
WX-000436,PRJ-04127,Medium,1,97.6
WX-000437,PRJ-02374,Low,2,62.0
WX-000438,PRJ-00724,High,3,64.0
WX-000439,PRJ-01528,Low,1,44.7
WX-000440,PRJ-01029,Low,1,3.5
WX-000441,PRJ-04795,Medium,5,3.7
WX-000442,PRJ-03042,Low,2,37.2
WX-000443,PRJ-03346,Low,1,90.7
WX-000444,PRJ-04767,Medium,2,16.9
WX-000445,PRJ-04973,Low,2,53.4
WX-000446,PRJ-04587,Low,2,35.4
WX-000447,PRJ-02541,Low,3,85.0
WX-000448,PRJ-00426,High,2,25.5
WX-000449,PRJ-02317,High,3,23.4
WX-000450,PRJ-01886,Low,0,60.4
WX-000451,PRJ-02754,High,3,91.8
WX-000452,PRJ-00022,Low,0,10.9
WX-000453,PRJ-00716,Low,2,2.9
WX-000454,PRJ-03755,Low,4,16.0
WX-000455,PRJ-02338,Medium,3,27.9
WX-000456,PRJ-03937,Low,2,5.5
WX-000457,PRJ-03469,Medium,2,18.4
WX-000458,PRJ-01184,Medium,0,21.5
WX-000459,PRJ-00464,Low,1,43.4
WX-000460,PRJ-01976,Low,1,28.4
WX-000461,PRJ-01869,Low,0,35.7
WX-000462,PRJ-01265,Medium,1,44.2
WX-000463,PRJ-02492,Medium,1,8.5
WX-000464,PRJ-02844,Medium,0,35.2
WX-000465,PRJ-03328,Medium,1,85.9
WX-000466,PRJ-04451,High,2,47.4
WX-000467,PRJ-02435,Medium,2,49.4
WX-000468,PRJ-03547,Medium,1,6.2
WX-000469,PRJ-03162,Low,3,43.0
WX-000470,PRJ-01118,High,0,76.0
WX-000471,PRJ-01508,Low,0,96.7
WX-000472,PRJ-00273,High,5,47.6
WX-000473,PRJ-03816,Medium,2,69.5
WX-000474,PRJ-03875,Low,1,50.6
WX-000475,PRJ-00864,Low,0,14.9
WX-000476,PRJ-01815,Low,2,96.1
WX-000477,PRJ-03165,Low,2,80.2
WX-000478,PRJ-00652,Low,2,57.8
WX-000479,PRJ-04239,Low,2,86.3
WX-000480,PRJ-01988,Medium,0,81.7
WX-000481,PRJ-04130,Medium,4,68.9
WX-000482,PRJ-00374,Low,2,1.6
WX-000483,PRJ-02866,High,0,65.7
WX-000484,PRJ-00548,High,2,96.1
WX-000485,PRJ-02260,Low,4,50.9
WX-000486,PRJ-03156,Medium,0,78.2
WX-000487,PRJ-01466,Low,2,42.5
WX-000488,PRJ-02106,Medium,1,91.4
WX-000489,PRJ-01501,Medium,2,98.8
WX-000490,PRJ-01538,Medium,1,67.6
WX-000491,PRJ-02289,Medium,0,37.2
WX-000492,PRJ-01259,Low,0,79.5
WX-000493,PRJ-01084,Low,0,73.2
WX-000494,PRJ-04389,Medium,2,89.1
WX-000495,PRJ-04552,Medium,0,83.9
WX-000496,PRJ-02351,Low,4,83.8
WX-000497,PRJ-04629,Medium,2,77.3
WX-000498,PRJ-03093,Medium,0,69.8
WX-000499,PRJ-03010,Low,1,88.1
WX-000500,PRJ-04957,High,2,73.1
WX-000501,PRJ-03713,Medium,2,62.6
WX-000502,PRJ-04437,Medium,2,69.7
WX-000503,PRJ-00745,Low,0,40.2
WX-000504,PRJ-00305,Low,3,53.5
WX-000505,PRJ-02693,Medium,1,68.2
WX-000506,PRJ-00619,Medium,0,76.8
WX-000507,PRJ-04895,Low,2,94.5
WX-000508,PRJ-01145,Medium,2,9.9
WX-000509,PRJ-04577,Medium,3,46.8
WX-000510,PRJ-02401,Medium,0,34.6
WX-000511,PRJ-02819,Medium,0,76.1
WX-000512,PRJ-00035,High,4,98.4
WX-000513,PRJ-02567,Low,0,29.6
WX-000514,PRJ-02177,Medium,3,11.5
WX-000515,PRJ-00474,High,1,9.6
WX-000516,PRJ-01283,Low,1,10.1
WX-000517,PRJ-03161,Medium,3,93.8
WX-000518,PRJ-04826,Low,0,0.5
WX-000519,PRJ-01316,Medium,0,90.5
WX-000520,PRJ-02585,Medium,1,9.7
WX-000521,PRJ-01625,Low,0,19.0
WX-000522,PRJ-03509,Low,3,24.8
WX-000523,PRJ-04374,Medium,1,4.4
WX-000524,PRJ-03032,Medium,0,69.4
WX-000525,PRJ-02769,Low,3,53.3
WX-000526,PRJ-00093,Medium,1,9.0
WX-000527,PRJ-01939,Medium,2,96.0
WX-000528,PRJ-02008,Low,4,54.5
WX-000529,PRJ-01728,Low,2,1.2
WX-000530,PRJ-01327,Low,0,27.5
WX-000531,PRJ-02822,High,2,71.0
WX-000532,PRJ-04076,Low,0,95.9
WX-000533,PRJ-01742,Low,0,1.5
WX-000534,PRJ-00927,Low,1,38.9
WX-000535,PRJ-02859,Low,2,92.2
WX-000536,PRJ-01119,Medium,0,86.7
WX-000537,PRJ-02913,Medium,2,48.5
WX-000538,PRJ-02064,Medium,3,44.9
WX-000539,PRJ-04551,Medium,3,20.4
WX-000540,PRJ-01035,Low,2,48.0
WX-000541,PRJ-02844,Medium,0,63.2
WX-000542,PRJ-00039,Low,0,52.8
WX-000543,PRJ-00084,Medium,3,94.3
WX-000544,PRJ-00285,Low,1,82.1
WX-000545,PRJ-00496,Medium,2,70.6
WX-000546,PRJ-01332,Low,2,81.9
WX-000547,PRJ-01491,Low,2,34.1
WX-000548,PRJ-04869,Medium,0,84.9
WX-000549,PRJ-04884,High,2,38.0
WX-000550,PRJ-01585,High,1,91.7
WX-000551,PRJ-02470,Medium,0,59.8
WX-000552,PRJ-01007,High,1,6.4
WX-000553,PRJ-04468,Medium,2,42.3
WX-000554,PRJ-00113,Medium,2,61.4
WX-000555,PRJ-04986,Medium,1,65.8
WX-000556,PRJ-02856,Low,1,53.1
WX-000557,PRJ-00818,Medium,0,51.9
WX-000558,PRJ-01336,Medium,1,32.9
WX-000559,PRJ-01120,Low,1,74.9
WX-000560,PRJ-02291,Low,1,61.6
WX-000561,PRJ-02210,Low,1,76.0
WX-000562,PRJ-00336,Low,1,2.2
WX-000563,PRJ-00068,Low,1,90.7
WX-000564,PRJ-03627,Medium,2,27.9
WX-000565,PRJ-02867,High,1,76.2
WX-000566,PRJ-01429,Medium,4,94.2
WX-000567,PRJ-04236,Low,1,76.9
WX-000568,PRJ-04698,Medium,3,18.2
WX-000569,PRJ-03200,High,3,95.7
WX-000570,PRJ-03174,Low,1,91.5
WX-000571,PRJ-00671,High,1,38.9
WX-000572,PRJ-03613,Medium,1,48.1
WX-000573,PRJ-04462,High,1,74.7
WX-000574,PRJ-03657,Medium,3,87.8
WX-000575,PRJ-02351,Medium,0,80.0
WX-000576,PRJ-02909,Medium,4,33.2
WX-000577,PRJ-03239,Medium,1,85.6
WX-000578,PRJ-02084,Medium,1,22.0
WX-000579,PRJ-02447,Low,2,29.4
WX-000580,PRJ-02699,Low,0,39.1
WX-000581,PRJ-00445,Medium,2,81.5
WX-000582,PRJ-03300,Low,2,22.5
WX-000583,PRJ-02210,High,3,92.9
WX-000584,PRJ-02641,Medium,4,48.2
WX-000585,PRJ-03828,Low,1,78.8
WX-000586,PRJ-04641,Medium,1,81.3
WX-000587,PRJ-02951,Medium,0,56.8
WX-000588,PRJ-01601,Low,0,25.4
WX-000589,PRJ-02029,Medium,3,16.6
WX-000590,PRJ-03115,Low,0,44.2
WX-000591,PRJ-03050,Medium,0,7.6
WX-000592,PRJ-04555,Medium,1,30.1
WX-000593,PRJ-02404,Low,0,99.2
WX-000594,PRJ-04415,Medium,2,40.3
WX-000595,PRJ-00805,Medium,2,81.6
WX-000596,PRJ-04287,Low,0,12.2
WX-000597,PRJ-04820,Low,0,44.5
WX-000598,PRJ-00784,Medium,3,11.6
WX-000599,PRJ-02445,Medium,0,9.1
