record_id,parcel_id,project_id,case_id,compensation_id,approval_id,delay_id,district,taluk,village,survey_no,area,classification,legal_disputes,compensation_pending,approval_pending,documentation_pending,rehabilitation_pending,stakeholder_responsiveness,delay_days,risk_score,delay_probability,risk_category,delay_reason
11,PAR-000011,PRJ-02296,CASE-000011,COMP-000011,APR-000011,DLY-000011,Coimbatore,Annur,Mettupalayam,2693,0.988,Poramboke,0,0,0,0,1,97.2,0,17.1,0.19,LOW,Rehabilitation delay
12,PAR-000012,PRJ-01034,CASE-000012,COMP-000012,APR-000012,DLY-000012,Coimbatore,Pollachi,Annur,7185,0.405,Government,0,0,0,0,0,95.9,0,9.1,0.0998,LOW,Pending approvals
13,PAR-000013,PRJ-03491,CASE-000013,COMP-000013,APR-000013,DLY-000013,Coimbatore,Coimbatore North,Annur,6602,0.496,Industrial,0,0,0,1,0,100.0,0,20.4,0.1978,LOW,Incomplete documentation
14,PAR-000014,PRJ-00812,CASE-000014,COMP-000014,APR-000014,DLY-000014,Coimbatore,Coimbatore South,Karamadai,2238,0.157,Punjai,0,0,0,0,0,81.4,0,13.3,0.0998,LOW,Pending approvals
15,PAR-000015,PRJ-00576,CASE-000015,COMP-000015,APR-000015,DLY-000015,Coimbatore,Coimbatore South,Pollachi,4098,1.106,Nanjai,0,0,0,0,0,89.2,0,16.3,0.0998,LOW,Pending approvals
16,PAR-000016,PRJ-03483,CASE-000016,COMP-000016,APR-000016,DLY-000016,Coimbatore,Kinathukadavu,Pollachi,6319,1.031,Residential,0,0,0,0,0,93.2,0,15.8,0.0998,LOW,Pending approvals
17,PAR-000017,PRJ-02071,CASE-000017,COMP-000017,APR-000017,DLY-000017,Coimbatore,Madukkarai,Madukkarai,837,4.613,Government,1,0,0,0,0,75.8,185,20.7,0.2142,LOW,Legal dispute
18,PAR-000018,PRJ-03984,CASE-000018,COMP-000018,APR-000018,DLY-000018,Coimbatore,Madukkarai,Thudiyalur,817,0.252,Residential,0,1,0,0,0,90.4,0,21.7,0.2689,LOW,Compensation delay
19,PAR-000019,PRJ-02286,CASE-000019,COMP-000019,APR-000019,DLY-000019,Coimbatore,Sulur,Madukkarai,6466,1.075,Government,0,0,0,1,0,77.0,77,26.1,0.2891,MEDIUM,Incomplete documentation
20,PAR-000020,PRJ-02730,CASE-000020,COMP-000020,APR-000020,DLY-000020,Coimbatore,Coimbatore South,Madukkarai,5799,3.709,Punjai,0,1,0,0,1,82.0,0,25.0,0.2891,MEDIUM,Compensation delay
21,PAR-000021,PRJ-02375,CASE-000021,COMP-000021,APR-000021,DLY-000021,Coimbatore,Mettupalayam,Kovilpalayam,8694,2.337,Government,0,0,0,0,0,98.1,0,8.0,0.1246,LOW,Stakeholder bottleneck
22,PAR-000022,PRJ-04515,CASE-000022,COMP-000022,APR-000022,DLY-000022,Coimbatore,Sulur,Pollachi,6676,0.679,Residential,1,0,0,1,0,82.5,0,38.2,0.3775,MEDIUM,Legal dispute
23,PAR-000023,PRJ-00659,CASE-000023,COMP-000023,APR-000023,DLY-000023,Coimbatore,Madukkarai,Mettupalayam,4180,1.246,Punjai,0,0,0,0,0,93.3,0,8.5,0.0998,LOW,Pending approvals
24,PAR-000024,PRJ-01550,CASE-000024,COMP-000024,APR-000024,DLY-000024,Coimbatore,Mettupalayam,Madukkarai,164,0.757,Punjai,0,0,0,0,0,93.1,0,7.2,0.0998,LOW,Pending approvals
25,PAR-000025,PRJ-02552,CASE-000025,COMP-000025,APR-000025,DLY-000025,Coimbatore,Coimbatore North,Sulur,5544,0.373,Nanjai,0,0,0,0,0,100.0,0,10.2,0.0998,LOW,Pending approvals
26,PAR-000026,PRJ-04529,CASE-000026,COMP-000026,APR-000026,DLY-000026,Coimbatore,Mettupalayam,Saravanampatti,4530,1.969,Government,0,0,1,0,0,83.8,0,22.8,0.2497,LOW,Pending approvals
27,PAR-000027,PRJ-04948,CASE-000027,COMP-000027,APR-000027,DLY-000027,Coimbatore,Coimbatore North,Thudiyalur,5612,0.912,Residential,0,0,0,0,0,100.0,0,6.6,0.0998,LOW,Pending approvals
28,PAR-000028,PRJ-01656,CASE-000028,COMP-000028,APR-000028,DLY-000028,Coimbatore,Mettupalayam,Saravanampatti,592,0.715,Punjai,0,0,0,0,0,98.1,0,3.5,0.0998,LOW,Pending approvals
29,PAR-000029,PRJ-01509,CASE-000029,COMP-000029,APR-000029,DLY-000029,Coimbatore,Coimbatore North,Negamam,7746,2.395,Government,0,0,0,1,0,91.9,87,24.7,0.1978,LOW,Incomplete documentation
30,PAR-000030,PRJ-03519,CASE-000030,COMP-000030,APR-000030,DLY-000030,Coimbatore,Madukkarai,Karamadai,5390,1.588,Punjai,0,0,0,0,0,98.5,0,4.3,0.0998,LOW,Pending approvals
31,PAR-000031,PRJ-00013,CASE-000031,COMP-000031,APR-000031,DLY-000031,Coimbatore,Coimbatore North,Saravanampatti,7572,1.312,Industrial,0,0,1,0,0,100.0,0,13.8,0.168,LOW,Pending approvals
32,PAR-000032,PRJ-02571,CASE-000032,COMP-000032,APR-000032,DLY-000032,Coimbatore,Annur,Mettupalayam,6765,0.251,Nanjai,0,0,0,0,0,91.2,0,21.3,0.1545,LOW,Notification pending
33,PAR-000033,PRJ-04349,CASE-000033,COMP-000033,APR-000033,DLY-000033,Coimbatore,Annur,Kinathukadavu,2721,1.022,Punjai,0,0,0,0,1,100.0,0,18.4,0.19,LOW,Rehabilitation delay
34,PAR-000034,PRJ-00956,CASE-000034,COMP-000034,APR-000034,DLY-000034,Coimbatore,Kinathukadavu,Annur,4616,5.407,Residential,1,1,0,0,1,71.2,127,59.3,0.5622,HIGH,Compensation delay
35,PAR-000035,PRJ-00117,CASE-000035,COMP-000035,APR-000035,DLY-000035,Coimbatore,Sulur,Thudiyalur,961,7.639,Industrial,0,0,0,0,0,88.6,0,15.2,0.1246,LOW,Pending approvals
36,PAR-000036,PRJ-04351,CASE-000036,COMP-000036,APR-000036,DLY-000036,Coimbatore,Sulur,Madukkarai,8573,1.373,Punjai,1,0,1,0,0,72.9,80,37.6,0.3318,MEDIUM,Pending approvals
37,PAR-000037,PRJ-04931,CASE-000037,COMP-000037,APR-000037,DLY-000037,Coimbatore,Annur,Kinathukadavu,2597,0.594,Punjai,0,0,0,0,0,91.6,0,9.2,0.0998,LOW,Pending approvals
38,PAR-000038,PRJ-00968,CASE-000038,COMP-000038,APR-000038,DLY-000038,Coimbatore,Sulur,Saravanampatti,1585,0.614,Government,1,0,1,0,0,72.7,0,38.6,0.3894,MEDIUM,Pending approvals
39,PAR-000039,PRJ-01259,CASE-000039,COMP-000039,APR-000039,DLY-000039,Coimbatore,Sulur,Annur,1790,0.803,Residential,0,0,0,0,1,76.1,0,19.0,0.1545,LOW,Rehabilitation delay
40,PAR-000040,PRJ-01857,CASE-000040,COMP-000040,APR-000040,DLY-000040,Coimbatore,Annur,Karamadai,8759,1.058,Residential,1,0,1,0,0,63.1,104,64.9,0.6341,HIGH,Pending approvals
41,PAR-000041,PRJ-03471,CASE-000041,COMP-000041,APR-000041,DLY-000041,Coimbatore,Coimbatore North,Perur,6970,0.327,Nanjai,0,0,0,0,1,89.3,0,18.7,0.19,LOW,Rehabilitation delay
42,PAR-000042,PRJ-02722,CASE-000042,COMP-000042,APR-000042,DLY-000042,Coimbatore,Coimbatore South,Kovilpalayam,5788,0.506,Residential,1,0,0,0,0,84.2,0,26.0,0.2142,MEDIUM,Legal dispute
43,PAR-000043,PRJ-04802,CASE-000043,COMP-000043,APR-000043,DLY-000043,Coimbatore,Madukkarai,Madukkarai,2466,0.182,Residential,0,0,0,0,0,100.0,105,12.7,0.1545,LOW,Possession pending
44,PAR-000044,PRJ-00410,CASE-000044,COMP-000044,APR-000044,DLY-000044,Coimbatore,Coimbatore North,Pollachi,849,1.049,Government,0,0,0,0,0,100.0,0,11.7,0.0998,LOW,Pending approvals
45,PAR-000045,PRJ-00408,CASE-000045,COMP-000045,APR-000045,DLY-000045,Coimbatore,Kinathukadavu,Madukkarai,1053,0.995,Nanjai,0,0,0,1,0,100.0,0,18.6,0.1978,LOW,Incomplete documentation
46,PAR-000046,PRJ-04038,CASE-000046,COMP-000046,APR-000046,DLY-000046,Coimbatore,Kinathukadavu,Madukkarai,3243,1.302,Nanjai,0,0,1,0,1,84.9,119,25.6,0.2497,MEDIUM,Pending approvals
47,PAR-000047,PRJ-04420,CASE-000047,COMP-000047,APR-000047,DLY-000047,Coimbatore,Madukkarai,Sulur,4170,0.537,Residential,0,0,0,0,0,98.6,0,8.5,0.0998,LOW,Pending approvals
48,PAR-000048,PRJ-03723,CASE-000048,COMP-000048,APR-000048,DLY-000048,Coimbatore,Coimbatore North,Perur,3534,0.851,Government,0,0,0,0,0,72.8,28,13.7,0.1545,LOW,Notification pending
49,PAR-000049,PRJ-02963,CASE-000049,COMP-000049,APR-000049,DLY-000049,Coimbatore,Coimbatore South,Perur,3960,0.392,Poramboke,0,0,0,0,0,92.7,68,15.8,0.0998,LOW,Pending approvals
50,PAR-000050,PRJ-01806,CASE-000050,COMP-000050,APR-000050,DLY-000050,Coimbatore,Pollachi,Karamadai,6260,0.458,Punjai,0,0,0,0,1,80.7,0,19.0,0.19,LOW,Rehabilitation delay
51,PAR-000051,PRJ-00820,CASE-000051,COMP-000051,APR-000051,DLY-000051,Coimbatore,Sulur,Karamadai,6770,1.055,Residential,1,0,0,0,0,97.7,42,22.6,0.2142,LOW,Legal dispute
52,PAR-000052,PRJ-02500,CASE-000052,COMP-000052,APR-000052,DLY-000052,Coimbatore,Pollachi,Kinathukadavu,4529,0.621,Commercial,0,0,0,0,0,100.0,0,9.4,0.0998,LOW,Pending approvals
53,PAR-000053,PRJ-00047,CASE-000053,COMP-000053,APR-000053,DLY-000053,Coimbatore,Pollachi,Perur,3572,0.686,Government,0,1,0,0,0,67.1,0,41.3,0.3775,MEDIUM,Compensation delay
54,PAR-000054,PRJ-03928,CASE-000054,COMP-000054,APR-000054,DLY-000054,Coimbatore,Annur,Madukkarai,843,0.433,Poramboke,0,0,0,0,0,97.5,0,10.8,0.0998,LOW,Pending approvals
55,PAR-000055,PRJ-04413,CASE-000055,COMP-000055,APR-000055,DLY-000055,Coimbatore,Madukkarai,Saravanampatti,2935,1.868,Residential,0,0,0,0,0,88.1,0,9.2,0.1545,LOW,Notification pending
56,PAR-000056,PRJ-03966,CASE-000056,COMP-000056,APR-000056,DLY-000056,Coimbatore,Coimbatore South,Karamadai,4858,1.817,Residential,0,0,0,1,0,90.9,0,29.3,0.2891,MEDIUM,Incomplete documentation
57,PAR-000057,PRJ-03783,CASE-000057,COMP-000057,APR-000057,DLY-000057,Coimbatore,Sulur,Negamam,8242,3.416,Nanjai,1,0,0,1,1,62.4,84,62.3,0.5987,HIGH,Legal dispute
58,PAR-000058,PRJ-02071,CASE-000058,COMP-000058,APR-000058,DLY-000058,Coimbatore,Coimbatore North,Perur,6796,5.327,Commercial,0,0,0,0,1,82.7,0,27.3,0.2789,MEDIUM,Rehabilitation delay
59,PAR-000059,PRJ-00121,CASE-000059,COMP-000059,APR-000059,DLY-000059,Coimbatore,Coimbatore South,Perur,416,0.617,Nanjai,0,1,0,0,0,75.3,0,40.4,0.3775,MEDIUM,Compensation delay
60,PAR-000060,PRJ-04700,CASE-000060,COMP-000060,APR-000060,DLY-000060,Coimbatore,Coimbatore South,Perur,7320,4.732,Residential,0,0,0,0,0,90.9,0,11.9,0.0998,LOW,Pending approvals
61,PAR-000061,PRJ-03565,CASE-000061,COMP-000061,APR-000061,DLY-000061,Coimbatore,Madukkarai,Saravanampatti,9470,0.594,Industrial,0,0,0,0,0,76.1,0,12.0,0.0998,LOW,Pending approvals
62,PAR-000062,PRJ-03350,CASE-000062,COMP-000062,APR-000062,DLY-000062,Coimbatore,Sulur,Madukkarai,315,0.685,Residential,0,0,1,0,0,81.6,0,17.9,0.168,LOW,Pending approvals
63,PAR-000063,PRJ-00147,CASE-000063,COMP-000063,APR-000063,DLY-000063,Coimbatore,Sulur,Negamam,5172,0.848,Punjai,0,0,1,0,0,76.8,0,22.0,0.2059,LOW,Pending approvals
64,PAR-000064,PRJ-02660,CASE-000064,COMP-000064,APR-000064,DLY-000064,Coimbatore,Pollachi,Sulur,6809,0.319,Commercial,0,0,0,0,0,79.2,0,18.6,0.1545,LOW,Possession pending
65,PAR-000065,PRJ-01864,CASE-000065,COMP-000065,APR-000065,DLY-000065,Coimbatore,Coimbatore South,Mettupalayam,7806,0.641,Residential,1,1,0,0,0,53.0,107,66.5,0.5987,HIGH,Compensation delay
66,PAR-000066,PRJ-03686,CASE-000066,COMP-000066,APR-000066,DLY-000066,Coimbatore,Mettupalayam,Kinathukadavu,5109,0.134,Commercial,1,0,0,0,1,97.4,0,30.1,0.31,MEDIUM,Legal dispute
67,PAR-000067,PRJ-02172,CASE-000067,COMP-000067,APR-000067,DLY-000067,Coimbatore,Kinathukadavu,Kovilpalayam,8521,1.563,Poramboke,0,0,0,0,0,90.1,0,13.3,0.0998,LOW,Pending approvals
68,PAR-000068,PRJ-04680,CASE-000068,COMP-000068,APR-000068,DLY-000068,Coimbatore,Coimbatore North,Sulur,7629,0.464,Government,0,0,0,0,0,98.8,0,8.2,0.0998,LOW,Pending approvals
69,PAR-000069,PRJ-02050,CASE-000069,COMP-000069,APR-000069,DLY-000069,Coimbatore,Kinathukadavu,Annur,6714,0.46,Nanjai,0,0,0,0,1,100.0,0,15.7,0.19,LOW,Rehabilitation delay
70,PAR-000070,PRJ-02802,CASE-000070,COMP-000070,APR-000070,DLY-000070,Coimbatore,Pollachi,Kovilpalayam,6486,0.936,Government,0,1,0,0,0,86.7,0,20.3,0.1978,LOW,Compensation delay
71,PAR-000071,PRJ-02479,CASE-000071,COMP-000071,APR-000071,DLY-000071,Coimbatore,Coimbatore South,Kovilpalayam,5048,1.696,Punjai,0,0,0,0,0,100.0,0,16.0,0.1545,LOW,Notification pending
72,PAR-000072,PRJ-01712,CASE-000072,COMP-000072,APR-000072,DLY-000072,Coimbatore,Coimbatore North,Sulur,3438,0.112,Industrial,0,0,0,0,0,85.7,0,22.7,0.1545,LOW,Notification pending
73,PAR-000073,PRJ-01340,CASE-000073,COMP-000073,APR-000073,DLY-000073,Coimbatore,Annur,Karamadai,2042,1.696,Nanjai,0,0,0,0,0,86.7,0,10.0,0.0998,LOW,Pending approvals
74,PAR-000074,PRJ-03519,CASE-000074,COMP-000074,APR-000074,DLY-000074,Coimbatore,Pollachi,Annur,1642,1.947,Commercial,0,0,0,1,0,92.0,0,26.1,0.2405,MEDIUM,Incomplete documentation
75,PAR-000075,PRJ-01645,CASE-000075,COMP-000075,APR-000075,DLY-000075,Coimbatore,Madukkarai,Madukkarai,6071,0.447,Residential,1,1,1,0,0,28.2,109,63.7,0.6457,HIGH,Pending approvals
76,PAR-000076,PRJ-02849,CASE-000076,COMP-000076,APR-000076,DLY-000076,Coimbatore,Pollachi,Pollachi,431,1.491,Nanjai,0,0,0,1,0,81.1,0,28.8,0.2689,MEDIUM,Incomplete documentation
77,PAR-000077,PRJ-03824,CASE-000077,COMP-000077,APR-000077,DLY-000077,Coimbatore,Mettupalayam,Pollachi,6300,0.808,Nanjai,0,1,0,0,0,90.2,94,26.3,0.2891,MEDIUM,Compensation delay
78,PAR-000078,PRJ-00512,CASE-000078,COMP-000078,APR-000078,DLY-000078,Coimbatore,Pollachi,Sulur,3011,0.194,Residential,0,0,1,0,0,77.3,135,27.4,0.2315,MEDIUM,Pending approvals
79,PAR-000079,PRJ-04561,CASE-000079,COMP-000079,APR-000079,DLY-000079,Coimbatore,Pollachi,Madukkarai,2701,0.418,Commercial,0,0,0,0,0,85.7,0,27.2,0.2315,MEDIUM,Notification pending
80,PAR-000080,PRJ-04797,CASE-000080,COMP-000080,APR-000080,DLY-000080,Coimbatore,Sulur,Perur,6003,2.075,Commercial,0,0,0,1,0,78.1,76,29.0,0.2405,MEDIUM,Incomplete documentation
81,PAR-000081,PRJ-02034,CASE-000081,COMP-000081,APR-000081,DLY-000081,Coimbatore,Coimbatore North,Pollachi,2257,0.866,Punjai,0,0,0,0,0,100.0,0,21.9,0.19,LOW,Stakeholder bottleneck
82,PAR-000082,PRJ-00257,CASE-000082,COMP-000082,APR-000082,DLY-000082,Coimbatore,Kinathukadavu,Sulur,3452,0.452,Residential,1,0,0,0,1,100.0,0,27.4,0.31,MEDIUM,Legal dispute
83,PAR-000083,PRJ-01799,CASE-000083,COMP-000083,APR-000083,DLY-000083,Coimbatore,Mettupalayam,Mettupalayam,1957,4.227,Industrial,0,0,0,0,1,88.4,0,15.7,0.1545,LOW,Rehabilitation delay
84,PAR-000084,PRJ-04788,CASE-000084,COMP-000084,APR-000084,DLY-000084,Coimbatore,Kinathukadavu,Kinathukadavu,4889,0.788,Industrial,0,0,0,0,0,88.6,0,12.4,0.1419,LOW,Pending approvals
85,PAR-000085,PRJ-05000,CASE-000085,COMP-000085,APR-000085,DLY-000085,Coimbatore,Pollachi,Annur,8325,1.776,Commercial,0,0,0,0,0,91.3,0,15.9,0.0998,LOW,Pending approvals
86,PAR-000086,PRJ-04508,CASE-000086,COMP-000086,APR-000086,DLY-000086,Coimbatore,Pollachi,Sulur,1645,0.766,Residential,0,0,0,0,0,94.1,0,12.4,0.0998,LOW,Pending approvals
87,PAR-000087,PRJ-03416,CASE-000087,COMP-000087,APR-000087,DLY-000087,Coimbatore,Coimbatore North,Madukkarai,2007,1.616,Punjai,0,0,1,0,0,100.0,0,17.3,0.168,LOW,Pending approvals
88,PAR-000088,PRJ-01202,CASE-000088,COMP-000088,APR-000088,DLY-000088,Coimbatore,Kinathukadavu,Sulur,7809,1.438,Punjai,0,1,0,0,1,80.5,0,31.0,0.343,MEDIUM,Compensation delay
89,PAR-000089,PRJ-03292,CASE-000089,COMP-000089,APR-000089,DLY-000089,Coimbatore,Mettupalayam,Kovilpalayam,2477,4.776,Punjai,0,0,0,0,0,100.0,0,11.0,0.0998,LOW,Pending approvals
90,PAR-000090,PRJ-04515,CASE-000090,COMP-000090,APR-000090,DLY-000090,Coimbatore,Coimbatore North,Perur,7841,0.376,Government,0,0,0,0,0,100.0,0,9.1,0.0998,LOW,Pending approvals
91,PAR-000091,PRJ-01732,CASE-000091,COMP-000091,APR-000091,DLY-000091,Coimbatore,Pollachi,Pollachi,2438,0.448,Residential,0,1,0,0,0,81.7,0,22.5,0.2405,LOW,Compensation delay
92,PAR-000092,PRJ-00888,CASE-000092,COMP-000092,APR-000092,DLY-000092,Coimbatore,Pollachi,Karamadai,9379,2.325,Residential,0,0,1,0,1,77.0,80,36.2,0.3543,MEDIUM,Pending approvals
93,PAR-000093,PRJ-04229,CASE-000093,COMP-000093,APR-000093,DLY-000093,Coimbatore,Pollachi,Pollachi,2625,1.519,Punjai,1,1,0,1,0,57.1,103,74.2,0.69,HIGH,Compensation delay
94,PAR-000094,PRJ-02831,CASE-000094,COMP-000094,APR-000094,DLY-000094,Coimbatore,Madukkarai,Negamam,2617,0.656,Poramboke,0,0,0,0,0,94.2,0,15.9,0.1246,LOW,Stakeholder bottleneck
95,PAR-000095,PRJ-00990,CASE-000095,COMP-000095,APR-000095,DLY-000095,Coimbatore,Coimbatore South,Perur,2315,0.574,Poramboke,1,0,0,0,0,80.2,0,32.6,0.2592,MEDIUM,Legal dispute
96,PAR-000096,PRJ-00531,CASE-000096,COMP-000096,APR-000096,DLY-000096,Coimbatore,Coimbatore North,Mettupalayam,348,0.994,Poramboke,0,0,0,0,0,69.1,0,15.0,0.0998,LOW,Pending approvals
97,PAR-000097,PRJ-03614,CASE-000097,COMP-000097,APR-000097,DLY-000097,Coimbatore,Annur,Negamam,2227,3.065,Commercial,0,0,0,0,0,88.6,0,13.2,0.0998,LOW,Pending approvals
98,PAR-000098,PRJ-02708,CASE-000098,COMP-000098,APR-000098,DLY-000098,Coimbatore,Coimbatore North,Pollachi,5661,0.464,Nanjai,0,0,0,0,0,90.9,0,9.3,0.0998,LOW,Pending approvals
99,PAR-000099,PRJ-04351,CASE-000099,COMP-000099,APR-000099,DLY-000099,Coimbatore,Mettupalayam,Sulur,970,0.381,Residential,0,0,0,0,0,84.2,0,16.6,0.1246,LOW,Stakeholder bottleneck
100,PAR-000100,PRJ-01319,CASE-000100,COMP-000100,APR-000100,DLY-000100,Coimbatore,Pollachi,Madukkarai,5573,0.602,Nanjai,0,0,0,0,0,96.1,64,13.7,0.1246,LOW,Stakeholder bottleneck
101,PAR-000101,PRJ-01892,CASE-000101,COMP-000101,APR-000101,DLY-000101,Coimbatore,Coimbatore South,Saravanampatti,8956,2.067,Residential,1,0,1,0,0,54.5,0,37.6,0.3894,MEDIUM,Pending approvals
102,PAR-000102,PRJ-00304,CASE-000102,COMP-000102,APR-000102,DLY-000102,Coimbatore,Kinathukadavu,Annur,4649,1.979,Residential,0,1,0,1,0,81.5,103,46.2,0.4134,MEDIUM,Compensation delay
103,PAR-000103,PRJ-03769,CASE-000103,COMP-000103,APR-000103,DLY-000103,Coimbatore,Coimbatore South,Sulur,299,0.934,Nanjai,0,0,0,0,0,86.2,132,13.5,0.1246,LOW,Stakeholder bottleneck
104,PAR-000104,PRJ-03422,CASE-000104,COMP-000104,APR-000104,DLY-000104,Coimbatore,Coimbatore North,Negamam,8452,0.68,Poramboke,0,0,1,1,1,83.4,120,52.1,0.5498,HIGH,Pending approvals
105,PAR-000105,PRJ-03141,CASE-000105,COMP-000105,APR-000105,DLY-000105,Coimbatore,Madukkarai,Saravanampatti,5797,2.647,Poramboke,0,0,0,0,0,99.7,0,14.7,0.0998,LOW,Pending approvals
106,PAR-000106,PRJ-03007,CASE-000106,COMP-000106,APR-000106,DLY-000106,Coimbatore,Sulur,Perur,8280,1.877,Punjai,0,0,0,0,0,81.9,61,10.1,0.0998,LOW,Pending approvals
107,PAR-000107,PRJ-00619,CASE-000107,COMP-000107,APR-000107,DLY-000107,Coimbatore,Mettupalayam,Saravanampatti,452,1.146,Industrial,0,1,0,0,0,80.6,0,32.4,0.343,MEDIUM,Compensation delay
108,PAR-000108,PRJ-01462,CASE-000108,COMP-000108,APR-000108,DLY-000108,Coimbatore,Pollachi,Perur,4363,0.551,Nanjai,0,0,0,0,0,88.1,0,12.6,0.0998,LOW,Pending approvals
109,PAR-000109,PRJ-02996,CASE-000109,COMP-000109,APR-000109,DLY-000109,Coimbatore,Mettupalayam,Perur,4748,1.515,Government,0,0,0,0,0,92.8,201,3.5,0.0998,LOW,Pending approvals
110,PAR-000110,PRJ-03400,CASE-000110,COMP-000110,APR-000110,DLY-000110,Coimbatore,Mettupalayam,Sulur,5454,3.967,Residential,0,0,0,0,0,100.0,0,6.9,0.0998,LOW,Pending approvals
111,PAR-000111,PRJ-04381,CASE-000111,COMP-000111,APR-000111,DLY-000111,Coimbatore,Coimbatore South,Kinathukadavu,128,1.729,Residential,0,0,0,0,0,88.4,0,17.3,0.1246,LOW,Stakeholder bottleneck
112,PAR-000112,PRJ-03352,CASE-000112,COMP-000112,APR-000112,DLY-000112,Coimbatore,Pollachi,Sulur,5300,0.502,Punjai,0,0,1,0,0,85.8,0,12.1,0.168,LOW,Pending approvals
113,PAR-000113,PRJ-00667,CASE-000113,COMP-000113,APR-000113,DLY-000113,Coimbatore,Mettupalayam,Annur,2179,4.259,Punjai,0,0,0,0,0,84.9,0,14.2,0.1545,LOW,Notification pending
114,PAR-000114,PRJ-04940,CASE-000114,COMP-000114,APR-000114,DLY-000114,Coimbatore,Pollachi,Kovilpalayam,1502,0.767,Nanjai,0,0,0,0,0,96.5,0,11.7,0.0998,LOW,Pending approvals
115,PAR-000115,PRJ-02944,CASE-000115,COMP-000115,APR-000115,DLY-000115,Coimbatore,Pollachi,Karamadai,6963,0.648,Punjai,0,0,0,0,0,99.4,0,7.4,0.0998,LOW,Pending approvals
116,PAR-000116,PRJ-01380,CASE-000116,COMP-000116,APR-000116,DLY-000116,Coimbatore,Mettupalayam,Sulur,7740,0.426,Punjai,0,1,0,0,0,100.0,74,19.0,0.1978,LOW,Compensation delay
117,PAR-000117,PRJ-02461,CASE-000117,COMP-000117,APR-000117,DLY-000117,Coimbatore,Kinathukadavu,Kinathukadavu,1357,0.271,Residential,0,1,0,0,0,100.0,0,20.6,0.2405,LOW,Compensation delay
118,PAR-000118,PRJ-03045,CASE-000118,COMP-000118,APR-000118,DLY-000118,Coimbatore,Coimbatore South,Pollachi,6435,1.112,Poramboke,0,1,0,0,0,92.5,40,20.2,0.1978,LOW,Compensation delay
119,PAR-000119,PRJ-02096,CASE-000119,COMP-000119,APR-000119,DLY-000119,Coimbatore,Madukkarai,Saravanampatti,1685,2.046,Government,0,0,0,0,0,83.9,0,14.5,0.0998,LOW,Pending approvals
120,PAR-000120,PRJ-01505,CASE-000120,COMP-000120,APR-000120,DLY-000120,Coimbatore,Pollachi,Pollachi,6603,3.377,Residential,0,0,0,0,0,84.1,0,7.4,0.1246,LOW,Stakeholder bottleneck
121,PAR-000121,PRJ-04125,CASE-000121,COMP-000121,APR-000121,DLY-000121,Coimbatore,Coimbatore North,Kovilpalayam,9177,2.034,Industrial,0,1,0,0,0,88.6,0,28.1,0.2891,MEDIUM,Compensation delay
