case_id,project_id,dispute_flag,dispute_type,case_status,pending_days
CASE-000163,PRJ-01155,0,None,None,0
CASE-000164,PRJ-04808,1,Compensation,Appeal,513
CASE-000165,PRJ-00409,0,None,None,0
CASE-000166,PRJ-04570,0,None,None,0
CASE-000167,PRJ-00050,0,None,None,0
CASE-000168,PRJ-03284,0,None,None,0
CASE-000169,PRJ-03253,0,None,None,0
CASE-000170,PRJ-00324,0,None,None,0
CASE-000171,PRJ-02275,0,None,None,0
CASE-000172,PRJ-03989,0,None,None,0
CASE-000173,PRJ-01046,0,None,None,0
CASE-000174,PRJ-00649,0,None,None,0
CASE-000175,PRJ-01370,1,Ownership,Hearing,700
CASE-000176,PRJ-00805,0,None,None,0
CASE-000177,PRJ-01275,0,None,None,0
CASE-000178,PRJ-04538,0,None,None,0
CASE-000179,PRJ-00534,0,None,None,0
CASE-000180,PRJ-04982,0,None,None,0
CASE-000181,PRJ-04061,0,None,None,0
CASE-000182,PRJ-01768,0,None,None,0
CASE-000183,PRJ-04582,0,None,None,0
CASE-000184,PRJ-01169,0,None,None,0
CASE-000185,PRJ-04180,0,None,None,0
CASE-000186,PRJ-02074,0,None,None,0
CASE-000187,PRJ-01914,0,None,None,0
CASE-000188,PRJ-00167,1,Compensation,Open,312
CASE-000189,PRJ-03751,0,None,None,0
CASE-000190,PRJ-03034,0,None,None,0
CASE-000191,PRJ-04412,0,None,None,0
CASE-000192,PRJ-03493,0,None,None,0
CASE-000193,PRJ-02526,0,None,None,0
CASE-000194,PRJ-00930,0,None,None,0
CASE-000195,PRJ-03196,0,None,None,0
CASE-000196,PRJ-04345,0,None,None,0
CASE-000197,PRJ-03204,0,None,None,0
CASE-000198,PRJ-00980,0,None,None,0
CASE-000199,PRJ-04709,0,None,None,0
CASE-000200,PRJ-04527,0,None,None,0
CASE-000201,PRJ-02653,0,None,None,0
CASE-000202,PRJ-01381,1,Inheritance,Open,772
CASE-000203,PRJ-01143,0,None,None,0
CASE-000204,PRJ-03600,0,None,None,0
CASE-000205,PRJ-03265,0,None,None,0
CASE-000206,PRJ-03135,0,None,None,0
CASE-000207,PRJ-03599,0,None,None,0
CASE-000208,PRJ-03298,0,None,None,0
CASE-000209,PRJ-01487,0,None,None,0
CASE-000210,PRJ-04616,1,Boundary,Hearing,63
CASE-000211,PRJ-03688,0,None,None,0
CASE-000212,PRJ-03733,0,None,None,0
CASE-000213,PRJ-02569,0,None,None,0
CASE-000214,PRJ-01767,0,None,None,0
CASE-000215,PRJ-02155,0,None,None,0
CASE-000216,PRJ-03206,0,None,None,0
CASE-000217,PRJ-04503,1,Ownership,Appeal,316
CASE-000218,PRJ-03379,0,None,None,0
CASE-000219,PRJ-01925,0,None,None,0
CASE-000220,PRJ-02195,0,None,None,0
CASE-000221,PRJ-04609,0,None,None,0
CASE-000222,PRJ-04093,1,Inheritance,Appeal,279
CASE-000223,PRJ-03252,1,Boundary,Appeal,511
CASE-000224,PRJ-03740,0,None,None,0
CASE-000225,PRJ-01637,0,None,None,0
CASE-000226,PRJ-03901,1,Boundary,Appeal,190
CASE-000227,PRJ-01263,0,None,None,0
CASE-000228,PRJ-00255,0,None,None,0
CASE-000229,PRJ-03543,0,None,None,0
CASE-000230,PRJ-02700,0,None,None,0
CASE-000231,PRJ-00864,0,None,None,0
CASE-000232,PRJ-00215,0,None,None,0
CASE-000233,PRJ-00906,0,None,None,0
CASE-000234,PRJ-03088,0,None,None,0
CASE-000235,PRJ-04713,0,None,None,0
CASE-000236,PRJ-01926,0,None,None,0
CASE-000237,PRJ-03993,0,None,None,0
CASE-000238,PRJ-02235,0,None,None,0
CASE-000239,PRJ-00057,0,None,None,0
CASE-000240,PRJ-01381,0,None,None,0
CASE-000241,PRJ-02267,0,None,None,0
CASE-000242,PRJ-03314,0,None,None,0
CASE-000243,PRJ-00652,0,None,None,0
CASE-000244,PRJ-03030,0,None,None,0
CASE-000245,PRJ-02294,1,Compensation,Open,485
CASE-000246,PRJ-01755,0,None,None,0
CASE-000247,PRJ-03096,0,None,None,0
CASE-000248,PRJ-00178,0,None,None,0
CASE-000249,PRJ-04920,0,None,None,0
CASE-000250,PRJ-02905,0,None,None,0
CASE-000251,PRJ-04148,0,None,None,0
CASE-000252,PRJ-02204,0,None,None,0
CASE-000253,PRJ-02052,0,None,None,0
CASE-000254,PRJ-03416,0,None,None,0
CASE-000255,PRJ-04192,0,None,None,0
CASE-000256,PRJ-02077,0,None,None,0
CASE-000257,PRJ-00125,0,None,None,0
CASE-000258,PRJ-04711,0,None,None,0
CASE-000259,PRJ-05000,1,Compensation,Hearing,547
CASE-000260,PRJ-04560,0,None,None,0
CASE-000261,PRJ-01543,0,None,None,0
CASE-000262,PRJ-01967,0,None,None,0
CASE-000263,PRJ-04758,0,None,None,0
CASE-000264,PRJ-04238,0,None,None,0
CASE-000265,PRJ-04912,0,None,None,0
CASE-000266,PRJ-00046,0,None,None,0
CASE-000267,PRJ-02266,0,None,None,0
CASE-000268,PRJ-03538,0,None,None,0
CASE-000269,PRJ-03568,0,None,None,0
CASE-000270,PRJ-04073,0,None,None,0
CASE-000271,PRJ-03871,0,None,None,0
CASE-000272,PRJ-02200,0,None,None,0
CASE-000273,PRJ-01084,0,None,None,0
CASE-000274,PRJ-03868,0,None,None,0
CASE-000275,PRJ-04002,0,None,None,0
CASE-000276,PRJ-04722,0,None,None,0
CASE-000277,PRJ-01411,0,None,None,0
CASE-000278,PRJ-00115,0,None,None,0
CASE-000279,PRJ-04353,0,None,None,0
CASE-000280,PRJ-02366,0,None,None,0
CASE-000281,PRJ-03667,0,None,None,0
CASE-000282,PRJ-04338,0,None,None,0
CASE-000283,PRJ-01711,1,Ownership,Open,560
CASE-000284,PRJ-03678,0,None,None,0
CASE-000285,PRJ-00643,1,Inheritance,Hearing,533
CASE-000286,PRJ-04225,0,None,None,0
CASE-000287,PRJ-04217,0,None,None,0
CASE-000288,PRJ-01105,0,None,None,0
CASE-000289,PRJ-01970,0,None,None,0
CASE-000290,PRJ-03763,0,None,None,0
CASE-000291,PRJ-04558,1,Inheritance,Open,260
CASE-000292,PRJ-04186,0,None,None,0
CASE-000293,PRJ-02873,0,None,None,0
CASE-000294,PRJ-02293,0,None,None,0
CASE-000295,PRJ-04894,0,None,None,0
CASE-000296,PRJ-04803,0,None,None,0
CASE-000297,PRJ-00144,0,None,None,0
CASE-000298,PRJ-01599,0,None,None,0
CASE-000299,PRJ-00026,0,None,None,0
CASE-000300,PRJ-03427,0,None,None,0
CASE-000301,PRJ-00585,0,None,None,0
CASE-000302,PRJ-03615,0,None,None,0
CASE-000303,PRJ-01532,0,None,None,0
CASE-000304,PRJ-02728,0,None,None,0
CASE-000305,PRJ-02894,1,Inheritance,Hearing,821
CASE-000306,PRJ-04118,0,None,None,0
CASE-000307,PRJ-01803,0,None,None,0
CASE-000308,PRJ-04510,0,None,None,0
CASE-000309,PRJ-04938,0,None,None,0
CASE-000310,PRJ-04688,0,None,None,0
CASE-000311,PRJ-02528,0,None,None,0
CASE-000312,PRJ-01692,0,None,None,0
CASE-000313,PRJ-03154,0,None,None,0
CASE-000314,PRJ-01755,0,None,None,0
CASE-000315,PRJ-02010,0,None,None,0
CASE-000316,PRJ-02828,0,None,None,0
CASE-000317,PRJ-02269,0,None,None,0
CASE-000318,PRJ-03186,1,Compensation,Appeal,346
CASE-000319,PRJ-03735,1,Boundary,Appeal,161
CASE-000320,PRJ-04581,0,None,None,0
CASE-000321,PRJ-03924,0,None,None,0
CASE-000322,PRJ-04781,1,Ownership,Hearing,342
CASE-000323,PRJ-04996,0,None,None,0
CASE-000324,PRJ-04267,0,None,None,0
CASE-000325,PRJ-02359,0,None,None,0
CASE-000326,PRJ-02211,0,None,None,0
CASE-000327,PRJ-02353,0,None,None,0
CASE-000328,PRJ-02286,1,Boundary,Hearing,42
CASE-000329,PRJ-01604,0,None,None,0
CASE-000330,PRJ-02907,0,None,None,0
CASE-000331,PRJ-00033,0,None,None,0
CASE-000332,PRJ-00538,0,None,None,0
CASE-000333,PRJ-02760,0,None,None,0
CASE-000334,PRJ-02411,1,Boundary,Appeal,774
CASE-000335,PRJ-01462,0,None,None,0
CASE-000336,PRJ-03965,1,Compensation,Appeal,853
CASE-000337,PRJ-00087,0,None,None,0
CASE-000338,PRJ-01715,0,None,None,0
CASE-000339,PRJ-04045,0,None,None,0
CASE-000340,PRJ-03131,0,None,None,0
CASE-000341,PRJ-01013,0,None,None,0
CASE-000342,PRJ-03779,0,None,None,0
CASE-000343,PRJ-00434,0,None,None,0
CASE-000344,PRJ-03039,0,None,None,0
CASE-000345,PRJ-03221,0,None,None,0
CASE-000346,PRJ-04120,0,None,None,0
CASE-000347,PRJ-02898,0,None,None,0
CASE-000348,PRJ-04017,0,None,None,0
CASE-000349,PRJ-03129,0,None,None,0
CASE-000350,PRJ-03209,0,None,None,0
CASE-000351,PRJ-04198,0,None,None,0
CASE-000352,PRJ-04429,0,None,None,0
CASE-000353,PRJ-00433,0,None,None,0
CASE-000354,PRJ-00886,0,None,None,0
CASE-000355,PRJ-03511,0,None,None,0
CASE-000356,PRJ-00710,0,None,None,0
CASE-000357,PRJ-04312,0,None,None,0
CASE-000358,PRJ-02804,0,None,None,0
CASE-000359,PRJ-02387,0,None,None,0
CASE-000360,PRJ-00695,0,None,None,0
CASE-000361,PRJ-03254,0,None,None,0
CASE-000362,PRJ-02101,0,None,None,0
CASE-000363,PRJ-04777,0,None,None,0
CASE-000364,PRJ-03553,1,Compensation,Open,554
CASE-000365,PRJ-04319,0,None,None,0
CASE-000366,PRJ-01904,0,None,None,0
CASE-000367,PRJ-00438,0,None,None,0
CASE-000368,PRJ-03800,1,Compensation,Hearing,664
CASE-000369,PRJ-04321,0,None,None,0
CASE-000370,PRJ-04882,0,None,None,0
CASE-000371,PRJ-01816,0,None,None,0
CASE-000372,PRJ-01308,0,None,None,0
CASE-000373,PRJ-01011,0,None,None,0
CASE-000374,PRJ-00953,0,None,None,0
CASE-000375,PRJ-00465,0,None,None,0
CASE-000376,PRJ-00183,0,None,None,0
CASE-000377,PRJ-03857,0,None,None,0
CASE-000378,PRJ-03604,0,None,None,0
CASE-000379,PRJ-01063,0,None,None,0
CASE-000380,PRJ-03008,0,None,None,0
CASE-000381,PRJ-02771,0,None,None,0
CASE-000382,PRJ-00641,1,Boundary,Open,413
CASE-000383,PRJ-00505,0,None,None,0
CASE-000384,PRJ-01202,0,None,None,0
CASE-000385,PRJ-01728,0,None,None,0
CASE-000386,PRJ-02926,0,None,None,0
CASE-000387,PRJ-02193,0,None,None,0
CASE-000388,PRJ-02231,0,None,None,0
CASE-000389,PRJ-01930,0,None,None,0
CASE-000390,PRJ-00334,0,None,None,0
CASE-000391,PRJ-03161,1,Ownership,Open,573
CASE-000392,PRJ-00579,0,None,None,0
CASE-000393,PRJ-00037,1,Boundary,Hearing,384
CASE-000394,PRJ-01103,1,Boundary,Hearing,217
CASE-000395,PRJ-02403,0,None,None,0
CASE-000396,PRJ-02671,0,None,None,0
CASE-000397,PRJ-01735,0,None,None,0
CASE-000398,PRJ-02934,1,Inheritance,Hearing,731
CASE-000399,PRJ-03629,0,None,None,0
CASE-000400,PRJ-03646,0,None,None,0
CASE-000401,PRJ-00616,1,Ownership,Hearing,379
CASE-000402,PRJ-00736,0,None,None,0
CASE-000403,PRJ-03718,0,None,None,0
CASE-000404,PRJ-03759,0,None,None,0
CASE-000405,PRJ-01380,0,None,None,0
CASE-000406,PRJ-04755,0,None,None,0
CASE-000407,PRJ-02917,0,None,None,0
CASE-000408,PRJ-03032,0,None,None,0
CASE-000409,PRJ-04672,0,None,None,0
CASE-000410,PRJ-00356,0,None,None,0
CASE-000411,PRJ-01667,0,None,None,0
CASE-000412,PRJ-01706,0,None,None,0
CASE-000413,PRJ-01663,0,None,None,0
CASE-000414,PRJ-01716,0,None,None,0
CASE-000415,PRJ-03275,0,None,None,0
CASE-000416,PRJ-03252,0,None,None,0
CASE-000417,PRJ-04562,0,None,None,0
CASE-000418,PRJ-03520,0,None,None,0
CASE-000419,PRJ-04714,0,None,None,0
CASE-000420,PRJ-02958,0,None,None,0
CASE-000421,PRJ-01563,1,Compensation,Open,226
CASE-000422,PRJ-01410,1,Compensation,Hearing,113
CASE-000423,PRJ-00337,1,Boundary,Appeal,848
CASE-000424,PRJ-03033,0,None,None,0
CASE-000425,PRJ-01160,0,None,None,0
CASE-000426,PRJ-00854,0,None,None,0
CASE-000427,PRJ-03425,0,None,None,0
CASE-000428,PRJ-00118,0,None,None,0
CASE-000429,PRJ-04632,0,None,None,0
CASE-000430,PRJ-00511,0,None,None,0
CASE-000431,PRJ-01252,0,None,None,0
CASE-000432,PRJ-01826,0,None,None,0
CASE-000433,PRJ-03715,0,None,None,0
CASE-000434,PRJ-03768,0,None,None,0
CASE-000435,PRJ-00948,0,None,None,0
CASE-000436,PRJ-04127,0,None,None,0
CASE-000437,PRJ-02374,0,None,None,0
CASE-000438,PRJ-00724,0,None,None,0
CASE-000439,PRJ-01528,0,None,None,0
CASE-000440,PRJ-01029,0,None,None,0
CASE-000441,PRJ-04795,0,None,None,0
CASE-000442,PRJ-03042,0,None,None,0
CASE-000443,PRJ-03346,1,Inheritance,Hearing,599
CASE-000444,PRJ-04767,0,None,None,0
CASE-000445,PRJ-04973,0,None,None,0
CASE-000446,PRJ-04587,0,None,None,0
CASE-000447,PRJ-02541,0,None,None,0
CASE-000448,PRJ-00426,0,None,None,0
CASE-000449,PRJ-02317,0,None,None,0
CASE-000450,PRJ-01886,0,None,None,0
CASE-000451,PRJ-02754,0,None,None,0
CASE-000452,PRJ-00022,1,Ownership,Appeal,308
CASE-000453,PRJ-00716,0,None,None,0
CASE-000454,PRJ-03755,0,None,None,0
CASE-000455,PRJ-02338,0,None,None,0
CASE-000456,PRJ-03937,0,None,None,0
CASE-000457,PRJ-03469,0,None,None,0
CASE-000458,PRJ-01184,1,Inheritance,Appeal,377
CASE-000459,PRJ-00464,0,None,None,0
CASE-000460,PRJ-01976,0,None,None,0
CASE-000461,PRJ-01869,0,None,None,0
CASE-000462,PRJ-01265,0,None,None,0
CASE-000463,PRJ-02492,0,None,None,0
CASE-000464,PRJ-02844,0,None,None,0
CASE-000465,PRJ-03328,0,None,None,0
CASE-000466,PRJ-04451,0,None,None,0
CASE-000467,PRJ-02435,0,None,None,0
CASE-000468,PRJ-03547,0,None,None,0
CASE-000469,PRJ-03162,0,None,None,0
CASE-000470,PRJ-01118,0,None,None,0
CASE-000471,PRJ-01508,0,None,None,0
CASE-000472,PRJ-00273,0,None,None,0
CASE-000473,PRJ-03816,0,None,None,0
CASE-000474,PRJ-03875,0,None,None,0
CASE-000475,PRJ-00864,0,None,None,0
CASE-000476,PRJ-01815,0,None,None,0
CASE-000477,PRJ-03165,0,None,None,0
CASE-000478,PRJ-00652,0,None,None,0
CASE-000479,PRJ-04239,0,None,None,0
CASE-000480,PRJ-01988,1,Ownership,Hearing,821
CASE-000481,PRJ-04130,0,None,None,0
CASE-000482,PRJ-00374,0,None,None,0
CASE-000483,PRJ-02866,0,None,None,0
CASE-000484,PRJ-00548,0,None,None,0
CASE-000485,PRJ-02260,0,None,None,0
CASE-000486,PRJ-03156,0,None,None,0
CASE-000487,PRJ-01466,0,None,None,0
CASE-000488,PRJ-02106,0,None,None,0
CASE-000489,PRJ-01501,0,None,None,0
CASE-000490,PRJ-01538,0,None,None,0
CASE-000491,PRJ-02289,0,None,None,0
CASE-000492,PRJ-01259,0,None,None,0
CASE-000493,PRJ-01084,0,None,None,0
CASE-000494,PRJ-04389,0,None,None,0
CASE-000495,PRJ-04552,0,None,None,0
CASE-000496,PRJ-02351,0,None,None,0
CASE-000497,PRJ-04629,0,None,None,0
CASE-000498,PRJ-03093,0,None,None,0
CASE-000499,PRJ-03010,0,None,None,0
CASE-000500,PRJ-04957,0,None,None,0
CASE-000501,PRJ-03713,1,Boundary,Hearing,617
CASE-000502,PRJ-04437,1,Ownership,Hearing,790
CASE-000503,PRJ-00745,0,None,None,0
CASE-000504,PRJ-00305,0,None,None,0
CASE-000505,PRJ-02693,0,None,None,0
CASE-000506,PRJ-00619,0,None,None,0
CASE-000507,PRJ-04895,0,None,None,0
CASE-000508,PRJ-01145,0,None,None,0
CASE-000509,PRJ-04577,0,None,None,0
CASE-000510,PRJ-02401,0,None,None,0
CASE-000511,PRJ-02819,1,Ownership,Hearing,774
CASE-000512,PRJ-00035,0,None,None,0
CASE-000513,PRJ-02567,0,None,None,0
CASE-000514,PRJ-02177,0,None,None,0
CASE-000515,PRJ-00474,0,None,None,0
CASE-000516,PRJ-01283,0,None,None,0
CASE-000517,PRJ-03161,0,None,None,0
CASE-000518,PRJ-04826,0,None,None,0
CASE-000519,PRJ-01316,0,None,None,0
CASE-000520,PRJ-02585,0,None,None,0
CASE-000521,PRJ-01625,0,None,None,0
CASE-000522,PRJ-03509,0,None,None,0
CASE-000523,PRJ-04374,0,None,None,0
CASE-000524,PRJ-03032,0,None,None,0
CASE-000525,PRJ-02769,0,None,None,0
CASE-000526,PRJ-00093,1,Inheritance,Open,612
CASE-000527,PRJ-01939,1,Compensation,Appeal,375
CASE-000528,PRJ-02008,0,None,None,0
CASE-000529,PRJ-01728,0,None,None,0
CASE-000530,PRJ-01327,0,None,None,0
CASE-000531,PRJ-02822,0,None,None,0
CASE-000532,PRJ-04076,0,None,None,0
CASE-000533,PRJ-01742,1,Compensation,Hearing,181
CASE-000534,PRJ-00927,0,None,None,0
CASE-000535,PRJ-02859,0,None,None,0
CASE-000536,PRJ-01119,0,None,None,0
CASE-000537,PRJ-02913,0,None,None,0
CASE-000538,PRJ-02064,0,None,None,0
CASE-000539,PRJ-04551,0,None,None,0
CASE-000540,PRJ-01035,0,None,None,0
CASE-000541,PRJ-02844,0,None,None,0
CASE-000542,PRJ-00039,0,None,None,0
CASE-000543,PRJ-00084,1,Inheritance,Open,715
CASE-000544,PRJ-00285,1,Inheritance,Hearing,566
CASE-000545,PRJ-00496,0,None,None,0
CASE-000546,PRJ-01332,1,Compensation,Appeal,370
CASE-000547,PRJ-01491,0,None,None,0
CASE-000548,PRJ-04869,0,None,None,0
CASE-000549,PRJ-04884,0,None,None,0
CASE-000550,PRJ-01585,0,None,None,0
CASE-000551,PRJ-02470,0,None,None,0
CASE-000552,PRJ-01007,0,None,None,0
CASE-000553,PRJ-04468,0,None,None,0
CASE-000554,PRJ-00113,0,None,None,0
CASE-000555,PRJ-04986,0,None,None,0
CASE-000556,PRJ-02856,0,None,None,0
CASE-000557,PRJ-00818,0,None,None,0
CASE-000558,PRJ-01336,0,None,None,0
CASE-000559,PRJ-01120,0,None,None,0
CASE-000560,PRJ-02291,0,None,None,0
CASE-000561,PRJ-02210,0,None,None,0
CASE-000562,PRJ-00336,0,None,None,0
CASE-000563,PRJ-00068,0,None,None,0
CASE-000564,PRJ-03627,0,None,None,0
CASE-000565,PRJ-02867,0,None,None,0
CASE-000566,PRJ-01429,0,None,None,0
CASE-000567,PRJ-04236,0,None,None,0
CASE-000568,PRJ-04698,0,None,None,0
CASE-000569,PRJ-03200,0,None,None,0
CASE-000570,PRJ-03174,0,None,None,0
CASE-000571,PRJ-00671,1,Boundary,Appeal,285
CASE-000572,PRJ-03613,0,None,None,0
CASE-000573,PRJ-04462,0,None,None,0
CASE-000574,PRJ-03657,0,None,None,0
CASE-000575,PRJ-02351,0,None,None,0
CASE-000576,PRJ-02909,0,None,None,0
CASE-000577,PRJ-03239,0,None,None,0
CASE-000578,PRJ-02084,1,Compensation,Appeal,752
CASE-000579,PRJ-02447,0,None,None,0
CASE-000580,PRJ-02699,0,None,None,0
CASE-000581,PRJ-00445,0,None,None,0
CASE-000582,PRJ-03300,0,None,None,0
CASE-000583,PRJ-02210,0,None,None,0
CASE-000584,PRJ-02641,0,None,None,0
CASE-000585,PRJ-03828,1,Compensation,Appeal,89
CASE-000586,PRJ-04641,1,Compensation,Hearing,200
CASE-000587,PRJ-02951,1,Boundary,Appeal,641
CASE-000588,PRJ-01601,0,None,None,0
CASE-000589,PRJ-02029,0,None,None,0
