project_id,parcel_id,case_id,land_required,affected_family_count,priority
PRJ-03614,PAR-000097,CASE-000097,3.212,3,Normal
PRJ-02708,PAR-000098,CASE-000098,0.254,3,Normal
PRJ-04351,PAR-000099,CASE-000099,0.287,3,High
PRJ-01319,PAR-000100,CASE-000100,0.622,4,Normal
PRJ-01892,PAR-000101,CASE-000101,2.451,4,Normal
PRJ-00304,PAR-000102,CASE-000102,1.708,3,Normal
PRJ-03769,PAR-000103,CASE-000103,0.736,3,Strategic
PRJ-03422,PAR-000104,CASE-000104,0.385,2,Normal
PRJ-03141,PAR-000105,CASE-000105,2.648,2,Normal
PRJ-03007,PAR-000106,CASE-000106,1.44,2,Normal
PRJ-00619,PAR-000107,CASE-000107,1.142,3,Strategic
PRJ-01462,PAR-000108,CASE-000108,0.464,3,High
PRJ-02996,PAR-000109,CASE-000109,0.958,2,Normal
PRJ-03400,PAR-000110,CASE-000110,2.944,2,Normal
PRJ-04381,PAR-000111,CASE-000111,1.076,4,Strategic
PRJ-03352,PAR-000112,CASE-000112,0.353,1,Strategic
PRJ-00667,PAR-000113,CASE-000113,2.395,3,Strategic
PRJ-04940,PAR-000114,CASE-000114,0.647,3,Strategic
PRJ-02944,PAR-000115,CASE-000115,0.458,2,Normal
PRJ-01380,PAR-000116,CASE-000116,0.341,1,High
PRJ-02461,PAR-000117,CASE-000117,0.26,5,Normal
PRJ-03045,PAR-000118,CASE-000118,0.664,1,Normal
PRJ-02096,PAR-000119,CASE-000119,1.678,1,High
PRJ-01505,PAR-000120,CASE-000120,3.408,5,Normal
PRJ-04125,PAR-000121,CASE-000121,1.722,3,Normal
PRJ-03675,PAR-000122,CASE-000122,2.884,4,High
PRJ-02749,PAR-000123,CASE-000123,0.279,2,Normal
PRJ-00261,PAR-000124,CASE-000124,1.706,3,Normal
PRJ-02735,PAR-000125,CASE-000125,0.925,2,High
PRJ-01922,PAR-000126,CASE-000126,1.612,1,High
PRJ-02823,PAR-000127,CASE-000127,1.604,1,Normal
PRJ-03896,PAR-000128,CASE-000128,0.075,1,Normal
PRJ-04847,PAR-000129,CASE-000129,0.808,2,Normal
PRJ-00526,PAR-000130,CASE-000130,0.653,2,Normal
PRJ-00850,PAR-000131,CASE-000131,0.477,4,High
PRJ-03360,PAR-000132,CASE-000132,0.32,3,High
PRJ-03598,PAR-000133,CASE-000133,0.315,2,Normal
PRJ-00172,PAR-000134,CASE-000134,1.135,2,Normal
PRJ-03342,PAR-000135,CASE-000135,1.233,2,Normal
PRJ-00101,PAR-000136,CASE-000136,0.685,3,Normal
PRJ-02227,PAR-000137,CASE-000137,1.009,2,Normal
PRJ-02372,PAR-000138,CASE-000138,2.035,2,High
PRJ-03477,PAR-000139,CASE-000139,0.731,3,Normal
PRJ-04735,PAR-000140,CASE-000140,1.196,1,Strategic
PRJ-00377,PAR-000141,CASE-000141,0.811,2,Normal
PRJ-01771,PAR-000142,CASE-000142,0.667,1,High
PRJ-02920,PAR-000143,CASE-000143,2.714,3,Normal
PRJ-04231,PAR-000144,CASE-000144,1.414,1,Normal
PRJ-04388,PAR-000145,CASE-000145,1.503,1,Strategic
PRJ-03550,PAR-000146,CASE-000146,0.887,3,Strategic
PRJ-01637,PAR-000147,CASE-000147,1.761,3,Normal
PRJ-02217,PAR-000148,CASE-000148,1.403,3,Normal
PRJ-01964,PAR-000149,CASE-000149,1.007,3,Normal
PRJ-04450,PAR-000150,CASE-000150,0.163,2,Normal
PRJ-02554,PAR-000151,CASE-000151,1.607,2,Normal
PRJ-00755,PAR-000152,CASE-000152,0.685,1,Strategic
PRJ-04553,PAR-000153,CASE-000153,0.586,2,Normal
PRJ-01387,PAR-000154,CASE-000154,0.814,3,Normal
PRJ-00365,PAR-000155,CASE-000155,1.118,4,Strategic
PRJ-03924,PAR-000156,CASE-000156,2.001,1,Normal
PRJ-04125,PAR-000157,CASE-000157,1.504,3,Normal
PRJ-03453,PAR-000158,CASE-000158,1.043,3,Normal
PRJ-02316,PAR-000159,CASE-000159,1.094,2,Normal
PRJ-02032,PAR-000160,CASE-000160,0.393,1,Normal
PRJ-02630,PAR-000161,CASE-000161,0.74,2,Strategic
PRJ-04312,PAR-000162,CASE-000162,2.07,2,High
PRJ-01155,PAR-000163,CASE-000163,0.779,5,Normal
PRJ-04808,PAR-000164,CASE-000164,2.355,2,Normal
PRJ-00409,PAR-000165,CASE-000165,0.957,4,Normal
PRJ-04570,PAR-000166,CASE-000166,2.037,3,Normal
PRJ-00050,PAR-000167,CASE-000167,1.269,1,High
PRJ-03284,PAR-000168,CASE-000168,0.178,3,Normal
PRJ-03253,PAR-000169,CASE-000169,0.77,2,High
PRJ-00324,PAR-000170,CASE-000170,0.692,4,High
PRJ-02275,PAR-000171,CASE-000171,0.169,2,Normal
PRJ-03989,PAR-000172,CASE-000172,0.958,2,Strategic
PRJ-01046,PAR-000173,CASE-000173,0.559,2,Normal
PRJ-00649,PAR-000174,CASE-000174,1.6,2,Strategic
PRJ-01370,PAR-000175,CASE-000175,1.017,1,Normal
PRJ-00805,PAR-000176,CASE-000176,2.69,2,Normal
PRJ-01275,PAR-000177,CASE-000177,2.228,3,High
PRJ-04538,PAR-000178,CASE-000178,0.741,1,Normal
PRJ-00534,PAR-000179,CASE-000179,0.533,2,Normal
PRJ-04982,PAR-000180,CASE-000180,0.714,2,Normal
PRJ-04061,PAR-000181,CASE-000181,1.377,3,High
PRJ-01768,PAR-000182,CASE-000182,0.46,2,Normal
PRJ-04582,PAR-000183,CASE-000183,0.781,3,High
PRJ-01169,PAR-000184,CASE-000184,0.819,3,High
PRJ-04180,PAR-000185,CASE-000185,2.311,3,Normal
PRJ-02074,PAR-000186,CASE-000186,1.461,1,Normal
PRJ-01914,PAR-000187,CASE-000187,0.542,1,Normal
PRJ-00167,PAR-000188,CASE-000188,1.049,3,High
PRJ-03751,PAR-000189,CASE-000189,1.698,4,Strategic
PRJ-03034,PAR-000190,CASE-000190,1.06,2,Strategic
PRJ-04412,PAR-000191,CASE-000191,0.51,2,High
PRJ-03493,PAR-000192,CASE-000192,1.002,2,Normal
PRJ-02526,PAR-000193,CASE-000193,2.022,3,Normal
PRJ-00930,PAR-000194,CASE-000194,0.486,4,High
PRJ-03196,PAR-000195,CASE-000195,0.822,3,High
PRJ-04345,PAR-000196,CASE-000196,1.872,1,Strategic
PRJ-03204,PAR-000197,CASE-000197,3.662,2,High
PRJ-00980,PAR-000198,CASE-000198,1.041,1,High
PRJ-04709,PAR-000199,CASE-000199,1.82,2,Normal
PRJ-04527,PAR-000200,CASE-000200,0.472,2,High
PRJ-02653,PAR-000201,CASE-000201,2.421,1,Normal
PRJ-01381,PAR-000202,CASE-000202,0.545,2,Normal
PRJ-01143,PAR-000203,CASE-000203,0.829,3,Normal
PRJ-03600,PAR-000204,CASE-000204,1.356,3,High
PRJ-03265,PAR-000205,CASE-000205,0.122,4,Strategic
PRJ-03135,PAR-000206,CASE-000206,1.179,2,Normal
PRJ-03599,PAR-000207,CASE-000207,1.001,4,Normal
PRJ-03298,PAR-000208,CASE-000208,2.107,2,High
PRJ-01487,PAR-000209,CASE-000209,0.457,4,Strategic
PRJ-04616,PAR-000210,CASE-000210,0.604,1,Normal
PRJ-03688,PAR-000211,CASE-000211,1.987,6,High
PRJ-03733,PAR-000212,CASE-000212,1.043,2,High
PRJ-02569,PAR-000213,CASE-000213,0.972,1,Strategic
PRJ-01767,PAR-000214,CASE-000214,0.534,3,Normal
PRJ-02155,PAR-000215,CASE-000215,0.583,4,High
PRJ-03206,PAR-000216,CASE-000216,1.327,2,Normal
PRJ-04503,PAR-000217,CASE-000217,0.464,1,Strategic
PRJ-03379,PAR-000218,CASE-000218,0.816,3,Normal
PRJ-01925,PAR-000219,CASE-000219,2.224,2,Normal
PRJ-02195,PAR-000220,CASE-000220,0.206,3,Normal
PRJ-04609,PAR-000221,CASE-000221,2.032,2,Normal
PRJ-04093,PAR-000222,CASE-000222,0.981,3,High
PRJ-03252,PAR-000223,CASE-000223,2.38,3,Normal
PRJ-03740,PAR-000224,CASE-000224,0.444,3,Normal
PRJ-01637,PAR-000225,CASE-000225,0.846,2,Normal
PRJ-03901,PAR-000226,CASE-000226,0.415,4,Normal
PRJ-01263,PAR-000227,CASE-000227,0.776,2,Normal
PRJ-00255,PAR-000228,CASE-000228,0.294,3,Normal
PRJ-03543,PAR-000229,CASE-000229,3.016,2,Normal
PRJ-02700,PAR-000230,CASE-000230,0.601,1,Normal
PRJ-00864,PAR-000231,CASE-000231,0.918,3,Normal
PRJ-00215,PAR-000232,CASE-000232,0.244,4,High
PRJ-00906,PAR-000233,CASE-000233,0.897,3,Strategic
PRJ-03088,PAR-000234,CASE-000234,0.854,2,Strategic
PRJ-04713,PAR-000235,CASE-000235,0.779,3,Strategic
PRJ-01926,PAR-000236,CASE-000236,0.699,3,Normal
PRJ-03993,PAR-000237,CASE-000237,1.196,3,Normal
PRJ-02235,PAR-000238,CASE-000238,0.603,2,High
PRJ-00057,PAR-000239,CASE-000239,0.101,3,Normal
PRJ-01381,PAR-000240,CASE-000240,1.248,3,Strategic
PRJ-02267,PAR-000241,CASE-000241,0.293,3,Normal
PRJ-03314,PAR-000242,CASE-000242,1.375,1,Normal
PRJ-00652,PAR-000243,CASE-000243,0.356,2,High
PRJ-03030,PAR-000244,CASE-000244,0.492,3,Normal
PRJ-02294,PAR-000245,CASE-000245,1.9,4,Normal
PRJ-01755,PAR-000246,CASE-000246,1.629,4,Strategic
PRJ-03096,PAR-000247,CASE-000247,0.271,2,Normal
PRJ-00178,PAR-000248,CASE-000248,0.722,2,High
PRJ-04920,PAR-000249,CASE-000249,1.433,1,High
PRJ-02905,PAR-000250,CASE-000250,0.574,1,High
PRJ-04148,PAR-000251,CASE-000251,2.653,1,Normal
PRJ-02204,PAR-000252,CASE-000252,0.925,2,High
PRJ-02052,PAR-000253,CASE-000253,0.733,2,Normal
PRJ-03416,PAR-000254,CASE-000254,0.385,4,High
PRJ-04192,PAR-000255,CASE-000255,4.43,2,Strategic
PRJ-02077,PAR-000256,CASE-000256,1.428,2,Normal
PRJ-00125,PAR-000257,CASE-000257,1.588,2,Normal
PRJ-04711,PAR-000258,CASE-000258,0.749,2,High
PRJ-05000,PAR-000259,CASE-000259,0.298,2,Normal
PRJ-04560,PAR-000260,CASE-000260,0.558,1,Normal
PRJ-01543,PAR-000261,CASE-000261,2.079,2,Normal
PRJ-01967,PAR-000262,CASE-000262,0.412,3,High
PRJ-04758,PAR-000263,CASE-000263,2.218,3,High
PRJ-04238,PAR-000264,CASE-000264,0.594,4,Normal
PRJ-04912,PAR-000265,CASE-000265,3.134,3,Normal
PRJ-00046,PAR-000266,CASE-000266,0.552,3,High
PRJ-02266,PAR-000267,CASE-000267,0.609,1,Strategic
PRJ-03538,PAR-000268,CASE-000268,1.11,4,Strategic
PRJ-03568,PAR-000269,CASE-000269,1.298,3,Normal
PRJ-04073,PAR-000270,CASE-000270,0.421,3,Normal
PRJ-03871,PAR-000271,CASE-000271,0.429,2,Normal
PRJ-02200,PAR-000272,CASE-000272,0.495,2,High
PRJ-01084,PAR-000273,CASE-000273,0.25,3,Normal
PRJ-03868,PAR-000274,CASE-000274,0.691,3,Normal
PRJ-04002,PAR-000275,CASE-000275,0.399,2,Normal
PRJ-04722,PAR-000276,CASE-000276,0.887,2,Normal
PRJ-01411,PAR-000277,CASE-000277,0.176,1,Normal
PRJ-00115,PAR-000278,CASE-000278,3.925,3,High
PRJ-04353,PAR-000279,CASE-000279,4.699,3,Normal
PRJ-02366,PAR-000280,CASE-000280,1.732,1,Normal
PRJ-03667,PAR-000281,CASE-000281,1.075,1,Normal
PRJ-04338,PAR-000282,CASE-000282,1.209,2,Normal
PRJ-01711,PAR-000283,CASE-000283,3.474,1,Normal
PRJ-03678,PAR-000284,CASE-000284,0.496,1,Normal
PRJ-00643,PAR-000285,CASE-000285,0.934,3,Normal
PRJ-04225,PAR-000286,CASE-000286,0.254,1,Normal
PRJ-04217,PAR-000287,CASE-000287,0.135,2,Normal
PRJ-01105,PAR-000288,CASE-000288,2.518,2,High
PRJ-01970,PAR-000289,CASE-000289,0.788,2,Normal
PRJ-03763,PAR-000290,CASE-000290,0.873,2,Normal
PRJ-04558,PAR-000291,CASE-000291,0.61,1,Normal
PRJ-04186,PAR-000292,CASE-000292,0.852,2,High
PRJ-02873,PAR-000293,CASE-000293,0.599,3,High
PRJ-02293,PAR-000294,CASE-000294,0.576,2,Normal
PRJ-04894,PAR-000295,CASE-000295,0.523,1,High
PRJ-04803,PAR-000296,CASE-000296,0.595,2,Strategic
PRJ-00144,PAR-000297,CASE-000297,0.555,1,Strategic
PRJ-01599,PAR-000298,CASE-000298,0.587,2,Strategic
PRJ-00026,PAR-000299,CASE-000299,0.327,2,Normal
PRJ-03427,PAR-000300,CASE-000300,1.593,4,Normal
PRJ-00585,PAR-000301,CASE-000301,1.597,3,Normal
PRJ-03615,PAR-000302,CASE-000302,0.755,4,Normal
PRJ-01532,PAR-000303,CASE-000303,0.782,2,Normal
PRJ-02728,PAR-000304,CASE-000304,0.802,4,Normal
PRJ-02894,PAR-000305,CASE-000305,0.769,2,Normal
PRJ-04118,PAR-000306,CASE-000306,0.706,1,Normal
PRJ-01803,PAR-000307,CASE-000307,0.787,1,High
PRJ-04510,PAR-000308,CASE-000308,0.523,1,High
PRJ-04938,PAR-000309,CASE-000309,1.12,2,Normal
PRJ-04688,PAR-000310,CASE-000310,0.676,1,High
PRJ-02528,PAR-000311,CASE-000311,0.971,1,High
PRJ-01692,PAR-000312,CASE-000312,0.295,1,High
PRJ-03154,PAR-000313,CASE-000313,0.903,1,Normal
PRJ-01755,PAR-000314,CASE-000314,0.713,1,Normal
PRJ-02010,PAR-000315,CASE-000315,3.965,2,Normal
PRJ-02828,PAR-000316,CASE-000316,0.121,2,Normal
PRJ-02269,PAR-000317,CASE-000317,0.717,3,Normal
PRJ-03186,PAR-000318,CASE-000318,1.617,3,Normal
PRJ-03735,PAR-000319,CASE-000319,2.107,3,Normal
PRJ-04581,PAR-000320,CASE-000320,0.443,1,Normal
PRJ-03924,PAR-000321,CASE-000321,0.41,1,Normal
PRJ-04781,PAR-000322,CASE-000322,1.378,2,Normal
PRJ-04996,PAR-000323,CASE-000323,0.784,4,High
PRJ-04267,PAR-000324,CASE-000324,1.336,2,Normal
PRJ-02359,PAR-000325,CASE-000325,2.338,4,Normal
PRJ-02211,PAR-000326,CASE-000326,0.192,1,High
PRJ-02353,PAR-000327,CASE-000327,1.377,2,High
PRJ-02286,PAR-000328,CASE-000328,1.398,2,Normal
PRJ-01604,PAR-000329,CASE-000329,0.389,2,High
PRJ-02907,PAR-000330,CASE-000330,0.753,1,Strategic
PRJ-00033,PAR-000331,CASE-000331,1.743,2,High
PRJ-00538,PAR-000332,CASE-000332,0.305,1,Normal
PRJ-02760,PAR-000333,CASE-000333,0.416,3,Normal
PRJ-02411,PAR-000334,CASE-000334,0.419,1,Normal
PRJ-01462,PAR-000335,CASE-000335,0.33,1,Normal
PRJ-03965,PAR-000336,CASE-000336,0.569,3,Normal
PRJ-00087,PAR-000337,CASE-000337,1.228,3,High
PRJ-01715,PAR-000338,CASE-000338,0.836,1,Normal
PRJ-04045,PAR-000339,CASE-000339,0.377,5,Normal
PRJ-03131,PAR-000340,CASE-000340,0.159,2,High
PRJ-01013,PAR-000341,CASE-000341,0.632,2,Normal
PRJ-03779,PAR-000342,CASE-000342,0.177,2,Normal
PRJ-00434,PAR-000343,CASE-000343,2.513,1,Normal
PRJ-03039,PAR-000344,CASE-000344,1.902,3,Normal
PRJ-03221,PAR-000345,CASE-000345,2.07,2,Normal
PRJ-04120,PAR-000346,CASE-000346,0.526,1,High
PRJ-02898,PAR-000347,CASE-000347,0.524,4,Normal
PRJ-04017,PAR-000348,CASE-000348,0.789,1,High
PRJ-03129,PAR-000349,CASE-000349,2.557,2,High
PRJ-03209,PAR-000350,CASE-000350,0.891,4,Normal
PRJ-04198,PAR-000351,CASE-000351,1.072,1,High
PRJ-04429,PAR-000352,CASE-000352,0.634,3,Normal
PRJ-00433,PAR-000353,CASE-000353,0.283,5,Normal
PRJ-00886,PAR-000354,CASE-000354,2.102,1,Normal
PRJ-03511,PAR-000355,CASE-000355,0.499,3,Normal
PRJ-00710,PAR-000356,CASE-000356,0.596,3,High
PRJ-04312,PAR-000357,CASE-000357,0.509,2,Normal
PRJ-02804,PAR-000358,CASE-000358,0.655,1,Normal
PRJ-02387,PAR-000359,CASE-000359,0.487,2,High
PRJ-00695,PAR-000360,CASE-000360,0.868,2,Normal
PRJ-03254,PAR-000361,CASE-000361,0.849,1,Strategic
PRJ-02101,PAR-000362,CASE-000362,0.253,2,Normal
PRJ-04777,PAR-000363,CASE-000363,0.595,2,High
PRJ-03553,PAR-000364,CASE-000364,0.319,3,Normal
PRJ-04319,PAR-000365,CASE-000365,1.125,3,High
PRJ-01904,PAR-000366,CASE-000366,0.397,1,High
PRJ-00438,PAR-000367,CASE-000367,0.841,2,Normal
PRJ-03800,PAR-000368,CASE-000368,0.439,2,Normal
PRJ-04321,PAR-000369,CASE-000369,1.605,2,High
PRJ-04882,PAR-000370,CASE-000370,0.823,2,Normal
PRJ-01816,PAR-000371,CASE-000371,3.11,2,High
PRJ-01308,PAR-000372,CASE-000372,1.176,2,Normal
PRJ-01011,PAR-000373,CASE-000373,0.929,2,High
PRJ-00953,PAR-000374,CASE-000374,1.075,3,Normal
PRJ-00465,PAR-000375,CASE-000375,2.197,1,Normal
PRJ-00183,PAR-000376,CASE-000376,0.931,2,Normal
PRJ-03857,PAR-000377,CASE-000377,0.952,1,Normal
PRJ-03604,PAR-000378,CASE-000378,0.724,2,High
PRJ-01063,PAR-000379,CASE-000379,2.24,1,Normal
PRJ-03008,PAR-000380,CASE-000380,3.097,2,Strategic
PRJ-02771,PAR-000381,CASE-000381,0.365,1,Normal
PRJ-00641,PAR-000382,CASE-000382,1.178,3,Normal
PRJ-00505,PAR-000383,CASE-000383,1.054,3,High
PRJ-01202,PAR-000384,CASE-000384,1.385,3,Strategic
PRJ-01728,PAR-000385,CASE-000385,0.53,1,High
PRJ-02926,PAR-000386,CASE-000386,2.766,3,Normal
PRJ-02193,PAR-000387,CASE-000387,0.927,4,Normal
PRJ-02231,PAR-000388,CASE-000388,0.585,2,Normal
PRJ-01930,PAR-000389,CASE-000389,0.718,4,Normal
PRJ-00334,PAR-000390,CASE-000390,0.795,2,Normal
PRJ-03161,PAR-000391,CASE-000391,2.054,4,Normal
PRJ-00579,PAR-000392,CASE-000392,0.427,2,Normal
PRJ-00037,PAR-000393,CASE-000393,14.53,3,Normal
PRJ-01103,PAR-000394,CASE-000394,0.185,3,Strategic
PRJ-02403,PAR-000395,CASE-000395,0.794,3,Normal
PRJ-02671,PAR-000396,CASE-000396,0.984,3,Normal
PRJ-01735,PAR-000397,CASE-000397,1.8,3,High
PRJ-02934,PAR-000398,CASE-000398,0.282,4,High
PRJ-03629,PAR-000399,CASE-000399,0.285,1,Normal
PRJ-03646,PAR-000400,CASE-000400,0.31,1,High
PRJ-00616,PAR-000401,CASE-000401,0.269,1,Normal
PRJ-00736,PAR-000402,CASE-000402,0.908,3,Normal
PRJ-03718,PAR-000403,CASE-000403,0.436,3,High
PRJ-03759,PAR-000404,CASE-000404,2.33,2,Normal
PRJ-01380,PAR-000405,CASE-000405,0.248,1,Normal
PRJ-04755,PAR-000406,CASE-000406,1.059,1,Normal
PRJ-02917,PAR-000407,CASE-000407,0.527,6,High
PRJ-03032,PAR-000408,CASE-000408,3.863,7,Normal
PRJ-04672,PAR-000409,CASE-000409,3.765,1,Strategic
PRJ-00356,PAR-000410,CASE-000410,0.684,3,Normal
PRJ-01667,PAR-000411,CASE-000411,1.46,3,Normal
PRJ-01706,PAR-000412,CASE-000412,0.803,2,Normal
PRJ-01663,PAR-000413,CASE-000413,0.3,3,Normal
PRJ-01716,PAR-000414,CASE-000414,0.408,1,High
PRJ-03275,PAR-000415,CASE-000415,1.233,2,High
PRJ-03252,PAR-000416,CASE-000416,0.989,2,High
PRJ-04562,PAR-000417,CASE-000417,1.143,2,Normal
PRJ-03520,PAR-000418,CASE-000418,0.669,2,Normal
PRJ-04714,PAR-000419,CASE-000419,0.302,2,Normal
PRJ-02958,PAR-000420,CASE-000420,0.875,3,High
PRJ-01563,PAR-000421,CASE-000421,1.033,1,High
PRJ-01410,PAR-000422,CASE-000422,0.474,2,Normal
PRJ-00337,PAR-000423,CASE-000423,2.349,1,High
PRJ-03033,PAR-000424,CASE-000424,0.945,1,Normal
PRJ-01160,PAR-000425,CASE-000425,0.848,2,Normal
PRJ-00854,PAR-000426,CASE-000426,0.402,2,Normal
PRJ-03425,PAR-000427,CASE-000427,1.309,2,Normal
PRJ-00118,PAR-000428,CASE-000428,0.597,2,Normal
PRJ-04632,PAR-000429,CASE-000429,0.597,4,Normal
PRJ-00511,PAR-000430,CASE-000430,0.633,4,Normal
PRJ-01252,PAR-000431,CASE-000431,0.253,2,High
PRJ-01826,PAR-000432,CASE-000432,2.657,3,Normal
PRJ-03715,PAR-000433,CASE-000433,0.934,1,Strategic
PRJ-03768,PAR-000434,CASE-000434,0.775,2,Normal
PRJ-00948,PAR-000435,CASE-000435,3.959,3,Normal
PRJ-04127,PAR-000436,CASE-000436,2.057,4,Normal
PRJ-02374,PAR-000437,CASE-000437,0.224,2,Strategic
PRJ-00724,PAR-000438,CASE-000438,0.448,2,Normal
PRJ-01528,PAR-000439,CASE-000439,1.456,2,Strategic
PRJ-01029,PAR-000440,CASE-000440,1.454,2,Normal
PRJ-04795,PAR-000441,CASE-000441,0.991,3,Strategic
