record_id,district,taluk,village,survey_no,subdivision,area,classification,record_status,mutation_status
62,Coimbatore,Sulur,Madukkarai,315,4,0.685,Residential,Pending,Updated
63,Coimbatore,Sulur,Negamam,5172,6,0.848,Punjai,Verified,Updated
64,Coimbatore,Pollachi,Sulur,6809,4,0.319,Commercial,Under Review,Updated
65,Coimbatore,Coimbatore South,Mettupalayam,7806,3,0.641,Residential,Verified,Updated
66,Coimbatore,Mettupalayam,Kinathukadavu,5109,3,0.134,Commercial,Under Review,Updated
67,Coimbatore,Kinathukadavu,Kovilpalayam,8521,3,1.563,Poramboke,Pending,Disputed
68,Coimbatore,Coimbatore North,Sulur,7629,4,0.464,Government,Verified,Updated
69,Coimbatore,Kinathukadavu,Annur,6714,4,0.46,Nanjai,Verified,Updated
70,Coimbatore,Pollachi,Kovilpalayam,6486,1,0.936,Government,Active,Updated
71,Coimbatore,Coimbatore South,Kovilpalayam,5048,6,1.696,Punjai,Verified,Not Required
72,Coimbatore,Coimbatore North,Sulur,3438,6,0.112,Industrial,Pending,Pending
73,Coimbatore,Annur,Karamadai,2042,2,1.696,Nanjai,Under Review,Not Required
74,Coimbatore,Pollachi,Annur,1642,4,1.947,Commercial,Active,Disputed
75,Coimbatore,Madukkarai,Madukkarai,6071,5,0.447,Residential,Pending,Not Required
76,Coimbatore,Pollachi,Pollachi,431,7,1.491,Nanjai,Verified,Disputed
77,Coimbatore,Mettupalayam,Pollachi,6300,1,0.808,Nanjai,Active,Updated
78,Coimbatore,Pollachi,Sulur,3011,6,0.194,Residential,Active,Updated
79,Coimbatore,Pollachi,Madukkarai,2701,3,0.418,Commercial,Active,Updated
80,Coimbatore,Sulur,Perur,6003,2,2.075,Commercial,Active,Pending
81,Coimbatore,Coimbatore North,Pollachi,2257,1,0.866,Punjai,Pending,Updated
82,Coimbatore,Kinathukadavu,Sulur,3452,4,0.452,Residential,Pending,Pending
83,Coimbatore,Mettupalayam,Mettupalayam,1957,2,4.227,Industrial,Verified,Updated
84,Coimbatore,Kinathukadavu,Kinathukadavu,4889,3,0.788,Industrial,Verified,Updated
85,Coimbatore,Pollachi,Annur,8325,5,1.776,Commercial,Verified,Updated
86,Coimbatore,Pollachi,Sulur,1645,2,0.766,Residential,Active,Updated
87,Coimbatore,Coimbatore North,Madukkarai,2007,2,1.616,Punjai,Under Review,Updated
88,Coimbatore,Kinathukadavu,Sulur,7809,4,1.438,Punjai,Verified,Updated
89,Coimbatore,Mettupalayam,Kovilpalayam,2477,3,4.776,Punjai,Under Review,Pending
90,Coimbatore,Coimbatore North,Perur,7841,7,0.376,Government,Active,Not Required
91,Coimbatore,Pollachi,Pollachi,2438,1,0.448,Residential,Verified,Updated
92,Coimbatore,Pollachi,Karamadai,9379,7,2.325,Residential,Verified,Updated
93,Coimbatore,Pollachi,Pollachi,2625,7,1.519,Punjai,Under Review,Pending
94,Coimbatore,Madukkarai,Negamam,2617,5,0.656,Poramboke,Under Review,Updated
95,Coimbatore,Coimbatore South,Perur,2315,4,0.574,Poramboke,Pending,Not Required
96,Coimbatore,Coimbatore North,Mettupalayam,348,3,0.994,Poramboke,Pending,Pending
97,Coimbatore,Annur,Negamam,2227,4,3.065,Commercial,Pending,Updated
98,Coimbatore,Coimbatore North,Pollachi,5661,2,0.464,Nanjai,Under Review,Updated
99,Coimbatore,Mettupalayam,Sulur,970,3,0.381,Residential,Verified,Updated
100,Coimbatore,Pollachi,Madukkarai,5573,7,0.602,Nanjai,Pending,Updated
101,Coimbatore,Coimbatore South,Saravanampatti,8956,2,2.067,Residential,Pending,Updated
102,Coimbatore,Kinathukadavu,Annur,4649,2,1.979,Residential,Verified,Updated
103,Coimbatore,Coimbatore South,Sulur,299,3,0.934,Nanjai,Active,Not Required
104,Coimbatore,Coimbatore North,Negamam,8452,7,0.68,Poramboke,Active,Disputed
105,Coimbatore,Madukkarai,Saravanampatti,5797,5,2.647,Poramboke,Verified,Updated
106,Coimbatore,Sulur,Perur,8280,3,1.877,Punjai,Under Review,Updated
107,Coimbatore,Mettupalayam,Saravanampatti,452,7,1.146,Industrial,Pending,Updated
108,Coimbatore,Pollachi,Perur,4363,4,0.551,Nanjai,Pending,Not Required
109,Coimbatore,Mettupalayam,Perur,4748,2,1.515,Government,Verified,Updated
110,Coimbatore,Mettupalayam,Sulur,5454,7,3.967,Residential,Pending,Updated
111,Coimbatore,Coimbatore South,Kinathukadavu,128,2,1.729,Residential,Pending,Updated
112,Coimbatore,Pollachi,Sulur,5300,4,0.502,Punjai,Active,Updated
113,Coimbatore,Mettupalayam,Annur,2179,1,4.259,Punjai,Pending,Pending
114,Coimbatore,Pollachi,Kovilpalayam,1502,2,0.767,Nanjai,Pending,Updated
115,Coimbatore,Pollachi,Karamadai,6963,4,0.648,Punjai,Under Review,Updated
116,Coimbatore,Mettupalayam,Sulur,7740,6,0.426,Punjai,Active,Updated
117,Coimbatore,Kinathukadavu,Kinathukadavu,1357,7,0.271,Residential,Under Review,Pending
118,Coimbatore,Coimbatore South,Pollachi,6435,6,1.112,Poramboke,Under Review,Updated
119,Coimbatore,Madukkarai,Saravanampatti,1685,6,2.046,Government,Pending,Updated
120,Coimbatore,Pollachi,Pollachi,6603,3,3.377,Residential,Pending,Updated
121,Coimbatore,Coimbatore North,Kovilpalayam,9177,2,2.034,Industrial,Pending,Updated
122,Coimbatore,Coimbatore North,Annur,2822,4,2.577,Poramboke,Verified,Updated
123,Coimbatore,Mettupalayam,Karamadai,8896,4,0.381,Nanjai,Under Review,Disputed
124,Coimbatore,Pollachi,Madukkarai,1676,1,2.254,Poramboke,Under Review,Updated
125,Coimbatore,Coimbatore South,Karamadai,6116,7,0.929,Punjai,Verified,Updated
126,Coimbatore,Sulur,Annur,5119,6,1.749,Industrial,Verified,Updated
127,Coimbatore,Madukkarai,Thudiyalur,1038,5,1.503,Industrial,Under Review,Updated
128,Coimbatore,Coimbatore South,Saravanampatti,9190,6,0.133,Poramboke,Active,Pending
129,Coimbatore,Sulur,Negamam,8203,6,1.35,Punjai,Under Review,Not Required
130,Coimbatore,Pollachi,Mettupalayam,3446,4,1.13,Industrial,Active,Updated
131,Coimbatore,Annur,Karamadai,4056,5,0.518,Residential,Verified,Updated
132,Coimbatore,Kinathukadavu,Madukkarai,8386,3,0.416,Government,Verified,Pending
133,Coimbatore,Sulur,Pollachi,1370,4,0.279,Commercial,Verified,Pending
134,Coimbatore,Pollachi,Perur,5452,5,1.259,Punjai,Active,Updated
135,Coimbatore,Coimbatore South,Karamadai,3871,1,1.046,Punjai,Under Review,Pending
136,Coimbatore,Mettupalayam,Mettupalayam,7405,5,0.87,Nanjai,Verified,Not Required
137,Coimbatore,Mettupalayam,Negamam,8983,5,1.519,Commercial,Active,Updated
138,Coimbatore,Kinathukadavu,Kinathukadavu,2742,4,1.73,Punjai,Verified,Updated
139,Coimbatore,Annur,Kovilpalayam,4901,1,0.646,Nanjai,Active,Pending
140,Coimbatore,Kinathukadavu,Sulur,6977,3,2.388,Residential,Active,Updated
141,Coimbatore,Sulur,Karamadai,5178,2,1.046,Government,Under Review,Updated
142,Coimbatore,Annur,Sulur,2970,1,0.896,Poramboke,Under Review,Updated
143,Coimbatore,Pollachi,Kinathukadavu,7405,6,2.425,Nanjai,Verified,Updated
144,Coimbatore,Sulur,Thudiyalur,5787,1,2.205,Residential,Under Review,Updated
145,Coimbatore,Mettupalayam,Kinathukadavu,2032,7,2.649,Residential,Under Review,Updated
146,Coimbatore,Sulur,Pollachi,6415,7,0.879,Nanjai,Active,Updated
147,Coimbatore,Madukkarai,Kinathukadavu,8601,3,2.01,Nanjai,Pending,Updated
148,Coimbatore,Coimbatore North,Thudiyalur,5257,6,1.351,Residential,Active,Updated
149,Coimbatore,Sulur,Negamam,793,6,1.085,Commercial,Under Review,Updated
150,Coimbatore,Annur,Sulur,7508,3,0.303,Government,Active,Pending
151,Coimbatore,Madukkarai,Pollachi,3613,7,2.034,Punjai,Under Review,Disputed
152,Coimbatore,Annur,Kinathukadavu,5943,5,0.659,Residential,Verified,Updated
153,Coimbatore,Mettupalayam,Sulur,4332,4,0.549,Nanjai,Verified,Pending
154,Coimbatore,Madukkarai,Kinathukadavu,7529,7,1.405,Punjai,Under Review,Updated
155,Coimbatore,Madukkarai,Thudiyalur,3334,6,1.509,Punjai,Active,Pending
156,Coimbatore,Coimbatore South,Madukkarai,5180,2,3.841,Commercial,Pending,Not Required
157,Coimbatore,Sulur,Kovilpalayam,7221,2,1.516,Nanjai,Active,Updated
158,Coimbatore,Mettupalayam,Kovilpalayam,1405,5,1.212,Residential,Active,Updated
159,Coimbatore,Annur,Sulur,2371,4,1.421,Punjai,Verified,Updated
160,Coimbatore,Kinathukadavu,Sulur,6027,3,0.513,Residential,Pending,Updated
161,Coimbatore,Madukkarai,Kinathukadavu,2710,7,0.937,Nanjai,Verified,Updated
162,Coimbatore,Coimbatore North,Sulur,5441,1,2.208,Punjai,Active,Updated
163,Coimbatore,Coimbatore South,Kovilpalayam,2688,2,0.828,Poramboke,Under Review,Updated
164,Coimbatore,Coimbatore North,Pollachi,2957,2,2.233,Residential,Under Review,Updated
165,Coimbatore,Mettupalayam,Pollachi,1832,5,0.834,Punjai,Active,Pending
166,Coimbatore,Sulur,Thudiyalur,4079,4,1.742,Industrial,Active,Not Required
167,Coimbatore,Coimbatore South,Kinathukadavu,8479,6,1.132,Punjai,Pending,Not Required
168,Coimbatore,Pollachi,Saravanampatti,8944,6,0.266,Nanjai,Under Review,Pending
169,Coimbatore,Coimbatore North,Saravanampatti,2543,4,1.161,Government,Verified,Updated
170,Coimbatore,Annur,Perur,2125,5,0.705,Industrial,Pending,Updated
171,Coimbatore,Annur,Negamam,46,1,0.286,Industrial,Verified,Updated
172,Coimbatore,Sulur,Sulur,6023,3,1.015,Government,Active,Not Required
173,Coimbatore,Madukkarai,Kinathukadavu,1902,3,0.664,Residential,Active,Updated
174,Coimbatore,Kinathukadavu,Madukkarai,5443,3,1.471,Punjai,Verified,Updated
175,Coimbatore,Coimbatore South,Negamam,813,2,1.1,Commercial,Verified,Updated
176,Coimbatore,Pollachi,Thudiyalur,1286,6,2.252,Residential,Pending,Updated
177,Coimbatore,Annur,Pollachi,1541,2,2.624,Poramboke,Verified,Not Required
178,Coimbatore,Sulur,Perur,8751,6,0.818,Punjai,Verified,Not Required
179,Coimbatore,Annur,Kovilpalayam,4416,3,0.492,Nanjai,Active,Not Required
180,Coimbatore,Coimbatore South,Pollachi,4435,2,0.872,Industrial,Under Review,Not Required
181,Coimbatore,Madukkarai,Madukkarai,655,6,1.897,Poramboke,Pending,Pending
182,Coimbatore,Mettupalayam,Annur,955,6,0.679,Government,Under Review,Not Required
183,Coimbatore,Sulur,Negamam,558,3,0.929,Punjai,Verified,Updated
184,Coimbatore,Mettupalayam,Madukkarai,5612,4,0.921,Residential,Under Review,Pending
185,Coimbatore,Kinathukadavu,Pollachi,4933,1,2.368,Government,Verified,Updated
186,Coimbatore,Coimbatore South,Kovilpalayam,5899,2,1.25,Government,Pending,Pending
187,Coimbatore,Mettupalayam,Sulur,5248,5,0.847,Nanjai,Pending,Updated
188,Coimbatore,Kinathukadavu,Kovilpalayam,3862,5,0.881,Punjai,Pending,Updated
189,Coimbatore,Pollachi,Saravanampatti,1351,6,1.693,Industrial,Active,Updated
190,Coimbatore,Coimbatore South,Annur,3198,5,1.219,Commercial,Verified,Not Required
191,Coimbatore,Kinathukadavu,Kinathukadavu,9038,7,0.905,Residential,Pending,Updated
192,Coimbatore,Sulur,Madukkarai,4832,1,0.886,Nanjai,Verified,Updated
193,Coimbatore,Annur,Kinathukadavu,4506,6,2.645,Punjai,Verified,Disputed
194,Coimbatore,Coimbatore North,Pollachi,6660,7,0.608,Residential,Active,Pending
195,Coimbatore,Coimbatore North,Kinathukadavu,5256,4,1.585,Commercial,Active,Updated
196,Coimbatore,Coimbatore North,Sulur,2150,7,1.989,Residential,Pending,Updated
197,Coimbatore,Kinathukadavu,Thudiyalur,4093,5,3.086,Government,Pending,Updated
198,Coimbatore,Pollachi,Kovilpalayam,8070,5,1.715,Government,Pending,Pending
199,Coimbatore,Coimbatore South,Mettupalayam,9414,3,1.976,Poramboke,Verified,Updated
200,Coimbatore,Madukkarai,Karamadai,4895,3,0.399,Residential,Pending,Updated
201,Coimbatore,Coimbatore South,Annur,5211,5,2.278,Nanjai,Active,Updated
202,Coimbatore,Pollachi,Kovilpalayam,4349,1,0.486,Commercial,Under Review,Pending
203,Coimbatore,Kinathukadavu,Karamadai,1453,3,0.848,Poramboke,Pending,Not Required
204,Coimbatore,Mettupalayam,Thudiyalur,3053,4,1.258,Commercial,Pending,Updated
205,Coimbatore,Coimbatore South,Annur,8049,5,0.236,Poramboke,Under Review,Pending
206,Coimbatore,Sulur,Madukkarai,6754,1,1.404,Residential,Active,Updated
207,Coimbatore,Kinathukadavu,Kovilpalayam,4601,6,1.777,Industrial,Active,Updated
208,Coimbatore,Pollachi,Mettupalayam,8560,4,2.334,Industrial,Verified,Updated
209,Coimbatore,Kinathukadavu,Saravanampatti,8153,7,0.556,Punjai,Under Review,Not Required
210,Coimbatore,Annur,Perur,9125,5,1.072,Punjai,Verified,Updated
211,Coimbatore,Coimbatore South,Kovilpalayam,7455,4,2.351,Nanjai,Pending,Updated
212,Coimbatore,Coimbatore South,Saravanampatti,7163,7,1.608,Government,Under Review,Updated
213,Coimbatore,Mettupalayam,Saravanampatti,5151,2,1.071,Residential,Under Review,Updated
214,Coimbatore,Madukkarai,Negamam,5779,1,0.954,Government,Pending,Updated
215,Coimbatore,Sulur,Kinathukadavu,4404,5,0.549,Residential,Active,Updated
216,Coimbatore,Kinathukadavu,Thudiyalur,7165,6,1.234,Nanjai,Verified,Updated
217,Coimbatore,Coimbatore South,Annur,8989,5,0.851,Residential,Verified,Updated
218,Coimbatore,Kinathukadavu,Perur,2943,2,1.625,Residential,Under Review,Updated
219,Coimbatore,Pollachi,Kovilpalayam,3143,4,1.875,Commercial,Verified,Pending
220,Coimbatore,Annur,Perur,288,7,0.184,Nanjai,Verified,Updated
221,Coimbatore,Mettupalayam,Pollachi,2975,1,3.335,Residential,Active,Updated
222,Coimbatore,Coimbatore North,Annur,5006,4,1.399,Residential,Verified,Updated
223,Coimbatore,Coimbatore South,Pollachi,3847,2,2.736,Commercial,Active,Pending
224,Coimbatore,Coimbatore North,Thudiyalur,2477,5,0.451,Punjai,Active,Disputed
225,Coimbatore,Madukkarai,Sulur,671,2,1.233,Government,Under Review,Updated
226,Coimbatore,Coimbatore North,Saravanampatti,2951,3,0.657,Nanjai,Active,Updated
227,Coimbatore,Coimbatore South,Negamam,7325,2,0.84,Residential,Pending,Disputed
228,Coimbatore,Madukkarai,Saravanampatti,3294,4,0.478,Industrial,Pending,Pending
229,Coimbatore,Coimbatore North,Annur,7759,5,2.775,Nanjai,Verified,Updated
230,Coimbatore,Annur,Saravanampatti,7053,2,0.875,Residential,Active,Updated
231,Coimbatore,Coimbatore North,Pollachi,8265,7,0.87,Residential,Verified,Updated
232,Coimbatore,Madukkarai,Madukkarai,6717,7,0.353,Residential,Active,Not Required
233,Coimbatore,Pollachi,Thudiyalur,9273,5,1.309,Industrial,Active,Updated
234,Coimbatore,Madukkarai,Negamam,4617,6,0.841,Poramboke,Pending,Updated
235,Coimbatore,Annur,Karamadai,4761,4,1.337,Poramboke,Verified,Not Required
236,Coimbatore,Mettupalayam,Perur,1599,7,1.239,Nanjai,Pending,Updated
237,Coimbatore,Pollachi,Annur,3351,3,1.058,Residential,Under Review,Not Required
238,Coimbatore,Kinathukadavu,Pollachi,287,5,0.734,Commercial,Verified,Updated
239,Coimbatore,Kinathukadavu,Annur,6013,2,0.2,Poramboke,Pending,Updated
240,Coimbatore,Coimbatore South,Kinathukadavu,1353,6,1.516,Industrial,Pending,Not Required
241,Coimbatore,Kinathukadavu,Sulur,2418,5,0.557,Poramboke,Active,Updated
242,Coimbatore,Coimbatore North,Negamam,8410,3,1.594,Nanjai,Verified,Not Required
243,Coimbatore,Coimbatore North,Sulur,3471,5,0.325,Commercial,Active,Not Required
244,Coimbatore,Sulur,Perur,670,1,0.557,Punjai,Active,Pending
245,Coimbatore,Pollachi,Karamadai,7630,5,1.871,Residential,Pending,Updated
246,Coimbatore,Pollachi,Madukkarai,2421,1,1.93,Residential,Under Review,Not Required
247,Coimbatore,Pollachi,Negamam,8394,5,0.491,Poramboke,Under Review,Updated
248,Coimbatore,Coimbatore North,Sulur,9247,4,0.733,Nanjai,Active,Updated
249,Coimbatore,Madukkarai,Pollachi,1710,3,1.261,Residential,Verified,Updated
250,Coimbatore,Coimbatore South,Pollachi,4726,3,0.667,Punjai,Pending,Updated
251,Coimbatore,Coimbatore North,Madukkarai,4336,6,2.562,Poramboke,Verified,Updated
252,Coimbatore,Coimbatore North,Kinathukadavu,4048,6,1.121,Poramboke,Pending,Updated
253,Coimbatore,Coimbatore North,Pollachi,5744,7,0.621,Punjai,Under Review,Updated
254,Coimbatore,Coimbatore South,Perur,3064,4,0.368,Residential,Active,Updated
255,Coimbatore,Coimbatore North,Sulur,5696,2,3.795,Punjai,Under Review,Updated
256,Coimbatore,Annur,Madukkarai,9393,7,1.632,Nanjai,Verified,Updated
257,Coimbatore,Mettupalayam,Annur,9115,3,1.724,Nanjai,Verified,Updated
258,Coimbatore,Coimbatore North,Annur,926,6,0.654,Government,Pending,Disputed
259,Coimbatore,Mettupalayam,Annur,4173,1,0.382,Punjai,Under Review,Updated
260,Coimbatore,Mettupalayam,Mettupalayam,3019,1,0.481,Government,Active,Updated
261,Coimbatore,Sulur,Mettupalayam,6764,5,2.082,Nanjai,Under Review,Pending
262,Coimbatore,Coimbatore North,Karamadai,4281,2,0.796,Government,Pending,Updated
263,Coimbatore,Pollachi,Negamam,396,2,2.814,Government,Verified,Updated
264,Coimbatore,Coimbatore South,Annur,5468,5,0.717,Punjai,Active,Updated
265,Coimbatore,Annur,Pollachi,814,6,3.702,Punjai,Pending,Updated
266,Coimbatore,Madukkarai,Pollachi,4968,3,0.761,Nanjai,Pending,Updated
267,Coimbatore,Coimbatore North,Kinathukadavu,8978,3,0.839,Punjai,Under Review,Not Required
268,Coimbatore,Coimbatore South,Madukkarai,3472,5,1.999,Poramboke,Under Review,Updated
269,Coimbatore,Mettupalayam,Perur,7685,5,1.223,Residential,Under Review,Pending
270,Coimbatore,Pollachi,Karamadai,7199,5,0.817,Punjai,Under Review,Updated
271,Coimbatore,Kinathukadavu,Sulur,4967,4,0.586,Nanjai,Active,Updated
272,Coimbatore,Sulur,Annur,1949,7,0.63,Punjai,Verified,Updated
273,Coimbatore,Pollachi,Kinathukadavu,8096,3,0.332,Punjai,Pending,Updated
274,Coimbatore,Mettupalayam,Madukkarai,8725,6,0.814,Nanjai,Verified,Updated
275,Coimbatore,Mettupalayam,Thudiyalur,5738,2,0.344,Residential,Verified,Updated
276,Coimbatore,Sulur,Saravanampatti,7450,7,1.12,Government,Active,Disputed
277,Coimbatore,Pollachi,Sulur,3223,6,0.294,Industrial,Pending,Not Required
278,Coimbatore,Pollachi,Annur,5535,1,4.621,Nanjai,Under Review,Updated
279,Coimbatore,Mettupalayam,Karamadai,9262,7,6.468,Poramboke,Verified,Not Required
280,Coimbatore,Coimbatore South,Saravanampatti,7721,6,1.664,Residential,Verified,Not Required
281,Coimbatore,Pollachi,Negamam,7013,7,1.385,Poramboke,Verified,Updated
282,Coimbatore,Coimbatore North,Sulur,991,1,1.03,Government,Pending,Updated
283,Coimbatore,Madukkarai,Kinathukadavu,7752,5,4.143,Nanjai,Active,Updated
284,Coimbatore,Pollachi,Negamam,8847,2,0.537,Punjai,Under Review,Updated
285,Coimbatore,Annur,Thudiyalur,8502,4,0.9,Nanjai,Pending,Updated
286,Coimbatore,Coimbatore South,Pollachi,5563,5,0.373,Nanjai,Active,Updated
287,Coimbatore,Kinathukadavu,Pollachi,4,1,0.148,Residential,Active,Updated
288,Coimbatore,Coimbatore South,Thudiyalur,2234,6,2.499,Commercial,Pending,Updated
289,Coimbatore,Sulur,Madukkarai,6172,5,1.254,Nanjai,Verified,Not Required
290,Coimbatore,Pollachi,Perur,1937,3,1.447,Punjai,Under Review,Pending
291,Coimbatore,Coimbatore North,Saravanampatti,7284,4,0.95,Punjai,Pending,Updated
292,Coimbatore,Annur,Madukkarai,6922,2,0.728,Poramboke,Pending,Updated
293,Coimbatore,Sulur,Sulur,9275,6,1.117,Residential,Active,Not Required
294,Coimbatore,Coimbatore North,Perur,6306,3,0.576,Punjai,Verified,Updated
295,Coimbatore,Coimbatore North,Kinathukadavu,5088,5,0.499,Nanjai,Active,Pending
296,Coimbatore,Madukkarai,Kovilpalayam,3919,1,1.003,Residential,Under Review,Updated
297,Coimbatore,Annur,Thudiyalur,139,3,0.994,Residential,Active,Updated
298,Coimbatore,Pollachi,Mettupalayam,6863,2,0.943,Punjai,Verified,Updated
299,Coimbatore,Sulur,Kinathukadavu,7625,2,0.618,Government,Pending,Disputed
300,Coimbatore,Sulur,Kinathukadavu,7566,5,1.396,Punjai,Under Review,Not Required
301,Coimbatore,Pollachi,Sulur,1732,3,1.482,Punjai,Active,Updated
302,Coimbatore,Sulur,Saravanampatti,4224,3,0.79,Residential,Pending,Updated
303,Coimbatore,Pollachi,Kovilpalayam,6840,1,1.298,Punjai,Pending,Pending
304,Coimbatore,Kinathukadavu,Karamadai,9046,4,0.797,Nanjai,Active,Updated
305,Coimbatore,Mettupalayam,Pollachi,8279,5,0.731,Nanjai,Verified,Updated
306,Coimbatore,Annur,Perur,743,1,0.803,Nanjai,Pending,Not Required
307,Coimbatore,Mettupalayam,Saravanampatti,3225,4,0.877,Government,Under Review,Updated
308,Coimbatore,Coimbatore South,Annur,7443,4,0.883,Residential,Pending,Updated
309,Coimbatore,Mettupalayam,Pollachi,7881,4,1.109,Punjai,Under Review,Updated
310,Coimbatore,Coimbatore North,Karamadai,6939,2,0.596,Nanjai,Active,Updated
311,Coimbatore,Kinathukadavu,Madukkarai,4895,3,0.869,Punjai,Active,Updated
312,Coimbatore,Madukkarai,Madukkarai,7673,2,0.37,Nanjai,Under Review,Pending
313,Coimbatore,Sulur,Kinathukadavu,3142,2,0.846,Punjai,Verified,Updated
314,Coimbatore,Annur,Pollachi,2646,7,1.393,Commercial,Verified,Updated
