mutation_id,record_id,mutation_date,mutation_type,mutation_status
MUT-000058,58,2024-11-24,Inheritance,Updated
MUT-000059,59,2025-06-14,Inheritance,Updated
MUT-000060,60,2023-03-13,Partition,Not Required
MUT-000061,61,2026-02-14,Transfer,Not Required
MUT-000062,62,2021-08-21,Transfer,Updated
MUT-000063,63,2019-05-11,Sale,Updated
MUT-000064,64,2025-10-03,Sale,Updated
MUT-000065,65,2024-04-29,Partition,Updated
MUT-000066,66,2025-08-23,Correction,Updated
MUT-000067,67,2024-12-08,Sale,Disputed
MUT-000068,68,2025-12-26,Inheritance,Updated
MUT-000069,69,2019-01-11,Partition,Updated
MUT-000070,70,2020-07-30,Inheritance,Updated
MUT-000071,71,2020-01-02,Partition,Not Required
MUT-000072,72,2021-03-30,Partition,Pending
MUT-000073,73,2021-02-27,Sale,Not Required
MUT-000074,74,2020-08-10,Partition,Disputed
MUT-000075,75,2022-08-24,Sale,Not Required
MUT-000076,76,2023-12-26,Partition,Disputed
MUT-000077,77,2024-11-08,Correction,Updated
MUT-000078,78,2024-04-24,Inheritance,Updated
MUT-000079,79,2023-07-05,Partition,Updated
MUT-000080,80,2022-06-04,Transfer,Pending
MUT-000081,81,2024-06-14,Inheritance,Updated
MUT-000082,82,2020-02-28,Inheritance,Pending
MUT-000083,83,2026-04-06,Transfer,Updated
MUT-000084,84,2026-01-06,Sale,Updated
MUT-000085,85,2022-08-24,Sale,Updated
MUT-000086,86,2020-06-03,Sale,Updated
MUT-000087,87,2021-12-04,Sale,Updated
MUT-000088,88,2023-07-15,Sale,Updated
MUT-000089,89,2022-09-10,Correction,Pending
MUT-000090,90,2022-06-26,Partition,Not Required
MUT-000091,91,2021-08-21,Correction,Updated
MUT-000092,92,2020-01-23,Transfer,Updated
MUT-000093,93,2021-01-16,Sale,Pending
MUT-000094,94,2022-03-11,Inheritance,Updated
MUT-000095,95,2026-01-02,Partition,Not Required
MUT-000096,96,2023-04-23,Transfer,Pending
MUT-000097,97,2023-10-13,Transfer,Updated
MUT-000098,98,2024-10-10,Partition,Updated
MUT-000099,99,2026-05-26,Inheritance,Updated
MUT-000100,100,2022-11-03,Partition,Updated
MUT-000101,101,2024-03-18,Partition,Updated
MUT-000102,102,2022-06-26,Correction,Updated
MUT-000103,103,2021-07-15,Correction,Not Required
MUT-000104,104,2020-01-02,Correction,Disputed
MUT-000105,105,2023-09-16,Inheritance,Updated
MUT-000106,106,2021-12-02,Transfer,Updated
MUT-000107,107,2019-02-26,Correction,Updated
MUT-000108,108,2020-12-30,Partition,Not Required
MUT-000109,109,2024-08-09,Correction,Updated
MUT-000110,110,2022-01-30,Transfer,Updated
MUT-000111,111,2021-08-11,Partition,Updated
MUT-000112,112,2020-05-26,Partition,Updated
MUT-000113,113,2020-11-11,Transfer,Pending
MUT-000114,114,2022-04-22,Partition,Updated
MUT-000115,115,2019-04-07,Partition,Updated
MUT-000116,116,2025-11-20,Partition,Updated
MUT-000117,117,2023-09-20,Correction,Pending
MUT-000118,118,2025-05-19,Partition,Updated
MUT-000119,119,2021-04-06,Correction,Updated
MUT-000120,120,2021-03-24,Transfer,Updated
MUT-000121,121,2019-04-05,Inheritance,Updated
MUT-000122,122,2025-05-25,Inheritance,Updated
MUT-000123,123,2022-03-14,Partition,Disputed
MUT-000124,124,2020-03-11,Sale,Updated
MUT-000125,125,2024-08-17,Transfer,Updated
MUT-000126,126,2025-03-29,Sale,Updated
MUT-000127,127,2020-10-16,Sale,Updated
MUT-000128,128,2023-03-04,Sale,Pending
MUT-000129,129,2020-08-12,Inheritance,Not Required
MUT-000130,130,2024-11-06,Transfer,Updated
MUT-000131,131,2019-02-02,Partition,Updated
MUT-000132,132,2019-01-16,Transfer,Pending
MUT-000133,133,2020-12-03,Partition,Pending
MUT-000134,134,2025-02-03,Sale,Updated
MUT-000135,135,2019-10-27,Correction,Pending
MUT-000136,136,2022-12-26,Partition,Not Required
MUT-000137,137,2023-01-09,Partition,Updated
MUT-000138,138,2019-12-10,Sale,Updated
MUT-000139,139,2020-10-18,Transfer,Pending
MUT-000140,140,2022-09-21,Inheritance,Updated
MUT-000141,141,2019-09-07,Partition,Updated
MUT-000142,142,2020-01-30,Partition,Updated
MUT-000143,143,2020-06-27,Sale,Updated
MUT-000144,144,2024-10-29,Transfer,Updated
MUT-000145,145,2021-05-27,Inheritance,Updated
MUT-000146,146,2021-05-28,Inheritance,Updated
MUT-000147,147,2022-10-12,Inheritance,Updated
MUT-000148,148,2024-06-19,Sale,Updated
MUT-000149,149,2020-10-28,Inheritance,Updated
MUT-000150,150,2025-03-18,Inheritance,Pending
MUT-000151,151,2024-01-30,Sale,Disputed
MUT-000152,152,2026-04-14,Sale,Updated
MUT-000153,153,2026-07-18,Correction,Pending
MUT-000154,154,2020-01-31,Sale,Updated
MUT-000155,155,2019-11-20,Inheritance,Pending
MUT-000156,156,2021-10-01,Sale,Not Required
MUT-000157,157,2020-10-23,Sale,Updated
MUT-000158,158,2025-02-11,Inheritance,Updated
MUT-000159,159,2020-09-09,Correction,Updated
MUT-000160,160,2020-01-06,Sale,Updated
MUT-000161,161,2024-09-16,Sale,Updated
MUT-000162,162,2021-10-31,Partition,Updated
MUT-000163,163,2019-03-05,Transfer,Updated
MUT-000164,164,2021-09-18,Inheritance,Updated
MUT-000165,165,2022-05-05,Inheritance,Pending
MUT-000166,166,2026-08-29,Transfer,Not Required
MUT-000167,167,2019-05-23,Inheritance,Not Required
MUT-000168,168,2023-03-06,Sale,Pending
MUT-000169,169,2024-08-01,Correction,Updated
MUT-000170,170,2023-07-05,Sale,Updated
MUT-000171,171,2022-08-06,Sale,Updated
MUT-000172,172,2023-05-19,Partition,Not Required
MUT-000173,173,2022-12-29,Correction,Updated
MUT-000174,174,2021-12-26,Partition,Updated
MUT-000175,175,2026-05-07,Sale,Updated
MUT-000176,176,2022-06-27,Correction,Updated
MUT-000177,177,2023-03-06,Inheritance,Not Required
MUT-000178,178,2024-03-16,Sale,Not Required
MUT-000179,179,2022-06-04,Partition,Not Required
MUT-000180,180,2023-07-02,Sale,Not Required
MUT-000181,181,2021-05-06,Inheritance,Pending
MUT-000182,182,2020-07-01,Inheritance,Not Required
MUT-000183,183,2021-07-09,Correction,Updated
MUT-000184,184,2019-01-19,Correction,Pending
MUT-000185,185,2019-10-25,Partition,Updated
MUT-000186,186,2023-04-08,Partition,Pending
MUT-000187,187,2024-12-23,Correction,Updated
MUT-000188,188,2021-08-17,Inheritance,Updated
MUT-000189,189,2022-03-20,Correction,Updated
MUT-000190,190,2022-12-07,Correction,Not Required
MUT-000191,191,2023-11-29,Inheritance,Updated
MUT-000192,192,2023-08-02,Sale,Updated
MUT-000193,193,2022-02-06,Correction,Disputed
MUT-000194,194,2021-08-19,Sale,Pending
MUT-000195,195,2019-06-28,Inheritance,Updated
MUT-000196,196,2025-07-04,Partition,Updated
MUT-000197,197,2022-10-10,Correction,Updated
MUT-000198,198,2019-06-26,Inheritance,Pending
MUT-000199,199,2022-02-23,Sale,Updated
MUT-000200,200,2026-01-12,Sale,Updated
MUT-000201,201,2019-01-12,Partition,Updated
MUT-000202,202,2020-02-25,Transfer,Pending
MUT-000203,203,2020-01-14,Sale,Not Required
MUT-000204,204,2025-01-06,Inheritance,Updated
MUT-000205,205,2026-04-02,Inheritance,Pending
MUT-000206,206,2021-02-26,Transfer,Updated
MUT-000207,207,2024-11-13,Inheritance,Updated
MUT-000208,208,2019-06-13,Inheritance,Updated
MUT-000209,209,2021-07-13,Correction,Not Required
MUT-000210,210,2021-08-26,Transfer,Updated
MUT-000211,211,2024-01-07,Partition,Updated
MUT-000212,212,2019-10-10,Partition,Updated
MUT-000213,213,2021-06-26,Correction,Updated
MUT-000214,214,2022-09-17,Inheritance,Updated
MUT-000215,215,2019-11-26,Transfer,Updated
MUT-000216,216,2024-01-25,Sale,Updated
MUT-000217,217,2022-09-29,Correction,Updated
MUT-000218,218,2020-03-04,Partition,Updated
MUT-000219,219,2019-03-01,Transfer,Pending
MUT-000220,220,2026-04-16,Transfer,Updated
MUT-000221,221,2025-08-01,Inheritance,Updated
MUT-000222,222,2025-11-08,Transfer,Updated
MUT-000223,223,2023-07-08,Sale,Pending
MUT-000224,224,2025-03-01,Correction,Disputed
MUT-000225,225,2023-07-14,Correction,Updated
MUT-000226,226,2019-06-27,Transfer,Updated
MUT-000227,227,2023-01-11,Partition,Disputed
MUT-000228,228,2024-11-22,Partition,Pending
MUT-000229,229,2020-03-07,Partition,Updated
MUT-000230,230,2024-03-03,Transfer,Updated
MUT-000231,231,2023-04-24,Transfer,Updated
MUT-000232,232,2020-07-31,Partition,Not Required
MUT-000233,233,2023-05-20,Inheritance,Updated
MUT-000234,234,2021-11-18,Partition,Updated
MUT-000235,235,2021-06-19,Correction,Not Required
MUT-000236,236,2026-03-12,Sale,Updated
MUT-000237,237,2019-08-05,Correction,Not Required
MUT-000238,238,2022-09-11,Partition,Updated
MUT-000239,239,2019-11-02,Partition,Updated
MUT-000240,240,2024-08-04,Sale,Not Required
MUT-000241,241,2022-02-03,Inheritance,Updated
MUT-000242,242,2026-07-19,Inheritance,Not Required
MUT-000243,243,2024-08-14,Partition,Not Required
MUT-000244,244,2022-09-25,Sale,Pending
MUT-000245,245,2024-10-09,Partition,Updated
MUT-000246,246,2022-08-07,Correction,Not Required
MUT-000247,247,2025-11-30,Inheritance,Updated
MUT-000248,248,2021-05-15,Inheritance,Updated
MUT-000249,249,2022-04-19,Inheritance,Updated
MUT-000250,250,2023-03-21,Inheritance,Updated
MUT-000251,251,2019-03-09,Transfer,Updated
MUT-000252,252,2022-06-08,Inheritance,Updated
MUT-000253,253,2020-07-09,Transfer,Updated
MUT-000254,254,2026-08-03,Partition,Updated
MUT-000255,255,2022-12-10,Correction,Updated
MUT-000256,256,2020-02-19,Inheritance,Updated
MUT-000257,257,2022-04-25,Partition,Updated
MUT-000258,258,2022-09-08,Correction,Disputed
MUT-000259,259,2021-07-16,Inheritance,Updated
MUT-000260,260,2026-01-12,Correction,Updated
MUT-000261,261,2024-12-27,Partition,Pending
MUT-000262,262,2019-04-13,Sale,Updated
MUT-000263,263,2024-01-19,Sale,Updated
MUT-000264,264,2024-06-09,Partition,Updated
MUT-000265,265,2026-07-23,Sale,Updated
MUT-000266,266,2025-12-17,Transfer,Updated
MUT-000267,267,2020-02-16,Inheritance,Not Required
MUT-000268,268,2026-03-22,Correction,Updated
MUT-000269,269,2021-12-17,Correction,Pending
MUT-000270,270,2019-04-21,Correction,Updated
MUT-000271,271,2019-11-09,Partition,Updated
MUT-000272,272,2020-04-16,Sale,Updated
MUT-000273,273,2019-02-07,Partition,Updated
MUT-000274,274,2019-05-27,Sale,Updated
MUT-000275,275,2022-04-29,Transfer,Updated
MUT-000276,276,2020-05-28,Inheritance,Disputed
MUT-000277,277,2026-04-21,Transfer,Not Required
MUT-000278,278,2021-06-01,Partition,Updated
MUT-000279,279,2026-05-10,Inheritance,Not Required
MUT-000280,280,2023-04-29,Correction,Not Required
MUT-000281,281,2019-11-24,Transfer,Updated
MUT-000282,282,2021-04-16,Correction,Updated
MUT-000283,283,2023-05-13,Transfer,Updated
MUT-000284,284,2024-12-03,Transfer,Updated
MUT-000285,285,2020-06-16,Transfer,Updated
MUT-000286,286,2021-07-17,Sale,Updated
MUT-000287,287,2023-04-09,Sale,Updated
MUT-000288,288,2024-12-04,Sale,Updated
MUT-000289,289,2020-01-27,Sale,Not Required
MUT-000290,290,2025-07-13,Sale,Pending
MUT-000291,291,2023-08-12,Inheritance,Updated
MUT-000292,292,2021-05-20,Transfer,Updated
MUT-000293,293,2025-02-15,Correction,Not Required
MUT-000294,294,2019-02-13,Partition,Updated
MUT-000295,295,2024-06-26,Transfer,Pending
MUT-000296,296,2026-01-12,Inheritance,Updated
MUT-000297,297,2025-12-05,Correction,Updated
MUT-000298,298,2025-04-24,Inheritance,Updated
MUT-000299,299,2024-07-07,Correction,Disputed
MUT-000300,300,2024-05-16,Correction,Not Required
MUT-000301,301,2025-10-20,Transfer,Updated
MUT-000302,302,2026-03-12,Correction,Updated
MUT-000303,303,2019-12-04,Partition,Pending
MUT-000304,304,2019-11-09,Transfer,Updated
MUT-000305,305,2026-03-08,Transfer,Updated
MUT-000306,306,2020-01-17,Correction,Not Required
MUT-000307,307,2022-12-18,Sale,Updated
MUT-000308,308,2020-02-29,Transfer,Updated
MUT-000309,309,2023-03-26,Correction,Updated
MUT-000310,310,2020-07-15,Correction,Updated
MUT-000311,311,2026-06-16,Partition,Updated
MUT-000312,312,2026-05-29,Inheritance,Pending
MUT-000313,313,2020-05-24,Inheritance,Updated
MUT-000314,314,2020-05-11,Sale,Updated
MUT-000315,315,2025-06-29,Partition,Updated
MUT-000316,316,2024-07-24,Sale,Updated
MUT-000317,317,2025-10-31,Partition,Not Required
MUT-000318,318,2019-11-22,Sale,Updated
MUT-000319,319,2025-06-01,Correction,Pending
MUT-000320,320,2021-06-04,Correction,Updated
MUT-000321,321,2023-08-12,Transfer,Updated
MUT-000322,322,2019-11-28,Correction,Pending
MUT-000323,323,2021-06-27,Partition,Pending
MUT-000324,324,2019-09-12,Partition,Not Required
MUT-000325,325,2019-12-01,Sale,Updated
MUT-000326,326,2021-10-09,Transfer,Not Required
MUT-000327,327,2026-01-25,Transfer,Updated
MUT-000328,328,2021-06-21,Partition,Updated
MUT-000329,329,2025-12-25,Sale,Updated
MUT-000330,330,2024-01-15,Inheritance,Updated
MUT-000331,331,2025-11-15,Sale,Pending
MUT-000332,332,2026-07-04,Inheritance,Updated
MUT-000333,333,2024-10-17,Sale,Updated
MUT-000334,334,2020-02-17,Correction,Not Required
MUT-000335,335,2024-02-12,Correction,Disputed
MUT-000336,336,2019-08-16,Partition,Updated
MUT-000337,337,2025-05-05,Inheritance,Updated
MUT-000338,338,2024-10-29,Transfer,Updated
MUT-000339,339,2026-04-05,Partition,Updated
MUT-000340,340,2021-12-18,Partition,Updated
MUT-000341,341,2020-12-06,Transfer,Updated
MUT-000342,342,2024-04-21,Inheritance,Not Required
MUT-000343,343,2023-07-28,Transfer,Updated
MUT-000344,344,2021-09-13,Transfer,Pending
MUT-000345,345,2019-12-18,Correction,Updated
MUT-000346,346,2021-09-01,Transfer,Updated
MUT-000347,347,2020-01-18,Correction,Updated
MUT-000348,348,2021-11-06,Partition,Not Required
MUT-000349,349,2021-03-23,Correction,Not Required
MUT-000350,350,2023-08-24,Sale,Updated
MUT-000351,351,2019-10-17,Partition,Updated
MUT-000352,352,2022-02-25,Inheritance,Updated
MUT-000353,353,2022-12-21,Sale,Updated
MUT-000354,354,2022-07-09,Partition,Updated
MUT-000355,355,2021-10-30,Correction,Updated
MUT-000356,356,2025-12-28,Inheritance,Updated
MUT-000357,357,2020-09-04,Inheritance,Updated
MUT-000358,358,2021-09-19,Transfer,Updated
MUT-000359,359,2023-12-01,Transfer,Pending
MUT-000360,360,2020-01-12,Inheritance,Updated
MUT-000361,361,2023-10-31,Correction,Updated
MUT-000362,362,2025-12-11,Inheritance,Pending
MUT-000363,363,2021-03-03,Partition,Updated
MUT-000364,364,2026-02-02,Partition,Not Required
MUT-000365,365,2024-12-09,Inheritance,Updated
MUT-000366,366,2023-05-15,Sale,Updated
MUT-000367,367,2020-08-21,Partition,Updated
MUT-000368,368,2025-04-02,Transfer,Disputed
MUT-000369,369,2022-05-20,Sale,Updated
MUT-000370,370,2020-11-25,Sale,Updated
MUT-000371,371,2026-04-21,Sale,Updated
MUT-000372,372,2023-10-27,Inheritance,Updated
MUT-000373,373,2021-02-07,Transfer,Updated
MUT-000374,374,2023-11-28,Correction,Updated
MUT-000375,375,2025-11-11,Sale,Not Required
MUT-000376,376,2026-01-26,Partition,Updated
MUT-000377,377,2020-09-13,Transfer,Updated
MUT-000378,378,2021-05-16,Transfer,Pending
MUT-000379,379,2024-02-29,Inheritance,Updated
MUT-000380,380,2020-07-05,Partition,Updated
MUT-000381,381,2023-01-04,Sale,Not Required
MUT-000382,382,2023-06-18,Partition,Pending
MUT-000383,383,2019-03-18,Correction,Updated
MUT-000384,384,2021-03-17,Transfer,Disputed
MUT-000385,385,2023-06-14,Transfer,Pending
MUT-000386,386,2019-12-13,Partition,Updated
MUT-000387,387,2025-07-22,Inheritance,Updated
MUT-000388,388,2019-06-26,Transfer,Pending
MUT-000389,389,2023-07-05,Sale,Pending
MUT-000390,390,2020-09-06,Sale,Pending
MUT-000391,391,2019-04-15,Inheritance,Not Required
MUT-000392,392,2022-05-09,Correction,Updated
MUT-000393,393,2025-10-29,Transfer,Pending
MUT-000394,394,2025-01-15,Transfer,Pending
MUT-000395,395,2026-06-02,Correction,Updated
MUT-000396,396,2023-09-09,Inheritance,Updated
MUT-000397,397,2020-10-05,Transfer,Updated
MUT-000398,398,2024-08-27,Transfer,Updated
MUT-000399,399,2020-12-21,Sale,Updated
MUT-000400,400,2019-01-23,Transfer,Updated
MUT-000401,401,2019-12-17,Correction,Updated
MUT-000402,402,2019-05-21,Sale,Updated
MUT-000403,403,2024-01-19,Correction,Not Required
MUT-000404,404,2019-10-02,Correction,Updated
MUT-000405,405,2023-04-24,Inheritance,Updated
MUT-000406,406,2019-07-13,Transfer,Updated
MUT-000407,407,2021-09-25,Correction,Updated
MUT-000408,408,2023-09-19,Correction,Not Required
MUT-000409,409,2024-05-11,Correction,Updated
MUT-000410,410,2023-12-15,Transfer,Not Required
MUT-000411,411,2022-11-26,Correction,Updated
MUT-000412,412,2024-03-09,Correction,Not Required
MUT-000413,413,2019-07-21,Transfer,Pending
MUT-000414,414,2021-12-12,Inheritance,Disputed
MUT-000415,415,2019-09-04,Inheritance,Updated
MUT-000416,416,2022-07-05,Correction,Updated
MUT-000417,417,2020-07-06,Inheritance,Updated
MUT-000418,418,2026-04-06,Transfer,Pending
MUT-000419,419,2021-04-25,Inheritance,Not Required
MUT-000420,420,2021-12-27,Transfer,Updated
MUT-000421,421,2026-07-26,Sale,Updated
MUT-000422,422,2026-03-03,Inheritance,Updated
MUT-000423,423,2026-02-10,Transfer,Updated
MUT-000424,424,2021-09-30,Correction,Updated
MUT-000425,425,2019-01-02,Sale,Updated
MUT-000426,426,2021-11-29,Partition,Updated
MUT-000427,427,2023-05-29,Sale,Updated
MUT-000428,428,2019-01-26,Correction,Pending
MUT-000429,429,2023-08-23,Partition,Not Required
MUT-000430,430,2024-07-22,Inheritance,Not Required
MUT-000431,431,2022-08-13,Correction,Updated
MUT-000432,432,2021-04-03,Correction,Updated
MUT-000433,433,2021-06-02,Partition,Pending
MUT-000434,434,2021-06-19,Transfer,Updated
MUT-000435,435,2022-10-19,Inheritance,Updated
MUT-000436,436,2023-04-15,Inheritance,Updated
MUT-000437,437,2021-06-29,Partition,Updated
MUT-000438,438,2023-01-31,Sale,Updated
MUT-000439,439,2026-08-10,Partition,Updated
MUT-000440,440,2022-07-19,Correction,Not Required
MUT-000441,441,2023-01-07,Inheritance,Updated
MUT-000442,442,2025-05-21,Inheritance,Disputed
MUT-000443,443,2021-10-12,Transfer,Updated
MUT-000444,444,2025-06-20,Transfer,Updated
MUT-000445,445,2026-05-16,Correction,Updated
MUT-000446,446,2023-07-14,Correction,Pending
MUT-000447,447,2024-01-06,Inheritance,Pending
MUT-000448,448,2022-10-31,Inheritance,Updated
MUT-000449,449,2025-03-03,Partition,Pending
MUT-000450,450,2022-07-09,Sale,Updated
MUT-000451,451,2025-07-19,Inheritance,Updated
MUT-000452,452,2023-10-18,Sale,Updated
MUT-000453,453,2024-03-09,Inheritance,Pending
MUT-000454,454,2023-02-05,Transfer,Updated
MUT-000455,455,2020-04-25,Inheritance,Updated
MUT-000456,456,2024-02-11,Correction,Pending
MUT-000457,457,2022-06-05,Inheritance,Updated
MUT-000458,458,2019-11-06,Transfer,Updated
MUT-000459,459,2022-03-10,Sale,Pending
MUT-000460,460,2020-09-18,Sale,Updated
MUT-000461,461,2024-08-06,Transfer,Not Required
MUT-000462,462,2023-12-14,Partition,Updated
MUT-000463,463,2019-01-04,Partition,Updated
MUT-000464,464,2021-03-05,Sale,Updated
MUT-000465,465,2026-05-07,Inheritance,Pending
MUT-000466,466,2020-01-21,Transfer,Updated
MUT-000467,467,2025-04-05,Transfer,Updated
MUT-000468,468,2025-07-18,Sale,Updated
MUT-000469,469,2024-01-09,Partition,Updated
MUT-000470,470,2023-01-18,Inheritance,Updated
MUT-000471,471,2024-10-27,Sale,Updated
MUT-000472,472,2026-04-27,Partition,Updated
MUT-000473,473,2026-04-29,Inheritance,Updated
MUT-000474,474,2022-01-02,Partition,Updated
MUT-000475,475,2019-03-11,Partition,Updated
MUT-000476,476,2024-02-12,Partition,Updated
MUT-000477,477,2025-12-06,Inheritance,Not Required
MUT-000478,478,2020-02-05,Correction,Updated
MUT-000479,479,2024-09-05,Sale,Pending
MUT-000480,480,2020-12-03,Correction,Updated
MUT-000481,481,2024-11-25,Sale,Updated
MUT-000482,482,2022-03-15,Inheritance,Updated
MUT-000483,483,2026-07-21,Inheritance,Updated
MUT-000484,484,2019-10-16,Partition,Updated
MUT-000485,485,2019-08-16,Inheritance,Not Required
MUT-000486,486,2021-05-27,Sale,Updated
MUT-000487,487,2023-08-18,Inheritance,Updated
MUT-000488,488,2021-06-20,Transfer,Updated
MUT-000489,489,2024-02-18,Partition,Updated
MUT-000490,490,2025-12-07,Partition,Not Required
MUT-000491,491,2024-01-28,Correction,Updated
MUT-000492,492,2024-12-09,Sale,Updated
MUT-000493,493,2023-01-15,Transfer,Disputed
MUT-000494,494,2020-07-12,Partition,Updated
MUT-000495,495,2026-03-22,Sale,Updated
MUT-000496,496,2020-07-10,Inheritance,Pending
MUT-000497,497,2022-03-17,Sale,Updated
MUT-000498,498,2019-09-12,Transfer,Not Required
MUT-000499,499,2025-04-07,Inheritance,Updated
MUT-000500,500,2020-07-11,Correction,Updated
MUT-000501,501,2020-07-06,Sale,Updated
MUT-000502,502,2021-07-11,Transfer,Updated
MUT-000503,503,2023-10-15,Correction,Not Required
MUT-000504,504,2021-03-31,Partition,Not Required
MUT-000505,505,2025-01-24,Inheritance,Pending
MUT-000506,506,2024-02-03,Transfer,Pending
MUT-000507,507,2023-05-30,Partition,Updated
MUT-000508,508,2025-05-20,Sale,Updated
MUT-000509,509,2019-10-20,Partition,Updated
MUT-000510,510,2019-11-25,Inheritance,Updated
MUT-000511,511,2021-09-29,Correction,Not Required
MUT-000512,512,2024-03-20,Inheritance,Updated
MUT-000513,513,2025-03-12,Transfer,Updated
MUT-000514,514,2024-10-03,Correction,Updated
MUT-000515,515,2020-08-15,Inheritance,Pending
MUT-000516,516,2019-07-25,Correction,Updated
MUT-000517,517,2022-10-25,Partition,Updated
MUT-000518,518,2019-08-18,Sale,Pending
MUT-000519,519,2025-04-28,Partition,Updated
MUT-000520,520,2025-03-21,Transfer,Disputed
MUT-000521,521,2024-08-16,Inheritance,Updated
MUT-000522,522,2019-09-07,Correction,Updated
MUT-000523,523,2024-06-18,Inheritance,Updated
MUT-000524,524,2020-01-12,Sale,Updated
MUT-000525,525,2019-11-08,Correction,Updated
MUT-000526,526,2024-10-02,Partition,Updated
MUT-000527,527,2024-08-05,Correction,Not Required
MUT-000528,528,2025-02-13,Transfer,Updated
MUT-000529,529,2022-05-14,Correction,Not Required
MUT-000530,530,2022-05-16,Sale,Updated
MUT-000531,531,2022-11-30,Transfer,Updated
MUT-000532,532,2021-03-10,Transfer,Not Required
MUT-000533,533,2020-04-10,Transfer,Updated
MUT-000534,534,2024-11-16,Inheritance,Updated
MUT-000535,535,2025-02-16,Inheritance,Not Required
MUT-000536,536,2023-09-01,Inheritance,Updated
MUT-000537,537,2023-11-06,Transfer,Updated
MUT-000538,538,2026-06-30,Sale,Updated
MUT-000539,539,2021-11-01,Transfer,Updated
MUT-000540,540,2022-04-26,Partition,Disputed
MUT-000541,541,2019-10-17,Inheritance,Not Required
MUT-000542,542,2025-11-18,Partition,Updated
MUT-000543,543,2019-08-21,Sale,Not Required
MUT-000544,544,2019-08-28,Sale,Pending
MUT-000545,545,2026-06-08,Transfer,Updated
MUT-000546,546,2021-01-13,Transfer,Updated
MUT-000547,547,2025-02-14,Inheritance,Updated
MUT-000548,548,2026-07-10,Partition,Updated
MUT-000549,549,2020-02-18,Transfer,Pending
MUT-000550,550,2021-04-03,Transfer,Updated
MUT-000551,551,2021-06-01,Sale,Updated
MUT-000552,552,2025-02-25,Partition,Updated
MUT-000553,553,2019-11-05,Sale,Not Required
MUT-000554,554,2021-08-29,Sale,Not Required
MUT-000555,555,2024-03-10,Inheritance,Pending
MUT-000556,556,2026-05-13,Sale,Updated
MUT-000557,557,2024-08-23,Transfer,Updated
MUT-000558,558,2024-01-21,Sale,Updated
MUT-000559,559,2024-04-09,Correction,Pending
MUT-000560,560,2023-02-19,Inheritance,Updated
MUT-000561,561,2025-08-14,Correction,Updated
MUT-000562,562,2020-03-16,Transfer,Updated
