response_id,project_id,stakeholder_type,response_time_days,responsiveness_score
RESP-000047,PRJ-04420,Landowner,26,98.6
RESP-000048,PRJ-03723,Project Manager,8,72.8
RESP-000049,PRJ-02963,RDO,4,92.7
RESP-000050,PRJ-01806,RDO,25,80.7
RESP-000051,PRJ-00820,Landowner,13,97.7
RESP-000052,PRJ-02500,Landowner,7,100.0
RESP-000053,PRJ-00047,Landowner,14,67.1
RESP-000054,PRJ-03928,Contractor,4,97.5
RESP-000055,PRJ-04413,RDO,5,88.1
RESP-000056,PRJ-03966,Revenue Officer,41,90.9
RESP-000057,PRJ-03783,Contractor,21,62.4
RESP-000058,PRJ-02071,RDO,4,82.7
RESP-000059,PRJ-00121,Landowner,20,75.3
RESP-000060,PRJ-04700,Project Manager,6,90.9
RESP-000061,PRJ-03565,Revenue Officer,5,76.1
RESP-000062,PRJ-03350,Contractor,11,81.6
RESP-000063,PRJ-00147,Revenue Officer,16,76.8
RESP-000064,PRJ-02660,RDO,13,79.2
RESP-000065,PRJ-01864,Revenue Officer,15,53.0
RESP-000066,PRJ-03686,Landowner,16,97.4
RESP-000067,PRJ-02172,RDO,20,90.1
RESP-000068,PRJ-04680,Contractor,21,98.8
RESP-000069,PRJ-02050,Project Manager,13,100.0
RESP-000070,PRJ-02802,Revenue Officer,28,86.7
RESP-000071,PRJ-02479,Contractor,3,100.0
RESP-000072,PRJ-01712,Project Manager,16,85.7
RESP-000073,PRJ-01340,Landowner,12,86.7
RESP-000074,PRJ-03519,Contractor,7,92.0
RESP-000075,PRJ-01645,Landowner,6,28.2
RESP-000076,PRJ-02849,Landowner,13,81.1
RESP-000077,PRJ-03824,Contractor,26,90.2
RESP-000078,PRJ-00512,Landowner,5,77.3
RESP-000079,PRJ-04561,RDO,22,85.7
RESP-000080,PRJ-04797,Contractor,15,78.1
RESP-000081,PRJ-02034,Project Manager,25,100.0
RESP-000082,PRJ-00257,Revenue Officer,5,100.0
RESP-000083,PRJ-01799,Project Manager,9,88.4
RESP-000084,PRJ-04788,Contractor,5,88.6
RESP-000085,PRJ-05000,Landowner,17,91.3
RESP-000086,PRJ-04508,RDO,15,94.1
RESP-000087,PRJ-03416,Project Manager,11,100.0
RESP-000088,PRJ-01202,Revenue Officer,9,80.5
RESP-000089,PRJ-03292,Landowner,12,100.0
RESP-000090,PRJ-04515,RDO,23,100.0
RESP-000091,PRJ-01732,Project Manager,11,81.7
RESP-000092,PRJ-00888,Project Manager,33,77.0
RESP-000093,PRJ-04229,Landowner,5,57.1
RESP-000094,PRJ-02831,Landowner,13,94.2
RESP-000095,PRJ-00990,RDO,13,80.2
RESP-000096,PRJ-00531,Contractor,17,69.1
RESP-000097,PRJ-03614,Landowner,7,88.6
RESP-000098,PRJ-02708,Landowner,21,90.9
RESP-000099,PRJ-04351,RDO,10,84.2
RESP-000100,PRJ-01319,Revenue Officer,17,96.1
RESP-000101,PRJ-01892,Contractor,2,54.5
RESP-000102,PRJ-00304,Landowner,44,81.5
RESP-000103,PRJ-03769,Contractor,7,86.2
RESP-000104,PRJ-03422,RDO,13,83.4
RESP-000105,PRJ-03141,Revenue Officer,6,99.7
RESP-000106,PRJ-03007,RDO,7,81.9
RESP-000107,PRJ-00619,Contractor,25,80.6
RESP-000108,PRJ-01462,Revenue Officer,11,88.1
RESP-000109,PRJ-02996,Revenue Officer,10,92.8
RESP-000110,PRJ-03400,RDO,11,100.0
RESP-000111,PRJ-04381,RDO,4,88.4
RESP-000112,PRJ-03352,Revenue Officer,10,85.8
RESP-000113,PRJ-00667,RDO,22,84.9
RESP-000114,PRJ-04940,Landowner,4,96.5
RESP-000115,PRJ-02944,Contractor,2,99.4
RESP-000116,PRJ-01380,Project Manager,11,100.0
RESP-000117,PRJ-02461,RDO,8,100.0
RESP-000118,PRJ-03045,Project Manager,3,92.5
RESP-000119,PRJ-02096,Landowner,18,83.9
RESP-000120,PRJ-01505,Revenue Officer,6,84.1
RESP-000121,PRJ-04125,Landowner,16,88.6
RESP-000122,PRJ-03675,Project Manager,10,100.0
RESP-000123,PRJ-02749,Contractor,8,89.8
RESP-000124,PRJ-00261,Landowner,9,82.2
RESP-000125,PRJ-02735,Contractor,23,92.8
RESP-000126,PRJ-01922,Landowner,5,78.0
RESP-000127,PRJ-02823,Contractor,12,85.0
RESP-000128,PRJ-03896,Revenue Officer,11,73.5
RESP-000129,PRJ-04847,Project Manager,31,78.3
RESP-000130,PRJ-00526,RDO,10,89.7
RESP-000131,PRJ-00850,Project Manager,14,71.2
RESP-000132,PRJ-03360,Landowner,8,79.3
RESP-000133,PRJ-03598,Contractor,14,96.7
RESP-000134,PRJ-00172,Project Manager,3,92.1
RESP-000135,PRJ-03342,Revenue Officer,4,93.2
RESP-000136,PRJ-00101,Project Manager,4,85.9
RESP-000137,PRJ-02227,Landowner,17,91.1
RESP-000138,PRJ-02372,Contractor,15,100.0
RESP-000139,PRJ-03477,Revenue Officer,23,68.1
RESP-000140,PRJ-04735,Revenue Officer,5,85.2
RESP-000141,PRJ-00377,Revenue Officer,21,77.3
RESP-000142,PRJ-01771,Landowner,10,79.9
RESP-000143,PRJ-02920,Project Manager,22,92.7
RESP-000144,PRJ-04231,Project Manager,6,78.8
RESP-000145,PRJ-04388,Project Manager,14,81.8
RESP-000146,PRJ-03550,Landowner,19,94.8
RESP-000147,PRJ-01637,Revenue Officer,14,89.5
RESP-000148,PRJ-02217,Project Manager,10,90.0
RESP-000149,PRJ-01964,Project Manager,7,93.6
RESP-000150,PRJ-04450,Project Manager,16,81.4
RESP-000151,PRJ-02554,Revenue Officer,4,91.4
RESP-000152,PRJ-00755,Project Manager,7,100.0
RESP-000153,PRJ-04553,Revenue Officer,8,71.3
RESP-000154,PRJ-01387,Revenue Officer,19,77.9
RESP-000155,PRJ-00365,Landowner,6,100.0
RESP-000156,PRJ-03924,Project Manager,17,84.3
RESP-000157,PRJ-04125,RDO,10,99.9
RESP-000158,PRJ-03453,Landowner,5,93.5
RESP-000159,PRJ-02316,Project Manager,21,100.0
RESP-000160,PRJ-02032,Project Manager,10,86.8
RESP-000161,PRJ-02630,RDO,10,87.3
RESP-000162,PRJ-04312,Contractor,19,82.2
RESP-000163,PRJ-01155,Revenue Officer,17,86.5
RESP-000164,PRJ-04808,Contractor,6,94.6
RESP-000165,PRJ-00409,Landowner,8,92.9
RESP-000166,PRJ-04570,Landowner,18,100.0
RESP-000167,PRJ-00050,Landowner,18,88.7
RESP-000168,PRJ-03284,Landowner,13,57.4
RESP-000169,PRJ-03253,Revenue Officer,5,87.5
RESP-000170,PRJ-00324,Revenue Officer,9,90.7
RESP-000171,PRJ-02275,Landowner,1,100.0
RESP-000172,PRJ-03989,RDO,10,94.3
RESP-000173,PRJ-01046,RDO,21,100.0
RESP-000174,PRJ-00649,RDO,7,100.0
RESP-000175,PRJ-01370,Landowner,12,88.0
RESP-000176,PRJ-00805,Revenue Officer,8,96.2
RESP-000177,PRJ-01275,Landowner,12,96.7
RESP-000178,PRJ-04538,RDO,33,89.9
RESP-000179,PRJ-00534,RDO,16,84.2
RESP-000180,PRJ-04982,Project Manager,12,90.0
RESP-000181,PRJ-04061,Project Manager,6,91.9
RESP-000182,PRJ-01768,Revenue Officer,12,88.1
RESP-000183,PRJ-04582,Landowner,14,100.0
RESP-000184,PRJ-01169,Contractor,12,85.4
RESP-000185,PRJ-04180,Landowner,8,79.9
RESP-000186,PRJ-02074,Revenue Officer,14,81.3
RESP-000187,PRJ-01914,RDO,5,96.8
RESP-000188,PRJ-00167,Landowner,13,61.1
RESP-000189,PRJ-03751,Landowner,14,77.6
RESP-000190,PRJ-03034,Landowner,25,90.1
RESP-000191,PRJ-04412,Revenue Officer,25,100.0
RESP-000192,PRJ-03493,Contractor,3,95.1
RESP-000193,PRJ-02526,Landowner,3,97.6
RESP-000194,PRJ-00930,Landowner,21,92.1
RESP-000195,PRJ-03196,Project Manager,4,95.8
RESP-000196,PRJ-04345,Revenue Officer,16,89.3
RESP-000197,PRJ-03204,RDO,4,100.0
RESP-000198,PRJ-00980,Project Manager,10,97.9
RESP-000199,PRJ-04709,Landowner,14,100.0
RESP-000200,PRJ-04527,Project Manager,3,100.0
RESP-000201,PRJ-02653,RDO,17,81.3
RESP-000202,PRJ-01381,Revenue Officer,5,65.3
RESP-000203,PRJ-01143,RDO,8,87.4
RESP-000204,PRJ-03600,Landowner,5,94.4
RESP-000205,PRJ-03265,Revenue Officer,5,80.9
RESP-000206,PRJ-03135,Landowner,8,77.2
RESP-000207,PRJ-03599,Landowner,25,77.6
RESP-000208,PRJ-03298,RDO,7,82.3
RESP-000209,PRJ-01487,Revenue Officer,2,96.1
RESP-000210,PRJ-04616,RDO,15,89.6
RESP-000211,PRJ-03688,Landowner,10,100.0
RESP-000212,PRJ-03733,RDO,9,83.0
RESP-000213,PRJ-02569,Contractor,11,73.7
RESP-000214,PRJ-01767,Project Manager,8,100.0
RESP-000215,PRJ-02155,RDO,8,77.0
RESP-000216,PRJ-03206,Revenue Officer,7,100.0
RESP-000217,PRJ-04503,Revenue Officer,11,75.4
RESP-000218,PRJ-03379,Contractor,21,100.0
RESP-000219,PRJ-01925,Landowner,3,83.6
RESP-000220,PRJ-02195,Contractor,12,87.8
RESP-000221,PRJ-04609,Revenue Officer,13,81.9
RESP-000222,PRJ-04093,Project Manager,9,61.2
RESP-000223,PRJ-03252,RDO,14,86.8
RESP-000224,PRJ-03740,Project Manager,9,87.7
RESP-000225,PRJ-01637,RDO,6,79.5
RESP-000226,PRJ-03901,Contractor,28,78.9
RESP-000227,PRJ-01263,Contractor,8,80.2
RESP-000228,PRJ-00255,RDO,13,96.9
RESP-000229,PRJ-03543,Contractor,18,100.0
RESP-000230,PRJ-02700,Revenue Officer,16,89.1
RESP-000231,PRJ-00864,Revenue Officer,20,86.7
RESP-000232,PRJ-00215,RDO,12,83.1
RESP-000233,PRJ-00906,Landowner,3,100.0
RESP-000234,PRJ-03088,Revenue Officer,5,95.5
RESP-000235,PRJ-04713,Landowner,15,95.3
RESP-000236,PRJ-01926,Landowner,6,81.3
RESP-000237,PRJ-03993,Revenue Officer,2,92.2
RESP-000238,PRJ-02235,Project Manager,8,100.0
RESP-000239,PRJ-00057,Contractor,12,85.4
RESP-000240,PRJ-01381,RDO,12,92.6
RESP-000241,PRJ-02267,RDO,11,100.0
RESP-000242,PRJ-03314,RDO,7,100.0
RESP-000243,PRJ-00652,Project Manager,11,100.0
RESP-000244,PRJ-03030,Contractor,3,100.0
RESP-000245,PRJ-02294,Project Manager,15,77.5
RESP-000246,PRJ-01755,RDO,9,71.3
RESP-000247,PRJ-03096,Revenue Officer,20,88.4
RESP-000248,PRJ-00178,Landowner,6,100.0
RESP-000249,PRJ-04920,Landowner,18,77.9
RESP-000250,PRJ-02905,Landowner,2,80.3
RESP-000251,PRJ-04148,RDO,7,82.5
RESP-000252,PRJ-02204,RDO,12,100.0
RESP-000253,PRJ-02052,Revenue Officer,13,79.8
RESP-000254,PRJ-03416,Project Manager,11,100.0
RESP-000255,PRJ-04192,Revenue Officer,3,100.0
RESP-000256,PRJ-02077,RDO,12,84.0
RESP-000257,PRJ-00125,Contractor,25,100.0
RESP-000258,PRJ-04711,Contractor,12,92.9
RESP-000259,PRJ-05000,Project Manager,20,93.8
RESP-000260,PRJ-04560,Project Manager,31,91.2
RESP-000261,PRJ-01543,Landowner,10,93.7
RESP-000262,PRJ-01967,RDO,14,100.0
RESP-000263,PRJ-04758,RDO,8,73.7
RESP-000264,PRJ-04238,Revenue Officer,24,64.7
RESP-000265,PRJ-04912,RDO,2,88.3
RESP-000266,PRJ-00046,Landowner,12,75.3
RESP-000267,PRJ-02266,Revenue Officer,7,66.6
RESP-000268,PRJ-03538,Revenue Officer,15,97.1
RESP-000269,PRJ-03568,Project Manager,4,90.3
RESP-000270,PRJ-04073,Project Manager,9,89.4
RESP-000271,PRJ-03871,Contractor,13,92.5
RESP-000272,PRJ-02200,RDO,5,98.7
RESP-000273,PRJ-01084,Contractor,8,94.8
RESP-000274,PRJ-03868,RDO,14,100.0
RESP-000275,PRJ-04002,Project Manager,2,69.1
RESP-000276,PRJ-04722,Contractor,6,100.0
RESP-000277,PRJ-01411,RDO,3,100.0
RESP-000278,PRJ-00115,Project Manager,18,97.7
RESP-000279,PRJ-04353,RDO,7,78.3
RESP-000280,PRJ-02366,Revenue Officer,21,88.2
RESP-000281,PRJ-03667,Project Manager,40,92.3
RESP-000282,PRJ-04338,RDO,12,68.8
RESP-000283,PRJ-01711,RDO,20,69.6
RESP-000284,PRJ-03678,Landowner,14,93.3
RESP-000285,PRJ-00643,Revenue Officer,6,100.0
RESP-000286,PRJ-04225,Landowner,23,84.9
RESP-000287,PRJ-04217,Project Manager,3,93.2
RESP-000288,PRJ-01105,Project Manager,3,91.1
RESP-000289,PRJ-01970,RDO,13,100.0
RESP-000290,PRJ-03763,Landowner,9,76.5
RESP-000291,PRJ-04558,RDO,9,67.6
RESP-000292,PRJ-04186,Landowner,17,92.5
RESP-000293,PRJ-02873,RDO,6,95.5
RESP-000294,PRJ-02293,RDO,4,86.6
RESP-000295,PRJ-04894,Landowner,22,97.0
RESP-000296,PRJ-04803,RDO,27,100.0
RESP-000297,PRJ-00144,RDO,8,87.2
RESP-000298,PRJ-01599,RDO,14,84.6
RESP-000299,PRJ-00026,Revenue Officer,6,86.2
RESP-000300,PRJ-03427,Contractor,7,100.0
RESP-000301,PRJ-00585,Revenue Officer,13,90.3
RESP-000302,PRJ-03615,Revenue Officer,28,100.0
RESP-000303,PRJ-01532,Landowner,13,86.8
RESP-000304,PRJ-02728,RDO,36,78.8
RESP-000305,PRJ-02894,RDO,3,70.8
RESP-000306,PRJ-04118,RDO,15,87.4
RESP-000307,PRJ-01803,RDO,6,79.8
RESP-000308,PRJ-04510,RDO,19,92.5
RESP-000309,PRJ-04938,Revenue Officer,4,91.3
RESP-000310,PRJ-04688,Landowner,11,100.0
RESP-000311,PRJ-02528,Revenue Officer,5,83.7
RESP-000312,PRJ-01692,Revenue Officer,23,100.0
RESP-000313,PRJ-03154,Contractor,16,89.4
RESP-000314,PRJ-01755,Project Manager,26,100.0
RESP-000315,PRJ-02010,Landowner,5,93.6
RESP-000316,PRJ-02828,Project Manager,7,89.1
RESP-000317,PRJ-02269,Contractor,4,82.7
RESP-000318,PRJ-03186,Project Manager,14,46.5
RESP-000319,PRJ-03735,Project Manager,9,68.2
RESP-000320,PRJ-04581,Contractor,6,100.0
RESP-000321,PRJ-03924,Contractor,36,93.7
RESP-000322,PRJ-04781,RDO,8,81.3
RESP-000323,PRJ-04996,Project Manager,16,76.4
RESP-000324,PRJ-04267,Contractor,20,91.3
RESP-000325,PRJ-02359,Contractor,7,56.9
RESP-000326,PRJ-02211,Contractor,8,100.0
RESP-000327,PRJ-02353,Revenue Officer,7,100.0
RESP-000328,PRJ-02286,Revenue Officer,19,99.5
RESP-000329,PRJ-01604,Project Manager,25,97.0
RESP-000330,PRJ-02907,RDO,8,81.9
RESP-000331,PRJ-00033,Project Manager,12,75.7
RESP-000332,PRJ-00538,Revenue Officer,5,88.6
RESP-000333,PRJ-02760,Project Manager,15,98.0
RESP-000334,PRJ-02411,RDO,9,92.5
RESP-000335,PRJ-01462,Contractor,16,98.1
RESP-000336,PRJ-03965,Project Manager,7,63.3
RESP-000337,PRJ-00087,RDO,13,78.3
RESP-000338,PRJ-01715,Contractor,22,80.1
RESP-000339,PRJ-04045,Contractor,4,100.0
RESP-000340,PRJ-03131,Landowner,18,65.8
RESP-000341,PRJ-01013,Contractor,7,94.8
RESP-000342,PRJ-03779,Landowner,24,100.0
RESP-000343,PRJ-00434,Revenue Officer,22,70.1
RESP-000344,PRJ-03039,RDO,4,96.7
RESP-000345,PRJ-03221,Contractor,20,88.2
RESP-000346,PRJ-04120,Contractor,9,100.0
RESP-000347,PRJ-02898,Landowner,9,91.0
RESP-000348,PRJ-04017,Project Manager,9,100.0
RESP-000349,PRJ-03129,Contractor,7,100.0
RESP-000350,PRJ-03209,Revenue Officer,12,84.0
RESP-000351,PRJ-04198,Landowner,9,85.6
RESP-000352,PRJ-04429,RDO,8,89.5
RESP-000353,PRJ-00433,RDO,11,80.6
RESP-000354,PRJ-00886,RDO,7,73.5
RESP-000355,PRJ-03511,Contractor,6,78.3
RESP-000356,PRJ-00710,RDO,8,90.5
RESP-000357,PRJ-04312,Contractor,13,81.6
RESP-000358,PRJ-02804,Project Manager,20,90.4
RESP-000359,PRJ-02387,Landowner,10,62.3
RESP-000360,PRJ-00695,Project Manager,3,96.7
RESP-000361,PRJ-03254,RDO,13,100.0
RESP-000362,PRJ-02101,Revenue Officer,23,83.3
RESP-000363,PRJ-04777,Revenue Officer,8,90.5
RESP-000364,PRJ-03553,Revenue Officer,13,61.1
RESP-000365,PRJ-04319,RDO,6,76.7
RESP-000366,PRJ-01904,Landowner,10,81.0
RESP-000367,PRJ-00438,Contractor,2,93.1
RESP-000368,PRJ-03800,Landowner,19,96.5
RESP-000369,PRJ-04321,Contractor,8,96.8
RESP-000370,PRJ-04882,Contractor,34,99.1
RESP-000371,PRJ-01816,Contractor,9,91.0
RESP-000372,PRJ-01308,RDO,8,100.0
RESP-000373,PRJ-01011,Project Manager,8,85.0
RESP-000374,PRJ-00953,Revenue Officer,4,82.4
RESP-000375,PRJ-00465,RDO,8,92.9
RESP-000376,PRJ-00183,Revenue Officer,6,77.6
RESP-000377,PRJ-03857,RDO,8,84.9
RESP-000378,PRJ-03604,Landowner,14,80.1
RESP-000379,PRJ-01063,Project Manager,14,83.0
RESP-000380,PRJ-03008,Project Manager,8,73.0
RESP-000381,PRJ-02771,Revenue Officer,13,100.0
RESP-000382,PRJ-00641,Contractor,12,73.7
RESP-000383,PRJ-00505,Project Manager,7,100.0
RESP-000384,PRJ-01202,Project Manager,14,94.4
RESP-000385,PRJ-01728,Revenue Officer,3,86.0
RESP-000386,PRJ-02926,Contractor,3,92.7
RESP-000387,PRJ-02193,Landowner,39,77.1
RESP-000388,PRJ-02231,Contractor,12,86.4
RESP-000389,PRJ-01930,Project Manager,8,88.0
RESP-000390,PRJ-00334,RDO,7,89.1
RESP-000391,PRJ-03161,Contractor,10,60.5
RESP-000392,PRJ-00579,Contractor,14,85.6
RESP-000393,PRJ-00037,Landowner,10,72.3
RESP-000394,PRJ-01103,RDO,4,90.3
RESP-000395,PRJ-02403,Revenue Officer,5,84.5
RESP-000396,PRJ-02671,Landowner,20,88.0
RESP-000397,PRJ-01735,Contractor,28,98.5
RESP-000398,PRJ-02934,Project Manager,8,75.1
RESP-000399,PRJ-03629,Contractor,8,90.2
RESP-000400,PRJ-03646,Contractor,20,97.6
RESP-000401,PRJ-00616,Revenue Officer,10,77.1
RESP-000402,PRJ-00736,Landowner,14,71.4
RESP-000403,PRJ-03718,Landowner,7,71.4
RESP-000404,PRJ-03759,Contractor,3,86.6
RESP-000405,PRJ-01380,Project Manager,11,100.0
RESP-000406,PRJ-04755,Landowner,5,87.3
RESP-000407,PRJ-02917,Project Manager,7,89.4
RESP-000408,PRJ-03032,Contractor,24,77.0
RESP-000409,PRJ-04672,Contractor,3,94.9
RESP-000410,PRJ-00356,Landowner,20,76.6
RESP-000411,PRJ-01667,Project Manager,33,100.0
RESP-000412,PRJ-01706,RDO,19,84.6
RESP-000413,PRJ-01663,Project Manager,9,74.2
RESP-000414,PRJ-01716,Project Manager,4,85.2
RESP-000415,PRJ-03275,Contractor,4,100.0
RESP-000416,PRJ-03252,Landowner,6,96.0
RESP-000417,PRJ-04562,Landowner,15,83.0
RESP-000418,PRJ-03520,Landowner,17,67.6
RESP-000419,PRJ-04714,Landowner,18,100.0
RESP-000420,PRJ-02958,Project Manager,18,98.7
RESP-000421,PRJ-01563,Project Manager,15,77.5
RESP-000422,PRJ-01410,Project Manager,6,73.0
RESP-000423,PRJ-00337,Contractor,39,89.2
RESP-000424,PRJ-03033,Revenue Officer,6,88.2
RESP-000425,PRJ-01160,Contractor,20,95.9
RESP-000426,PRJ-00854,Revenue Officer,4,88.1
RESP-000427,PRJ-03425,Revenue Officer,11,91.8
RESP-000428,PRJ-00118,Contractor,19,87.0
RESP-000429,PRJ-04632,Contractor,10,93.0
RESP-000430,PRJ-00511,Landowner,15,80.4
RESP-000431,PRJ-01252,Contractor,13,100.0
RESP-000432,PRJ-01826,Contractor,20,89.0
RESP-000433,PRJ-03715,RDO,3,84.9
RESP-000434,PRJ-03768,Contractor,11,87.6
RESP-000435,PRJ-00948,Project Manager,4,89.4
RESP-000436,PRJ-04127,RDO,4,85.9
RESP-000437,PRJ-02374,Contractor,5,83.0
RESP-000438,PRJ-00724,RDO,6,95.0
RESP-000439,PRJ-01528,Project Manager,8,100.0
RESP-000440,PRJ-01029,Contractor,9,90.5
RESP-000441,PRJ-04795,Landowner,7,100.0
RESP-000442,PRJ-03042,Project Manager,3,97.7
RESP-000443,PRJ-03346,Revenue Officer,13,52.1
RESP-000444,PRJ-04767,Project Manager,2,98.6
RESP-000445,PRJ-04973,Revenue Officer,6,97.7
RESP-000446,PRJ-04587,Revenue Officer,14,92.9
RESP-000447,PRJ-02541,Landowner,17,88.4
RESP-000448,PRJ-00426,Revenue Officer,3,93.3
RESP-000449,PRJ-02317,Landowner,17,90.5
RESP-000450,PRJ-01886,RDO,16,91.3
RESP-000451,PRJ-02754,Contractor,7,89.8
RESP-000452,PRJ-00022,Project Manager,9,68.5
RESP-000453,PRJ-00716,Landowner,5,100.0
RESP-000454,PRJ-03755,Contractor,5,94.9
RESP-000455,PRJ-02338,Revenue Officer,28,94.1
RESP-000456,PRJ-03937,Landowner,6,51.1
RESP-000457,PRJ-03469,Contractor,4,74.4
RESP-000458,PRJ-01184,Project Manager,19,45.7
RESP-000459,PRJ-00464,RDO,9,90.4
RESP-000460,PRJ-01976,Landowner,7,100.0
RESP-000461,PRJ-01869,Landowner,12,67.3
RESP-000462,PRJ-01265,RDO,6,100.0
RESP-000463,PRJ-02492,Landowner,4,66.5
RESP-000464,PRJ-02844,Contractor,6,89.6
RESP-000465,PRJ-03328,Landowner,15,87.6
RESP-000466,PRJ-04451,Revenue Officer,13,100.0
RESP-000467,PRJ-02435,Revenue Officer,3,78.1
RESP-000468,PRJ-03547,RDO,2,85.7
RESP-000469,PRJ-03162,Contractor,22,83.8
RESP-000470,PRJ-01118,RDO,7,91.9
RESP-000471,PRJ-01508,Project Manager,23,86.3
RESP-000472,PRJ-00273,RDO,27,76.8
RESP-000473,PRJ-03816,Revenue Officer,9,91.5
RESP-000474,PRJ-03875,Project Manager,5,100.0
RESP-000475,PRJ-00864,Project Manager,18,100.0
RESP-000476,PRJ-01815,Contractor,19,69.1
RESP-000477,PRJ-03165,Landowner,8,82.7
RESP-000478,PRJ-00652,Contractor,22,86.0
RESP-000479,PRJ-04239,Contractor,8,89.6
RESP-000480,PRJ-01988,Contractor,8,71.1
RESP-000481,PRJ-04130,Project Manager,6,71.7
RESP-000482,PRJ-00374,Revenue Officer,7,100.0
RESP-000483,PRJ-02866,Revenue Officer,18,38.8
RESP-000484,PRJ-00548,RDO,3,83.6
RESP-000485,PRJ-02260,Project Manager,18,70.5
RESP-000486,PRJ-03156,Revenue Officer,7,94.6
RESP-000487,PRJ-01466,Contractor,5,100.0
RESP-000488,PRJ-02106,RDO,3,95.2
RESP-000489,PRJ-01501,Contractor,13,70.8
RESP-000490,PRJ-01538,Landowner,14,71.8
RESP-000491,PRJ-02289,Landowner,21,96.1
RESP-000492,PRJ-01259,Project Manager,16,90.1
RESP-000493,PRJ-01084,Landowner,6,65.9
RESP-000494,PRJ-04389,Revenue Officer,18,93.6
RESP-000495,PRJ-04552,Revenue Officer,14,94.8
RESP-000496,PRJ-02351,Landowner,9,100.0
RESP-000497,PRJ-04629,Project Manager,31,94.5
RESP-000498,PRJ-03093,RDO,12,65.9
RESP-000499,PRJ-03010,Project Manager,22,93.1
RESP-000500,PRJ-04957,Landowner,10,91.7
RESP-000501,PRJ-03713,Project Manager,3,56.7
RESP-000502,PRJ-04437,Landowner,16,92.5
RESP-000503,PRJ-00745,Contractor,19,93.4
RESP-000504,PRJ-00305,RDO,15,100.0
RESP-000505,PRJ-02693,Contractor,19,100.0
RESP-000506,PRJ-00619,Project Manager,8,52.5
RESP-000507,PRJ-04895,Revenue Officer,14,81.1
RESP-000508,PRJ-01145,Project Manager,6,94.7
RESP-000509,PRJ-04577,Contractor,6,93.2
RESP-000510,PRJ-02401,Project Manager,17,93.9
RESP-000511,PRJ-02819,Contractor,21,69.5
RESP-000512,PRJ-00035,Project Manager,9,97.5
RESP-000513,PRJ-02567,Landowner,15,75.5
RESP-000514,PRJ-02177,Revenue Officer,6,77.9
RESP-000515,PRJ-00474,Revenue Officer,10,100.0
RESP-000516,PRJ-01283,RDO,2,89.1
RESP-000517,PRJ-03161,Revenue Officer,2,95.0
RESP-000518,PRJ-04826,Landowner,6,86.7
RESP-000519,PRJ-01316,Revenue Officer,9,78.5
RESP-000520,PRJ-02585,Contractor,22,100.0
RESP-000521,PRJ-01625,RDO,4,95.8
RESP-000522,PRJ-03509,Landowner,14,96.2
RESP-000523,PRJ-04374,Landowner,11,72.1
RESP-000524,PRJ-03032,Revenue Officer,7,89.1
