project_id,project_type,land_required,affected_parcels,affected_families,legal_disputes,compensation_pending,approval_pending,documentation_pending,rehabilitation_pending,notification_pending,award_pending,possession_pending,stakeholder_responsiveness,environmental_risk,weather_risk,risk_score,delay_probability,delay_risk_label,delay_days
PRJ-04931,Industrial Corridor,0.66,3,4,0,0,0,0,0,0,0,0,91.6,36.29,84.21,9.2,0.0998,LOW,0
PRJ-00968,Irrigation,1.03,8,10,1,0,1,0,0,0,0,0,72.7,37.65,97.16,38.6,0.3894,MEDIUM,0
PRJ-01259,Industrial Corridor,0.99,5,5,0,0,0,0,1,0,0,0,76.1,33.99,17.47,19.0,0.1545,LOW,0
PRJ-01857,Renewable Energy,1.3,6,7,1,0,1,0,0,1,0,1,63.1,17.67,40.25,64.9,0.6341,HIGH,104
PRJ-03471,Urban Development,0.59,6,7,0,0,0,0,1,0,0,0,89.3,50.48,32.78,18.7,0.19,LOW,0
PRJ-02722,Road,0.92,4,4,1,0,0,0,0,0,0,0,84.2,36.99,99.98,26.0,0.2142,MEDIUM,0
PRJ-04802,Road,0.18,5,4,0,0,0,0,0,0,0,1,100.0,17.85,84.31,12.7,0.1545,LOW,105
PRJ-00410,Road,0.86,5,5,0,0,0,0,0,0,0,0,100.0,90.66,20.68,11.7,0.0998,LOW,0
PRJ-00408,Road,2.11,5,3,0,0,0,1,0,0,0,0,100.0,24.15,43.9,18.6,0.1978,LOW,0
PRJ-04038,Irrigation,1.57,5,4,0,0,1,0,1,0,0,0,84.9,97.39,44.77,25.6,0.2497,MEDIUM,119
PRJ-04420,Road,0.65,8,4,0,0,0,0,0,0,0,0,98.6,50.71,96.04,8.5,0.0998,LOW,0
PRJ-03723,Road,0.76,7,6,0,0,0,0,0,1,0,0,72.8,30.57,10.87,13.7,0.1545,LOW,28
PRJ-02963,Urban Development,0.76,4,3,0,0,0,0,0,0,0,0,92.7,81.28,52.96,15.8,0.0998,LOW,68
PRJ-01806,Road,0.55,7,7,0,0,0,0,1,0,0,0,80.7,44.86,25.2,19.0,0.19,LOW,0
PRJ-00820,Road,1.64,7,2,1,0,0,0,0,0,0,0,97.7,29.56,82.32,22.6,0.2142,LOW,42
PRJ-02500,Road,0.63,4,4,0,0,0,0,0,0,0,0,100.0,88.29,66.76,9.4,0.0998,LOW,0
PRJ-00047,Irrigation,1.19,8,6,0,1,0,0,0,0,1,1,67.1,7.34,32.71,41.3,0.3775,MEDIUM,0
PRJ-03928,Irrigation,0.78,5,1,0,0,0,0,0,0,0,0,97.5,2.02,99.41,10.8,0.0998,LOW,0
PRJ-04413,Renewable Energy,2.46,4,2,0,0,0,0,0,1,0,0,88.1,30.2,48.14,9.2,0.1545,LOW,0
PRJ-03966,Road,3.48,5,6,0,0,0,1,0,1,0,0,90.9,74.64,9.43,29.3,0.2891,MEDIUM,0
PRJ-03783,Urban Development,4.22,6,6,1,0,0,1,1,0,1,0,62.4,84.73,30.49,62.3,0.5987,HIGH,84
PRJ-02071,Renewable Energy,7.52,7,3,0,0,0,0,1,0,0,1,82.7,24.33,84.9,27.3,0.2789,MEDIUM,0
PRJ-00121,Road,1.1,2,3,0,1,0,0,0,1,1,0,75.3,30.31,32.39,40.4,0.3775,MEDIUM,0
PRJ-04700,Industrial Corridor,8.55,6,5,0,0,0,0,0,0,0,0,90.9,32.83,12.07,11.9,0.0998,LOW,0
PRJ-03565,Urban Development,1.16,8,6,0,0,0,0,0,0,0,0,76.1,12.79,16.84,12.0,0.0998,LOW,0
PRJ-03350,Road,1.12,5,5,0,0,1,0,0,0,0,0,81.6,66.4,59.06,17.9,0.168,LOW,0
PRJ-00147,Renewable Energy,1.33,7,7,0,0,1,0,0,0,0,0,76.8,74.27,66.99,22.0,0.2059,LOW,0
PRJ-02660,Urban Development,0.44,8,5,0,0,0,0,0,0,0,1,79.2,5.92,46.52,18.6,0.1545,LOW,0
PRJ-01864,Renewable Energy,0.96,1,2,1,1,0,0,0,0,1,1,53.0,8.46,87.17,66.5,0.5987,HIGH,107
PRJ-03686,Road,0.28,4,5,1,0,0,0,1,0,0,0,97.4,11.08,7.99,30.1,0.31,MEDIUM,0
PRJ-02172,Road,2.22,2,2,0,0,0,0,0,0,0,0,90.1,44.77,82.04,13.3,0.0998,LOW,0
PRJ-04680,Irrigation,0.62,10,4,0,0,0,0,0,0,0,0,98.8,71.67,44.62,8.2,0.0998,LOW,0
PRJ-02050,Road,0.96,4,9,0,0,0,0,1,0,0,0,100.0,27.74,34.32,15.7,0.19,LOW,0
PRJ-02802,Irrigation,1.18,5,5,0,1,0,0,0,0,0,0,86.7,51.95,69.99,20.3,0.1978,LOW,0
PRJ-02479,Industrial Corridor,3.14,12,6,0,0,0,0,0,1,0,0,100.0,54.75,46.02,16.0,0.1545,LOW,0
PRJ-01712,Road,0.18,6,2,0,0,0,0,0,1,0,0,85.7,0.82,22.66,22.7,0.1545,LOW,0
PRJ-01340,Road,3.62,9,5,0,0,0,0,0,0,0,0,86.7,86.69,5.93,10.0,0.0998,LOW,0
PRJ-03519,Irrigation,3.7,6,8,0,0,0,1,0,0,0,0,92.0,81.43,36.2,26.1,0.2405,MEDIUM,0
PRJ-01645,Urban Development,0.74,4,2,1,1,1,0,0,0,0,1,28.2,79.03,50.73,63.7,0.6457,HIGH,109
PRJ-02849,Urban Development,1.26,7,4,0,0,0,1,0,0,1,0,81.1,1.25,54.34,28.8,0.2689,MEDIUM,0
PRJ-03824,Renewable Energy,1.2,3,4,0,1,0,0,0,1,0,0,90.2,18.13,90.02,26.3,0.2891,MEDIUM,94
PRJ-00512,Irrigation,0.4,6,6,0,0,1,0,0,0,1,0,77.3,19.04,98.81,27.4,0.2315,MEDIUM,135
PRJ-04561,Renewable Energy,0.85,1,4,0,0,0,0,0,1,0,1,85.7,38.67,45.14,27.2,0.2315,MEDIUM,0
PRJ-04797,Industrial Corridor,1.8,5,9,0,0,0,1,0,0,0,0,78.1,6.12,90.5,29.0,0.2405,MEDIUM,76
PRJ-02034,Urban Development,1.33,5,7,0,0,0,0,0,0,0,1,100.0,20.37,57.08,21.9,0.19,LOW,0
PRJ-00257,Urban Development,0.79,7,4,1,0,0,0,1,0,0,0,100.0,25.47,14.22,27.4,0.31,MEDIUM,0
PRJ-01799,Road,9.19,6,5,0,0,0,0,1,0,0,0,88.4,25.95,54.29,15.7,0.1545,LOW,0
PRJ-04788,Renewable Energy,1.38,4,5,0,0,0,0,0,0,1,0,88.6,73.19,26.06,12.4,0.1419,LOW,0
PRJ-05000,Road,3.17,4,5,0,0,0,0,0,0,0,0,91.3,19.32,29.13,15.9,0.0998,LOW,0
PRJ-04508,Road,1.6,4,4,0,0,0,0,0,0,0,0,94.1,78.01,24.5,12.4,0.0998,LOW,0
PRJ-03416,Rail,1.31,8,5,0,0,1,0,0,0,0,0,100.0,50.24,40.84,17.3,0.168,LOW,0
PRJ-01202,Road,1.57,5,9,0,1,0,0,1,0,0,0,80.5,77.92,59.71,31.0,0.343,MEDIUM,0
PRJ-03292,Renewable Energy,7.49,6,4,0,0,0,0,0,0,0,0,100.0,7.41,80.51,11.0,0.0998,LOW,0
PRJ-04515,Urban Development,0.34,5,5,0,0,0,0,0,0,0,0,100.0,51.85,70.42,9.1,0.0998,LOW,0
PRJ-01732,Road,0.48,3,8,0,1,0,0,0,0,0,0,81.7,95.22,13.12,22.5,0.2405,LOW,0
PRJ-00888,Road,2.56,3,6,0,0,1,0,1,0,0,1,77.0,40.69,81.83,36.2,0.3543,MEDIUM,80
PRJ-04229,Rail,2.08,6,5,1,1,0,1,0,1,0,0,57.1,24.84,6.77,74.2,0.69,HIGH,103
PRJ-02831,Road,1.19,3,7,0,0,0,0,0,0,0,0,94.2,83.11,44.16,15.9,0.1246,LOW,0
PRJ-00990,Renewable Energy,0.58,7,9,1,0,0,0,0,0,0,0,80.2,33.22,33.88,32.6,0.2592,MEDIUM,0
PRJ-00531,Road,1.83,3,5,0,0,0,0,0,0,0,0,69.1,36.3,56.13,15.0,0.0998,LOW,0
PRJ-03614,Road,5.05,5,6,0,0,0,0,0,0,0,0,88.6,91.34,50.4,13.2,0.0998,LOW,0
PRJ-02708,Industrial Corridor,0.97,7,6,0,0,0,0,0,0,0,0,90.9,78.65,55.08,9.3,0.0998,LOW,0
PRJ-04351,Road,0.77,4,7,0,0,0,0,0,0,0,0,84.2,13.23,74.58,16.6,0.1246,LOW,0
PRJ-01319,Industrial Corridor,1.2,6,8,0,0,0,0,0,0,0,0,96.1,41.6,8.72,13.7,0.1246,LOW,64
PRJ-01892,Renewable Energy,2.64,6,8,1,0,1,0,0,0,0,0,54.5,91.82,53.28,37.6,0.3894,MEDIUM,0
PRJ-00304,Rail,2.2,4,7,0,1,0,1,0,0,0,0,81.5,86.33,78.56,46.2,0.4134,MEDIUM,103
PRJ-03769,Industrial Corridor,1.09,10,7,0,0,0,0,0,0,0,0,86.2,98.75,86.11,13.5,0.1246,LOW,132
PRJ-03422,Renewable Energy,1.07,2,4,0,0,1,1,1,1,0,0,83.4,76.03,66.34,52.1,0.5498,HIGH,120
PRJ-03141,Urban Development,5.32,3,5,0,0,0,0,0,0,0,0,99.7,21.11,70.56,14.7,0.0998,LOW,0
PRJ-03007,Renewable Energy,3.36,6,4,0,0,0,0,0,0,0,0,81.9,81.2,34.35,10.1,0.0998,LOW,61
PRJ-00619,Rail,1.84,5,7,0,1,0,0,0,0,0,1,80.6,35.39,44.84,32.4,0.343,MEDIUM,0
PRJ-01462,Road,1.21,6,6,0,0,0,0,0,0,0,0,88.1,46.07,52.46,12.6,0.0998,LOW,0
PRJ-02996,Urban Development,2.84,8,4,0,0,0,0,0,0,0,0,92.8,57.73,77.51,3.5,0.0998,LOW,201
PRJ-03400,Industrial Corridor,3.2,4,4,0,0,0,0,0,0,0,0,100.0,78.4,1.61,6.9,0.0998,LOW,0
PRJ-04381,Renewable Energy,1.57,6,9,0,0,0,0,0,0,0,0,88.4,11.29,15.97,17.3,0.1246,LOW,0
PRJ-03352,Irrigation,1.03,4,3,0,0,1,0,0,0,0,0,85.8,78.69,25.95,12.1,0.168,LOW,0
PRJ-00667,Industrial Corridor,4.68,14,6,0,0,0,0,0,1,0,0,84.9,50.34,24.03,14.2,0.1545,LOW,0
PRJ-04940,Rail,1.28,6,6,0,0,0,0,0,0,0,0,96.5,12.7,32.93,11.7,0.0998,LOW,0
PRJ-02944,Renewable Energy,1.16,7,5,0,0,0,0,0,0,0,0,99.4,77.12,42.19,7.4,0.0998,LOW,0
PRJ-01380,Road,0.84,6,2,0,1,0,0,0,0,0,0,100.0,51.63,90.08,19.0,0.1978,LOW,74
PRJ-02461,Industrial Corridor,0.28,8,10,0,1,0,0,0,0,0,0,100.0,29.67,25.99,20.6,0.2405,LOW,0
PRJ-03045,Road,2.4,6,2,0,1,0,0,0,0,0,0,92.5,40.32,0.4,20.2,0.1978,LOW,40
PRJ-02096,Rail,1.68,9,3,0,0,0,0,0,0,0,0,83.9,32.31,18.25,14.5,0.0998,LOW,0
PRJ-01505,Road,3.71,4,11,0,0,0,0,0,0,0,0,84.1,73.15,2.27,7.4,0.1246,LOW,0
PRJ-04125,Rail,2.52,6,6,0,1,0,0,0,1,0,0,88.6,81.47,85.43,28.1,0.2891,MEDIUM,0
PRJ-03675,Rail,4.6,6,9,0,0,0,0,0,0,0,0,100.0,33.73,21.36,16.0,0.1246,LOW,0
PRJ-02749,Urban Development,0.33,3,4,0,0,1,0,0,1,0,0,89.8,67.2,63.35,32.4,0.2497,MEDIUM,0
PRJ-00261,Road,2.77,6,6,0,0,1,1,0,0,1,0,82.2,54.65,27.66,39.1,0.4013,MEDIUM,0
PRJ-02735,Road,1.35,6,4,0,0,0,0,0,0,0,0,92.8,99.2,99.9,8.8,0.0998,LOW,0
PRJ-01922,Industrial Corridor,1.99,4,2,0,0,0,0,0,0,0,0,78.0,70.52,21.2,11.4,0.0998,LOW,0
PRJ-02823,Industrial Corridor,3.18,9,3,0,0,0,0,0,0,0,0,85.0,40.66,56.61,12.9,0.0998,LOW,0
PRJ-03896,Road,0.11,5,3,0,1,0,1,0,0,0,0,73.5,32.09,17.97,32.8,0.3543,MEDIUM,114
PRJ-04847,Industrial Corridor,2.05,6,4,0,0,0,0,0,0,0,0,78.3,76.19,22.23,6.6,0.0998,LOW,0
PRJ-00526,Irrigation,1.89,7,5,0,0,0,0,0,0,0,1,89.7,12.48,3.01,12.9,0.1545,LOW,0
PRJ-00850,Rail,0.43,6,8,0,0,1,1,0,0,1,0,71.2,18.08,58.74,51.8,0.4626,HIGH,106
PRJ-03360,Road,0.71,6,7,0,0,0,0,0,0,0,0,79.3,13.62,72.28,16.3,0.1246,LOW,0
PRJ-03598,Urban Development,0.5,6,4,1,0,0,0,0,0,0,1,96.7,53.13,47.61,35.5,0.31,MEDIUM,106
PRJ-00172,Urban Development,1.98,8,4,0,0,0,0,0,0,0,0,92.1,83.98,24.26,11.9,0.0998,LOW,0
PRJ-03342,Irrigation,1.23,5,4,0,1,0,0,0,0,0,0,93.2,97.07,83.72,17.7,0.1978,LOW,0
PRJ-00101,Rail,1.34,4,6,0,1,0,0,0,0,0,0,85.9,30.35,16.1,15.1,0.1978,LOW,0
PRJ-02227,Urban Development,1.5,2,5,0,0,0,0,0,0,0,0,91.1,77.93,2.98,7.2,0.0998,LOW,0
PRJ-02372,Road,2.4,4,4,0,0,0,0,0,0,0,0,100.0,19.27,18.05,11.5,0.0998,LOW,0
PRJ-03477,Renewable Energy,0.98,4,7,0,1,0,0,0,0,0,0,68.1,83.35,88.78,23.9,0.2405,LOW,96
PRJ-04735,Road,2.67,3,2,0,0,0,0,0,0,0,0,85.2,92.88,35.25,8.3,0.0998,LOW,0
PRJ-00377,Industrial Corridor,1.95,4,5,0,0,0,0,0,1,0,0,77.3,66.67,97.53,10.1,0.1545,LOW,0
PRJ-01771,Road,1.7,2,3,0,0,0,0,0,0,0,1,79.9,91.37,35.02,15.7,0.1545,LOW,0
PRJ-02920,Irrigation,2.0,8,6,0,0,0,0,0,0,1,0,92.7,56.68,45.87,13.0,0.1419,LOW,0
PRJ-04231,Rail,4.5,5,3,0,0,0,0,0,0,0,0,78.8,43.08,32.67,9.0,0.0998,LOW,0
PRJ-04388,Road,3.31,10,3,0,0,1,0,0,0,1,0,81.8,16.98,93.6,20.1,0.2315,LOW,0
PRJ-03550,Industrial Corridor,1.61,6,6,0,0,0,0,0,0,0,0,94.8,76.83,35.41,10.8,0.0998,LOW,0
PRJ-01637,Urban Development,1.97,3,6,0,0,0,0,1,0,0,0,89.5,55.79,3.55,21.6,0.1545,LOW,0
PRJ-02217,Road,2.54,2,7,0,0,0,0,0,0,0,0,90.0,97.01,71.52,8.7,0.1246,LOW,0
PRJ-01964,Road,2.24,5,6,0,0,0,0,1,0,0,0,93.6,32.88,40.96,15.2,0.1545,LOW,0
PRJ-04450,Road,0.47,6,5,1,1,0,0,1,0,0,0,81.4,70.73,11.6,48.5,0.5,MEDIUM,186
PRJ-02554,Urban Development,2.15,7,4,0,0,0,0,0,1,0,0,91.4,62.8,65.0,14.7,0.1545,LOW,0
PRJ-00755,Urban Development,0.71,5,3,0,0,0,0,0,0,0,0,100.0,65.34,31.47,8.8,0.0998,LOW,0
PRJ-04553,Renewable Energy,1.03,3,5,0,1,0,1,0,0,0,0,71.3,9.49,93.69,35.6,0.3543,MEDIUM,0
PRJ-01387,Road,1.16,7,6,0,1,0,1,0,0,0,0,77.9,34.95,74.01,34.2,0.3543,MEDIUM,0
PRJ-00365,Irrigation,3.09,4,9,0,0,0,0,0,0,1,0,100.0,6.16,74.12,17.0,0.1751,LOW,0
PRJ-03924,Urban Development,5.25,3,2,1,0,0,0,0,0,0,1,84.3,97.73,29.11,31.7,0.31,MEDIUM,0
PRJ-04125,Road,1.43,6,6,0,0,0,0,0,0,0,0,99.9,28.54,91.8,9.4,0.0998,LOW,0
PRJ-03453,Rail,1.18,6,7,0,0,0,0,0,0,0,0,93.5,58.91,47.98,16.8,0.1246,LOW,0
PRJ-02316,Urban Development,2.12,7,4,0,0,0,0,0,0,0,0,100.0,51.48,30.54,10.4,0.0998,LOW,0
PRJ-02032,Road,0.71,7,2,0,0,0,0,0,0,0,0,86.8,94.26,47.31,6.6,0.0998,LOW,0
PRJ-02630,Irrigation,1.71,8,5,0,0,0,0,0,1,0,0,87.3,10.57,24.76,16.0,0.1545,LOW,0
PRJ-04312,Industrial Corridor,4.71,6,4,0,0,0,1,0,0,0,0,82.2,16.31,64.57,19.1,0.1978,LOW,28
PRJ-01155,Road,1.13,8,10,0,0,0,0,0,0,0,0,86.5,51.66,16.41,13.2,0.1246,LOW,0
PRJ-04808,Industrial Corridor,2.01,7,5,1,0,0,0,0,0,0,0,94.6,13.37,73.85,18.0,0.2142,LOW,57
PRJ-00409,Industrial Corridor,1.59,9,8,0,0,0,0,0,1,0,0,92.9,26.19,25.44,22.6,0.19,LOW,0
PRJ-04570,Urban Development,3.17,9,6,0,0,0,0,0,0,0,0,100.0,89.76,23.79,9.6,0.0998,LOW,121
PRJ-00050,Industrial Corridor,1.58,7,3,0,0,0,1,0,0,0,0,88.7,50.95,72.72,25.3,0.1978,MEDIUM,0
PRJ-03284,Renewable Energy,0.31,9,7,0,1,0,1,0,0,1,1,57.4,29.49,63.87,60.5,0.6341,HIGH,150
PRJ-03253,Renewable Energy,1.88,5,5,0,0,0,0,0,0,0,0,87.5,42.87,45.57,13.5,0.0998,LOW,0
PRJ-00324,Irrigation,0.58,11,8,0,0,0,0,0,0,0,0,90.7,23.06,98.46,12.4,0.1246,LOW,65
PRJ-02275,Urban Development,0.37,9,5,0,0,0,0,0,0,0,0,100.0,8.39,33.78,11.8,0.0998,LOW,0
PRJ-03989,Rail,1.17,5,4,0,1,0,0,0,0,1,0,94.3,51.17,1.84,24.4,0.2689,LOW,165
PRJ-01046,Industrial Corridor,1.02,5,4,0,0,0,0,0,0,0,0,100.0,7.72,16.62,5.9,0.0998,LOW,0
PRJ-00649,Irrigation,1.46,5,4,0,0,0,0,0,0,0,0,100.0,52.46,39.42,9.4,0.0998,LOW,0
PRJ-01370,Road,1.41,4,3,1,0,1,0,0,0,0,0,88.0,84.35,95.64,32.0,0.3318,MEDIUM,209
PRJ-00805,Road,2.12,3,4,0,0,0,0,0,0,0,0,96.2,4.95,98.94,7.8,0.0998,LOW,0
PRJ-01275,Irrigation,4.98,10,6,0,0,0,0,0,0,0,0,96.7,70.09,41.04,7.7,0.0998,LOW,0
PRJ-04538,Urban Development,1.61,7,3,0,0,0,0,0,0,0,0,89.9,51.8,0.33,10.6,0.0998,LOW,0
PRJ-00534,Irrigation,0.69,9,4,0,0,0,0,0,0,0,0,84.2,24.42,14.71,9.1,0.0998,LOW,0
PRJ-04982,Irrigation,1.84,9,5,0,1,0,1,0,0,0,0,90.0,44.08,99.79,33.4,0.3543,MEDIUM,240
PRJ-04061,Urban Development,3.62,4,6,0,0,0,0,1,0,0,0,91.9,74.04,39.29,19.9,0.1545,LOW,0
PRJ-01768,Urban Development,0.87,4,4,0,0,0,0,0,0,0,0,88.1,42.36,20.36,10.9,0.0998,LOW,0
PRJ-04582,Urban Development,1.5,4,6,0,0,0,0,0,0,0,0,100.0,14.2,53.86,7.0,0.0998,LOW,0
PRJ-01169,Industrial Corridor,1.77,9,6,0,1,0,1,0,0,0,0,85.4,52.2,93.96,31.5,0.3543,MEDIUM,0
PRJ-04180,Road,3.26,3,6,0,0,0,0,1,0,0,0,79.9,17.24,33.78,13.9,0.1545,LOW,0
PRJ-02074,Industrial Corridor,1.9,3,3,0,1,1,0,0,0,0,1,81.3,1.56,28.6,37.9,0.4256,MEDIUM,104
PRJ-01914,Road,1.72,8,3,0,0,0,0,0,0,0,0,96.8,24.95,49.87,17.0,0.0998,LOW,0
PRJ-00167,Road,0.78,5,6,1,0,0,0,0,1,0,0,61.1,36.75,79.54,32.8,0.31,MEDIUM,0
PRJ-03751,Industrial Corridor,3.3,8,8,0,0,0,0,1,0,0,0,77.6,9.38,69.51,23.5,0.19,LOW,0
PRJ-03034,Urban Development,2.24,6,4,0,0,0,0,0,0,0,1,90.1,62.52,27.6,16.5,0.1545,LOW,0
PRJ-04412,Renewable Energy,1.31,6,5,0,0,0,0,0,0,0,0,100.0,77.16,97.34,7.5,0.0998,LOW,0
PRJ-03493,Rail,1.72,7,5,0,0,0,0,0,0,0,0,95.1,26.53,18.21,9.8,0.0998,LOW,0
PRJ-02526,Industrial Corridor,5.09,4,6,0,0,0,0,0,0,0,0,97.6,16.16,71.78,7.2,0.0998,LOW,63
PRJ-00930,Road,0.91,5,8,0,0,0,0,0,1,0,0,92.1,41.23,72.77,19.1,0.19,LOW,0
PRJ-03196,Renewable Energy,3.32,11,6,0,0,0,0,0,0,0,0,95.8,76.75,70.47,8.0,0.0998,LOW,0
PRJ-04345,Urban Development,3.72,5,3,0,0,0,0,1,0,0,0,89.3,53.89,53.57,19.4,0.1545,LOW,0
PRJ-03204,Industrial Corridor,4.98,6,5,0,0,0,0,0,0,0,0,100.0,3.27,6.15,11.7,0.0998,LOW,0
PRJ-00980,Industrial Corridor,1.39,5,2,0,0,0,0,0,0,0,0,97.9,34.22,95.19,9.5,0.0998,LOW,0
PRJ-04709,Road,2.22,5,5,0,1,0,0,0,0,0,0,100.0,30.83,69.7,16.3,0.1978,LOW,0
PRJ-04527,Irrigation,0.7,13,5,0,0,0,1,0,0,0,0,100.0,78.58,98.17,17.9,0.1978,LOW,67
PRJ-02653,Road,4.66,7,3,0,0,0,0,0,0,0,0,81.3,95.36,42.52,11.0,0.0998,LOW,0
PRJ-01381,Road,0.61,7,4,1,0,0,1,0,0,0,0,65.3,76.38,36.04,40.2,0.3775,MEDIUM,0
PRJ-01143,Renewable Energy,1.07,7,7,0,0,0,0,0,0,0,0,87.4,60.49,4.02,8.2,0.1246,LOW,45
PRJ-03600,Renewable Energy,2.41,4,7,0,0,0,0,0,1,0,0,94.4,86.72,71.0,19.4,0.19,LOW,0
PRJ-03265,Road,0.28,5,8,0,1,0,0,0,0,0,0,80.9,50.82,14.72,26.4,0.2405,MEDIUM,73
PRJ-03135,Industrial Corridor,1.45,7,4,0,0,1,1,0,0,0,0,77.2,48.54,90.18,27.7,0.31,MEDIUM,0
PRJ-03599,Industrial Corridor,2.11,7,9,0,0,0,0,0,0,0,0,77.6,88.92,8.18,13.1,0.1246,LOW,0
PRJ-03298,Road,3.0,4,5,0,1,0,0,0,0,0,0,82.3,93.42,5.15,16.8,0.1978,LOW,55
PRJ-01487,Urban Development,1.01,3,9,0,0,0,0,0,0,0,0,96.1,16.85,1.94,13.2,0.1246,LOW,0
PRJ-04616,Road,1.47,7,2,1,0,0,0,0,0,0,0,89.6,29.48,17.43,18.9,0.2142,LOW,64
