rr_id,case_id,affected_families,rehabilitation_required,rehabilitation_status,resettlement_delay_days
RR-000076,CASE-000076,4,0,Completed,0
RR-000077,CASE-000077,4,0,Completed,0
RR-000078,CASE-000078,6,0,Completed,0
RR-000079,CASE-000079,4,0,Completed,0
RR-000080,CASE-000080,9,0,Completed,0
RR-000081,CASE-000081,7,0,Completed,0
RR-000082,CASE-000082,4,1,Under Review,56
RR-000083,CASE-000083,5,1,Pending,394
RR-000084,CASE-000084,5,0,Completed,0
RR-000085,CASE-000085,5,0,Completed,0
RR-000086,CASE-000086,4,0,Completed,0
RR-000087,CASE-000087,5,0,Completed,0
RR-000088,CASE-000088,9,1,Under Review,339
RR-000089,CASE-000089,4,0,Completed,0
RR-000090,CASE-000090,5,0,Completed,0
RR-000091,CASE-000091,8,0,Completed,0
RR-000092,CASE-000092,6,1,Under Review,63
RR-000093,CASE-000093,5,0,Completed,0
RR-000094,CASE-000094,7,0,Completed,0
RR-000095,CASE-000095,9,0,Completed,0
RR-000096,CASE-000096,5,0,Completed,0
RR-000097,CASE-000097,6,0,Completed,0
RR-000098,CASE-000098,6,0,Completed,0
RR-000099,CASE-000099,7,0,Completed,0
RR-000100,CASE-000100,8,0,Completed,0
RR-000101,CASE-000101,8,0,Completed,0
RR-000102,CASE-000102,7,0,Completed,0
RR-000103,CASE-000103,7,0,Completed,0
RR-000104,CASE-000104,4,1,Partial,221
RR-000105,CASE-000105,5,0,Completed,0
RR-000106,CASE-000106,4,0,Completed,0
RR-000107,CASE-000107,7,0,Completed,0
RR-000108,CASE-000108,6,0,Completed,0
RR-000109,CASE-000109,4,0,Completed,0
RR-000110,CASE-000110,4,0,Completed,0
RR-000111,CASE-000111,9,0,Completed,0
RR-000112,CASE-000112,3,0,Completed,0
RR-000113,CASE-000113,6,0,Completed,0
RR-000114,CASE-000114,6,0,Completed,0
RR-000115,CASE-000115,5,0,Completed,0
RR-000116,CASE-000116,2,0,Completed,0
RR-000117,CASE-000117,10,0,Completed,0
RR-000118,CASE-000118,2,0,Completed,0
RR-000119,CASE-000119,3,0,Completed,0
RR-000120,CASE-000120,11,0,Completed,0
RR-000121,CASE-000121,6,0,Completed,0
RR-000122,CASE-000122,9,0,Completed,0
RR-000123,CASE-000123,4,0,Completed,0
RR-000124,CASE-000124,6,0,Completed,0
RR-000125,CASE-000125,4,0,Completed,0
RR-000126,CASE-000126,2,0,Completed,0
RR-000127,CASE-000127,3,0,Completed,0
RR-000128,CASE-000128,3,0,Completed,0
RR-000129,CASE-000129,4,0,Completed,0
RR-000130,CASE-000130,5,0,Completed,0
RR-000131,CASE-000131,8,0,Completed,0
RR-000132,CASE-000132,7,0,Completed,0
RR-000133,CASE-000133,4,0,Completed,0
RR-000134,CASE-000134,4,0,Completed,0
RR-000135,CASE-000135,4,0,Completed,0
RR-000136,CASE-000136,6,0,Completed,0
RR-000137,CASE-000137,5,0,Completed,0
RR-000138,CASE-000138,4,0,Completed,0
RR-000139,CASE-000139,7,0,Completed,0
RR-000140,CASE-000140,2,0,Completed,0
RR-000141,CASE-000141,5,0,Completed,0
RR-000142,CASE-000142,3,0,Completed,0
RR-000143,CASE-000143,6,0,Completed,0
RR-000144,CASE-000144,3,0,Completed,0
RR-000145,CASE-000145,3,0,Completed,0
RR-000146,CASE-000146,6,0,Completed,0
RR-000147,CASE-000147,6,1,Pending,181
RR-000148,CASE-000148,7,0,Completed,0
RR-000149,CASE-000149,6,1,Partial,272
RR-000150,CASE-000150,5,1,Pending,196
RR-000151,CASE-000151,4,0,Completed,0
RR-000152,CASE-000152,3,0,Completed,0
RR-000153,CASE-000153,5,0,Completed,0
RR-000154,CASE-000154,6,0,Completed,0
RR-000155,CASE-000155,9,0,Completed,0
RR-000156,CASE-000156,2,0,Completed,0
RR-000157,CASE-000157,6,0,Completed,0
RR-000158,CASE-000158,7,0,Completed,0
RR-000159,CASE-000159,4,0,Completed,0
RR-000160,CASE-000160,2,0,Completed,0
RR-000161,CASE-000161,5,0,Completed,0
RR-000162,CASE-000162,4,0,Completed,0
RR-000163,CASE-000163,10,0,Completed,0
RR-000164,CASE-000164,5,0,Completed,0
RR-000165,CASE-000165,8,0,Completed,0
RR-000166,CASE-000166,6,0,Completed,0
RR-000167,CASE-000167,3,0,Completed,0
RR-000168,CASE-000168,7,0,Completed,0
RR-000169,CASE-000169,5,0,Completed,0
RR-000170,CASE-000170,8,0,Completed,0
RR-000171,CASE-000171,5,0,Completed,0
RR-000172,CASE-000172,4,0,Completed,0
RR-000173,CASE-000173,4,0,Completed,0
RR-000174,CASE-000174,4,0,Completed,0
RR-000175,CASE-000175,3,0,Completed,0
RR-000176,CASE-000176,4,0,Completed,0
RR-000177,CASE-000177,6,0,Completed,0
RR-000178,CASE-000178,3,0,Completed,0
RR-000179,CASE-000179,4,0,Completed,0
RR-000180,CASE-000180,5,0,Completed,0
RR-000181,CASE-000181,6,1,Under Review,327
RR-000182,CASE-000182,4,0,Completed,0
RR-000183,CASE-000183,6,0,Completed,0
RR-000184,CASE-000184,6,0,Completed,0
RR-000185,CASE-000185,6,1,Under Review,360
RR-000186,CASE-000186,3,0,Completed,0
RR-000187,CASE-000187,3,0,Completed,0
RR-000188,CASE-000188,6,0,Completed,0
RR-000189,CASE-000189,8,1,Pending,237
RR-000190,CASE-000190,4,0,Completed,0
RR-000191,CASE-000191,5,0,Completed,0
RR-000192,CASE-000192,5,0,Completed,0
RR-000193,CASE-000193,6,0,Completed,0
RR-000194,CASE-000194,8,0,Completed,0
RR-000195,CASE-000195,6,0,Completed,0
RR-000196,CASE-000196,3,1,Pending,384
RR-000197,CASE-000197,5,0,Completed,0
RR-000198,CASE-000198,2,0,Completed,0
RR-000199,CASE-000199,5,0,Completed,0
RR-000200,CASE-000200,5,0,Completed,0
RR-000201,CASE-000201,3,0,Completed,0
RR-000202,CASE-000202,4,0,Completed,0
RR-000203,CASE-000203,7,0,Completed,0
RR-000204,CASE-000204,7,0,Completed,0
RR-000205,CASE-000205,8,0,Completed,0
RR-000206,CASE-000206,4,0,Completed,0
RR-000207,CASE-000207,9,0,Completed,0
RR-000208,CASE-000208,5,0,Completed,0
RR-000209,CASE-000209,9,0,Completed,0
RR-000210,CASE-000210,2,0,Completed,0
RR-000211,CASE-000211,12,0,Completed,0
RR-000212,CASE-000212,5,0,Completed,0
RR-000213,CASE-000213,3,0,Completed,0
RR-000214,CASE-000214,6,0,Completed,0
RR-000215,CASE-000215,8,0,Completed,0
RR-000216,CASE-000216,4,0,Completed,0
RR-000217,CASE-000217,2,1,Partial,339
RR-000218,CASE-000218,6,0,Completed,0
RR-000219,CASE-000219,5,0,Completed,0
RR-000220,CASE-000220,7,0,Completed,0
RR-000221,CASE-000221,5,0,Completed,0
RR-000222,CASE-000222,6,0,Completed,0
RR-000223,CASE-000223,6,0,Completed,0
RR-000224,CASE-000224,7,1,Pending,317
RR-000225,CASE-000225,5,0,Completed,0
RR-000226,CASE-000226,8,1,Pending,32
RR-000227,CASE-000227,5,0,Completed,0
RR-000228,CASE-000228,6,0,Completed,0
RR-000229,CASE-000229,5,0,Completed,0
RR-000230,CASE-000230,3,1,Pending,79
RR-000231,CASE-000231,6,0,Completed,0
RR-000232,CASE-000232,8,1,Partial,449
RR-000233,CASE-000233,7,1,Pending,305
RR-000234,CASE-000234,5,0,Completed,0
RR-000235,CASE-000235,6,0,Completed,0
RR-000236,CASE-000236,6,0,Completed,0
RR-000237,CASE-000237,7,0,Completed,0
RR-000238,CASE-000238,4,0,Completed,0
RR-000239,CASE-000239,7,1,Partial,287
RR-000240,CASE-000240,6,0,Completed,0
RR-000241,CASE-000241,7,0,Completed,0
RR-000242,CASE-000242,2,0,Completed,0
RR-000243,CASE-000243,5,0,Completed,0
RR-000244,CASE-000244,7,0,Completed,0
RR-000245,CASE-000245,8,1,Pending,85
RR-000246,CASE-000246,8,0,Completed,0
RR-000247,CASE-000247,4,0,Completed,0
RR-000248,CASE-000248,4,0,Completed,0
RR-000249,CASE-000249,3,0,Completed,0
RR-000250,CASE-000250,3,0,Completed,0
RR-000251,CASE-000251,3,1,Pending,273
RR-000252,CASE-000252,4,0,Completed,0
RR-000253,CASE-000253,4,0,Completed,0
RR-000254,CASE-000254,8,1,Partial,265
RR-000255,CASE-000255,5,0,Completed,0
RR-000256,CASE-000256,4,0,Completed,0
RR-000257,CASE-000257,4,0,Completed,0
RR-000258,CASE-000258,5,0,Completed,0
RR-000259,CASE-000259,4,0,Completed,0
RR-000260,CASE-000260,3,0,Completed,0
RR-000261,CASE-000261,4,0,Completed,0
RR-000262,CASE-000262,6,0,Completed,0
RR-000263,CASE-000263,7,1,Partial,43
RR-000264,CASE-000264,8,0,Completed,0
RR-000265,CASE-000265,6,0,Completed,0
RR-000266,CASE-000266,6,1,Under Review,63
RR-000267,CASE-000267,1,0,Completed,0
RR-000268,CASE-000268,9,0,Completed,0
RR-000269,CASE-000269,6,0,Completed,0
RR-000270,CASE-000270,6,0,Completed,0
RR-000271,CASE-000271,5,0,Completed,0
RR-000272,CASE-000272,4,0,Completed,0
RR-000273,CASE-000273,6,0,Completed,0
RR-000274,CASE-000274,7,0,Completed,0
RR-000275,CASE-000275,4,0,Completed,0
RR-000276,CASE-000276,4,0,Completed,0
RR-000277,CASE-000277,2,0,Completed,0
RR-000278,CASE-000278,6,0,Completed,0
RR-000279,CASE-000279,7,0,Completed,0
RR-000280,CASE-000280,3,0,Completed,0
RR-000281,CASE-000281,3,0,Completed,0
RR-000282,CASE-000282,4,0,Completed,0
RR-000283,CASE-000283,3,0,Completed,0
RR-000284,CASE-000284,2,0,Completed,0
RR-000285,CASE-000285,6,0,Completed,0
RR-000286,CASE-000286,2,0,Completed,0
RR-000287,CASE-000287,5,0,Completed,0
RR-000288,CASE-000288,4,0,Completed,0
RR-000289,CASE-000289,5,0,Completed,0
RR-000290,CASE-000290,4,0,Completed,0
RR-000291,CASE-000291,2,0,Completed,0
RR-000292,CASE-000292,4,0,Completed,0
RR-000293,CASE-000293,6,0,Completed,0
RR-000294,CASE-000294,5,0,Completed,0
RR-000295,CASE-000295,3,0,Completed,0
RR-000296,CASE-000296,4,0,Completed,0
RR-000297,CASE-000297,2,0,Completed,0
RR-000298,CASE-000298,4,0,Completed,0
RR-000299,CASE-000299,4,0,Completed,0
RR-000300,CASE-000300,9,0,Completed,0
RR-000301,CASE-000301,7,0,Completed,0
RR-000302,CASE-000302,8,1,Partial,27
RR-000303,CASE-000303,4,0,Completed,0
RR-000304,CASE-000304,9,0,Completed,0
RR-000305,CASE-000305,4,1,Pending,362
RR-000306,CASE-000306,1,0,Completed,0
RR-000307,CASE-000307,3,0,Completed,0
RR-000308,CASE-000308,2,0,Completed,0
RR-000309,CASE-000309,4,0,Completed,0
RR-000310,CASE-000310,3,1,Partial,131
RR-000311,CASE-000311,3,0,Completed,0
RR-000312,CASE-000312,2,0,Completed,0
RR-000313,CASE-000313,3,0,Completed,0
RR-000314,CASE-000314,2,0,Completed,0
RR-000315,CASE-000315,5,1,Partial,103
RR-000316,CASE-000316,5,0,Completed,0
RR-000317,CASE-000317,6,0,Completed,0
RR-000318,CASE-000318,6,0,Completed,0
RR-000319,CASE-000319,7,1,Under Review,104
RR-000320,CASE-000320,2,0,Completed,0
RR-000321,CASE-000321,3,0,Completed,0
RR-000322,CASE-000322,4,0,Completed,0
RR-000323,CASE-000323,8,0,Completed,0
RR-000324,CASE-000324,5,0,Completed,0
RR-000325,CASE-000325,8,0,Completed,0
RR-000326,CASE-000326,2,0,Completed,0
RR-000327,CASE-000327,4,0,Completed,0
RR-000328,CASE-000328,5,0,Completed,0
RR-000329,CASE-000329,5,0,Completed,0
RR-000330,CASE-000330,3,1,Pending,243
RR-000331,CASE-000331,4,0,Completed,0
RR-000332,CASE-000332,3,0,Completed,0
RR-000333,CASE-000333,7,0,Completed,0
RR-000334,CASE-000334,3,0,Completed,0
RR-000335,CASE-000335,3,0,Completed,0
RR-000336,CASE-000336,6,0,Completed,0
RR-000337,CASE-000337,7,0,Completed,0
RR-000338,CASE-000338,1,0,Completed,0
RR-000339,CASE-000339,10,0,Completed,0
RR-000340,CASE-000340,4,0,Completed,0
RR-000341,CASE-000341,4,0,Completed,0
RR-000342,CASE-000342,4,0,Completed,0
RR-000343,CASE-000343,2,0,Completed,0
RR-000344,CASE-000344,6,1,Partial,83
RR-000345,CASE-000345,5,0,Completed,0
RR-000346,CASE-000346,3,0,Completed,0
RR-000347,CASE-000347,8,0,Completed,0
RR-000348,CASE-000348,3,0,Completed,0
RR-000349,CASE-000349,4,0,Completed,0
RR-000350,CASE-000350,9,0,Completed,0
RR-000351,CASE-000351,2,0,Completed,0
RR-000352,CASE-000352,6,0,Completed,0
RR-000353,CASE-000353,10,1,Partial,322
RR-000354,CASE-000354,3,0,Completed,0
RR-000355,CASE-000355,6,1,Partial,195
RR-000356,CASE-000356,6,1,Under Review,86
RR-000357,CASE-000357,4,1,Under Review,194
RR-000358,CASE-000358,2,0,Completed,0
RR-000359,CASE-000359,4,0,Completed,0
RR-000360,CASE-000360,4,0,Completed,0
RR-000361,CASE-000361,3,0,Completed,0
RR-000362,CASE-000362,5,0,Completed,0
RR-000363,CASE-000363,5,0,Completed,0
RR-000364,CASE-000364,6,1,Under Review,366
RR-000365,CASE-000365,7,0,Completed,0
RR-000366,CASE-000366,3,0,Completed,0
RR-000367,CASE-000367,4,0,Completed,0
RR-000368,CASE-000368,5,0,Completed,0
RR-000369,CASE-000369,5,0,Completed,0
RR-000370,CASE-000370,4,1,Partial,289
RR-000371,CASE-000371,4,0,Completed,0
RR-000372,CASE-000372,5,1,Partial,421
RR-000373,CASE-000373,4,0,Completed,0
RR-000374,CASE-000374,7,0,Completed,0
RR-000375,CASE-000375,3,0,Completed,0
RR-000376,CASE-000376,4,0,Completed,0
RR-000377,CASE-000377,2,0,Completed,0
RR-000378,CASE-000378,5,1,Partial,258
RR-000379,CASE-000379,3,0,Completed,0
RR-000380,CASE-000380,4,0,Completed,0
RR-000381,CASE-000381,3,0,Completed,0
RR-000382,CASE-000382,6,1,Under Review,103
RR-000383,CASE-000383,6,0,Completed,0
RR-000384,CASE-000384,7,0,Completed,0
RR-000385,CASE-000385,3,0,Completed,0
RR-000386,CASE-000386,7,1,Pending,416
RR-000387,CASE-000387,8,0,Completed,0
RR-000388,CASE-000388,4,0,Completed,0
RR-000389,CASE-000389,8,0,Completed,0
RR-000390,CASE-000390,5,0,Completed,0
RR-000391,CASE-000391,8,0,Completed,0
RR-000392,CASE-000392,4,0,Completed,0
RR-000393,CASE-000393,6,0,Completed,0
RR-000394,CASE-000394,6,0,Completed,0
RR-000395,CASE-000395,6,0,Completed,0
RR-000396,CASE-000396,6,1,Under Review,334
RR-000397,CASE-000397,7,0,Completed,0
RR-000398,CASE-000398,8,0,Completed,0
RR-000399,CASE-000399,3,0,Completed,0
RR-000400,CASE-000400,3,0,Completed,0
RR-000401,CASE-000401,2,0,Completed,0
RR-000402,CASE-000402,6,1,Under Review,314
RR-000403,CASE-000403,6,1,Pending,18
RR-000404,CASE-000404,4,0,Completed,0
RR-000405,CASE-000405,1,0,Completed,0
RR-000406,CASE-000406,2,0,Completed,0
RR-000407,CASE-000407,12,1,Partial,30
RR-000408,CASE-000408,14,0,Completed,0
RR-000409,CASE-000409,3,0,Completed,0
RR-000410,CASE-000410,6,1,Partial,244
RR-000411,CASE-000411,6,0,Completed,0
RR-000412,CASE-000412,4,0,Completed,0
RR-000413,CASE-000413,6,1,Partial,16
RR-000414,CASE-000414,1,0,Completed,0
RR-000415,CASE-000415,5,0,Completed,0
RR-000416,CASE-000416,5,1,Partial,38
RR-000417,CASE-000417,4,0,Completed,0
RR-000418,CASE-000418,4,0,Completed,0
RR-000419,CASE-000419,5,0,Completed,0
RR-000420,CASE-000420,6,0,Completed,0
RR-000421,CASE-000421,1,0,Completed,0
RR-000422,CASE-000422,5,0,Completed,0
RR-000423,CASE-000423,3,0,Completed,0
RR-000424,CASE-000424,3,0,Completed,0
RR-000425,CASE-000425,4,0,Completed,0
RR-000426,CASE-000426,4,0,Completed,0
RR-000427,CASE-000427,4,0,Completed,0
RR-000428,CASE-000428,4,0,Completed,0
RR-000429,CASE-000429,8,0,Completed,0
RR-000430,CASE-000430,8,1,Partial,411
RR-000431,CASE-000431,5,0,Completed,0
RR-000432,CASE-000432,6,0,Completed,0
RR-000433,CASE-000433,3,0,Completed,0
RR-000434,CASE-000434,4,0,Completed,0
RR-000435,CASE-000435,6,1,Partial,56
RR-000436,CASE-000436,8,0,Completed,0
RR-000437,CASE-000437,4,0,Completed,0
RR-000438,CASE-000438,5,0,Completed,0
RR-000439,CASE-000439,4,0,Completed,0
RR-000440,CASE-000440,5,0,Completed,0
RR-000441,CASE-000441,6,0,Completed,0
RR-000442,CASE-000442,5,1,Under Review,270
RR-000443,CASE-000443,4,1,Pending,157
RR-000444,CASE-000444,4,0,Completed,0
RR-000445,CASE-000445,7,0,Completed,0
RR-000446,CASE-000446,7,1,Pending,31
RR-000447,CASE-000447,8,0,Completed,0
RR-000448,CASE-000448,7,0,Completed,0
RR-000449,CASE-000449,4,0,Completed,0
RR-000450,CASE-000450,8,0,Completed,0
RR-000451,CASE-000451,2,0,Completed,0
RR-000452,CASE-000452,5,0,Completed,0
RR-000453,CASE-000453,4,0,Completed,0
RR-000454,CASE-000454,4,0,Completed,0
RR-000455,CASE-000455,3,1,Partial,273
RR-000456,CASE-000456,7,0,Completed,0
RR-000457,CASE-000457,3,0,Completed,0
RR-000458,CASE-000458,9,0,Completed,0
RR-000459,CASE-000459,3,0,Completed,0
RR-000460,CASE-000460,6,0,Completed,0
RR-000461,CASE-000461,4,0,Completed,0
RR-000462,CASE-000462,6,0,Completed,0
RR-000463,CASE-000463,5,0,Completed,0
RR-000464,CASE-000464,8,0,Completed,0
RR-000465,CASE-000465,5,0,Completed,0
RR-000466,CASE-000466,3,0,Completed,0
RR-000467,CASE-000467,7,1,Pending,134
RR-000468,CASE-000468,7,0,Completed,0
RR-000469,CASE-000469,5,0,Completed,0
RR-000470,CASE-000470,6,0,Completed,0
RR-000471,CASE-000471,5,0,Completed,0
RR-000472,CASE-000472,4,0,Completed,0
RR-000473,CASE-000473,6,0,Completed,0
RR-000474,CASE-000474,6,0,Completed,0
RR-000475,CASE-000475,3,0,Completed,0
RR-000476,CASE-000476,4,0,Completed,0
RR-000477,CASE-000477,4,0,Completed,0
RR-000478,CASE-000478,6,0,Completed,0
RR-000479,CASE-000479,5,1,Pending,312
RR-000480,CASE-000480,4,0,Completed,0
RR-000481,CASE-000481,5,1,Pending,220
RR-000482,CASE-000482,5,0,Completed,0
RR-000483,CASE-000483,6,1,Under Review,311
RR-000484,CASE-000484,5,0,Completed,0
RR-000485,CASE-000485,5,0,Completed,0
RR-000486,CASE-000486,6,0,Completed,0
RR-000487,CASE-000487,5,0,Completed,0
RR-000488,CASE-000488,3,0,Completed,0
RR-000489,CASE-000489,10,0,Completed,0
RR-000490,CASE-000490,6,0,Completed,0
RR-000491,CASE-000491,6,0,Completed,0
RR-000492,CASE-000492,6,0,Completed,0
RR-000493,CASE-000493,4,1,Pending,141
RR-000494,CASE-000494,3,0,Completed,0
RR-000495,CASE-000495,3,0,Completed,0
RR-000496,CASE-000496,3,0,Completed,0
RR-000497,CASE-000497,5,0,Completed,0
RR-000498,CASE-000498,8,0,Completed,0
RR-000499,CASE-000499,6,0,Completed,0
RR-000500,CASE-000500,3,0,Completed,0
RR-000501,CASE-000501,4,0,Completed,0
RR-000502,CASE-000502,6,1,Under Review,311
RR-000503,CASE-000503,3,0,Completed,0
RR-000504,CASE-000504,6,0,Completed,0
RR-000505,CASE-000505,2,0,Completed,0
RR-000506,CASE-000506,5,1,Pending,101
RR-000507,CASE-000507,4,0,Completed,0
RR-000508,CASE-000508,9,0,Completed,0
RR-000509,CASE-000509,5,0,Completed,0
RR-000510,CASE-000510,3,0,Completed,0
RR-000511,CASE-000511,9,0,Completed,0
RR-000512,CASE-000512,9,0,Completed,0
RR-000513,CASE-000513,5,0,Completed,0
RR-000514,CASE-000514,6,0,Completed,0
RR-000515,CASE-000515,5,0,Completed,0
RR-000516,CASE-000516,8,1,Under Review,292
RR-000517,CASE-000517,6,0,Completed,0
RR-000518,CASE-000518,5,0,Completed,0
RR-000519,CASE-000519,7,1,Partial,181
RR-000520,CASE-000520,4,0,Completed,0
RR-000521,CASE-000521,4,0,Completed,0
RR-000522,CASE-000522,7,1,Partial,199
RR-000523,CASE-000523,4,0,Completed,0
RR-000524,CASE-000524,5,0,Completed,0
RR-000525,CASE-000525,8,0,Completed,0
RR-000526,CASE-000526,2,0,Completed,0
RR-000527,CASE-000527,2,1,Pending,124
RR-000528,CASE-000528,3,0,Completed,0
RR-000529,CASE-000529,5,0,Completed,0
RR-000530,CASE-000530,8,0,Completed,0
RR-000531,CASE-000531,3,0,Completed,0
RR-000532,CASE-000532,6,1,Pending,27
RR-000533,CASE-000533,4,0,Completed,0
RR-000534,CASE-000534,2,0,Completed,0
RR-000535,CASE-000535,8,0,Completed,0
RR-000536,CASE-000536,4,0,Completed,0
RR-000537,CASE-000537,8,0,Completed,0
RR-000538,CASE-000538,6,0,Completed,0
RR-000539,CASE-000539,6,0,Completed,0
RR-000540,CASE-000540,8,0,Completed,0
RR-000541,CASE-000541,6,0,Completed,0
RR-000542,CASE-000542,4,1,Pending,311
RR-000543,CASE-000543,8,0,Completed,0
RR-000544,CASE-000544,5,0,Completed,0
RR-000545,CASE-000545,3,0,Completed,0
RR-000546,CASE-000546,4,1,Under Review,93
RR-000547,CASE-000547,5,0,Completed,0
RR-000548,CASE-000548,6,0,Completed,0
RR-000549,CASE-000549,7,0,Completed,0
RR-000550,CASE-000550,6,0,Completed,0
RR-000551,CASE-000551,6,0,Completed,0
RR-000552,CASE-000552,5,0,Completed,0
RR-000553,CASE-000553,6,0,Completed,0
RR-000554,CASE-000554,6,0,Completed,0
RR-000555,CASE-000555,4,0,Completed,0
RR-000556,CASE-000556,4,0,Completed,0
RR-000557,CASE-000557,4,0,Completed,0
RR-000558,CASE-000558,5,0,Completed,0
RR-000559,CASE-000559,5,0,Completed,0
RR-000560,CASE-000560,6,0,Completed,0
RR-000561,CASE-000561,4,1,Under Review,27
RR-000562,CASE-000562,4,0,Completed,0
RR-000563,CASE-000563,4,1,Pending,118
RR-000564,CASE-000564,4,0,Completed,0
RR-000565,CASE-000565,8,0,Completed,0
RR-000566,CASE-000566,7,1,Partial,112
RR-000567,CASE-000567,6,0,Completed,0
RR-000568,CASE-000568,4,0,Completed,0
RR-000569,CASE-000569,4,0,Completed,0
RR-000570,CASE-000570,6,0,Completed,0
RR-000571,CASE-000571,6,0,Completed,0
RR-000572,CASE-000572,8,0,Completed,0
RR-000573,CASE-000573,4,0,Completed,0
RR-000574,CASE-000574,3,0,Completed,0
RR-000575,CASE-000575,5,0,Completed,0
RR-000576,CASE-000576,4,0,Completed,0
RR-000577,CASE-000577,5,0,Completed,0
RR-000578,CASE-000578,5,0,Completed,0
RR-000579,CASE-000579,6,0,Completed,0
RR-000580,CASE-000580,2,0,Completed,0
RR-000581,CASE-000581,4,0,Completed,0
RR-000582,CASE-000582,5,0,Completed,0
RR-000583,CASE-000583,5,0,Completed,0
RR-000584,CASE-000584,2,0,Completed,0
RR-000585,CASE-000585,5,0,Completed,0
RR-000586,CASE-000586,5,0,Completed,0
RR-000587,CASE-000587,6,0,Completed,0
RR-000588,CASE-000588,4,0,Completed,0
RR-000589,CASE-000589,4,0,Completed,0
RR-000590,CASE-000590,2,1,Partial,167
RR-000591,CASE-000591,4,0,Completed,0
RR-000592,CASE-000592,3,0,Completed,0
RR-000593,CASE-000593,4,0,Completed,0
RR-000594,CASE-000594,4,0,Completed,0
RR-000595,CASE-000595,4,0,Completed,0
RR-000596,CASE-000596,7,1,Pending,18
RR-000597,CASE-000597,5,0,Completed,0
RR-000598,CASE-000598,3,0,Completed,0
RR-000599,CASE-000599,5,0,Completed,0
RR-000600,CASE-000600,4,0,Completed,0
RR-000601,CASE-000601,8,0,Completed,0
RR-000602,CASE-000602,5,0,Completed,0
RR-000603,CASE-000603,8,1,Under Review,301
RR-000604,CASE-000604,2,0,Completed,0
