compensation_id,case_id,project_id,assessed_amount,amount_paid,payment_status,payment_delay_days
COMP-000058,CASE-000058,PRJ-02071,3939581.94,2579230.5,Paid,24
COMP-000059,CASE-000059,PRJ-00121,912867.01,495410.86,Pending,351
COMP-000060,CASE-000060,PRJ-04700,5193659.51,6592113.06,Paid,15
COMP-000061,CASE-000061,PRJ-03565,1035263.72,290894.38,Paid,24
COMP-000062,CASE-000062,PRJ-03350,1044148.68,385465.48,Paid,26
COMP-000063,CASE-000063,PRJ-00147,1291435.58,734005.57,Paid,5
COMP-000064,CASE-000064,PRJ-02660,513979.6,181386.23,Paid,6
COMP-000065,CASE-000065,PRJ-01864,709567.98,245852.04,Pending,229
COMP-000066,CASE-000066,PRJ-03686,121038.43,158437.26,Paid,12
COMP-000067,CASE-000067,PRJ-02172,1719829.85,2570106.15,Paid,5
COMP-000068,CASE-000068,PRJ-04680,307618.36,665237.37,Paid,1
COMP-000069,CASE-000069,PRJ-02050,591692.42,567606.41,Paid,26
COMP-000070,CASE-000070,PRJ-02802,1290039.47,984425.84,Pending,330
COMP-000071,CASE-000071,PRJ-02479,2870846.63,2868922.64,Paid,23
COMP-000072,CASE-000072,PRJ-01712,199871.44,88084.96,Paid,9
COMP-000073,CASE-000073,PRJ-01340,2991137.61,1044195.91,Paid,5
COMP-000074,CASE-000074,PRJ-03519,2476491.54,3086762.22,Paid,20
COMP-000075,CASE-000075,PRJ-01645,319906.57,201352.05,Pending,159
COMP-000076,CASE-000076,PRJ-02849,2241577.57,1693093.58,Paid,0
COMP-000077,CASE-000077,PRJ-03824,847166.1,317355.41,Pending,420
COMP-000078,CASE-000078,PRJ-00512,320461.83,261472.21,Paid,29
COMP-000079,CASE-000079,PRJ-04561,460510.37,508696.08,Paid,20
COMP-000080,CASE-000080,PRJ-04797,2161758.83,1613726.88,Paid,11
COMP-000081,CASE-000081,PRJ-02034,1177325.34,845689.19,Paid,25
COMP-000082,CASE-000082,PRJ-00257,670582.38,774465.83,Paid,12
COMP-000083,CASE-000083,PRJ-01799,5035849.07,3043804.89,Paid,9
COMP-000084,CASE-000084,PRJ-04788,1300924.81,624628.08,Paid,5
COMP-000085,CASE-000085,PRJ-05000,1768643.65,1326692.06,Paid,5
COMP-000086,CASE-000086,PRJ-04508,1063824.43,464095.09,Paid,10
COMP-000087,CASE-000087,PRJ-03416,2483209.67,1564387.06,Paid,1
COMP-000088,CASE-000088,PRJ-01202,869409.62,313124.63,Pending,345
COMP-000089,CASE-000089,PRJ-03292,2346084.68,6895971.02,Paid,29
COMP-000090,CASE-000090,PRJ-04515,226442.6,524416.49,Paid,28
COMP-000091,CASE-000091,PRJ-01732,214920.74,132188.48,Pending,374
COMP-000092,CASE-000092,PRJ-00888,3840572.4,2573185.75,Paid,25
COMP-000093,CASE-000093,PRJ-04229,2581457.12,389121.24,Pending,188
COMP-000094,CASE-000094,PRJ-02831,995971.27,997399.66,Paid,18
COMP-000095,CASE-000095,PRJ-00990,796665.83,831087.67,Paid,15
COMP-000096,CASE-000096,PRJ-00531,1777449.78,925786.49,Paid,9
COMP-000097,CASE-000097,PRJ-03614,4812729.77,3511235.34,Paid,26
COMP-000098,CASE-000098,PRJ-02708,211613.51,759145.98,Paid,28
COMP-000099,CASE-000099,PRJ-04351,610821.64,579948.63,Paid,2
COMP-000100,CASE-000100,PRJ-01319,1051799.5,774725.59,Paid,6
COMP-000101,CASE-000101,PRJ-01892,3626853.77,3707109.26,Paid,25
COMP-000102,CASE-000102,PRJ-00304,1567741.82,1581496.81,Pending,479
COMP-000103,CASE-000103,PRJ-03769,1073383.9,1393072.61,Paid,25
COMP-000104,CASE-000104,PRJ-03422,299398.2,417626.23,Paid,14
COMP-000105,CASE-000105,PRJ-03141,1688950.83,3734053.88,Paid,11
COMP-000106,CASE-000106,PRJ-03007,3069783.43,1082847.01,Paid,4
COMP-000107,CASE-000107,PRJ-00619,1626155.99,1300448.02,Pending,444
COMP-000108,CASE-000108,PRJ-01462,929410.55,670959.48,Paid,15
COMP-000109,CASE-000109,PRJ-02996,1257355.67,1282243.22,Paid,7
COMP-000110,CASE-000110,PRJ-03400,4077345.54,2065615.36,Paid,2
COMP-000111,CASE-000111,PRJ-04381,1082172.73,2424479.09,Paid,7
COMP-000112,CASE-000112,PRJ-03352,806363.86,761197.83,Paid,24
COMP-000113,CASE-000113,PRJ-00667,4079603.82,7265816.25,Paid,14
COMP-000114,CASE-000114,PRJ-04940,1312145.87,387761.36,Paid,15
COMP-000115,CASE-000115,PRJ-02944,959660.13,950686.16,Paid,18
COMP-000116,CASE-000116,PRJ-01380,479399.7,192797.63,Pending,444
COMP-000117,CASE-000117,PRJ-02461,250197.98,319293.33,Pending,277
COMP-000118,CASE-000118,PRJ-03045,583667.18,582829.45,Pending,358
COMP-000119,CASE-000119,PRJ-02096,1929786.72,1992943.59,Paid,18
COMP-000120,CASE-000120,PRJ-01505,4936429.18,4496118.4,Paid,8
COMP-000121,CASE-000121,PRJ-04125,1582833.64,1544197.69,Pending,350
COMP-000122,CASE-000122,PRJ-03675,4288275.74,3959210.54,Paid,11
COMP-000123,CASE-000123,PRJ-02749,660975.87,212433.98,Paid,19
COMP-000124,CASE-000124,PRJ-00261,2540055.43,3525262.27,Paid,20
COMP-000125,CASE-000125,PRJ-02735,804679.54,516641.35,Paid,17
COMP-000126,CASE-000126,PRJ-01922,2991836.18,1907709.2,Paid,11
COMP-000127,CASE-000127,PRJ-02823,701825.86,752745.65,Paid,18
COMP-000128,CASE-000128,PRJ-03896,107821.14,23522.23,Pending,448
COMP-000129,CASE-000129,PRJ-04847,916637.45,2219433.67,Paid,3
COMP-000130,CASE-000130,PRJ-00526,606844.35,899290.33,Paid,0
COMP-000131,CASE-000131,PRJ-00850,438298.9,585544.33,Paid,21
COMP-000132,CASE-000132,PRJ-03360,553579.16,639617.26,Paid,8
COMP-000133,CASE-000133,PRJ-03598,189011.62,239315.97,Paid,8
COMP-000134,CASE-000134,PRJ-00172,1435363.43,1310132.13,Paid,10
COMP-000135,CASE-000135,PRJ-03342,1183870.86,1256852.73,Pending,415
COMP-000136,CASE-000136,PRJ-00101,1321477.0,284396.26,Pending,324
COMP-000137,CASE-000137,PRJ-02227,1430374.98,1884003.1,Paid,8
COMP-000138,CASE-000138,PRJ-02372,2024866.6,2276246.18,Paid,23
COMP-000139,CASE-000139,PRJ-03477,384160.63,352846.6,Pending,16
COMP-000140,CASE-000140,PRJ-04735,2917509.76,1275779.54,Paid,18
COMP-000141,CASE-000141,PRJ-00377,1645677.99,1197781.96,Paid,16
COMP-000142,CASE-000142,PRJ-01771,1350593.58,1150278.39,Paid,20
COMP-000143,CASE-000143,PRJ-02920,1697073.84,1746728.69,Paid,5
COMP-000144,CASE-000144,PRJ-04231,1331477.7,3732731.39,Paid,17
COMP-000145,CASE-000145,PRJ-04388,2546214.16,3439163.83,Paid,21
COMP-000146,CASE-000146,PRJ-03550,915613.31,889779.14,Paid,24
COMP-000147,CASE-000147,PRJ-01637,1184522.12,2806792.48,Paid,12
COMP-000148,CASE-000148,PRJ-02217,633992.07,1908394.63,Paid,18
COMP-000149,CASE-000149,PRJ-01964,821277.09,567117.3,Paid,20
COMP-000150,CASE-000150,PRJ-04450,295945.06,171539.16,Pending,429
COMP-000151,CASE-000151,PRJ-02554,3316411.76,1266607.41,Paid,22
COMP-000152,CASE-000152,PRJ-00755,1033431.25,497293.98,Paid,23
COMP-000153,CASE-000153,PRJ-04553,768332.93,274033.66,Pending,231
COMP-000154,CASE-000154,PRJ-01387,1329288.65,903337.67,Pending,321
COMP-000155,CASE-000155,PRJ-00365,2280108.31,1817947.37,Paid,20
COMP-000156,CASE-000156,PRJ-03924,3561941.26,3832758.49,Paid,20
COMP-000157,CASE-000157,PRJ-04125,1800606.97,2280516.32,Paid,13
COMP-000158,CASE-000158,PRJ-03453,930985.18,1852680.57,Paid,11
COMP-000159,CASE-000159,PRJ-02316,1329074.99,1361054.82,Paid,13
COMP-000160,CASE-000160,PRJ-02032,774811.13,322725.89,Paid,7
COMP-000161,CASE-000161,PRJ-02630,1163042.28,1260876.4,Paid,10
COMP-000162,CASE-000162,PRJ-04312,3116326.06,1054520.79,Paid,11
COMP-000163,CASE-000163,PRJ-01155,1200275.03,577163.98,Paid,17
COMP-000164,CASE-000164,PRJ-04808,923054.93,1923963.11,Paid,27
COMP-000165,CASE-000165,PRJ-00409,442804.47,1273241.28,Paid,16
COMP-000166,CASE-000166,PRJ-04570,2279695.98,2538858.7,Paid,12
COMP-000167,CASE-000167,PRJ-00050,708336.6,1682327.33,Paid,16
COMP-000168,CASE-000168,PRJ-03284,116096.47,320269.27,Pending,437
COMP-000169,CASE-000169,PRJ-03253,1705735.77,2009114.71,Paid,0
COMP-000170,CASE-000170,PRJ-00324,1087841.48,1241208.3,Paid,25
COMP-000171,CASE-000171,PRJ-02275,442262.66,162289.84,Paid,28
COMP-000172,CASE-000172,PRJ-03989,1416390.46,421404.61,Pending,498
COMP-000173,CASE-000173,PRJ-01046,1043106.95,445385.74,Paid,23
COMP-000174,CASE-000174,PRJ-00649,627619.59,2162351.05,Paid,21
COMP-000175,CASE-000175,PRJ-01370,1363902.92,1563761.96,Paid,15
COMP-000176,CASE-000176,PRJ-00805,3024948.22,901798.44,Paid,9
COMP-000177,CASE-000177,PRJ-01275,2598105.02,1210221.52,Paid,4
COMP-000178,CASE-000178,PRJ-04538,602699.96,498625.38,Paid,16
COMP-000179,CASE-000179,PRJ-00534,862950.25,497145.83,Paid,9
COMP-000180,CASE-000180,PRJ-04982,1234011.55,689314.61,Pending,192
COMP-000181,CASE-000181,PRJ-04061,2875724.71,1827973.06,Paid,23
COMP-000182,CASE-000182,PRJ-01768,1170587.96,777623.53,Paid,16
COMP-000183,CASE-000183,PRJ-04582,450988.58,1428626.03,Paid,12
COMP-000184,CASE-000184,PRJ-01169,604346.37,847183.39,Pending,468
COMP-000185,CASE-000185,PRJ-04180,3061637.93,3983641.57,Paid,8
COMP-000186,CASE-000186,PRJ-02074,672084.64,513789.09,Pending,285
COMP-000187,CASE-000187,PRJ-01914,701435.89,354615.12,Paid,23
COMP-000188,CASE-000188,PRJ-00167,1091622.79,1411275.85,Paid,21
COMP-000189,CASE-000189,PRJ-03751,2970210.32,2802543.88,Paid,10
COMP-000190,CASE-000190,PRJ-03034,1295219.44,816651.01,Paid,10
COMP-000191,CASE-000191,PRJ-04412,967926.26,556761.37,Paid,3
COMP-000192,CASE-000192,PRJ-03493,488797.21,520489.37,Paid,6
COMP-000193,CASE-000193,PRJ-02526,3824741.8,1716892.44,Paid,1
COMP-000194,CASE-000194,PRJ-00930,502685.92,393549.64,Paid,20
COMP-000195,CASE-000195,PRJ-03196,1328935.07,889945.66,Paid,7
COMP-000196,CASE-000196,PRJ-04345,866734.29,2513002.3,Paid,13
COMP-000197,CASE-000197,PRJ-03204,2217576.57,4137969.97,Paid,19
COMP-000198,CASE-000198,PRJ-00980,2413727.23,2017739.12,Paid,27
COMP-000199,CASE-000199,PRJ-04709,2637669.17,1092120.91,Pending,78
COMP-000200,CASE-000200,PRJ-04527,509859.04,456991.49,Paid,18
COMP-000201,CASE-000201,PRJ-02653,1970603.6,1383243.56,Paid,0
COMP-000202,CASE-000202,PRJ-01381,205859.1,811908.37,Paid,23
COMP-000203,CASE-000203,PRJ-01143,759823.98,1360371.5,Paid,12
COMP-000204,CASE-000204,PRJ-03600,859207.91,2121555.1,Paid,15
COMP-000205,CASE-000205,PRJ-03265,216451.99,53246.26,Pending,114
COMP-000206,CASE-000206,PRJ-03135,1530120.92,2458539.67,Paid,23
COMP-000207,CASE-000207,PRJ-03599,3168713.04,1951354.91,Paid,1
COMP-000208,CASE-000208,PRJ-03298,1810128.18,1454952.51,Pending,172
COMP-000209,CASE-000209,PRJ-01487,501238.91,586471.5,Paid,8
COMP-000210,CASE-000210,PRJ-04616,679891.21,1658053.36,Paid,28
COMP-000211,CASE-000211,PRJ-03688,3775633.94,1602960.11,Paid,7
COMP-000212,CASE-000212,PRJ-03733,1121703.46,584710.73,Pending,29
COMP-000213,CASE-000213,PRJ-02569,687553.41,1300361.43,Pending,254
COMP-000214,CASE-000214,PRJ-01767,743338.46,1045126.76,Paid,2
COMP-000215,CASE-000215,PRJ-02155,614010.98,869161.65,Paid,16
COMP-000216,CASE-000216,PRJ-03206,1857250.4,1584050.4,Paid,27
COMP-000217,CASE-000217,PRJ-04503,659076.43,966227.91,Paid,22
COMP-000218,CASE-000218,PRJ-03379,1690088.07,753278.42,Paid,0
COMP-000219,CASE-000219,PRJ-01925,2007762.85,1615355.16,Paid,3
COMP-000220,CASE-000220,PRJ-02195,178064.28,321335.0,Paid,11
COMP-000221,CASE-000221,PRJ-04609,2990965.99,2714550.62,Paid,9
COMP-000222,CASE-000222,PRJ-04093,2261923.24,2311652.46,Paid,7
COMP-000223,CASE-000223,PRJ-03252,1266946.0,1184033.89,Paid,26
COMP-000224,CASE-000224,PRJ-03740,353332.05,265714.64,Paid,4
COMP-000225,CASE-000225,PRJ-01637,2112177.19,867395.41,Paid,14
COMP-000226,CASE-000226,PRJ-03901,993221.7,975519.73,Paid,1
COMP-000227,CASE-000227,PRJ-01263,592107.36,705156.68,Paid,7
COMP-000228,CASE-000228,PRJ-00255,770148.39,273501.73,Paid,14
COMP-000229,CASE-000229,PRJ-03543,4945391.97,3698431.77,Paid,10
COMP-000230,CASE-000230,PRJ-02700,1028199.85,976910.31,Paid,16
COMP-000231,CASE-000231,PRJ-00864,933426.5,1304743.65,Paid,14
COMP-000232,CASE-000232,PRJ-00215,203465.94,127730.21,Pending,305
COMP-000233,CASE-000233,PRJ-00906,1380396.74,962126.12,Paid,15
COMP-000234,CASE-000234,PRJ-03088,1502808.01,1420957.78,Paid,21
COMP-000235,CASE-000235,PRJ-04713,568672.75,1625351.08,Paid,0
COMP-000236,CASE-000236,PRJ-01926,1942933.98,851534.42,Paid,15
COMP-000237,CASE-000237,PRJ-03993,505223.94,971541.88,Paid,6
COMP-000238,CASE-000238,PRJ-02235,1320811.13,340768.18,Paid,8
COMP-000239,CASE-000239,PRJ-00057,180600.48,322726.73,Paid,23
COMP-000240,CASE-000240,PRJ-01381,2237789.66,2277050.48,Paid,23
COMP-000241,CASE-000241,PRJ-02267,940631.02,501536.72,Paid,5
COMP-000242,CASE-000242,PRJ-03314,2828388.56,847313.82,Paid,6
COMP-000243,CASE-000243,PRJ-00652,554569.95,541850.25,Paid,20
COMP-000244,CASE-000244,PRJ-03030,646356.36,598547.57,Paid,5
COMP-000245,CASE-000245,PRJ-02294,1065912.59,1320235.97,Paid,19
COMP-000246,CASE-000246,PRJ-01755,1283856.39,1997905.27,Pending,93
COMP-000247,CASE-000247,PRJ-03096,589082.5,502866.78,Paid,11
COMP-000248,CASE-000248,PRJ-00178,935332.33,1027087.81,Paid,11
COMP-000249,CASE-000249,PRJ-04920,809140.71,1663471.74,Paid,16
COMP-000250,CASE-000250,PRJ-02905,420309.25,463244.65,Paid,13
COMP-000251,CASE-000251,PRJ-04148,3198104.84,4391675.07,Paid,25
COMP-000252,CASE-000252,PRJ-02204,1390594.32,755656.73,Paid,12
COMP-000253,CASE-000253,PRJ-02052,1063503.63,916419.29,Paid,18
COMP-000254,CASE-000254,PRJ-03416,153340.0,527997.84,Paid,5
COMP-000255,CASE-000255,PRJ-04192,4669187.88,6716618.98,Paid,13
COMP-000256,CASE-000256,PRJ-02077,814742.03,780538.0,Pending,81
COMP-000257,CASE-000257,PRJ-00125,2557369.27,2112821.0,Paid,14
COMP-000258,CASE-000258,PRJ-04711,715244.43,459450.97,Paid,18
COMP-000259,CASE-000259,PRJ-05000,179492.86,166884.47,Pending,224
COMP-000260,CASE-000260,PRJ-04560,609151.66,564117.98,Paid,6
COMP-000261,CASE-000261,PRJ-01543,3407518.21,1753174.57,Paid,3
COMP-000262,CASE-000262,PRJ-01967,685187.46,523317.88,Pending,260
COMP-000263,CASE-000263,PRJ-04758,2341679.61,3069334.4,Paid,17
COMP-000264,CASE-000264,PRJ-04238,986457.85,964559.28,Paid,18
COMP-000265,CASE-000265,PRJ-04912,2364523.89,4355783.04,Paid,15
COMP-000266,CASE-000266,PRJ-00046,532890.5,848387.81,Paid,19
COMP-000267,CASE-000267,PRJ-02266,680402.41,427986.35,Paid,1
COMP-000268,CASE-000268,PRJ-03538,2963729.15,909793.34,Paid,18
COMP-000269,CASE-000269,PRJ-03568,561467.44,1612199.2,Paid,15
COMP-000270,CASE-000270,PRJ-04073,1116297.83,1049400.98,Paid,12
COMP-000271,CASE-000271,PRJ-03871,281577.6,415890.77,Paid,2
COMP-000272,CASE-000272,PRJ-02200,1088110.3,951720.56,Paid,15
COMP-000273,CASE-000273,PRJ-01084,558254.26,59799.73,Pending,489
COMP-000274,CASE-000274,PRJ-03868,905321.25,758444.29,Paid,12
COMP-000275,CASE-000275,PRJ-04002,517510.82,288835.69,Pending,274
COMP-000276,CASE-000276,PRJ-04722,703374.19,1375838.95,Paid,23
COMP-000277,CASE-000277,PRJ-01411,292167.17,434751.93,Paid,27
COMP-000278,CASE-000278,PRJ-00115,2118198.12,6365950.24,Paid,15
COMP-000279,CASE-000279,PRJ-04353,6105566.84,2539821.73,Pending,273
COMP-000280,CASE-000280,PRJ-02366,2840996.56,1483726.52,Paid,27
COMP-000281,CASE-000281,PRJ-03667,1092954.27,1333871.07,Paid,15
COMP-000282,CASE-000282,PRJ-04338,1467257.89,847216.64,Paid,2
COMP-000283,CASE-000283,PRJ-01711,6246649.65,6208859.96,Paid,12
COMP-000284,CASE-000284,PRJ-03678,421437.72,428181.56,Paid,6
COMP-000285,CASE-000285,PRJ-00643,907949.44,1434707.68,Paid,28
COMP-000286,CASE-000286,PRJ-04225,509547.39,617355.57,Paid,13
COMP-000287,CASE-000287,PRJ-04217,244673.07,143850.45,Paid,11
COMP-000288,CASE-000288,PRJ-01105,4454412.3,2623252.81,Paid,19
COMP-000289,CASE-000289,PRJ-01970,1736382.2,722591.97,Paid,3
COMP-000290,CASE-000290,PRJ-03763,1464261.29,775101.87,Pending,310
COMP-000291,CASE-000291,PRJ-04558,732331.97,706763.88,Paid,12
COMP-000292,CASE-000292,PRJ-04186,336220.77,540817.97,Pending,270
COMP-000293,CASE-000293,PRJ-02873,1705479.67,520645.93,Paid,19
COMP-000294,CASE-000294,PRJ-02293,599007.48,720934.5,Paid,23
COMP-000295,CASE-000295,PRJ-04894,270862.12,752087.44,Paid,19
COMP-000296,CASE-000296,PRJ-04803,745382.05,1511198.18,Paid,17
COMP-000297,CASE-000297,PRJ-00144,859726.4,1728391.76,Paid,29
COMP-000298,CASE-000298,PRJ-01599,794712.74,737215.52,Pending,455
COMP-000299,CASE-000299,PRJ-00026,797549.8,153031.13,Pending,218
COMP-000300,CASE-000300,PRJ-03427,1575616.46,1185747.29,Paid,9
COMP-000301,CASE-000301,PRJ-00585,1883591.97,2656134.59,Paid,1
COMP-000302,CASE-000302,PRJ-03615,988374.73,1295466.23,Paid,15
COMP-000303,CASE-000303,PRJ-01532,1336889.16,1904045.92,Paid,18
COMP-000304,CASE-000304,PRJ-02728,1001390.33,676350.07,Paid,0
COMP-000305,CASE-000305,PRJ-02894,598306.72,955633.43,Paid,23
COMP-000306,CASE-000306,PRJ-04118,468464.47,466072.15,Paid,5
COMP-000307,CASE-000307,PRJ-01803,856255.53,1236969.51,Paid,1
COMP-000308,CASE-000308,PRJ-04510,1265675.76,724037.03,Paid,23
COMP-000309,CASE-000309,PRJ-04938,1036156.27,1355932.61,Paid,11
COMP-000310,CASE-000310,PRJ-04688,462209.9,596178.66,Paid,3
COMP-000311,CASE-000311,PRJ-02528,531921.16,1325655.89,Paid,16
COMP-000312,CASE-000312,PRJ-01692,649273.16,495237.55,Paid,22
COMP-000313,CASE-000313,PRJ-03154,1484748.26,647780.29,Paid,22
COMP-000314,CASE-000314,PRJ-01755,781675.1,1550074.29,Paid,28
COMP-000315,CASE-000315,PRJ-02010,6680870.55,7639805.1,Paid,2
COMP-000316,CASE-000316,PRJ-02828,188047.87,124333.05,Paid,12
COMP-000317,CASE-000317,PRJ-02269,1617358.92,850173.43,Pending,443
COMP-000318,CASE-000318,PRJ-03186,1048451.54,917109.36,Pending,175
COMP-000319,CASE-000319,PRJ-03735,1086407.94,1336973.67,Pending,433
COMP-000320,CASE-000320,PRJ-04581,1061174.56,747864.0,Paid,9
COMP-000321,CASE-000321,PRJ-03924,451942.94,431280.79,Paid,8
COMP-000322,CASE-000322,PRJ-04781,3177413.11,1720108.08,Paid,10
COMP-000323,CASE-000323,PRJ-04996,1023629.13,1155207.13,Paid,10
COMP-000324,CASE-000324,PRJ-04267,1326440.04,1672628.09,Paid,20
COMP-000325,CASE-000325,PRJ-02359,2516289.17,691932.28,Pending,269
COMP-000326,CASE-000326,PRJ-02211,177367.55,355698.54,Paid,19
COMP-000327,CASE-000327,PRJ-02353,2287620.58,1720652.16,Paid,11
COMP-000328,CASE-000328,PRJ-02286,2065484.15,2110276.56,Paid,5
COMP-000329,CASE-000329,PRJ-01604,637735.97,510866.65,Paid,3
COMP-000330,CASE-000330,PRJ-02907,1878880.28,591207.04,Paid,20
COMP-000331,CASE-000331,PRJ-00033,3155135.76,1680655.72,Pending,60
COMP-000332,CASE-000332,PRJ-00538,247069.79,441285.34,Paid,9
COMP-000333,CASE-000333,PRJ-02760,444816.45,831552.08,Paid,29
COMP-000334,CASE-000334,PRJ-02411,231455.41,503933.66,Paid,21
COMP-000335,CASE-000335,PRJ-01462,577279.61,324771.4,Paid,6
COMP-000336,CASE-000336,PRJ-03965,742366.57,276815.05,Pending,493
COMP-000337,CASE-000337,PRJ-00087,678655.88,2023890.23,Paid,27
COMP-000338,CASE-000338,PRJ-01715,1484189.3,1092403.98,Paid,13
COMP-000339,CASE-000339,PRJ-04045,315395.28,200932.64,Paid,9
COMP-000340,CASE-000340,PRJ-03131,119242.6,179404.85,Paid,10
COMP-000341,CASE-000341,PRJ-01013,558581.92,255234.3,Pending,256
COMP-000342,CASE-000342,PRJ-03779,212336.31,142202.75,Paid,16
COMP-000343,CASE-000343,PRJ-00434,2192022.16,1482732.79,Pending,164
COMP-000344,CASE-000344,PRJ-03039,1291876.0,2269371.22,Paid,12
COMP-000345,CASE-000345,PRJ-03221,3229843.24,2854772.66,Paid,13
COMP-000346,CASE-000346,PRJ-04120,852065.25,965751.82,Paid,6
COMP-000347,CASE-000347,PRJ-02898,764639.1,355385.14,Paid,10
COMP-000348,CASE-000348,PRJ-04017,1264187.87,979611.37,Paid,8
COMP-000349,CASE-000349,PRJ-03129,2350602.02,2303054.38,Paid,3
COMP-000350,CASE-000350,PRJ-03209,391512.01,715376.68,Pending,129
COMP-000351,CASE-000351,PRJ-04198,1043884.65,283223.3,Pending,465
COMP-000352,CASE-000352,PRJ-04429,860099.23,570189.8,Paid,5
COMP-000353,CASE-000353,PRJ-00433,348231.16,602527.87,Paid,6
COMP-000354,CASE-000354,PRJ-00886,1515339.52,1009981.8,Paid,18
COMP-000355,CASE-000355,PRJ-03511,888507.1,228468.18,Paid,3
COMP-000356,CASE-000356,PRJ-00710,954595.8,1452584.67,Paid,2
COMP-000357,CASE-000357,PRJ-04312,288405.98,738922.28,Paid,12
